time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
10.10.2025 19:42:36;54.6090;-5.8833;214;149;171;25;;FlightAware ADS-B(BHD / EGAC)
10.10.2025 19:42:52;54.6000;-5.8934;214;151;174;925;3141;FlightAware ADS-B(BHD / EGAC)
10.10.2025 19:43:08;54.5906;-5.9042;215;163;188;1700;2297;FlightAware ADS-B(IOM / EGNS)
10.10.2025 19:43:24;54.5803;-5.9163;212;166;191;2150;1266;FlightAware ADS-B(BFS / EGAA)
10.10.2025 19:43:40;54.5700;-5.9273;212;164;189;2375;1125;FlightAware ADS-B(EGAL)
10.10.2025 19:43:56;54.5593;-5.9388;212;163;188;2750;1632;FlightAware ADS-B(LDY / EGAE)
10.10.2025 19:44:14;54.5485;-5.9506;213;163;188;3300;1809;FlightAware ADS-B(BFS / EGAA)
10.10.2025 19:44:30;54.5371;-5.9601;198;164;189;3775;2162;FlightAware ADS-B(ENK / EGAB)
10.10.2025 19:44:48;54.5239;-5.9530;143;193;222;4525;2284;FlightAware ADS-B(EGAD)
10.10.2025 19:45:14;54.5086;-5.9186;119;231;266;5450;2111;FlightAware ADS-B(PIK / EGPK)
10.10.2025 19:45:42;54.4944;-5.8681;116;274;315;6425;2509;FlightAware ADS-B(EIWT)
10.10.2025 19:46:12;54.4759;-5.8070;119;291;335;7875;3175;FlightAware ADS-B(LDY / EGAE)
10.10.2025 19:46:42;54.4550;-5.7429;120;301;346;9600;3050;FlightAware ADS-B(BFS / EGAA)
10.10.2025 19:47:12;54.4349;-5.6823;119;315;362;10925;2300;FlightAware ADS-B(EGOQ)
10.10.2025 19:47:42;54.4128;-5.6145;120;340;391;11900;2050;FlightAware ADS-B(ENK / EGAB)
10.10.2025 19:48:12;54.3876;-5.5432;123;355;409;12975;2400;FlightAware ADS-B(ENK / EGAB)
10.10.2025 19:48:52;54.3491;-5.4498;126;364;419;14700;2571;FlightAware ADS-B(BHD / EGAC)
10.10.2025 19:49:22;54.3209;-5.3812;126;369;425;15975;2350;FlightAware ADS-B(EGOW)
10.10.2025 19:49:52;54.2912;-5.3075;125;382;440;17050;2292;FlightAware ADS-B(NCL / EGNT)
10.10.2025 19:50:15;54.2666;-5.2493;128;385;443;18000;2236;FlightAware ADS-B(GLA / EGPF)
