time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
01.10.2025 09:19:29,50.8531,7.1461,138,151,174,800,0,original
01.10.2025 09:19:45,50.8443,7.1581,139,150,173,1825,3281,original
01.10.2025 09:20:01,50.8360,7.1694,137,164,189,2550,2391,original
01.10.2025 09:20:17,50.8273,7.1864,126,189,217,3100,2203,original
01.10.2025 09:20:33,50.8194,7.2044,125,203,234,3725,2484,original
01.10.2025 09:20:49,50.8135,7.2264,103,206,237,4425,2838,original
01.10.2025 09:21:10,50.8103,7.2588,97,207,238,5475,2919,original
01.10.2025 09:21:26,50.8090,7.2824,94,211,243,6225,2963,original
01.10.2025 09:21:50,50.8078,7.3200,89,214,246,7450,2857,original
01.10.2025 09:22:08,50.8126,7.3463,64,222,255,8225,1891,original
01.10.2025 09:22:36,50.8284,7.3852,56,228,262,8900,802,original
01.10.2025 09:23:06,50.8461,7.4253,56,235,270,9000,184,original
01.10.2025 09:23:25,50.8580,7.4555,59,241,277,9050,577,original
01.10.2025 09:23:45,50.8693,7.4855,59,252,290,9375,1033,original
01.10.2025 09:24:10,50.8853,7.5268,58,261,300,9825,1036,original
01.10.2025 09:24:40,50.9047,7.5767,59,269,310,10325,975,original
01.10.2025 09:25:10,50.9229,7.6250,59,258,297,10800,675,original
01.10.2025 09:25:40,50.9406,7.6714,59,255,293,11000,211,original
01.10.2025 09:26:07,50.9577,7.7157,59,251,289,11000,0,original
01.10.2025 09:26:45,50.9793,7.7729,59,230,265,11000,0,original
01.10.2025 09:27:21,50.9983,7.8232,59,210,242,11000,0,original
01.10.2025 09:27:52,51.0127,7.8612,59,195,224,11000,0,original
01.10.2025 09:28:24,51.0273,7.8998,59,192,221,11000,0,original
01.10.2025 09:28:54,51.0423,7.9393,59,209,241,11000,0,original
01.10.2025 09:29:18,51.0545,7.9716,59,224,258,11000,0,original
01.10.2025 09:29:49,51.0717,8.0177,59,237,273,11000,0,original
01.10.2025 09:30:23,51.0912,8.0695,59,248,285,11000,0,original
01.10.2025 09:30:44,51.1031,8.1016,59,253,291,11000,0,original
01.10.2025 09:31:05,51.1156,8.1347,59,257,296,11000,0,original
01.10.2025 09:31:50,51.1435,8.2097,59,264,304,11000,0,original
01.10.2025 09:32:21,51.1625,8.2607,59,266,306,11000,0,original
01.10.2025 09:32:51,51.1820,8.3132,60,268,308,11000,0,original
01.10.2025 09:33:21,51.2003,8.3626,59,263,303,11000,0,original
01.10.2025 09:33:39,51.2115,8.3927,60,260,299,11000,0,original
01.10.2025 09:33:59,51.2234,8.4252,60,257,296,11000,0,original
01.10.2025 09:34:29,51.2412,8.4733,59,255,293,11000,0,original
01.10.2025 09:34:51,51.2554,8.5117,60,254,292,11000,0,original
01.10.2025 09:35:35,51.2809,8.5810,60,254,292,11000,0,original
01.10.2025 09:36:05,51.2985,8.6289,60,252,290,11000,0,original
01.10.2025 09:36:38,51.3178,8.6818,60,250,288,11000,-310,original
01.10.2025 09:37:08,51.3358,8.7309,60,255,293,10675,-1650,original
01.10.2025 09:37:38,51.3537,8.7793,60,252,290,9350,-2600,original
01.10.2025 09:38:08,51.3710,8.8274,60,237,273,8075,-2521,original
01.10.2025 09:38:25,51.3800,8.8518,56,232,267,7375,-2409,original
01.10.2025 09:38:41,51.3910,8.8716,45,231,266,6750,-2400,original
01.10.2025 09:39:05,51.4101,8.9008,43,245,282,5775,-2444,original
01.10.2025 09:39:35,51.4361,8.9391,43,256,295,4550,-2425,original
01.10.2025 09:40:05,51.4614,8.9771,43,242,278,3350,-1806,original
01.10.2025 09:40:24,51.4762,8.9996,46,226,260,3075,-542,original
01.10.2025 09:40:41,51.4826,9.0239,88,202,232,3025,-136,original
01.10.2025 09:40:57,51.4781,9.0456,121,187,215,3000,-41,original
01.10.2025 09:41:18,51.4688,9.0679,125,177,204,3000,0,original
01.10.2025 09:41:48,51.4543,9.1002,126,175,201,3000,0,original
01.10.2025 09:42:15,51.4412,9.1297,123,175,201,3000,34,original
01.10.2025 09:42:32,51.4362,9.1481,105,173,199,3025,-81,original
01.10.2025 09:42:52,51.4332,9.1736,98,172,198,2950,-500,original
01.10.2025 09:43:08,51.4318,9.1929,96,171,197,2725,-913,original
01.10.2025 09:43:38,51.4297,9.2296,95,156,180,2250,-900,original
01.10.2025 09:44:08,51.4278,9.2636,95,153,176,1825,-875,original
01.10.2025 09:44:38,51.4259,9.2981,95,154,177,1375,-850,original
01.10.2025 09:45:08,51.4241,9.3313,95,155,178,975,-815,original
01.10.2025 09:45:24,51.4231,9.3489,95,154,177,750,-395,original
01.10.2025 09:45:46,51.4217,9.3729,97,146,168,725,489,original
01.10.2025 09:46:10,51.4199,9.4010,95,164,189,1125,659,original
01.10.2025 09:46:27,51.4189,9.4221,90,166,191,1175,88,original
01.10.2025 09:46:44,51.4263,9.4383,26,163,188,1175,-318,original
01.10.2025 09:47:00,51.4381,9.4405,353,170,196,1000,0,original
01.10.2025 09:47:18,51.4485,9.4272,294,169,194,1175,443,original
