time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm
01.10.2025 10:54:34,51.4175,9.4415,96,161,185,3150,0
01.10.2025 10:54:34,51.4175,9.4415,96,161,185,3547,2500
01.10.2025 10:54:58,51.4160,9.4709,93,168,193,4150,2316
01.10.2025 10:55:22,51.4152,9.5015,91,165,190,5400,2944
01.10.2025 10:55:52,51.4148,9.5387,93,181,208,6800,2786
01.10.2025 10:56:11,51.4186,9.5650,54,195,224,7675,2595
01.10.2025 10:56:29,51.4317,9.5770,8,210,242,8400,1625
01.10.2025 10:56:47,51.4503,9.5683,322,230,265,8650,875
01.10.2025 10:57:05,51.4597,9.5426,289,231,266,8925,600
01.10.2025 10:57:22,51.4644,9.5128,281,236,272,9000,122
01.10.2025 10:57:42,51.4675,9.4796,277,247,284,9000,0
01.10.2025 10:58:12,51.4725,9.4212,279,261,300,9000,0
01.10.2025 10:58:37,51.4776,9.3759,281,265,305,9000,0
01.10.2025 10:58:58,51.4823,9.3330,279,266,306,9000,0
01.10.2025 10:59:21,51.4789,9.2911,253,266,306,9000,0
01.10.2025 10:59:37,51.4708,9.2588,246,267,307,9000,0
01.10.2025 11:00:07,51.4555,9.2089,244,266,306,9000,0
01.10.2025 11:00:32,51.4424,9.1632,246,265,305,9000,0
01.10.2025 11:01:02,51.4282,9.1099,247,264,304,9000,0
01.10.2025 11:01:32,51.4134,9.0561,246,263,303,9000,0
01.10.2025 11:02:02,51.3990,9.0038,246,263,303,9000,0
01.10.2025 11:02:32,51.3841,8.9490,247,263,303,9000,0
01.10.2025 11:03:02,51.3701,8.8979,246,262,302,9000,0
01.10.2025 11:03:32,51.3546,8.8415,246,262,302,9000,0
01.10.2025 11:04:02,51.3403,8.7895,246,262,302,9000,0
01.10.2025 11:04:32,51.3254,8.7356,246,262,302,9000,0
01.10.2025 11:05:02,51.3111,8.6839,246,263,303,9000,0
01.10.2025 11:05:32,51.2960,8.6293,246,263,303,9000,0
01.10.2025 11:06:02,51.2815,8.5774,246,262,302,9000,0
01.10.2025 11:06:32,51.2669,8.5246,246,261,300,9000,0
01.10.2025 11:07:02,51.2522,8.4720,246,261,300,9000,0
01.10.2025 11:07:32,51.2376,8.4196,246,262,302,9000,0
01.10.2025 11:08:02,51.2225,8.3658,246,262,302,9000,0
01.10.2025 11:08:32,51.2072,8.3113,246,262,302,9000,0
01.10.2025 11:09:02,51.1931,8.2611,246,264,304,9000,0
01.10.2025 11:09:32,51.1785,8.2095,246,263,303,9000,0
01.10.2025 11:10:02,51.1625,8.1529,246,264,304,9000,0
01.10.2025 11:10:32,51.1480,8.1016,246,264,304,9000,0
01.10.2025 11:11:02,51.1328,8.0481,246,265,305,9000,0
01.10.2025 11:11:32,51.1178,7.9952,246,265,305,9000,0
01.10.2025 11:12:02,51.1031,7.9439,246,266,306,9000,-32
01.10.2025 11:12:19,51.0941,7.9105,251,265,305,8975,0
01.10.2025 11:12:38,51.0917,7.8749,268,263,303,9000,33
01.10.2025 11:13:05,51.0911,7.8233,269,262,302,9000,-26
01.10.2025 11:13:35,51.0906,7.7655,269,262,302,8975,0
01.10.2025 11:14:05,51.0902,7.7081,268,263,303,9000,29
01.10.2025 11:14:27,51.0876,7.6647,262,264,304,9000,0
01.10.2025 11:14:47,51.0840,7.6273,261,264,304,9000,0
01.10.2025 11:15:17,51.0794,7.5700,264,263,303,9000,0
01.10.2025 11:15:47,51.0754,7.5143,263,263,303,9000,-27
01.10.2025 11:16:12,51.0712,7.4635,263,264,304,8975,-545
01.10.2025 11:16:42,51.0666,7.4046,263,266,306,8500,-991
