time_europe_berlin,latitude,longitude,altitude_ft,speed_kts,speed_mph,course_deg_clockwise_from_north,vertical_rate_fpm,value_origin
01.10.2025 10:02:40,51.419693,9.410706,1175,152,175,94,0,original
01.10.2025 10:02:48,51.419182,9.4207,1275,166,191,94,0,original
01.10.2025 10:02:55,51.418762,9.428867,1325,166,191,93,0,original
01.10.2025 10:02:57,51.418808,9.431534,1350,163,188,89,0,original
01.10.2025 10:02:59,51.419041,9.433823,1400,158,182,79,0,original
01.10.2025 10:03:01,51.419312,9.43592,1400,157,181,72,0,original
01.10.2025 10:03:03,51.419861,9.438072,1425,156,180,65,0,original
01.10.2025 10:03:06,51.420868,9.440893,1400,157,181,58,0,original
01.10.2025 10:03:08,51.421783,9.442675,1400,159,183,50,0,original
01.10.2025 10:03:10,51.422882,9.444382,1375,162,186,44,0,original
01.10.2025 10:03:12,51.424301,9.446164,1350,164,189,34,0,original
01.10.2025 10:03:14,51.425629,9.447426,1350,166,191,28,0,original
01.10.2025 10:03:17,51.427467,9.4487,1350,167,192,22,0,original
01.10.2025 10:03:19,51.428959,9.449387,1325,168,193,15,0,original
01.10.2025 10:03:21,51.430664,9.449875,1325,169,194,7,0,original
01.10.2025 10:03:23,51.432076,9.450073,1350,170,196,1,0,original
01.10.2025 10:03:25,51.434097,9.449949,1350,170,196,358,0,original
01.10.2025 10:03:27,51.435654,9.449504,1350,169,194,348,0,original
01.10.2025 10:03:30,51.437614,9.448547,1375,169,194,341,0,original
01.10.2025 10:03:32,51.43906,9.447556,1400,169,194,333,0,original
01.10.2025 10:03:34,51.440643,9.445953,1400,169,194,330,0,original
01.10.2025 10:03:36,51.441944,9.444504,1400,170,196,324,0,original
01.10.2025 10:03:39,51.443203,9.442978,1375,172,198,321,0,original
01.10.2025 10:03:41,51.444534,9.441116,1375,174,200,319,0,original
01.10.2025 10:03:43,51.44577,9.439408,1350,174,200,318,0,original
01.10.2025 10:03:45,51.447235,9.43733,1350,175,201,318,0,original
01.10.2025 10:03:47,51.448277,9.43573,1350,175,201,315,0,original
01.10.2025 10:03:49,51.449348,9.433823,1350,174,200,310,0,original
01.10.2025 10:03:51,51.450623,9.431169,1375,174,200,304,0,original
01.10.2025 10:03:53,51.451401,9.428867,1375,173,199,297,0,original
01.10.2025 10:03:56,51.452042,9.426566,1400,172,198,292,0,original
01.10.2025 10:03:58,51.452606,9.423904,1400,171,197,287,0,original
01.10.2025 10:04:00,51.452957,9.421222,1400,170,196,278,0,original
01.10.2025 10:04:02,51.45314,9.418698,1400,169,194,275,0,original
01.10.2025 10:04:04,51.453278,9.416174,1425,169,194,274,0,original
01.10.2025 10:04:07,51.453506,9.412166,1425,168,193,274,0,original
01.10.2025 10:04:09,51.453598,9.409716,1425,169,194,274,0,original
01.10.2025 10:04:11,51.453724,9.407425,1425,170,196,274,0,original
01.10.2025 10:04:13,51.453873,9.404148,1425,172,198,273,0,original
01.10.2025 10:04:15,51.453918,9.40207,1425,173,199,273,0,original
01.10.2025 10:04:17,51.454048,9.398727,1425,173,199,273,0,original
01.10.2025 10:04:20,51.454144,9.39621,1425,174,200,273,0,original
01.10.2025 10:04:22,51.454281,9.393082,1450,174,200,272,0,original
01.10.2025 10:04:24,51.454327,9.390488,1450,173,199,272,0,original
