time_europe_berlin,latitude,longitude,altitude_ft,speed_kts,speed_mph,course_deg_clockwise_from_north,vertical_rate_fpm,value_origin
01.10.2025 10:21:41,51.419083,9.394498,0,0,0,275.0,0,original
01.10.2025 10:22:43,51.41946,9.387531,0,0,0,275.0,0,original
01.10.2025 10:23:13,51.419523472906405,9.38839139408867,55,11,13,261.69950738916253,0,interpolated
01.10.2025 10:23:43,51.41958694581281,9.389251788177338,111,22,25,248.39901477832512,0,interpolated
01.10.2025 10:24:13,51.419650418719215,9.390112182266009,166,33,38,235.0985221674877,0,interpolated
01.10.2025 10:24:43,51.41971389162562,9.39097257635468,222,44,51,221.79802955665025,0,interpolated
01.10.2025 10:25:13,51.41977736453202,9.39183297044335,277,55,63,208.4975369458128,0,interpolated
01.10.2025 10:25:43,51.41984083743842,9.392693364532018,333,67,77,195.19704433497537,0,interpolated
01.10.2025 10:26:13,51.419904310344826,9.393553758620689,388,78,90,181.8965517241379,0,interpolated
01.10.2025 10:26:43,51.41996778325123,9.39441415270936,443,89,102,168.5960591133005,0,interpolated
01.10.2025 10:27:13,51.420031256157635,9.39527454679803,499,100,115,155.29556650246306,0,interpolated
01.10.2025 10:27:43,51.42009472906404,9.396134940886698,554,111,128,141.99507389162562,0,interpolated
01.10.2025 10:28:13,51.420158201970445,9.396995334975369,610,122,140,128.69458128078819,0,interpolated
01.10.2025 10:28:43,51.42022167487685,9.39785572906404,665,133,153,115.39408866995075,0,interpolated
01.10.2025 10:29:13,51.420285147783254,9.39871612315271,720,144,166,102.09359605911328,0,interpolated
01.10.2025 10:29:29,51.420319,9.399175,750,150,173,95.0,0,original
01.10.2025 10:29:38,51.419678,9.409122,1175,154,177,95.0,0,original
01.10.2025 10:29:46,51.419037,9.419144,1325,169,194,96.0,0,original
01.10.2025 10:29:55,51.41835,9.429461,1450,176,203,93.0,0,original
01.10.2025 10:29:57,51.418388,9.432373,1500,177,204,88.0,0,original
01.10.2025 10:29:59,51.418671,9.435697,1525,177,204,82.0,0,original
01.10.2025 10:30:01,51.419128,9.438815,1550,177,204,79.0,0,original
01.10.2025 10:30:03,51.419724,9.441339,1575,181,208,67.0,0,original
01.10.2025 10:30:06,51.420547,9.443714,1575,183,211,61.0,0,original
01.10.2025 10:30:08,51.421738,9.446386,1550,184,212,54.0,0,original
01.10.2025 10:30:10,51.422882,9.448465,1550,186,214,48.0,0,original
01.10.2025 10:30:12,51.424164,9.450247,1550,187,215,41.0,0,original
01.10.2025 10:30:14,51.425949,9.452103,1550,189,217,31.0,0,original
01.10.2025 10:30:16,51.427326,9.453201,1550,190,219,24.0,0,original
01.10.2025 10:30:19,51.429153,9.454255,1525,191,220,17.0,0,original
01.10.2025 10:30:21,51.431259,9.455071,1500,193,222,11.0,0,original
01.10.2025 10:30:23,51.433193,9.455414,1475,194,223,6.0,0,original
01.10.2025 10:30:25,51.435009,9.455566,1475,195,224,2.0,0,original
01.10.2025 10:30:27,51.436451,9.455566,1475,195,224,359.0,0,original
01.10.2025 10:30:29,51.438812,9.455442,1450,196,226,357.0,0,original
01.10.2025 10:30:31,51.440598,9.455295,1450,196,226,357.0,0,original
01.10.2025 10:30:33,51.442226,9.455109,1450,196,226,354.0,0,original
01.10.2025 10:30:35,51.444412,9.454575,1450,195,224,350.0,0,original
01.10.2025 10:30:37,51.446136,9.453964,1450,196,226,345.0,0,original
01.10.2025 10:30:40,51.44838,9.452696,1450,194,223,340.0,0,original
01.10.2025 10:30:42,51.449982,9.451509,1450,192,221,333.0,0,original
01.10.2025 10:30:44,51.451859,9.449875,1450,191,220,328.0,0,original
01.10.2025 10:30:46,51.453323,9.448242,1450,191,220,323.0,0,original
01.10.2025 10:30:48,51.454697,9.446461,1450,192,221,319.0,0,original
01.10.2025 10:30:51,51.455933,9.444456,1425,191,220,313.0,0,original
01.10.2025 10:30:53,51.457169,9.442062,1375,192,221,308.0,0,original
01.10.2025 10:30:55,51.458084,9.439928,1350,192,221,303.0,0,original
01.10.2025 10:30:57,51.459171,9.436646,1325,191,220,296.0,0,original
01.10.2025 10:30:59,51.459774,9.434052,1300,190,219,290.0,0,original
01.10.2025 10:31:01,51.460194,9.431305,1300,188,216,283.0,0,original
01.10.2025 10:31:03,51.460426,9.428635,1300,184,212,277.0,0,original
01.10.2025 10:31:05,51.460472,9.425888,1300,182,209,273.0,0,original
01.10.2025 10:31:07,51.46051,9.423003,1325,179,206,270.0,0,original
01.10.2025 10:31:09,51.460472,9.420624,1325,177,204,270.0,0,original
01.10.2025 10:31:11,51.46051,9.417213,1325,176,203,270.0,0,original
01.10.2025 10:31:13,51.460556,9.414689,1325,175,201,271.0,0,original
01.10.2025 10:31:15,51.460648,9.412091,1325,175,201,272.0,0,original
