time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
09.10.2025 09:54:31,50.8671,7.1263,317,141,162,450,0,computed
09.10.2025 09:54:47,50.8744,7.1156,318,159,183,450,2391,original
09.10.2025 09:55:03,50.8845,7.1032,325,171,197,1250,3094,original
09.10.2025 09:55:19,50.8961,7.0916,330,176,203,2100,3328,original
09.10.2025 09:55:35,50.9071,7.0808,318,174,200,3025,3188,original
09.10.2025 09:55:51,50.9121,7.0647,280,171,197,3800,2824,original
09.10.2025 09:56:09,50.9115,7.0417,260,181,208,4625,2595,original
09.10.2025 09:56:28,50.9067,7.0151,250,202,232,5400,2250,original
09.10.2025 09:56:49,50.8994,6.9854,248,230,265,6125,2077,original
09.10.2025 09:57:07,50.8921,6.9561,249,254,292,6750,2108,original
09.10.2025 09:57:26,50.8839,6.9204,251,276,318,7425,2083,original
09.10.2025 09:57:43,50.8779,6.8858,260,294,338,8000,2083,original
09.10.2025 09:58:02,50.8744,6.8418,265,313,360,8675,1976,original
09.10.2025 09:58:24,50.8725,6.7945,267,328,377,9350,1941,original
09.10.2025 09:58:53,50.8698,6.7213,266,349,402,10325,2016,original
09.10.2025 09:59:28,50.8653,6.6306,266,365,420,11500,2019,original
09.10.2025 09:59:45,50.8631,6.5839,266,371,427,12075,1957,original
09.10.2025 10:00:14,50.8593,6.5075,266,379,436,13000,1957,original
09.10.2025 10:00:54,50.8537,6.3966,265,388,447,14325,1986,original
09.10.2025 10:01:28,50.8482,6.2988,266,390,449,15450,2127,original
09.10.2025 10:01:49,50.8451,6.2363,265,389,448,16275,2265,original
09.10.2025 10:02:19,50.8408,6.1556,265,387,445,17375,2261,original
09.10.2025 10:02:58,50.8347,6.0442,266,387,445,18875,2147,original
09.10.2025 10:03:17,50.8317,5.9876,263,393,452,19450,1792,original
09.10.2025 10:03:34,50.8233,5.9451,239,405,466,19950,1671,original
09.10.2025 10:03:52,50.8005,5.9034,218,417,480,20425,1583,original
09.10.2025 10:04:10,50.7709,5.8798,197,426,490,20900,1676,original
09.10.2025 10:04:26,50.7400,5.8715,185,431,496,21375,1688,original
09.10.2025 10:04:42,50.7052,5.8707,178,433,498,21800,1650,original
