time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
10.10.2025 10:41:53,50.8699,7.1223,317,154,177,475,0,computed
10.10.2025 10:42:09,50.8786,7.1104,322,169,194,475,2719,original
10.10.2025 10:42:25,50.8903,7.1010,349,177,204,1300,3422,original
10.10.2025 10:42:41,50.9029,7.1034,18,179,206,2300,3750,original
10.10.2025 10:42:57,50.9145,7.1118,29,176,203,3300,3516,original
10.10.2025 10:43:13,50.9255,7.1229,34,175,201,4175,3273,original
10.10.2025 10:43:30,50.9365,7.1376,52,182,209,5100,3333,original
10.10.2025 10:43:49,50.9453,7.1603,63,187,215,6175,3286,original
10.10.2025 10:44:12,50.9531,7.1886,68,191,220,7400,3239,original
10.10.2025 10:44:33,50.9609,7.2179,66,196,226,8550,3191,original
10.10.2025 10:44:59,50.9707,7.2505,64,196,226,9900,2967,original
10.10.2025 10:45:18,50.9760,7.2761,90,212,244,10775,2625,original
10.10.2025 10:45:35,50.9696,7.3013,130,234,269,11475,2311,original
10.10.2025 10:45:55,50.9506,7.3221,154,257,296,12200,2085,original
10.10.2025 10:46:34,50.9027,7.3499,161,295,339,13525,2000,original
10.10.2025 10:46:58,50.8726,7.3678,158,314,361,14300,2000,original
10.10.2025 10:47:49,50.8006,7.4159,157,347,399,16025,2118,original
10.10.2025 10:48:06,50.7750,7.4326,157,352,405,16700,2426,original
10.10.2025 10:48:36,50.7305,7.4620,157,359,413,17925,2491,original
10.10.2025 10:48:59,50.6938,7.4870,156,361,415,18900,2462,original
10.10.2025 10:49:29,50.6482,7.5169,158,366,421,20100,2450,original
10.10.2025 10:49:59,50.6014,7.5480,157,368,423,21350,2493,original
10.10.2025 10:50:43,50.5314,7.5948,157,371,427,23175,2468,original
10.10.2025 10:51:01,50.5037,7.6129,157,370,426,23900,2250,original
10.10.2025 10:51:31,50.4542,7.6461,159,377,434,24975,2120,original
10.10.2025 10:51:47,50.4283,7.6600,162,382,440,25525,1775,original
10.10.2025 10:52:31,50.3524,7.6939,165,398,458,26750,1592,original
10.10.2025 10:52:52,50.3165,7.7102,163,407,468,27250,1481,original
10.10.2025 10:53:49,50.2124,7.7586,164,427,491,28675,1483,original
10.10.2025 10:54:19,50.1551,7.7849,163,434,499,29400,1500,original
10.10.2025 10:54:37,50.1179,7.8022,163,439,505,29875,1462,original
10.10.2025 10:54:58,50.0799,7.8199,163,442,509,30350,1450,original
10.10.2025 10:55:37,50.0014,7.8556,164,448,516,31325,1500,original
10.10.2025 10:56:07,49.9419,7.8833,163,451,519,32075,1475,original
10.10.2025 10:56:37,49.8835,7.9099,164,454,522,32800,1475,original
10.10.2025 10:57:07,49.8210,7.9381,164,457,526,33550,1475,original
10.10.2025 10:57:37,49.7625,7.9646,163,457,526,34275,1470,original
10.10.2025 10:57:57,49.7199,7.9845,163,457,526,34775,1500,original
10.10.2025 10:58:27,49.6591,8.0116,164,456,525,35525,1475,original
10.10.2025 10:58:57,49.5990,8.0391,163,456,525,36250,1469,original
