time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
27.10.2025 09:36:54,50.8654,7.1288,318,111,128,650,0,original
27.10.2025 09:36:58,50.8672,7.1261,318,137,158,725,2250,original
27.10.2025 09:37:14,50.8754,7.1154,323,152,175,1400,3328,original
27.10.2025 09:37:30,50.8839,7.1060,327,150,173,2500,3797,original
27.10.2025 09:37:46,50.8970,7.1059,20,186,214,3425,3234,original
27.10.2025 09:38:02,50.9100,7.1166,28,205,236,4225,2813,original
27.10.2025 09:38:18,50.9233,7.1279,28,220,253,4925,2016,original
27.10.2025 09:38:34,50.9373,7.1450,47,255,293,5300,1031,original
27.10.2025 09:38:50,50.9487,7.1712,61,283,326,5475,1547,original
27.10.2025 09:39:06,50.9579,7.2018,66,293,337,6125,2458,original
27.10.2025 09:39:26,50.9688,7.2421,69,316,364,6950,2667,original
27.10.2025 09:39:42,50.9726,7.2817,94,333,383,7725,3132,original
27.10.2025 09:40:00,50.9643,7.3239,117,347,399,8725,3158,original
27.10.2025 09:40:20,50.9458,7.3688,128,350,403,9725,2921,original
27.10.2025 09:40:38,50.9277,7.4019,132,347,399,10575,2938,original
27.10.2025 09:41:08,50.8941,7.4564,135,349,402,12075,3026,original
27.10.2025 09:41:36,50.8622,7.5084,136,359,413,13500,3033,original
27.10.2025 09:41:53,50.8401,7.5331,150,367,422,14350,3036,original
27.10.2025 09:42:18,50.8003,7.5637,156,392,451,15625,3329,original
27.10.2025 09:42:34,50.7741,7.5820,156,403,464,16625,3894,original
27.10.2025 09:43:10,50.7114,7.6285,154,419,482,19000,4068,original
27.10.2025 09:43:33,50.6719,7.6591,154,424,488,20625,4037,original
27.10.2025 09:44:18,50.5912,7.7207,154,427,491,23575,3583,original
27.10.2025 09:44:45,50.5446,7.7561,154,435,501,24925,2280,original
27.10.2025 09:45:33,50.4538,7.8245,154,470,541,26425,1558,original
27.10.2025 09:46:03,50.3937,7.8698,154,494,568,26950,1500,original
27.10.2025 09:46:33,50.3303,7.9177,154,503,579,27925,1875,original
27.10.2025 09:47:03,50.2674,7.9649,154,512,589,28825,1250,original
27.10.2025 09:47:33,50.2022,8.0134,154,526,605,29175,1075,original
27.10.2025 09:48:03,50.1371,8.0619,154,528,608,29900,1529,original
27.10.2025 09:48:24,50.0890,8.0976,155,527,606,30475,1679,original
27.10.2025 09:48:45,50.0457,8.1282,155,525,604,31075,1853,original
27.10.2025 09:49:15,49.9786,8.1781,154,520,598,32050,1900,original
