time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm
27.10.2025 12:50:07,38.1695,13.0693,250,158,182,2200,0
27.10.2025 12:50:07,38.1695,13.0693,250,158,182,2200,3079
27.10.2025 12:50:26,38.1643,13.0527,248,162,186,3175,2792
27.10.2025 12:50:43,38.1599,13.0379,249,168,193,3875,2167
27.10.2025 12:51:02,38.1613,13.0176,302,193,222,4475,2128
27.10.2025 12:51:26,38.1756,12.9979,317,211,243,5400,2667
27.10.2025 12:51:56,38.1957,12.9706,309,211,243,6875,3073
27.10.2025 12:52:28,38.2155,12.9362,306,230,265,8575,3097
27.10.2025 12:53:13,38.2464,12.8845,308,261,300,10850,2829
27.10.2025 12:53:47,38.2731,12.8397,306,303,349,12300,2555
27.10.2025 12:54:17,38.2990,12.7945,306,337,388,13575,2773
27.10.2025 12:54:53,38.3346,12.7338,311,364,419,15350,2973
27.10.2025 12:55:12,38.3600,12.7136,344,379,436,16300,3392
27.10.2025 12:55:58,38.4429,12.7040,356,392,451,19025,3150
27.10.2025 12:56:42,38.5266,12.7078,4,413,475,21025,2473
27.10.2025 12:57:12,38.5827,12.7125,3,425,489,22075,2400
27.10.2025 12:57:42,38.6439,12.7161,3,429,494,23425,2550
27.10.2025 12:58:12,38.7004,12.7195,3,432,497,24625,2468
27.10.2025 12:58:44,38.7659,12.7218,359,431,496,25975,2538
27.10.2025 12:59:17,38.8318,12.7178,357,427,491,27375,2357
27.10.2025 12:59:47,38.8908,12.7124,356,426,490,28450,2115
27.10.2025 13:00:18,38.9536,12.7067,356,428,493,29525,2041
27.10.2025 13:00:48,39.0124,12.7022,357,427,491,30525,2000
27.10.2025 13:01:18,39.0722,12.6976,357,424,488,31525,2000
27.10.2025 13:01:48,39.1303,12.6932,357,421,484,32525,1925
27.10.2025 13:02:18,39.1883,12.6888,357,419,482,33450,1425
27.10.2025 13:02:48,39.2457,12.6845,357,424,488,33950,550
27.10.2025 13:03:18,39.3030,12.6803,357,435,501,34000,811
27.10.2025 13:03:49,39.3648,12.6757,357,431,496,34775,1500
27.10.2025 13:04:20,39.4251,12.6710,357,429,494,35550,1549
27.10.2025 13:04:50,39.4887,12.6663,357,427,491,36350,1325
27.10.2025 13:05:20,39.5468,12.6619,357,429,494,36875,975
27.10.2025 13:05:50,39.6072,12.6573,357,433,498,37325,825
27.10.2025 13:06:20,39.6687,12.6526,357,438,504,37700,750
27.10.2025 13:06:50,39.7251,12.6484,357,441,507,38075,1275
27.10.2025 13:07:20,39.7868,12.6439,357,431,496,38975,1352
27.10.2025 13:07:51,39.8505,12.6388,357,433,498,39450,811
27.10.2025 13:08:21,39.9106,12.6343,357,435,501,39800,550
27.10.2025 13:08:51,39.9690,12.6299,357,440,506,40000,169
27.10.2025 13:09:32,40.0509,12.6237,357,445,512,40000,0
27.10.2025 13:10:04,40.1209,12.6183,357,445,512,40000,0
27.10.2025 13:10:34,40.1805,12.6137,357,445,512,40000,0
27.10.2025 13:11:06,40.2463,12.6086,357,441,507,40000,0
27.10.2025 13:11:36,40.3068,12.6041,357,440,506,40000,425
27.10.2025 13:12:06,40.3677,12.6001,357,435,501,40425,800
27.10.2025 13:12:36,40.4269,12.5959,357,433,498,40800,750
27.10.2025 13:13:06,40.4884,12.5915,357,432,497,41175,600
27.10.2025 13:13:36,40.5460,12.5875,357,435,501,41400,475
27.10.2025 13:14:06,40.6072,12.5832,357,437,503,41650,500
27.10.2025 13:14:36,40.6698,12.5789,357,439,505,41900,475
27.10.2025 13:15:06,40.7298,12.5747,357,439,505,42125,475
27.10.2025 13:15:36,40.7883,12.5706,357,441,507,42375,475
27.10.2025 13:16:06,40.8510,12.5662,357,441,507,42600,475
27.10.2025 13:16:36,40.9123,12.5618,357,441,507,42850,393
27.10.2025 13:17:07,40.9753,12.5574,357,444,511,43000,148
27.10.2025 13:17:37,41.0374,12.5530,357,447,514,43000,0
27.10.2025 13:18:07,41.0994,12.5485,357,450,518,43000,0
27.10.2025 13:18:37,41.1626,12.5441,357,453,521,43000,0
27.10.2025 13:19:07,41.2224,12.5397,357,453,521,43000,0
27.10.2025 13:19:37,41.2869,12.5352,357,454,522,43000,0
27.10.2025 13:20:07,41.3488,12.5309,357,453,521,43000,0
27.10.2025 13:20:37,41.4102,12.5263,357,453,521,43000,0
27.10.2025 13:21:07,41.4752,12.5217,357,451,519,43000,0
27.10.2025 13:21:37,41.5358,12.5173,357,450,518,43000,0
27.10.2025 13:22:07,41.5985,12.5128,357,451,519,43000,0
27.10.2025 13:22:37,41.6629,12.5081,357,450,518,43000,0
27.10.2025 13:23:07,41.7247,12.5035,357,450,518,43000,0
27.10.2025 13:23:37,41.7843,12.4991,357,449,517,43000,0
27.10.2025 13:24:07,41.8478,12.4948,357,448,516,43000,0
27.10.2025 13:24:37,41.9101,12.4901,357,447,514,43000,0
27.10.2025 13:25:07,41.9715,12.4856,357,446,513,43000,0
27.10.2025 13:25:37,42.0319,12.4813,357,445,512,43000,0
27.10.2025 13:26:07,42.0950,12.4765,357,443,510,43000,0
27.10.2025 13:26:37,42.1563,12.4721,357,443,510,43000,0
27.10.2025 13:27:07,42.2175,12.4677,357,441,507,43000,0
27.10.2025 13:27:37,42.2783,12.4631,357,440,506,43000,0
27.10.2025 13:28:07,42.3392,12.4586,357,440,506,43000,0
27.10.2025 13:28:38,42.4016,12.4540,357,438,504,43000,0
27.10.2025 13:29:09,42.4643,12.4492,357,438,504,43000,0
27.10.2025 13:29:39,42.5254,12.4448,357,439,505,43000,0
27.10.2025 13:30:09,42.5855,12.4405,357,440,506,43000,0
27.10.2025 13:30:39,42.6465,12.4356,357,442,509,43000,0
27.10.2025 13:31:09,42.7088,12.4312,357,442,509,43000,0
27.10.2025 13:31:39,42.7678,12.4267,357,440,506,43000,0
27.10.2025 13:32:09,42.8307,12.4219,357,439,505,43000,0
27.10.2025 13:32:39,42.8903,12.4174,357,440,506,43000,0
27.10.2025 13:33:09,42.9540,12.4126,357,441,507,43000,0
27.10.2025 13:33:39,43.0121,12.4084,357,440,506,43000,0
27.10.2025 13:34:09,43.0732,12.4036,357,438,504,43000,0
27.10.2025 13:34:39,43.1341,12.3990,357,437,503,43000,0
27.10.2025 13:35:09,43.1923,12.3947,357,434,499,43000,0
27.10.2025 13:35:40,43.2563,12.3898,357,433,498,43000,0
27.10.2025 13:36:10,43.3167,12.3852,357,430,495,43000,0
27.10.2025 13:36:40,43.3750,12.3806,357,424,488,43000,0
27.10.2025 13:37:10,43.4351,12.3760,355,418,481,43000,0
27.10.2025 13:37:46,43.5013,12.3622,349,411,473,43000,0
27.10.2025 13:38:16,43.5568,12.3464,348,408,470,43000,0
27.10.2025 13:38:47,43.6141,12.3297,349,409,471,43000,0
27.10.2025 13:39:17,43.6698,12.3150,349,410,472,43000,25
27.10.2025 13:39:47,43.7256,12.2997,349,409,471,43025,0
27.10.2025 13:40:17,43.7812,12.2848,349,408,470,43000,-25
27.10.2025 13:40:47,43.8367,12.2700,349,407,468,43000,0
27.10.2025 13:41:17,43.8935,12.2546,349,408,470,43000,0
27.10.2025 13:41:47,43.9478,12.2400,349,413,475,43000,0
27.10.2025 13:42:17,44.0043,12.2245,349,418,481,43000,0
27.10.2025 13:42:47,44.0611,12.2093,349,422,486,43000,0
27.10.2025 13:43:17,44.1199,12.1934,349,425,489,43000,0
27.10.2025 13:43:48,44.1771,12.1779,349,428,493,43000,0
27.10.2025 13:44:18,44.2374,12.1614,349,429,494,43000,0
27.10.2025 13:44:48,44.2944,12.1459,349,433,498,43000,0
27.10.2025 13:45:18,44.3550,12.1293,349,435,501,43000,0
27.10.2025 13:45:49,44.4179,12.1122,349,439,505,43000,0
27.10.2025 13:46:19,44.4770,12.0958,349,442,509,43000,0
27.10.2025 13:46:49,44.5364,12.0797,349,442,509,43000,0
27.10.2025 13:47:19,44.5968,12.0631,349,442,509,43000,0
27.10.2025 13:47:50,44.6563,12.0465,349,439,505,43000,0
27.10.2025 13:48:20,44.7165,12.0299,349,436,502,43000,0
27.10.2025 13:48:50,44.7792,12.0127,349,433,498,43000,0
27.10.2025 13:49:23,44.8420,11.9951,349,432,497,43000,0
27.10.2025 13:49:55,44.9043,11.9777,349,431,496,43000,0
27.10.2025 13:50:26,44.9658,11.9605,349,426,490,43000,0
27.10.2025 13:50:56,45.0227,11.9450,349,423,487,43000,0
27.10.2025 13:51:27,45.0805,11.9286,349,419,482,43000,0
27.10.2025 13:51:58,45.1399,11.9117,349,420,483,43000,0
27.10.2025 13:52:29,45.1976,11.8955,349,420,483,43000,0
27.10.2025 13:53:01,45.2586,11.8785,349,417,480,43000,0
27.10.2025 13:53:31,45.3174,11.8618,349,415,478,43000,0
27.10.2025 13:54:01,45.3726,11.8461,349,414,476,43000,0
27.10.2025 13:54:33,45.4328,11.8291,349,412,474,43000,0
27.10.2025 13:55:03,45.4895,11.8128,349,412,474,43000,0
27.10.2025 13:55:34,45.5467,11.7967,349,408,470,43000,0
27.10.2025 13:56:04,45.5994,11.7816,349,405,466,43000,0
27.10.2025 13:56:34,45.6539,11.7660,349,402,463,43000,0
27.10.2025 13:57:04,45.7095,11.7501,349,401,461,43000,0
27.10.2025 13:57:34,45.7636,11.7345,348,397,457,43000,0
27.10.2025 13:58:04,45.8188,11.7187,349,398,458,43000,0
27.10.2025 13:58:34,45.8731,11.7029,349,397,457,43000,0
27.10.2025 13:59:04,45.9257,11.6878,348,393,452,43000,0
27.10.2025 13:59:34,45.9799,11.6721,349,394,453,43000,0
27.10.2025 14:00:04,46.0330,11.6568,349,393,452,43000,0
27.10.2025 14:00:34,46.0866,11.6411,349,392,451,43000,0
27.10.2025 14:01:04,46.1397,11.6256,349,392,451,43000,0
27.10.2025 14:01:34,46.1927,11.6102,348,394,453,43000,0
27.10.2025 14:02:04,46.2467,11.5944,349,397,457,43000,0
27.10.2025 14:02:34,46.3010,11.5786,349,403,464,43000,0
27.10.2025 14:03:05,46.3571,11.5620,348,407,468,43000,0
27.10.2025 14:03:29,46.4004,11.5492,350,409,471,43000,0
27.10.2025 14:03:59,46.4563,11.5328,349,414,476,43000,0
27.10.2025 14:04:29,46.5146,11.5157,349,415,478,43000,0
27.10.2025 14:04:59,46.5710,11.4989,348,417,480,43000,0
27.10.2025 14:05:29,46.6259,11.4826,349,418,481,43000,25
27.10.2025 14:05:59,46.6850,11.4653,348,419,482,43025,0
27.10.2025 14:06:29,46.7416,11.4481,348,421,484,43000,-25
27.10.2025 14:06:59,46.7963,11.4320,348,419,482,43000,0
27.10.2025 14:07:29,46.8553,11.4143,348,418,481,43000,0
27.10.2025 14:07:59,46.9119,11.3973,348,417,480,43000,0
27.10.2025 14:08:28,46.9667,11.3812,351,420,483,43000,0
27.10.2025 14:08:44,46.9971,11.3770,357,426,490,43000,0
27.10.2025 14:09:04,47.0374,11.3758,360,430,495,43000,0
27.10.2025 14:09:33,47.0934,11.3763,360,436,502,43000,0
27.10.2025 14:10:01,47.1531,11.3752,358,442,509,43000,0
27.10.2025 14:10:19,47.1884,11.3675,346,438,504,43000,0
27.10.2025 14:10:43,47.2319,11.3447,335,434,499,43000,0
27.10.2025 14:10:59,47.2633,11.3214,332,432,497,43000,0
27.10.2025 14:11:26,47.3096,11.2836,330,430,495,43000,0
27.10.2025 14:11:56,47.3599,11.2416,331,426,490,43000,0
27.10.2025 14:12:26,47.4128,11.1994,332,421,484,43000,0
27.10.2025 14:12:56,47.4638,11.1592,332,421,484,43000,0
27.10.2025 14:13:26,47.5144,11.1191,332,415,478,43000,0
27.10.2025 14:13:56,47.5636,11.0800,332,412,474,43000,0
