time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
30.10.2025 17:28:56,51.4457,5.3693,217,154,177,475,0,original
30.10.2025 17:29:12,51.4366,5.3583,218,154,177,1600,4172,original
30.10.2025 17:29:28,51.4275,5.3470,218,157,181,2700,4078,original
30.10.2025 17:29:44,51.4182,5.3354,217,161,185,3775,3609,original
30.10.2025 17:30:00,51.4079,5.3237,215,176,203,4625,3227,original
30.10.2025 17:30:17,51.3952,5.3159,184,189,217,5550,3643,original
30.10.2025 17:30:35,51.3808,5.3238,143,201,231,6750,3947,original
30.10.2025 17:30:55,51.3681,5.3483,121,213,245,8050,2966,original
30.10.2025 17:31:19,51.3580,5.3840,111,246,283,8925,1096,original
30.10.2025 17:31:47,51.3470,5.4358,108,275,316,9000,78,original
30.10.2025 17:32:17,51.3350,5.4958,107,287,330,9000,0,original
30.10.2025 17:32:47,51.3226,5.5580,108,288,331,9000,0,original
30.10.2025 17:33:17,51.3101,5.6174,109,283,326,9000,0,original
30.10.2025 17:33:47,51.2974,5.6758,109,279,321,9000,0,original
30.10.2025 17:34:09,51.2883,5.7187,109,278,320,9000,0,original
30.10.2025 17:34:30,51.2795,5.7611,108,277,319,9000,0,original
30.10.2025 17:35:19,51.2597,5.8554,109,274,315,9000,0,original
30.10.2025 17:35:49,51.2477,5.9127,109,273,314,9000,0,original
30.10.2025 17:36:19,51.2361,5.9676,109,273,314,9000,0,original
30.10.2025 17:36:49,51.2239,6.0243,110,272,313,9000,0,original
30.10.2025 17:37:19,51.2111,6.0801,110,271,312,9000,0,original
30.10.2025 17:37:36,51.2039,6.1121,110,271,312,9000,0,original
30.10.2025 17:38:06,51.1914,6.1677,110,271,312,9000,-225,original
30.10.2025 17:38:36,51.1778,6.2278,110,278,320,8775,-700,original
30.10.2025 17:39:06,51.1647,6.2855,110,279,321,8300,-975,original
30.10.2025 17:39:36,51.1515,6.3432,110,278,320,7800,-900,original
30.10.2025 17:40:31,51.1277,6.4480,110,270,311,7025,-565,original
30.10.2025 17:41:01,51.1157,6.5016,110,251,289,7000,-225,original
30.10.2025 17:41:31,51.1046,6.5503,110,253,291,6800,-975,original
30.10.2025 17:42:01,51.0919,6.6055,110,258,297,6025,-1500,original
30.10.2025 17:42:30,51.0802,6.6556,110,257,296,5325,-1475,original
30.10.2025 17:43:00,51.0676,6.7088,111,257,296,4575,-1525,original
30.10.2025 17:43:30,51.0547,6.7625,110,258,297,3800,-1475,original
30.10.2025 17:44:00,51.0426,6.8147,110,258,297,3100,-825,original
30.10.2025 17:44:30,51.0316,6.8636,109,225,259,2975,-156,original
30.10.2025 17:44:48,51.0243,6.8933,117,213,245,2975,44,original
30.10.2025 17:45:04,51.0150,6.9122,133,202,232,3000,0,original
30.10.2025 17:45:20,51.0050,6.9272,139,196,226,2975,-47,original
30.10.2025 17:45:36,50.9942,6.9415,140,190,219,2975,0,original
30.10.2025 17:45:52,50.9837,6.9561,138,183,211,2975,-141,original
30.10.2025 17:46:08,50.9735,6.9710,137,183,211,2900,-609,original
30.10.2025 17:46:24,50.9632,6.9862,137,190,219,2650,-844,original
30.10.2025 17:46:40,50.9537,7.0002,137,180,207,2450,-946,original
30.10.2025 17:47:10,50.9360,7.0258,137,170,196,1925,-975,original
30.10.2025 17:47:40,50.9195,7.0501,137,154,177,1475,-885,original
30.10.2025 17:47:49,50.9142,7.0580,137,145,167,1350,-750,original
30.10.2025 17:47:56,50.9114,7.0622,137,136,157,1275,-652,original
30.10.2025 17:48:12,50.9044,7.0726,137,131,151,1100,-703,original
30.10.2025 17:48:28,50.8975,7.0826,139,127,146,900,-703,original
30.10.2025 17:48:44,50.8902,7.0926,138,122,140,725,-609,original
30.10.2025 17:49:00,50.8837,7.1021,136,122,140,575,-609,original
30.10.2025 17:49:16,50.8770,7.1119,137,122,140,400,-656,original
30.10.2025 17:49:32,50.8703,7.1216,138,119,137,225,-656,original
