time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
30.10.2025 12:28:06,43.8052,11.1974,229,150,173,400,0,original
30.10.2025 12:28:22,43.7982,11.1849,243,159,183,1150,3234,original
30.10.2025 12:28:38,43.7971,11.1681,281,166,191,2125,3750,original
30.10.2025 12:28:54,43.8008,11.1521,291,164,189,3150,3234,original
30.10.2025 12:29:10,43.8053,11.1361,292,172,198,3850,2813,original
30.10.2025 12:29:26,43.8097,11.1185,287,175,201,4650,2829,original
30.10.2025 12:29:45,43.8171,11.0985,316,203,234,5500,2838,original
30.10.2025 12:30:03,43.8327,11.0906,355,221,254,6400,3150,original
30.10.2025 12:30:25,43.8542,11.0970,24,227,261,7600,3338,original
30.10.2025 12:30:43,43.8713,11.1106,35,235,270,8625,3439,original
30.10.2025 12:31:06,43.8902,11.1311,41,235,270,9950,3453,original
30.10.2025 12:31:36,43.9164,11.1625,42,247,284,11675,2975,original
30.10.2025 12:32:06,43.9434,11.1951,41,274,315,12925,2375,original
30.10.2025 12:32:36,43.9750,11.2324,40,310,357,14050,2541,original
30.10.2025 12:32:55,43.9962,11.2568,36,317,365,15000,2757,original
30.10.2025 12:33:13,44.0219,11.2701,10,326,375,15750,2583,original
30.10.2025 12:33:31,44.0481,11.2725,1,327,376,16550,2765,original
30.10.2025 12:34:04,44.0991,11.2686,356,337,388,18100,2762,original
30.10.2025 12:34:34,44.1468,11.2627,355,347,399,19450,2600,original
30.10.2025 12:35:04,44.1950,11.2578,357,358,412,20700,2550,original
30.10.2025 12:35:34,44.2460,11.2543,357,366,421,22000,2400,original
30.10.2025 12:36:04,44.2974,11.2503,357,382,440,23100,2125,original
30.10.2025 12:36:34,44.3505,11.2464,357,395,455,24125,2025,original
30.10.2025 12:37:04,44.4068,11.2426,357,407,468,25125,2025,original
30.10.2025 12:37:34,44.4635,11.2385,357,417,480,26150,2075,original
30.10.2025 12:38:04,44.5243,11.2344,357,427,491,27200,2000,original
30.10.2025 12:38:34,44.5811,11.2305,357,433,498,28150,1975,original
30.10.2025 12:39:04,44.6414,11.2262,357,438,504,29175,1775,original
30.10.2025 12:39:34,44.7033,11.2218,357,449,517,29925,1150,original
30.10.2025 12:40:04,44.7664,11.2173,357,465,535,30325,1125,original
30.10.2025 12:40:34,44.8337,11.2127,357,470,541,31050,1450,original
30.10.2025 12:41:04,44.8972,11.2082,357,472,543,31775,1775,original
30.10.2025 12:41:34,44.9650,11.2034,357,467,537,32825,2150,original
30.10.2025 12:42:04,45.0258,11.1991,357,460,529,33925,2300,original
30.10.2025 12:42:34,45.0886,11.1947,357,449,517,35125,2050,original
30.10.2025 12:43:04,45.1523,11.1902,357,448,516,35975,1425,original
30.10.2025 12:43:34,45.2134,11.1858,357,450,518,36550,1075,original
30.10.2025 12:44:04,45.2742,11.1815,357,453,521,37050,850,original
30.10.2025 12:44:34,45.3377,11.1771,357,459,528,37400,800,original
30.10.2025 12:45:04,45.4017,11.1726,357,459,528,37850,934,original
30.10.2025 12:45:35,45.4654,11.1679,357,456,525,38350,1107,original
30.10.2025 12:46:05,45.5286,11.1633,357,449,517,38975,1300,original
