time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm
31.10.2025 08:25:53,50.8561,7.1643,138,143,165,675,0
31.10.2025 08:26:09,50.8481,7.1754,139,142,163,1575,3375
31.10.2025 08:26:25,50.8391,7.1874,140,147,169,2475,2531
31.10.2025 08:26:41,50.8315,7.1972,140,165,190,2925,1969
31.10.2025 08:26:57,50.8204,7.2121,137,187,215,3525,2484
31.10.2025 08:27:13,50.8119,7.2291,120,198,228,4250,3188
31.10.2025 08:27:29,50.8074,7.2501,99,202,232,5225,3375
31.10.2025 08:27:45,50.8059,7.2744,93,204,235,6050,3125
31.10.2025 08:28:05,50.8050,7.3038,93,209,241,7100,3081
31.10.2025 08:28:22,50.8041,7.3312,94,217,250,7950,2957
31.10.2025 08:28:40,50.8024,7.3612,98,227,261,8825,2724
31.10.2025 08:29:00,50.7959,7.3908,117,232,267,9675,2063
31.10.2025 08:29:20,50.7844,7.4199,126,243,280,10200,2073
31.10.2025 08:29:55,50.7580,7.4747,126,268,308,11575,2231
31.10.2025 08:30:38,50.7288,7.5473,121,288,331,13100,2096
31.10.2025 08:31:08,50.7095,7.5996,120,297,342,14125,2121
31.10.2025 08:31:36,50.6900,7.6525,121,302,348,15150,1940
31.10.2025 08:32:06,50.6669,7.7107,123,317,365,16000,1850
31.10.2025 08:32:36,50.6432,7.7706,122,323,372,17000,2025
31.10.2025 08:33:06,50.6195,7.8317,121,338,389,18025,2000
31.10.2025 08:33:36,50.5926,7.8972,123,352,405,19000,2025
31.10.2025 08:34:06,50.5666,7.9628,122,367,422,20050,2025
31.10.2025 08:34:36,50.5400,8.0295,122,376,433,21025,1950
31.10.2025 08:35:06,50.5125,8.0977,122,385,443,22000,1975
31.10.2025 08:35:36,50.4831,8.1704,122,391,450,23000,1950
31.10.2025 08:36:06,50.4547,8.2408,122,393,452,23950,1950
31.10.2025 08:36:36,50.4252,8.3139,123,395,455,24950,2025
31.10.2025 08:37:06,50.3946,8.3886,123,398,458,25975,2040
31.10.2025 08:37:26,50.3733,8.4400,124,400,460,26650,1964
31.10.2025 08:37:48,50.3490,8.4866,131,395,455,27350,1990
31.10.2025 08:38:18,50.3119,8.5497,133,395,455,28375,1991
31.10.2025 08:38:46,50.2781,8.6083,131,401,461,29275,1862
31.10.2025 08:39:16,50.2423,8.6722,132,402,463,30175,1750
31.10.2025 08:39:40,50.2124,8.7240,132,407,468,30850,1583
31.10.2025 08:40:10,50.1749,8.7905,132,412,474,31600,1340
31.10.2025 08:40:55,50.1165,8.8917,131,427,491,32525,1220
31.10.2025 08:41:25,50.0774,8.9606,132,433,498,33125,1175
31.10.2025 08:41:55,50.0359,9.0312,132,438,504,33700,1075
31.10.2025 08:42:25,49.9955,9.1031,130,449,517,34200,1011
31.10.2025 08:42:41,49.9743,9.1441,128,454,522,34475,973
31.10.2025 08:43:02,49.9487,9.1960,127,457,526,34800,976
31.10.2025 08:43:44,49.8954,9.3077,127,464,534,35500,1000
31.10.2025 08:44:14,49.8564,9.3873,127,468,539,36000,1020
31.10.2025 08:44:34,49.8279,9.4446,128,469,540,36350,960
31.10.2025 08:45:04,49.7906,9.5205,128,471,542,36800,975
31.10.2025 08:45:34,49.7503,9.6024,127,471,542,37325,1000
31.10.2025 08:46:04,49.7121,9.6788,128,471,542,37800,810
