time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
31.10.2025 12:32:43,36.7065,28.7903,195,151,174,325,0,original
31.10.2025 12:33:02,36.6931,28.7858,195,160,184,1175,2743,original
31.10.2025 12:33:18,36.6820,28.7821,196,166,191,1925,2719,original
31.10.2025 12:33:34,36.6687,28.7773,196,181,208,2625,2531,original
31.10.2025 12:33:50,36.6552,28.7724,197,192,221,3275,2750,original
31.10.2025 12:34:10,36.6380,28.7655,205,193,222,4275,2875,original
31.10.2025 12:34:26,36.6284,28.7538,244,193,222,5000,2833,original
31.10.2025 12:34:46,36.6260,28.7321,273,196,226,5975,2475,original
31.10.2025 12:35:06,36.6333,28.7107,313,211,243,6650,2438,original
31.10.2025 12:35:26,36.6487,28.6956,328,215,247,7600,2670,original
31.10.2025 12:35:56,36.6751,28.6767,331,227,261,8875,2540,original
31.10.2025 12:36:41,36.7177,28.6453,329,242,278,10775,2494,original
31.10.2025 12:37:13,36.7487,28.6215,329,252,290,12075,2444,original
31.10.2025 12:37:43,36.7794,28.5983,328,259,298,13300,2286,original
31.10.2025 12:38:16,36.8129,28.5727,328,270,311,14475,2071,original
31.10.2025 12:38:46,36.8460,28.5473,329,287,330,15475,2000,original
31.10.2025 12:39:16,36.8810,28.5203,328,301,346,16475,2025,original
31.10.2025 12:39:46,36.9177,28.4922,328,314,361,17500,1969,original
31.10.2025 12:40:04,36.9377,28.4724,313,313,360,18050,1958,original
31.10.2025 12:40:45,36.9731,28.4115,304,323,372,19425,1979,original
31.10.2025 12:41:16,36.9987,28.3630,304,332,382,20425,1813,original
31.10.2025 12:41:52,37.0308,28.3066,306,346,398,21450,1636,original
31.10.2025 12:42:22,37.0595,28.2549,305,361,415,22225,1500,original
31.10.2025 12:42:52,37.0881,28.2039,305,371,427,22950,1475,original
31.10.2025 12:43:22,37.1182,28.1500,305,377,434,23700,1475,original
31.10.2025 12:43:52,37.1485,28.0960,305,382,440,24425,1450,original
31.10.2025 12:44:22,37.1790,28.0407,305,386,444,25150,1450,original
31.10.2025 12:44:52,37.2098,27.9865,305,391,450,25875,1455,original
31.10.2025 12:45:28,37.2466,27.9195,304,394,453,26750,1456,original
31.10.2025 12:46:00,37.2807,27.8584,305,396,456,27525,1476,original
31.10.2025 12:46:30,37.3127,27.8009,304,399,459,28275,1475,original
31.10.2025 12:47:01,37.3454,27.7419,305,401,461,29025,1426,original
31.10.2025 12:47:31,37.3762,27.6865,304,403,464,29725,1450,original
31.10.2025 12:48:01,37.4092,27.6257,305,405,466,30475,1450,original
31.10.2025 12:48:31,37.4404,27.5698,304,405,466,31175,1400,original
31.10.2025 12:49:01,37.4724,27.5120,305,407,468,31875,1445,original
31.10.2025 12:49:26,37.5037,27.4715,322,411,473,32500,1528,original
31.10.2025 12:49:55,37.5525,27.4324,332,414,476,33250,1500,original
31.10.2025 12:50:25,37.6045,27.4005,336,414,476,33975,1450,original
31.10.2025 12:50:55,37.6585,27.3707,337,415,478,34700,1450,original
31.10.2025 12:51:25,37.7101,27.3428,336,411,473,35425,1250,original
31.10.2025 12:51:55,37.7614,27.3143,336,410,472,35950,575,original
31.10.2025 12:52:25,37.8144,27.2849,336,419,482,36000,50,original
31.10.2025 12:52:55,37.8697,27.2545,336,428,493,36000,0,original
31.10.2025 12:53:25,37.9246,27.2245,336,434,499,36000,0,original
31.10.2025 12:53:53,37.9750,27.1967,334,433,498,36000,191,original
31.10.2025 12:54:20,38.0213,27.1612,326,428,493,36175,605,original
31.10.2025 12:54:50,38.0686,27.1189,324,428,493,36575,825,original
31.10.2025 12:55:20,38.1180,27.0741,325,430,495,37000,825,original
31.10.2025 12:55:50,38.1684,27.0299,325,432,497,37400,800,original
31.10.2025 12:56:20,38.2174,26.9862,325,431,496,37800,875,original
31.10.2025 12:56:50,38.2657,26.9434,325,425,489,38275,959,original
31.10.2025 12:57:21,38.3142,26.9001,325,420,483,38775,984,original
31.10.2025 12:57:51,38.3620,26.8576,325,416,479,39275,975,original
31.10.2025 12:58:21,38.4096,26.8150,325,412,474,39750,725,original
31.10.2025 12:58:51,38.4543,26.7748,325,414,476,40000,250,original
31.10.2025 12:59:21,38.5028,26.7318,325,421,484,40000,0,original
31.10.2025 12:59:51,38.5499,26.6895,325,426,490,40000,0,original
31.10.2025 13:00:21,38.6005,26.6437,325,431,496,40000,0,original
31.10.2025 13:00:51,38.6458,26.6033,325,433,498,40000,0,original
31.10.2025 13:01:21,38.6967,26.5571,325,434,499,40000,0,original
31.10.2025 13:01:51,38.7459,26.5128,325,435,501,40000,0,original
31.10.2025 13:02:09,38.7746,26.4840,317,429,494,40000,0,original
31.10.2025 13:02:53,38.8289,26.3975,305,422,486,40000,0,original
31.10.2025 13:03:23,38.8618,26.3355,304,421,484,40000,0,original
31.10.2025 13:03:53,38.8949,26.2743,305,420,483,40000,0,original
31.10.2025 13:04:23,38.9274,26.2149,306,420,483,40000,0,original
31.10.2025 13:04:53,38.9621,26.1514,305,419,482,40000,0,original
31.10.2025 13:05:23,38.9943,26.0918,305,418,481,40000,0,original
31.10.2025 13:05:53,39.0277,26.0309,305,419,482,40000,0,original
31.10.2025 13:06:23,39.0619,25.9676,305,419,482,40000,0,original
31.10.2025 13:06:53,39.0948,25.9068,305,419,482,40000,0,original
31.10.2025 13:07:23,39.1267,25.8480,305,419,482,40000,0,original
31.10.2025 13:07:53,39.1603,25.7859,305,419,482,40000,0,original
31.10.2025 13:08:23,39.1937,25.7236,305,419,482,40000,0,original
31.10.2025 13:08:54,39.2272,25.6615,305,418,481,40000,0,original
31.10.2025 13:09:25,39.2603,25.5995,305,419,482,40000,0,original
31.10.2025 13:09:56,39.2956,25.5339,304,420,483,40000,0,original
31.10.2025 13:10:26,39.3288,25.4718,304,420,483,40000,0,original
31.10.2025 13:10:56,39.3608,25.4121,304,420,483,40000,0,original
31.10.2025 13:11:27,39.3952,25.3472,305,421,484,40000,0,original
31.10.2025 13:11:57,39.4280,25.2856,305,420,483,40000,0,original
31.10.2025 13:12:27,39.4618,25.2219,304,420,483,40000,0,original
31.10.2025 13:12:58,39.4948,25.1593,304,421,484,40000,0,original
31.10.2025 13:13:28,39.5283,25.0964,304,420,483,40000,0,original
31.10.2025 13:13:58,39.5613,25.0336,304,421,484,40000,0,original
31.10.2025 13:14:28,39.5956,24.9688,304,421,484,40000,0,original
31.10.2025 13:14:59,39.6274,24.9078,304,421,484,40000,0,original
31.10.2025 13:15:29,39.6615,24.8428,305,421,484,40000,0,original
31.10.2025 13:15:59,39.6938,24.7810,304,421,484,40000,0,original
31.10.2025 13:16:29,39.7259,24.7196,304,421,484,40000,0,original
31.10.2025 13:16:59,39.7589,24.6566,304,422,486,40000,0,original
31.10.2025 13:17:29,39.7918,24.5929,304,420,483,40000,0,original
31.10.2025 13:17:59,39.8239,24.5309,304,421,484,40000,0,original
31.10.2025 13:18:29,39.8560,24.4695,304,421,484,40000,0,original
31.10.2025 13:19:00,39.8903,24.4031,304,421,484,40000,0,original
31.10.2025 13:19:30,39.9219,24.3417,304,421,484,40000,0,original
31.10.2025 13:20:00,39.9549,24.2777,304,422,486,40000,0,original
31.10.2025 13:20:30,39.9878,24.2130,304,422,486,40000,0,original
31.10.2025 13:21:00,40.0206,24.1498,303,422,486,40000,0,original
31.10.2025 13:21:30,40.0530,24.0865,304,422,486,40000,0,original
31.10.2025 13:22:01,40.0867,24.0200,303,422,486,40000,0,original
31.10.2025 13:22:33,40.1194,23.9562,304,422,486,40000,0,original
31.10.2025 13:23:03,40.1525,23.8910,303,421,484,40000,0,original
31.10.2025 13:23:33,40.1845,23.8279,303,421,484,40000,0,original
31.10.2025 13:24:03,40.2171,23.7637,304,420,483,40000,0,original
31.10.2025 13:24:33,40.2497,23.6995,303,420,483,40000,0,original
31.10.2025 13:25:04,40.2818,23.6355,303,420,483,40000,0,original
31.10.2025 13:25:34,40.3146,23.5705,303,421,484,40000,0,original
31.10.2025 13:26:04,40.3469,23.5063,303,421,484,40000,0,original
31.10.2025 13:26:35,40.3800,23.4401,303,422,486,40000,0,original
31.10.2025 13:27:05,40.4117,23.3768,303,422,486,40000,0,original
31.10.2025 13:27:35,40.4432,23.3141,304,422,486,40000,0,original
31.10.2025 13:28:05,40.4750,23.2498,303,422,486,40000,0,original
31.10.2025 13:28:35,40.5080,23.1834,303,422,486,40000,0,original
31.10.2025 13:29:06,40.5400,23.1191,304,422,486,40000,0,original
31.10.2025 13:29:37,40.5731,23.0526,303,421,484,40000,0,original
31.10.2025 13:30:07,40.6055,22.9867,303,420,483,40000,0,original
31.10.2025 13:30:37,40.6373,22.9222,303,421,484,40000,0,original
31.10.2025 13:31:07,40.6680,22.8590,303,420,483,40000,0,original
31.10.2025 13:31:37,40.6999,22.7955,302,420,483,40000,0,original
31.10.2025 13:32:07,40.7321,22.7289,303,419,482,40000,0,original
31.10.2025 13:32:37,40.7630,22.6661,303,419,482,40000,0,original
31.10.2025 13:33:07,40.7948,22.6012,302,417,480,40000,0,original
31.10.2025 13:33:37,40.8246,22.5395,303,416,479,40000,0,original
31.10.2025 13:34:07,40.8565,22.4737,303,417,480,40000,0,original
31.10.2025 13:34:37,40.8870,22.4110,303,417,480,40000,0,original
31.10.2025 13:35:09,40.9206,22.3421,303,415,478,40000,0,original
31.10.2025 13:35:39,40.9510,22.2783,303,415,478,40000,0,original
31.10.2025 13:36:10,40.9846,22.2091,303,416,479,40000,0,original
31.10.2025 13:36:40,41.0153,22.1448,303,416,479,40000,0,original
31.10.2025 13:37:10,41.0452,22.0831,302,416,479,40000,0,original
31.10.2025 13:37:42,41.0783,22.0137,302,414,476,40000,0,original
31.10.2025 13:38:12,41.1080,21.9514,302,413,475,40000,0,original
31.10.2025 13:38:42,41.1397,21.8853,302,412,474,40000,0,original
31.10.2025 13:39:12,41.1703,21.8202,302,412,474,40000,0,original
31.10.2025 13:39:42,41.1994,21.7592,302,413,475,40000,0,original
31.10.2025 13:40:14,41.2328,21.6890,302,413,475,40000,0,original
31.10.2025 13:40:45,41.2637,21.6239,302,414,476,40000,0,original
31.10.2025 13:41:16,41.2958,21.5552,302,415,478,40000,0,original
31.10.2025 13:41:46,41.3258,21.4918,302,416,479,40000,0,original
31.10.2025 13:42:16,41.3569,21.4255,302,417,480,40000,0,original
31.10.2025 13:42:46,41.3873,21.3609,302,417,480,40000,0,original
31.10.2025 13:43:16,41.4169,21.2973,302,417,480,40000,0,original
31.10.2025 13:43:47,41.4502,21.2257,302,418,481,40000,0,original
31.10.2025 13:44:17,41.4791,21.1642,302,418,481,40000,0,original
31.10.2025 13:44:47,41.5105,21.0963,301,419,482,40000,-275,original
31.10.2025 13:45:17,41.5403,21.0319,302,418,481,39725,-725,original
31.10.2025 13:45:47,41.5701,20.9676,302,417,480,39275,-919,original
31.10.2025 13:46:19,41.6024,20.8978,302,415,478,38775,-1379,original
31.10.2025 13:46:49,41.6320,20.8329,301,411,473,37850,-1925,original
31.10.2025 13:47:19,41.6622,20.7677,302,407,468,36850,-1746,original
31.10.2025 13:47:50,41.6934,20.6994,301,408,470,36075,-823,original
31.10.2025 13:48:21,41.7236,20.6338,302,402,463,36000,-73,original
31.10.2025 13:48:52,41.7533,20.5686,301,403,464,36000,0,original
31.10.2025 13:49:10,41.7693,20.5303,296,404,465,36000,0,original
31.10.2025 13:49:31,41.7853,20.4818,292,407,468,36000,0,original
31.10.2025 13:49:52,41.7998,20.4316,299,295,339,36000,0,original
31.10.2025 13:50:27,41.8220,20.3497,291,410,472,36000,0,original
31.10.2025 13:50:57,41.8441,20.2769,294,411,473,36000,0,original
31.10.2025 13:51:28,41.8689,20.2064,296,409,471,36000,0,original
31.10.2025 13:51:59,41.8937,20.1354,295,407,468,36000,0,original
31.10.2025 13:52:29,41.9177,20.0669,295,407,468,36000,0,original
31.10.2025 13:53:01,41.9424,19.9945,295,406,467,36000,-629,original
31.10.2025 13:53:31,41.9673,19.9231,295,406,467,35350,-1350,original
31.10.2025 13:54:01,41.9898,19.8562,294,406,467,34650,-1475,original
31.10.2025 13:54:31,42.0140,19.7869,295,409,471,33875,-1700,original
31.10.2025 13:55:01,42.0377,19.7173,294,417,480,32950,-1911,original
31.10.2025 13:55:33,42.0629,19.6426,295,425,489,31900,-1960,original
31.10.2025 13:56:03,42.0870,19.5723,294,435,501,30925,-2066,original
31.10.2025 13:56:34,42.1125,19.4970,294,438,504,29800,-2262,original
31.10.2025 13:57:04,42.1383,19.4210,294,440,506,28625,-2250,original
31.10.2025 13:57:34,42.1633,19.3463,294,439,505,27550,-2199,original
31.10.2025 13:58:17,42.1961,19.2355,289,436,502,25950,-2200,original
31.10.2025 13:58:49,42.2174,19.1552,290,433,498,24800,-2167,original
31.10.2025 13:59:20,42.2388,19.0766,291,430,495,23675,-2177,original
