time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm
01.11.2025 09:33:45,53.1808,-2.9738,221,103,119,525,0
01.11.2025 09:34:04,53.1720,-2.9865,221,140,161,950,1875
01.11.2025 09:34:17,53.1655,-2.9957,221,145,167,1525,2845
01.11.2025 09:34:33,53.1574,-3.0083,224,145,167,2325,2578
01.11.2025 09:34:49,53.1495,-3.0223,227,160,184,2900,2438
01.11.2025 09:35:05,53.1408,-3.0365,220,168,193,3625,2859
01.11.2025 09:35:21,53.1276,-3.0402,168,194,223,4425,2859
01.11.2025 09:35:37,53.1163,-3.0283,131,210,242,5150,3047
01.11.2025 09:35:53,53.1097,-3.0049,108,219,252,6050,2724
01.11.2025 09:36:15,53.1029,-2.9680,106,238,274,6875,2481
01.11.2025 09:36:45,53.0936,-2.9107,105,259,298,8200,2925
01.11.2025 09:37:15,53.0845,-2.8537,105,264,304,9800,2925
01.11.2025 09:37:45,53.0747,-2.7921,104,297,342,11125,2650
01.11.2025 09:38:15,53.0637,-2.7198,105,328,377,12450,2563
01.11.2025 09:39:04,53.0443,-2.5945,105,369,425,14500,2529
01.11.2025 09:39:41,53.0268,-2.4899,106,391,450,16075,2542
01.11.2025 09:40:03,53.0133,-2.4278,115,398,458,17000,2509
01.11.2025 09:40:36,52.9855,-2.3329,116,411,473,18375,2085
01.11.2025 09:41:02,52.9626,-2.2561,117,433,498,19050,1528
01.11.2025 09:41:29,52.9390,-2.1797,117,448,516,19725,1789
01.11.2025 09:41:59,52.9096,-2.0873,118,455,524,20750,2025
01.11.2025 09:42:29,52.8798,-1.9947,118,450,518,21750,2056
01.11.2025 09:42:53,52.8547,-1.9184,120,445,512,22600,2023
01.11.2025 09:43:12,52.8310,-1.8736,144,426,490,23200,2000
01.11.2025 09:43:56,52.7591,-1.8009,148,420,483,24700,2125
01.11.2025 09:44:24,52.7138,-1.7532,147,417,480,25750,2095
01.11.2025 09:44:54,52.6665,-1.7028,148,415,478,26725,1950
01.11.2025 09:45:24,52.6166,-1.6501,147,423,487,27700,1675
01.11.2025 09:45:54,52.5680,-1.5972,147,431,496,28400,1300
01.11.2025 09:46:24,52.5168,-1.5440,148,434,499,29000,1300
01.11.2025 09:46:54,52.4648,-1.4895,146,434,499,29700,1364
01.11.2025 09:47:19,52.4245,-1.4463,146,430,495,30250,1151
01.11.2025 09:47:37,52.3953,-1.4147,147,427,491,30525,1000
01.11.2025 09:48:07,52.3448,-1.3602,146,427,491,31050,1071
01.11.2025 09:48:26,52.3140,-1.3299,152,421,484,31400,987
01.11.2025 09:48:45,52.2814,-1.3013,152,421,484,31675,988
01.11.2025 09:49:07,52.2406,-1.2656,152,421,484,32075,1026
01.11.2025 09:49:23,52.2147,-1.2433,153,420,483,32325,946
01.11.2025 09:49:53,52.1652,-1.1994,152,420,483,32800,975
01.11.2025 09:50:23,52.1125,-1.1540,152,418,481,33300,1050
01.11.2025 09:50:43,52.0794,-1.1250,152,417,480,33675,1213
01.11.2025 09:51:10,52.0346,-1.0861,151,414,476,34250,1189
01.11.2025 09:51:36,51.9915,-1.0474,152,410,472,34725,634
01.11.2025 09:52:21,51.9136,-0.9801,151,419,482,35000,300
01.11.2025 09:52:51,51.8644,-0.9365,151,419,482,35100,575
01.11.2025 09:53:21,51.8139,-0.8920,152,416,479,35575,900
01.11.2025 09:53:51,51.7630,-0.8471,152,416,479,36000,810
01.11.2025 09:54:11,51.7297,-0.8172,150,418,481,36250,679
01.11.2025 09:54:33,51.6950,-0.7737,136,439,505,36475,623
01.11.2025 09:55:04,51.6519,-0.6981,131,447,514,36800,554
01.11.2025 09:55:38,51.6049,-0.6116,131,451,519,37075,453
01.11.2025 09:55:57,51.5801,-0.5655,130,452,520,37200,534
01.11.2025 09:56:37,51.5240,-0.4623,131,452,520,37600,581
01.11.2025 09:56:59,51.4946,-0.4098,132,451,519,37800,538
01.11.2025 09:57:16,51.4728,-0.3648,123,464,534,37950,337
01.11.2025 09:57:48,51.4389,-0.2661,115,481,554,38075,354
01.11.2025 09:58:28,51.4044,-0.1395,112,485,558,38375,460
01.11.2025 09:58:50,51.3843,-0.0605,113,484,557,38550,480
01.11.2025 09:59:18,51.3603,0.0283,113,482,555,38775,370
01.11.2025 10:00:03,51.3203,0.1738,114,479,551,39000,180
