time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
01.11.2025 18:03:40,42.5898,18.1965,299,189,217,3500,0,original
01.11.2025 18:04:09,42.6020,18.1659,295,199,229,4825,2864,original
01.11.2025 18:04:35,42.6103,18.1335,287,205,236,6125,2920,original
01.11.2025 18:05:05,42.6181,18.0978,286,212,244,7550,2750,original
01.11.2025 18:05:35,42.6265,18.0563,285,228,262,8875,2593,original
01.11.2025 18:06:04,42.6346,18.0151,287,240,276,10100,2338,original
01.11.2025 18:06:52,42.6563,17.9467,295,266,306,11875,2154,original
01.11.2025 18:07:22,42.6730,17.8988,295,284,327,12900,1820,original
01.11.2025 18:07:53,42.6897,17.8472,293,307,353,13725,1549,original
01.11.2025 18:08:23,42.7075,17.7936,295,326,375,14475,1550,original
01.11.2025 18:08:53,42.7268,17.7355,294,342,394,15275,1550,original
01.11.2025 18:09:23,42.7459,17.6770,294,355,409,16025,1500,original
01.11.2025 18:09:53,42.7667,17.6135,294,366,421,16775,1549,original
01.11.2025 18:10:24,42.7893,17.5447,293,375,432,17600,1549,original
01.11.2025 18:10:54,42.8107,17.4791,294,381,438,18350,1475,original
01.11.2025 18:11:25,42.8319,17.4147,295,385,443,19100,1475,original
01.11.2025 18:11:55,42.8534,17.3471,293,390,449,19850,1500,original
01.11.2025 18:12:25,42.8751,17.2811,294,392,451,20600,1500,original
01.11.2025 18:12:55,42.8979,17.2112,293,395,455,21350,1425,original
01.11.2025 18:13:25,42.9199,17.1413,294,400,460,22025,1328,original
01.11.2025 18:13:56,42.9436,17.0684,293,402,463,22700,1303,original
01.11.2025 18:14:26,42.9654,17.0010,295,405,466,23350,1275,original
01.11.2025 18:14:56,42.9875,16.9315,294,407,468,23975,1275,original
01.11.2025 18:15:26,43.0099,16.8611,293,409,471,24625,1325,original
01.11.2025 18:15:56,43.0333,16.7892,293,410,472,25300,1325,original
01.11.2025 18:16:26,43.0556,16.7170,294,412,474,25950,1303,original
01.11.2025 18:16:57,43.0794,16.6417,293,415,478,26625,1303,original
01.11.2025 18:17:27,43.1024,16.5710,294,417,480,27275,1286,original
01.11.2025 18:17:46,43.1206,16.5280,305,416,479,27675,1292,original
01.11.2025 18:18:03,43.1402,16.4922,308,416,479,28050,1277,original
01.11.2025 18:18:33,43.1760,16.4345,311,417,480,28675,1180,original
01.11.2025 18:19:04,43.2163,16.3708,310,421,484,29250,1057,original
01.11.2025 18:19:34,43.2543,16.3093,311,424,488,29750,1000,original
01.11.2025 18:20:04,43.2914,16.2486,309,427,491,30250,1000,original
01.11.2025 18:20:34,43.3290,16.1863,310,429,494,30750,975,original
01.11.2025 18:21:04,43.3676,16.1233,310,431,496,31225,1000,original
01.11.2025 18:21:34,43.4059,16.0593,310,433,498,31750,1008,original
01.11.2025 18:22:05,43.4450,15.9944,309,434,499,32250,1008,original
01.11.2025 18:22:35,43.4835,15.9307,310,434,499,32775,1025,original
01.11.2025 18:23:05,43.5215,15.8682,310,434,499,33275,1125,original
01.11.2025 18:23:35,43.5601,15.8039,310,431,496,33900,1325,original
01.11.2025 18:24:05,43.5980,15.7403,310,425,489,34600,1375,original
01.11.2025 18:24:35,43.6359,15.6776,309,418,481,35275,1375,original
01.11.2025 18:25:05,43.6726,15.6157,310,413,475,35975,1350,original
01.11.2025 18:25:35,43.7089,15.5548,309,408,470,36625,1279,original
01.11.2025 18:26:06,43.7447,15.4958,310,403,464,37275,1303,original
