time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm
06.11.2025 10:29:21,50.0429,8.5775,70,168,193,500,0
06.11.2025 10:29:37,50.0473,8.5958,70,166,191,925,1547
06.11.2025 10:29:53,50.0511,8.6123,71,167,192,1325,1125
06.11.2025 10:30:09,50.0554,8.6316,71,183,211,1525,675
06.11.2025 10:30:33,50.0626,8.6659,72,209,241,1775,750
06.11.2025 10:30:51,50.0686,8.6931,70,225,259,2050,838
06.11.2025 10:31:07,50.0791,8.7137,37,245,282,2250,1000
06.11.2025 10:31:27,50.0991,8.7285,23,263,303,2650,1800
06.11.2025 10:31:57,50.1334,8.7516,24,269,310,3750,2350
06.11.2025 10:32:27,50.1680,8.7749,23,269,310,5000,2400
06.11.2025 10:32:57,50.2013,8.7976,23,272,313,6150,2196
06.11.2025 10:33:23,50.2338,8.8196,23,279,321,7050,1821
06.11.2025 10:33:39,50.2534,8.8244,358,287,330,7425,1632
06.11.2025 10:33:57,50.2753,8.8118,326,289,333,7975,1958
06.11.2025 10:34:15,50.2898,8.7839,294,285,328,8600,2013
06.11.2025 10:34:35,50.2987,8.7458,290,287,330,9250,1762
06.11.2025 10:35:18,50.3244,8.6647,297,302,348,10450,1356
06.11.2025 10:35:48,50.3452,8.6003,297,327,376,10900,825
06.11.2025 10:36:18,50.3657,8.5373,297,351,404,11275,750
06.11.2025 10:36:48,50.3896,8.4636,297,373,429,11650,875
06.11.2025 10:37:18,50.4125,8.3925,297,391,450,12150,1475
06.11.2025 10:37:48,50.4374,8.3152,297,393,452,13125,1825
06.11.2025 10:38:18,50.4616,8.2395,297,399,459,13975,1550
06.11.2025 10:38:48,50.4869,8.1605,297,408,470,14675,1475
06.11.2025 10:39:18,50.5120,8.0817,297,412,474,15450,1500
06.11.2025 10:39:48,50.5369,8.0033,296,421,484,16175,1425
06.11.2025 10:40:18,50.5633,7.9199,296,425,489,16875,1450
06.11.2025 10:40:48,50.5913,7.8309,296,431,496,17625,1550
06.11.2025 10:41:18,50.6171,7.7490,296,433,498,18425,1425
06.11.2025 10:41:48,50.6419,7.6698,296,436,502,19050,1279
06.11.2025 10:42:19,50.6708,7.5771,296,442,509,19725,1328
06.11.2025 10:42:49,50.6979,7.4901,296,445,512,20400,1550
06.11.2025 10:43:19,50.7248,7.4032,296,444,511,21275,1469
06.11.2025 10:43:37,50.7422,7.3495,300,451,519,21575,975
06.11.2025 10:43:59,50.7674,7.2883,305,457,526,21925,975
06.11.2025 10:44:17,50.7886,7.2407,305,461,531,22225,1269
06.11.2025 10:44:38,50.8147,7.1822,305,461,531,22750,1500
06.11.2025 10:44:55,50.8332,7.1406,305,460,529,23175,1171
06.11.2025 10:45:19,50.8655,7.0681,305,464,534,23550,972
06.11.2025 10:45:49,50.9032,6.9829,305,470,541,24050,900
06.11.2025 10:46:19,50.9400,6.8996,305,476,548,24450,844
06.11.2025 10:46:37,50.9628,6.8485,306,480,552,24725,1083
06.11.2025 10:46:55,50.9887,6.7993,312,482,555,25100,1176
06.11.2025 10:47:14,51.0150,6.7532,312,482,555,25450,1071
06.11.2025 10:47:44,51.0613,6.6703,312,487,560,25975,1075
06.11.2025 10:48:14,51.1045,6.5929,312,490,564,26525,1000
06.11.2025 10:48:44,51.1516,6.5089,312,496,571,26975,950
06.11.2025 10:49:14,51.1962,6.4291,312,501,577,27475,1000
06.11.2025 10:49:35,51.2281,6.3723,312,504,580,27825,1192
06.11.2025 10:49:53,51.2562,6.3219,312,504,580,28250,1852
06.11.2025 10:50:39,51.3277,6.1932,312,494,568,29800,1777
06.11.2025 10:50:58,51.3563,6.1416,311,496,571,30175,1469
06.11.2025 10:51:28,51.4008,6.0609,311,493,567,31000,1650
06.11.2025 10:51:58,51.4474,5.9762,311,489,563,31825,1622
06.11.2025 10:52:17,51.4751,5.9283,315,487,560,32325,1354
06.11.2025 10:52:39,51.5138,5.8744,321,491,565,32750,1115
06.11.2025 10:52:56,51.5437,5.8358,321,489,563,33050,989
06.11.2025 10:53:23,51.5909,5.7758,322,484,557,33475,1000
06.11.2025 10:53:53,51.6436,5.7089,322,483,556,34000,975
06.11.2025 10:54:43,51.7334,5.5955,322,484,557,34775,961
06.11.2025 10:55:22,51.7990,5.5124,322,481,554,35425,1022
06.11.2025 10:55:52,51.8522,5.4444,322,478,550,35950,575
06.11.2025 10:56:22,51.9038,5.3783,322,486,559,36000,50
06.11.2025 10:56:52,51.9566,5.3110,322,491,565,36000,0
06.11.2025 10:57:26,52.0171,5.2341,322,493,567,36000,0
06.11.2025 10:58:06,52.0887,5.1434,322,494,568,36000,0
06.11.2025 10:58:36,52.1423,5.0752,321,493,567,36000,0
06.11.2025 10:58:54,52.1708,5.0297,311,487,560,36000,0
06.11.2025 10:59:11,52.1937,4.9818,305,483,556,36000,0
06.11.2025 10:59:33,52.2216,4.9136,304,483,556,36000,0
06.11.2025 11:00:04,52.2600,4.8196,304,483,556,36000,0
06.11.2025 11:00:23,52.2843,4.7599,304,483,556,36000,0
06.11.2025 11:01:02,52.3329,4.6398,303,482,555,36000,0
06.11.2025 11:01:31,52.3684,4.5515,303,482,555,36000,0
06.11.2025 11:02:01,52.4028,4.4658,303,483,556,36000,0
06.11.2025 11:02:30,52.4383,4.3771,303,485,558,36000,0
06.11.2025 11:03:02,52.4791,4.2747,303,485,558,36000,0
06.11.2025 11:03:32,52.5153,4.1834,303,485,558,36000,0
06.11.2025 11:04:02,52.5517,4.0915,303,486,559,36000,0
06.11.2025 11:04:32,52.5875,4.0006,303,486,559,36000,0
06.11.2025 11:04:52,52.6111,3.9397,300,484,557,36000,0
