time_europe_berlin,latitude,longitude,altitude_ft,speed_kts,speed_mph,course_deg_clockwise_from_north,vertical_rate_fpm,value_origin
23.11.2025 08:19:00,50.870678,7.126751,0,0,0,343.0,0,original
23.11.2025 08:19:30,50.87066020689655,7.126640517241379,0,0,0,330.48275862068965,0,interpolated
23.11.2025 08:20:00,50.8706424137931,7.126530034482759,0,0,0,317.9655172413793,0,interpolated
23.11.2025 08:20:30,50.870624620689654,7.126419551724138,0,0,0,305.44827586206895,0,interpolated
23.11.2025 08:21:00,50.87060682758621,7.126309068965517,0,0,0,292.9310344827586,0,interpolated
23.11.2025 08:21:30,50.870589034482755,7.126198586206897,0,0,0,280.41379310344826,0,interpolated
23.11.2025 08:22:00,50.87057124137931,7.126088103448276,0,0,0,267.8965517241379,0,interpolated
23.11.2025 08:22:30,50.870553448275864,7.125977620689655,0,0,0,255.3793103448276,0,interpolated
23.11.2025 08:23:00,50.87053565517241,7.125867137931035,0,0,0,242.86206896551724,0,interpolated
23.11.2025 08:23:30,50.870517862068965,7.125756655172414,0,0,0,230.34482758620692,0,interpolated
23.11.2025 08:23:50,50.870506,7.125683,0,0,0,222.0,0,original
23.11.2025 08:23:56,50.870304,7.125487,0,9,10,196.0,0,original
23.11.2025 08:24:01,50.870087,7.125549,0,8,9,154.0,0,original
23.11.2025 08:24:09,50.869911,7.125778,0,8,9,135.0,0,original
23.11.2025 08:24:14,50.86972,7.126044,0,11,13,135.0,0,original
23.11.2025 08:24:18,50.869526,7.126341,0,12,14,135.0,0,original
23.11.2025 08:24:23,50.869331,7.126601,0,12,14,135.0,0,original
23.11.2025 08:24:33,50.868923,7.12719,0,11,13,135.0,0,original
23.11.2025 08:24:44,50.868385,7.127438,0,11,13,194.0,0,original
23.11.2025 08:24:48,50.868214,7.127228,0,12,14,222.0,0,original
23.11.2025 08:24:52,50.86805,7.126942,0,14,16,222.0,0,original
23.11.2025 08:24:58,50.867748,7.126427,0,0,0,225.0,0,original
23.11.2025 08:25:04,50.867561,7.126026,0,0,0,244.0,0,original
23.11.2025 08:25:08,50.867592,7.125673,0,11,13,286.0,0,original
23.11.2025 08:25:18,50.868027,7.124986,0,16,18,315.0,0,original
23.11.2025 08:25:24,50.868397,7.124443,0,22,25,312.0,0,original
23.11.2025 08:25:26,50.868622,7.124133,0,24,28,315.0,0,original
