time_europe_berlin,latitude,longitude,altitude_ft,speed_kts,speed_mph,course_deg_clockwise_from_north,vertical_rate_fpm,value_origin
23.11.2025 12:28:58,40.38813,39.795391,26825,0,0,124.0,0,original
23.11.2025 12:29:28,40.34117295238095,39.85076585714286,27539,18,21,125.9047619047619,0,interpolated
23.11.2025 12:29:58,40.2942159047619,39.90614071428572,28254,36,41,127.80952380952381,0,interpolated
23.11.2025 12:30:28,40.24725885714285,39.96151557142857,28968,54,62,129.71428571428572,0,interpolated
23.11.2025 12:30:58,40.20030180952381,40.01689042857143,29682,72,83,131.61904761904762,0,interpolated
23.11.2025 12:31:28,40.15334476190476,40.07226528571429,30396,90,104,133.52380952380952,0,interpolated
23.11.2025 12:31:58,40.10638771428571,40.127640142857146,31111,109,125,135.42857142857142,0,interpolated
23.11.2025 12:32:28,40.059430666666664,40.183015,31825,127,146,137.33333333333334,0,interpolated
23.11.2025 12:32:58,40.01247361904762,40.238389857142856,32539,145,167,139.23809523809524,0,interpolated
23.11.2025 12:33:28,39.965516571428566,40.293764714285714,33254,163,188,141.14285714285714,0,interpolated
23.11.2025 12:33:58,39.91855952380952,40.34913957142857,33968,181,208,143.04761904761904,0,interpolated
23.11.2025 12:34:13,39.895081,40.376827,34325,190,219,144.0,0,original
23.11.2025 12:34:15,39.890778,40.382065,34400,452,520,138.0,0,original
23.11.2025 12:34:17,39.888863,40.384449,34450,442,509,137.0,0,original
23.11.2025 12:34:20,39.885422,40.388542,34500,444,511,137.0,0,original
23.11.2025 12:34:22,39.881184,40.393417,34550,448,516,137.0,0,original
23.11.2025 12:34:24,39.877369,40.398022,34625,190,219,139.0,0,original
23.11.2025 12:34:30,39.867756,40.409817,34775,460,529,136.0,0,original
23.11.2025 12:34:57,39.826767,40.456429,35475,474,545,143.0,0,original
23.11.2025 12:35:01,39.822159,40.461964,35550,449,517,138.0,0,original
23.11.2025 12:35:42,39.757122,40.538551,36425,445,512,137.0,0,original
23.11.2025 12:36:54,39.646706,40.665909,37350,450,518,138.0,0,original
23.11.2025 12:37:06,39.628906,40.686543,37500,200,230,141.0,0,original
23.11.2025 12:37:09,39.622822,40.693741,37550,454,522,138.0,0,original
23.11.2025 12:37:13,39.61887,40.698288,37600,454,522,139.0,0,original
23.11.2025 12:37:16,39.615002,40.702736,37600,190,219,139.0,0,original
23.11.2025 12:37:18,39.609924,40.708809,37650,520,598,137.0,0,original
23.11.2025 12:37:20,39.60442,40.715275,37675,452,520,137.0,0,original
23.11.2025 12:37:23,39.601589,40.718376,37700,454,522,138.0,0,original
23.11.2025 12:37:26,39.598442,40.721775,37725,240,276,141.0,0,original
23.11.2025 12:37:29,39.592354,40.728947,37775,451,519,134.0,0,original
23.11.2025 12:37:31,39.590031,40.731819,37800,435,501,135.0,0,original
23.11.2025 12:37:33,39.586021,40.736248,37825,260,299,142.0,0,original
23.11.2025 12:37:35,39.581921,40.740696,37850,469,540,140.0,0,original
