time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
24.11.2025 10:10:10,17.2284,78.4468,93,158,182,2425,0,original
24.11.2025 10:10:27,17.2280,78.4606,89,165,190,3200,2864,original
24.11.2025 10:10:43,17.2280,78.4735,99,165,190,4000,2603,original
24.11.2025 10:11:01,17.2208,78.4866,131,179,206,4675,1843,original
24.11.2025 10:11:18,17.2098,78.4960,147,206,237,5075,1500,original
24.11.2025 10:11:40,17.1883,78.5082,153,239,275,5650,1583,original
24.11.2025 10:12:12,17.1532,78.5262,153,287,330,6500,1594,original
24.11.2025 10:12:28,17.1339,78.5368,151,306,352,6925,1688,original
24.11.2025 10:12:44,17.1127,78.5491,151,322,371,7400,1761,original
24.11.2025 10:13:14,17.0721,78.5721,152,345,397,8275,1793,original
24.11.2025 10:13:30,17.0492,78.5848,152,359,413,8775,1971,original
24.11.2025 10:13:49,17.0236,78.6057,129,366,421,9425,2190,original
24.11.2025 10:14:20,16.9980,78.6549,113,377,434,10600,2565,original
24.11.2025 10:14:51,16.9796,78.7063,110,381,438,12075,2803,original
24.11.2025 10:15:21,16.9605,78.7588,111,390,449,13450,2625,original
24.11.2025 10:15:51,16.9407,78.8122,111,401,461,14700,2559,original
24.11.2025 10:16:12,16.9274,78.8529,105,409,471,15625,2482,original
24.11.2025 10:16:46,16.9150,78.9163,99,418,481,16975,2484,original
24.11.2025 10:17:16,16.9041,78.9797,101,425,489,18275,2452,original
24.11.2025 10:17:49,16.8913,79.0451,103,432,497,19550,2320,original
24.11.2025 10:18:20,16.8789,79.1088,100,436,502,20750,2262,original
24.11.2025 10:18:50,16.8675,79.1685,102,440,506,21850,2225,original
24.11.2025 10:19:20,16.8551,79.2319,101,443,510,22975,2200,original
24.11.2025 10:19:50,16.8428,79.2957,101,445,512,24050,2150,original
24.11.2025 10:20:20,16.8302,79.3607,101,447,514,25125,2000,original
24.11.2025 10:20:50,16.8176,79.4242,102,450,518,26050,1672,original
24.11.2025 10:21:21,16.8049,79.4898,101,457,526,26825,1352,original
24.11.2025 10:21:51,16.7926,79.5539,102,467,537,27425,1100,original
24.11.2025 10:22:21,16.7791,79.6221,102,477,549,27925,1000,original
24.11.2025 10:22:51,16.7657,79.6907,101,486,559,28425,975,original
24.11.2025 10:23:21,16.7522,79.7585,103,492,566,28900,975,original
24.11.2025 10:23:51,16.7384,79.8285,101,497,572,29400,1000,original
24.11.2025 10:24:21,16.7245,79.9001,102,500,575,29900,1000,original
24.11.2025 10:24:51,16.7108,79.9696,102,501,577,30400,1057,original
24.11.2025 10:25:22,16.6957,80.0448,102,501,577,30975,1079,original
24.11.2025 10:25:48,16.6809,80.1039,111,497,572,31425,1179,original
24.11.2025 10:26:18,16.6529,80.1689,116,490,564,32075,1300,original
24.11.2025 10:26:48,16.6217,80.2314,118,485,558,32725,1269,original
24.11.2025 10:27:23,16.5851,80.3045,117,482,555,33450,1223,original
24.11.2025 10:27:53,16.5552,80.3661,117,479,551,34050,1175,original
24.11.2025 10:28:23,16.5248,80.4284,117,475,547,34625,1200,original
24.11.2025 10:28:53,16.4967,80.4859,117,470,541,35250,1282,original
24.11.2025 10:29:25,16.4639,80.5532,117,464,534,35950,1223,original
24.11.2025 10:29:58,16.4329,80.6172,117,460,529,36575,1167,original
24.11.2025 10:30:28,16.4035,80.6764,117,457,526,37175,1175,original
24.11.2025 10:30:58,16.3751,80.7345,117,454,522,37750,1150,original
24.11.2025 10:31:28,16.3471,80.7929,117,450,518,38325,1095,original
24.11.2025 10:32:01,16.3153,80.8573,117,448,516,38900,1024,original
24.11.2025 10:32:31,16.2862,80.9167,117,445,512,39400,975,original
24.11.2025 10:33:01,16.2591,80.9722,117,442,509,39875,925,original
24.11.2025 10:33:31,16.2309,81.0297,117,441,507,40325,811,original
24.11.2025 10:34:02,16.2029,81.0867,117,441,507,40700,639,original
24.11.2025 10:34:32,16.1756,81.1422,117,443,510,40975,295,original
24.11.2025 10:35:03,16.1458,81.2027,117,451,519,41000,21,original
24.11.2025 10:35:42,16.1087,81.2788,117,455,524,41000,0,original
24.11.2025 10:36:12,16.0794,81.3378,117,454,522,41000,0,original
24.11.2025 10:36:42,16.0511,81.3951,117,451,519,41000,0,original
24.11.2025 10:37:12,16.0223,81.4536,117,450,518,41000,0,original
24.11.2025 10:37:42,15.9938,81.5113,117,448,516,41000,0,original
24.11.2025 10:38:12,15.9654,81.5687,117,448,516,41000,0,original
24.11.2025 10:38:42,15.9384,81.6234,117,448,516,41000,48,original
24.11.2025 10:39:14,15.9083,81.6843,117,452,520,41050,242,original
24.11.2025 10:39:44,15.8791,81.7429,117,453,521,41250,467,original
24.11.2025 10:40:15,15.8492,81.8034,117,450,518,41525,615,original
24.11.2025 10:40:45,15.8210,81.8603,117,444,511,41875,808,original
24.11.2025 10:41:20,15.7882,81.9262,117,437,503,42400,818,original
24.11.2025 10:41:51,15.7598,81.9835,117,433,498,42775,713,original
24.11.2025 10:42:21,15.7317,82.0397,117,430,495,43125,675,original
24.11.2025 10:42:51,15.7046,82.0944,117,426,490,43450,650,original
24.11.2025 10:43:21,15.6775,82.1486,117,422,486,43775,675,original
24.11.2025 10:43:51,15.6506,82.2026,117,418,481,44125,675,original
24.11.2025 10:44:21,15.6238,82.2564,117,412,474,44450,650,original
24.11.2025 10:44:51,15.5980,82.3080,117,408,470,44775,541,original
24.11.2025 10:45:22,15.5721,82.3598,117,406,467,45000,201,original
24.11.2025 10:45:58,15.5411,82.4218,117,408,470,45000,0,original
24.11.2025 10:46:43,15.5012,82.5014,117,410,472,45000,0,original
24.11.2025 10:47:19,15.4701,82.5638,117,412,474,45000,0,original
24.11.2025 10:47:49,15.4430,82.6176,117,413,475,45000,0,original
24.11.2025 10:48:19,15.4162,82.6707,118,414,476,45000,0,original
24.11.2025 10:48:49,15.3898,82.7233,117,416,479,45000,0,original
24.11.2025 10:49:19,15.3637,82.7758,117,418,481,45000,0,original
24.11.2025 10:49:49,15.3359,82.8304,118,420,483,45000,0,original
24.11.2025 10:50:19,15.3093,82.8835,118,420,483,45000,0,original
24.11.2025 10:50:49,15.2824,82.9372,117,420,483,45000,0,original
24.11.2025 10:51:19,15.2551,82.9909,117,422,486,45000,0,original
24.11.2025 10:51:49,15.2283,83.0442,117,422,486,45000,0,original
24.11.2025 10:52:20,15.2007,83.0990,117,423,487,45000,0,original
24.11.2025 10:52:51,15.1730,83.1535,117,424,488,45000,0,original
24.11.2025 10:53:21,15.1459,83.2070,117,424,488,45000,0,original
24.11.2025 10:53:51,15.1190,83.2604,117,425,489,45000,0,original
24.11.2025 10:54:50,15.0638,83.3695,118,425,489,45000,0,original
24.11.2025 10:55:20,15.0364,83.4236,118,425,489,45000,0,original
24.11.2025 10:55:50,15.0092,83.4769,118,426,490,45000,0,original
24.11.2025 10:56:20,14.9810,83.5326,118,428,493,45000,0,original
24.11.2025 10:56:50,14.9535,83.5865,117,429,494,45000,0,original
24.11.2025 10:57:21,14.9256,83.6417,118,429,494,45000,0,original
24.11.2025 10:57:51,14.8979,83.6960,118,429,494,45000,0,original
24.11.2025 10:58:21,14.8702,83.7504,118,429,494,45000,0,original
24.11.2025 10:59:09,14.8262,83.8367,118,426,490,45000,0,original
24.11.2025 10:59:42,14.7960,83.8959,118,425,489,45000,0,original
24.11.2025 11:00:12,14.7683,83.9503,118,422,486,45000,0,original
24.11.2025 11:00:51,14.7336,84.0179,118,423,487,45000,0,original
24.11.2025 11:01:37,14.6903,84.1029,118,423,487,45000,0,original
24.11.2025 11:02:12,14.6588,84.1641,118,423,487,45000,0,original
24.11.2025 11:02:47,14.6266,84.2270,118,425,489,45000,0,original
24.11.2025 11:03:18,14.5985,84.2818,118,425,489,45000,0,original
24.11.2025 11:03:59,14.5604,84.3561,118,425,489,45000,0,original
24.11.2025 11:05:00,14.5049,84.4639,118,426,490,45000,0,original
24.11.2025 11:05:41,14.4663,84.5389,118,425,489,45000,0,original
24.11.2025 11:06:19,14.4325,84.6049,118,421,484,45000,0,original
24.11.2025 11:07:02,14.3922,84.6826,118,420,483,45000,0,original
24.11.2025 11:07:39,14.3591,84.7473,118,419,482,45000,0,original
24.11.2025 11:08:12,14.3290,84.8053,118,419,482,45000,0,original
24.11.2025 11:08:42,14.3013,84.8579,120,418,481,45000,0,original
24.11.2025 11:09:16,14.2680,84.9160,120,416,479,45000,0,original
24.11.2025 11:09:56,14.2296,84.9847,119,416,479,45000,0,original
24.11.2025 11:10:37,14.1902,85.0552,120,414,476,45000,0,original
24.11.2025 11:11:07,14.161347651006713,85.10638120805369,120.0,414,476,45000,0,interpolated
24.11.2025 11:11:37,14.132495302013425,85.15756241610738,120.0,414,476,45000,0,interpolated
24.11.2025 11:12:07,14.103642953020135,85.20874362416107,120.0,414,476,45000,0,interpolated
24.11.2025 11:12:37,14.074790604026846,85.25992483221476,120.0,414,476,45000,0,interpolated
24.11.2025 11:13:06,14.0469,85.3094,120,414,476,45000,0,original
24.11.2025 11:13:41,14.0143,85.3671,120,412,474,45000,0,original
24.11.2025 11:14:39,13.9579,85.4669,120,411,473,45000,0,original
24.11.2025 11:15:09,13.928600443074552,85.5163309381622,120.00577923328838,411,473,45000,0,interpolated
24.11.2025 11:15:39,13.899300886149105,85.5657618763244,120.01155846657677,411,473,45000,0,interpolated
24.11.2025 11:16:09,13.870001329223657,85.6151928144866,120.01733769986515,411,473,45000,0,interpolated
24.11.2025 11:16:39,13.840701772298209,85.66462375264881,120.02311693315353,411,473,45000,0,interpolated
24.11.2025 11:17:09,13.81140221537276,85.71405469081101,120.02889616644192,411,473,45000,0,interpolated
24.11.2025 11:17:39,13.782102658447313,85.76348562897321,120.0346753997303,411,473,45000,0,interpolated
24.11.2025 11:18:09,13.752803101521865,85.81291656713542,120.04045463301868,411,473,45000,0,interpolated
24.11.2025 11:18:39,13.723503544596417,85.86234750529762,120.04623386630708,411,473,45000,0,interpolated
24.11.2025 11:19:09,13.694203987670969,85.91177844345982,120.05201309959546,411,472,45000,0,interpolated
24.11.2025 11:19:39,13.664904430745521,85.96120938162204,120.05779233288384,410,472,45000,0,interpolated
24.11.2025 11:20:09,13.635604873820073,86.01064031978424,120.06357156617221,410,472,45000,0,interpolated
24.11.2025 11:20:39,13.606305316894625,86.06007125794645,120.06935079946061,410,472,45000,0,interpolated
24.11.2025 11:21:09,13.577005759969177,86.10950219610865,120.07513003274899,410,472,45000,0,interpolated
24.11.2025 11:21:39,13.54770620304373,86.15893313427085,120.08090926603737,410,472,45000,0,interpolated
24.11.2025 11:22:09,13.518406646118281,86.20836407243306,120.08668849932576,410,472,45000,0,interpolated
24.11.2025 11:22:39,13.489107089192833,86.25779501059526,120.09246773261414,410,472,45000,0,interpolated
24.11.2025 11:23:09,13.459807532267385,86.30722594875746,120.09824696590252,410,472,45000,0,interpolated
24.11.2025 11:23:39,13.43050797534194,86.35665688691967,120.10402619919091,410,472,45000,0,interpolated
24.11.2025 11:24:09,13.401208418416491,86.40608782508187,120.10980543247929,410,472,45000,0,interpolated
24.11.2025 11:24:39,13.371908861491043,86.45551876324407,120.11558466576767,410,472,45000,0,interpolated
24.11.2025 11:25:09,13.342609304565595,86.50494970140628,120.12136389905606,410,472,45000,0,interpolated
24.11.2025 11:25:39,13.313309747640147,86.55438063956848,120.12714313234444,410,472,45000,0,interpolated
24.11.2025 11:26:09,13.2840101907147,86.60381157773068,120.13292236563282,410,472,45000,0,interpolated
