time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
24.11.2025 05:57:26,25.3312,55.5171,301,162,186,200,0,original
24.11.2025 05:57:26,25.3312,55.5171,301,162,186,318,2813,original
24.11.2025 05:57:42,25.3378,55.5050,301,170,196,950,2591,original
24.11.2025 05:57:58,25.3447,55.4928,302,181,208,1700,2382,original
24.11.2025 05:58:16,25.3526,55.4794,304,196,226,2300,1632,original
24.11.2025 05:58:32,25.3617,55.4646,304,227,261,2625,802,original
24.11.2025 05:58:59,25.3789,55.4348,303,285,328,2875,349,original
24.11.2025 05:59:15,25.3949,55.4186,333,306,352,2875,-47,original
24.11.2025 05:59:31,25.4183,55.4129,359,309,356,2850,353,original
24.11.2025 05:59:49,25.4404,55.4198,27,305,351,3075,1238,original
24.11.2025 06:00:11,25.4677,55.4378,35,301,346,3675,1939,original
24.11.2025 06:00:30,25.4897,55.4550,35,297,342,4400,2271,original
24.11.2025 06:00:46,25.5062,55.4689,44,303,349,5000,1809,original
24.11.2025 06:01:04,25.5196,55.4951,74,324,373,5425,1235,original
24.11.2025 06:01:20,25.5199,55.5226,102,343,395,5700,1261,original
24.11.2025 06:01:48,25.5015,55.5685,120,363,418,6350,1613,original
24.11.2025 06:02:13,25.4791,55.6084,118,363,418,7125,1500,original
24.11.2025 06:02:32,25.4674,55.6402,108,367,422,7450,1026,original
24.11.2025 06:02:51,25.4583,55.6745,105,371,427,7775,1760,original
24.11.2025 06:03:24,25.4434,55.7340,106,364,419,8975,2474,original
24.11.2025 06:04:08,25.4212,55.8143,106,374,430,10950,2552,original
24.11.2025 06:04:41,25.4052,55.8733,108,390,449,12250,2619,original
24.11.2025 06:05:11,25.3892,55.9322,106,399,459,13700,3048,original
24.11.2025 06:05:44,25.3709,55.9979,106,411,473,15450,3208,original
24.11.2025 06:06:16,25.3527,56.0635,107,420,483,17175,3194,original
24.11.2025 06:06:46,25.3355,56.1258,107,426,490,18750,2925,original
24.11.2025 06:07:16,25.3172,56.1886,109,437,503,20100,2325,original
24.11.2025 06:07:46,25.2957,56.2523,111,450,518,21075,1967,original
24.11.2025 06:08:17,25.2729,56.3205,110,461,531,22100,1918,original
24.11.2025 06:08:47,25.2508,56.3871,109,472,543,23025,1839,original
24.11.2025 06:09:19,25.2258,56.4640,109,480,552,24000,1718,original
24.11.2025 06:09:49,25.2045,56.5273,111,486,559,24800,1525,original
24.11.2025 06:10:19,25.1810,56.5983,111,494,568,25525,1450,original
24.11.2025 06:10:49,25.1543,56.6705,113,501,577,26250,1200,original
24.11.2025 06:11:19,25.1258,56.7425,113,510,587,26725,1250,original
24.11.2025 06:11:49,25.0997,56.8112,112,509,586,27500,1825,original
24.11.2025 06:12:19,25.0706,56.8886,112,506,582,28550,1967,original
24.11.2025 06:12:50,25.0443,56.9587,113,500,575,29500,1893,original
24.11.2025 06:13:20,25.0173,57.0283,113,495,570,30475,1825,original
24.11.2025 06:13:50,24.9911,57.0981,113,493,567,31325,1650,original
24.11.2025 06:14:20,24.9646,57.1685,112,492,566,32125,1548,original
24.11.2025 06:14:52,24.9365,57.2416,112,489,563,32925,1524,original
24.11.2025 06:15:22,24.9105,57.3097,113,487,560,33700,1549,original
24.11.2025 06:15:53,24.8838,57.3798,113,484,557,34500,1230,original
24.11.2025 06:16:23,24.8574,57.4479,113,489,563,34950,700,original
24.11.2025 06:16:53,24.8309,57.5173,112,497,572,35200,525,original
24.11.2025 06:17:23,24.8037,57.5888,113,500,575,35475,541,original
24.11.2025 06:17:54,24.7761,57.6586,113,505,581,35750,566,original
24.11.2025 06:18:24,24.7494,57.7287,113,505,581,36050,675,original
24.11.2025 06:18:54,24.7229,57.8006,110,506,582,36425,850,original
24.11.2025 06:19:24,24.7000,57.8753,108,504,580,36900,950,original
24.11.2025 06:19:54,24.6778,57.9478,109,500,575,37375,900,original
24.11.2025 06:20:24,24.6546,58.0198,110,499,574,37800,800,original
24.11.2025 06:20:54,24.6324,58.0915,108,500,575,38175,725,original
24.11.2025 06:21:24,24.6102,58.1626,109,498,573,38525,725,original
24.11.2025 06:21:54,24.5876,58.2336,109,497,572,38900,775,original
24.11.2025 06:22:24,24.5650,58.3060,109,495,570,39300,750,original
24.11.2025 06:22:54,24.5427,58.3768,109,492,566,39650,925,original
24.11.2025 06:23:24,24.5199,58.4477,109,485,558,40225,1125,original
24.11.2025 06:23:54,24.4983,58.5165,109,478,550,40775,1107,original
24.11.2025 06:24:25,24.4761,58.5864,109,471,542,41350,1033,original
24.11.2025 06:24:55,24.4548,58.6532,109,467,537,41825,700,original
24.11.2025 06:25:25,24.4336,58.7201,109,471,542,42050,420,original
24.11.2025 06:25:45,24.4182,58.7652,113,469,540,42175,420,original
24.11.2025 06:26:15,24.3905,58.8304,116,468,539,42400,277,original
24.11.2025 06:26:50,24.3550,58.9062,117,473,544,42475,162,original
24.11.2025 06:27:20,24.3266,58.9705,116,479,551,42575,172,original
24.11.2025 06:27:51,24.2979,59.0347,116,482,555,42650,145,original
24.11.2025 06:28:22,24.2664,59.1056,116,485,558,42725,134,original
