time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
25.11.2025 14:39:51,8.1151,98.3375,85,147,169,1250,0,original
25.11.2025 14:40:07,8.1158,98.3481,86,143,165,2100,2779,original
25.11.2025 14:40:25,8.1171,98.3603,83,153,176,2825,2270,original
25.11.2025 14:40:44,8.1191,98.3751,82,172,198,3500,2057,original
25.11.2025 14:41:00,8.1205,98.3882,85,188,216,4025,2029,original
25.11.2025 14:41:18,8.1168,98.4036,124,212,244,4650,2092,original
25.11.2025 14:41:38,8.0980,98.4143,173,254,292,5350,2100,original
25.11.2025 14:42:08,8.0600,98.4035,204,299,344,6400,2395,original
25.11.2025 14:42:40,8.0184,98.3849,204,313,360,7825,2790,original
25.11.2025 14:42:58,7.9945,98.3744,203,318,366,8725,2956,original
25.11.2025 14:43:14,7.9738,98.3657,202,323,372,9500,3033,original
25.11.2025 14:43:43,7.9315,98.3470,213,342,394,11000,3090,original
25.11.2025 14:44:04,7.9106,98.3212,244,358,412,12075,3107,original
25.11.2025 14:44:25,7.9038,98.2845,269,370,426,13175,2800,original
25.11.2025 14:44:49,7.9076,98.2455,280,376,433,14175,2389,original
25.11.2025 14:45:19,7.9193,98.1952,285,360,414,15325,2175,original
25.11.2025 14:45:49,7.9325,98.1473,285,353,406,16350,2104,original
25.11.2025 14:46:26,7.9466,98.0852,281,378,435,17675,2104,original
25.11.2025 14:46:56,7.9554,98.0318,279,399,459,18700,2050,original
25.11.2025 14:47:26,7.9656,97.9744,280,417,480,19725,2025,original
25.11.2025 14:47:56,7.9758,97.9176,280,426,490,20725,1992,original
25.11.2025 14:48:27,7.9861,97.8574,280,415,478,21750,1967,original
25.11.2025 14:48:57,7.9964,97.8011,280,408,470,22725,2000,original
25.11.2025 14:49:30,8.0068,97.7399,279,400,460,23850,2000,original
25.11.2025 14:50:00,8.0164,97.6851,280,405,466,24825,1600,original
25.11.2025 14:50:30,8.0268,97.6274,280,424,488,25450,1125,original
25.11.2025 14:51:00,8.0370,97.5677,280,444,511,25950,440,original
25.11.2025 14:51:45,8.0540,97.4716,280,483,556,26000,34,original
25.11.2025 14:52:27,8.0706,97.3758,280,509,586,26000,0,original
25.11.2025 14:52:57,8.0829,97.3052,281,508,585,26000,262,original
