time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
25.11.2025 18:25:55,17.2292,78.4457,88,152,175,2425,0,original
25.11.2025 18:26:11,17.2294,78.4575,89,158,182,3175,3188,original
25.11.2025 18:26:27,17.2295,78.4710,90,159,183,4125,2909,original
25.11.2025 18:26:44,17.2297,78.4834,88,173,199,4775,1909,original
25.11.2025 18:27:00,17.2300,78.4973,89,197,227,5175,2162,original
25.11.2025 18:27:18,17.2302,78.5157,88,204,235,6000,2786,original
25.11.2025 18:27:35,17.2367,78.5314,46,214,246,6800,2554,original
25.11.2025 18:27:55,17.2552,78.5403,12,239,275,7575,2333,original
25.11.2025 18:28:11,17.2738,78.5419,0,257,296,8200,2186,original
25.11.2025 18:28:30,17.2973,78.5411,357,281,323,8850,2063,original
25.11.2025 18:28:51,17.3262,78.5377,347,305,351,9575,2063,original
25.11.2025 18:29:10,17.3493,78.5215,311,326,375,10225,2036,original
25.11.2025 18:29:33,17.3658,78.4893,291,348,400,11000,2091,original
25.11.2025 18:30:16,17.3895,78.4161,289,382,440,12525,2137,original
25.11.2025 18:30:46,17.4074,78.3621,289,402,463,13600,2129,original
25.11.2025 18:31:18,17.4265,78.3024,289,415,478,14725,2226,original
25.11.2025 18:31:48,17.4453,78.2443,288,422,486,15900,2425,original
25.11.2025 18:32:18,17.4645,78.1847,289,426,490,17150,2475,original
25.11.2025 18:32:48,17.4829,78.1274,289,430,495,18375,2450,original
25.11.2025 18:33:18,17.5025,78.0669,288,432,497,19600,2425,original
25.11.2025 18:33:48,17.5215,78.0072,288,433,498,20800,2400,original
25.11.2025 18:34:18,17.5411,77.9467,289,434,499,22000,2323,original
25.11.2025 18:34:50,17.5605,77.8861,289,435,501,23200,2274,original
25.11.2025 18:35:20,17.5799,77.8250,289,436,502,24350,2140,original
25.11.2025 18:35:58,17.6039,77.7502,289,439,505,25625,1941,original
25.11.2025 18:36:28,17.6232,77.6896,288,442,509,26550,1900,original
25.11.2025 18:36:58,17.6428,77.6284,288,441,507,27525,1850,original
25.11.2025 18:37:28,17.6623,77.5659,289,441,507,28400,1725,original
25.11.2025 18:37:58,17.6819,77.5067,288,440,506,29250,1600,original
25.11.2025 18:38:28,17.7006,77.4461,287,441,507,30000,1500,original
25.11.2025 18:38:58,17.7199,77.3848,289,442,509,30750,1450,original
