time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
30.11.2025 11:26:27,50.8753,7.1156,320,149,171,975,0,original
30.11.2025 11:26:43,50.8840,7.1048,325,149,171,1850,3047,original
30.11.2025 11:26:59,50.8938,7.0948,329,154,177,2600,2813,original
30.11.2025 11:27:15,50.9041,7.0853,330,163,188,3350,2250,original
30.11.2025 11:27:31,50.9118,7.0719,295,173,199,3800,2391,original
30.11.2025 11:27:47,50.9129,7.0503,266,172,198,4625,3043,original
30.11.2025 11:28:06,50.9104,7.0294,254,176,203,5575,3250,original
30.11.2025 11:28:23,50.9055,7.0065,248,176,203,6575,3397,original
30.11.2025 11:28:40,50.9004,6.9886,244,174,200,7500,3132,original
30.11.2025 11:28:57,50.8933,6.9677,241,188,216,8350,2707,original
30.11.2025 11:29:21,50.8827,6.9374,242,213,245,9350,2553,original
30.11.2025 11:29:44,50.8714,6.9028,243,241,277,10350,2547,original
30.11.2025 11:30:14,50.8540,6.8498,242,280,322,11600,2667,original
30.11.2025 11:30:47,50.8338,6.7898,242,302,348,13150,3086,original
30.11.2025 11:31:24,50.8094,6.7160,242,313,360,15200,3342,original
30.11.2025 11:31:44,50.7956,6.6750,242,317,365,16325,3357,original
30.11.2025 11:32:27,50.7663,6.5872,242,318,366,18725,3349,original
30.11.2025 11:32:57,50.7447,6.5228,242,320,368,20400,3075,original
30.11.2025 11:33:27,50.7244,6.4626,242,326,375,21800,2700,original
30.11.2025 11:33:57,50.7033,6.4000,242,333,383,23100,2559,original
30.11.2025 11:34:18,50.6877,6.3537,242,339,390,23975,2420,original
30.11.2025 11:34:41,50.6708,6.3041,242,345,397,24875,2427,original
30.11.2025 11:35:13,50.6465,6.2326,243,352,405,26200,2438,original
30.11.2025 11:35:29,50.6363,6.1947,250,358,412,26825,2182,original
30.11.2025 11:35:46,50.6276,6.1517,253,365,420,27400,2025,original
30.11.2025 11:36:09,50.6171,6.0955,254,372,428,28175,2074,original
30.11.2025 11:36:33,50.6045,6.0277,254,377,434,29025,2059,original
30.11.2025 11:37:00,50.5918,5.9567,254,381,438,29925,1915,original
30.11.2025 11:37:20,50.5825,5.9060,254,384,442,30525,1669,original
30.11.2025 11:38:02,50.5599,5.7931,252,390,449,31650,1563,original
30.11.2025 11:38:32,50.5421,5.7119,251,393,452,32400,1525,original
30.11.2025 11:39:02,50.5237,5.6311,250,397,457,33175,1551,original
30.11.2025 11:39:31,50.5049,5.5499,250,398,458,33925,1333,original
30.11.2025 11:39:47,50.4955,5.5108,249,401,461,34175,1011,original
30.11.2025 11:40:17,50.4755,5.4282,249,407,468,34700,1025,original
30.11.2025 11:40:47,50.4556,5.3469,249,411,473,35200,992,original
30.11.2025 11:41:16,50.4338,5.2604,248,415,478,35675,839,original
30.11.2025 11:41:46,50.4133,5.1809,248,419,482,36025,700,original
30.11.2025 11:42:16,50.3911,5.0977,247,424,488,36375,750,original
30.11.2025 11:42:46,50.3678,5.0100,248,425,489,36775,750,original
30.11.2025 11:43:16,50.3447,4.9237,247,427,491,37125,722,original
30.11.2025 11:43:40,50.3275,4.8594,247,428,493,37425,750,original
30.11.2025 11:43:58,50.3111,4.8085,240,431,496,37650,750,original
30.11.2025 11:44:40,50.2644,4.6971,236,432,497,38175,647,original
30.11.2025 11:45:33,50.2071,4.5612,237,434,499,38675,560,original
30.11.2025 11:46:03,50.1746,4.4839,237,435,501,38950,550,original
30.11.2025 11:46:33,50.1408,4.4041,237,435,501,39225,550,original
30.11.2025 11:47:03,50.1076,4.3254,237,434,499,39500,550,original
30.11.2025 11:47:33,50.0761,4.2510,237,434,499,39775,550,original
30.11.2025 11:48:03,50.0423,4.1717,237,433,498,40050,550,original
30.11.2025 11:48:33,50.0091,4.0935,237,433,498,40325,525,original
30.11.2025 11:49:03,49.9755,4.0152,236,431,496,40575,545,original
30.11.2025 11:49:28,49.9479,3.9508,237,431,496,40825,436,original
30.11.2025 11:49:58,49.9149,3.8739,236,432,497,40975,175,original
30.11.2025 11:50:28,49.8823,3.7982,236,434,499,41000,25,original
30.11.2025 11:50:58,49.8489,3.7209,236,435,501,41000,0,original
30.11.2025 11:51:28,49.8148,3.6423,236,432,497,41000,0,original
30.11.2025 11:51:52,49.7890,3.5831,293,528,608,41000,0,original
30.11.2025 11:52:25,49.7518,3.4975,236,427,491,41000,0,original
30.11.2025 11:52:56,49.7170,3.4182,236,425,489,41000,0,original
30.11.2025 11:53:26,49.6846,3.3440,236,424,488,41000,0,original
30.11.2025 11:53:56,49.6518,3.2694,236,426,490,41000,0,original
30.11.2025 11:54:26,49.6195,3.1961,236,427,491,41000,0,original
30.11.2025 11:54:56,49.5857,3.1198,236,428,493,41000,0,original
30.11.2025 11:55:26,49.5510,3.0442,234,429,494,41000,0,original
30.11.2025 11:55:56,49.5173,2.9728,235,429,494,41000,0,original
30.11.2025 11:56:26,49.4818,2.8960,234,428,493,41000,0,original
30.11.2025 11:56:56,49.4471,2.8223,234,428,493,41000,0,original
30.11.2025 11:57:26,49.4137,2.7511,234,427,491,41000,0,original
30.11.2025 11:57:56,49.3768,2.6726,234,427,491,41000,0,original
30.11.2025 11:58:26,49.3442,2.6038,234,427,491,41000,0,original
