time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
01.12.2025 18:51:33,51.3266,0.0288,208,127,146,1250,0,original
01.12.2025 18:51:49,51.3186,0.0224,207,119,137,1975,2156,original
01.12.2025 18:52:05,51.3115,0.0125,244,147,169,2400,1500,original
01.12.2025 18:52:21,51.3121,-0.0058,291,191,220,2775,656,original
01.12.2025 18:52:37,51.3237,-0.0239,332,235,270,2750,328,original
01.12.2025 18:52:53,51.3420,-0.0262,9,230,265,2950,375,original
01.12.2025 18:53:09,51.3555,-0.0108,49,224,258,2950,516,original
01.12.2025 18:53:25,51.3595,0.0090,89,194,223,3225,750,original
01.12.2025 18:53:41,51.3548,0.0281,133,167,192,3350,422,original
01.12.2025 18:53:57,51.3442,0.0369,166,152,175,3450,47,original
01.12.2025 18:54:13,51.3337,0.0475,128,192,221,3375,0,original
01.12.2025 18:54:29,51.3298,0.0702,93,220,253,3450,94,original
01.12.2025 18:54:45,51.3310,0.0975,84,230,265,3425,234,original
01.12.2025 18:55:01,51.3330,0.1253,84,235,270,3575,851,original
01.12.2025 18:55:22,51.3355,0.1644,86,257,296,3950,1088,original
01.12.2025 18:55:41,51.3348,0.2005,93,269,310,4300,711,original
01.12.2025 18:56:00,51.3325,0.2384,97,284,327,4400,122,original
01.12.2025 18:56:30,51.3273,0.3029,98,288,331,4400,850,original
01.12.2025 18:57:00,51.3226,0.3656,97,285,328,5250,1819,original
01.12.2025 18:57:17,51.3201,0.4008,97,286,329,5825,1979,original
01.12.2025 18:57:47,51.3154,0.4619,97,285,328,6800,2438,original
01.12.2025 18:58:13,51.3111,0.5172,97,285,328,8100,2972,original
01.12.2025 18:58:40,51.3065,0.5728,98,292,336,9425,2873,original
01.12.2025 18:59:12,51.3003,0.6467,98,314,361,10925,2395,original
01.12.2025 18:59:42,51.2937,0.7144,99,338,389,11900,1989,original
01.12.2025 18:59:58,51.2895,0.7549,100,346,398,12450,2071,original
01.12.2025 19:00:24,51.2814,0.8241,101,356,410,13350,2071,original
01.12.2025 19:00:40,51.2764,0.8646,102,361,415,13900,1957,original
01.12.2025 19:01:10,51.2663,0.9436,101,369,425,14850,1775,original
01.12.2025 19:01:40,51.2558,1.0283,101,385,443,15675,1825,original
01.12.2025 19:02:10,51.2448,1.1135,102,402,463,16675,1959,original
01.12.2025 19:02:29,51.2390,1.1659,98,410,472,17275,1959,original
01.12.2025 19:02:59,51.2314,1.2574,97,419,482,18275,1982,original
01.12.2025 19:03:25,51.2253,1.3370,97,425,489,19125,1988,original
01.12.2025 19:03:42,51.2211,1.3912,97,428,493,19700,1915,original
01.12.2025 19:04:12,51.2136,1.4855,97,435,501,20625,1661,original
01.12.2025 19:04:38,51.2077,1.5661,95,448,516,21250,1473,original
01.12.2025 19:05:08,51.2035,1.6693,94,458,527,22000,1475,original
01.12.2025 19:05:38,51.1985,1.7691,95,467,537,22725,1450,original
01.12.2025 19:06:08,51.1926,1.8750,95,472,543,23450,1475,original
01.12.2025 19:06:38,51.1872,1.9775,95,468,539,24200,1525,original
01.12.2025 19:07:08,51.1821,2.0796,95,468,539,24975,1575,original
01.12.2025 19:07:38,51.1771,2.1824,94,468,539,25775,1550,original
01.12.2025 19:08:08,51.1722,2.2836,94,471,542,26525,1550,original
01.12.2025 19:08:38,51.1674,2.3890,94,474,545,27325,1600,original
01.12.2025 19:09:08,51.1626,2.4930,96,478,550,28125,1587,original
01.12.2025 19:09:47,51.1475,2.6273,102,476,548,29150,1609,original
01.12.2025 19:10:17,51.1334,2.7292,102,477,549,29975,1725,original
01.12.2025 19:10:47,51.1204,2.8314,101,476,548,30875,1875,original
01.12.2025 19:11:17,51.1070,2.9360,102,474,545,31850,1775,original
01.12.2025 19:11:47,51.0936,3.0383,102,477,549,32650,1150,original
01.12.2025 19:12:17,51.0797,3.1460,102,485,558,33000,350,original
01.12.2025 19:12:47,51.0665,3.2452,102,495,570,33000,0,original
01.12.2025 19:13:17,51.0522,3.3544,102,493,567,33000,0,original
01.12.2025 19:13:47,51.0384,3.4590,102,493,567,33000,0,original
01.12.2025 19:14:17,51.0245,3.5626,102,492,566,33000,0,original
01.12.2025 19:14:34,51.0160,3.6253,102,492,566,33000,0,original
01.12.2025 19:15:04,51.0017,3.7308,102,491,565,33000,0,original
01.12.2025 19:15:34,50.9875,3.8354,102,491,565,33000,0,original
01.12.2025 19:16:04,50.9732,3.9398,102,489,563,33000,0,original
01.12.2025 19:16:34,50.9583,4.0467,102,489,563,33000,0,original
01.12.2025 19:16:54,50.9489,4.1151,102,488,562,33000,0,original
01.12.2025 19:17:24,50.9334,4.2254,102,489,563,33000,0,original
01.12.2025 19:17:54,50.9195,4.3247,103,490,564,33000,-1000,original
01.12.2025 19:18:24,50.9049,4.4274,103,486,559,32000,-2275,original
01.12.2025 19:18:54,50.8898,4.5328,103,483,556,30725,-2575,original
01.12.2025 19:19:24,50.8754,4.6336,103,480,552,29425,-2575,original
01.12.2025 19:19:54,50.8606,4.7355,103,479,551,28150,-2575,original
01.12.2025 19:20:24,50.8457,4.8376,103,475,547,26850,-2600,original
01.12.2025 19:20:54,50.8311,4.9376,103,468,539,25550,-2650,original
