time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
01.12.2025 10:52:31,28.4849,-16.3485,289,155,178,2275,0,original
01.12.2025 10:52:47,28.4881,-16.3603,286,163,188,2950,2956,original
01.12.2025 10:53:05,28.4920,-16.3758,287,168,193,3950,3706,original
01.12.2025 10:53:21,28.4967,-16.3900,295,162,186,5050,3188,original
01.12.2025 10:53:37,28.5012,-16.4023,290,174,200,5650,1781,original
01.12.2025 10:53:53,28.5057,-16.4178,288,204,235,6000,2022,original
01.12.2025 10:54:23,28.5160,-16.4506,296,222,255,7200,2438,original
01.12.2025 10:54:41,28.5294,-16.4657,335,218,251,7950,2132,original
01.12.2025 10:55:01,28.5485,-16.4691,1,228,262,8550,1728,original
01.12.2025 10:55:27,28.5767,-16.4663,8,253,291,9275,1585,original
01.12.2025 10:56:12,28.6337,-16.4558,8,295,339,10425,1700,original
01.12.2025 10:56:42,28.6752,-16.4497,7,305,351,11400,2225,original
01.12.2025 10:57:12,28.7178,-16.4433,8,307,353,12650,2500,original
01.12.2025 10:57:42,28.7609,-16.4366,8,308,354,13900,2225,original
01.12.2025 10:58:12,28.8028,-16.4305,7,317,365,14875,1950,original
01.12.2025 10:58:42,28.8471,-16.4239,8,325,374,15850,1975,original
01.12.2025 10:59:12,28.8925,-16.4171,7,333,383,16850,2000,original
01.12.2025 10:59:42,28.9397,-16.4102,7,339,390,17850,2000,original
01.12.2025 11:00:12,28.9875,-16.4031,8,344,396,18850,1975,original
01.12.2025 11:00:42,29.0338,-16.3961,8,347,399,19825,1992,original
01.12.2025 11:01:13,29.0852,-16.3885,8,351,404,20875,1992,original
01.12.2025 11:01:43,29.1322,-16.3815,8,354,407,21850,2000,original
01.12.2025 11:02:13,29.1834,-16.3739,7,356,410,22875,1950,original
01.12.2025 11:02:43,29.2321,-16.3666,7,360,414,23800,1750,original
01.12.2025 11:03:13,29.2813,-16.3593,8,364,419,24625,1550,original
01.12.2025 11:03:43,29.3299,-16.3520,8,370,426,25350,1377,original
01.12.2025 11:04:14,29.3834,-16.3441,7,379,436,26025,1303,original
01.12.2025 11:04:44,29.4377,-16.3360,8,388,447,26675,1275,original
01.12.2025 11:05:14,29.4932,-16.3276,7,394,453,27300,1300,original
01.12.2025 11:05:44,29.5478,-16.3195,8,398,458,27975,1200,original
01.12.2025 11:06:14,29.6033,-16.3112,8,406,467,28500,1025,original
01.12.2025 11:06:44,29.6577,-16.3030,8,412,474,29000,950,original
01.12.2025 11:07:14,29.7148,-16.2944,7,417,480,29450,950,original
01.12.2025 11:07:44,29.7736,-16.2855,8,421,484,29950,975,original
01.12.2025 11:08:14,29.8315,-16.2767,8,424,488,30425,975,original
01.12.2025 11:08:44,29.8905,-16.2679,7,426,490,30925,984,original
01.12.2025 11:09:15,29.9493,-16.2589,8,428,493,31425,1057,original
01.12.2025 11:09:45,30.0107,-16.2497,8,428,493,32000,1200,original
01.12.2025 11:10:15,30.0704,-16.2406,7,426,490,32625,1250,original
01.12.2025 11:10:45,30.1265,-16.2321,8,423,487,33250,1350,original
01.12.2025 11:11:15,30.1840,-16.2234,8,419,482,33975,1475,original
01.12.2025 11:11:45,30.2421,-16.2145,8,415,478,34725,1525,original
01.12.2025 11:12:15,30.3012,-16.2055,8,411,473,35500,1475,original
01.12.2025 11:12:45,30.3553,-16.1973,8,408,470,36200,1375,original
01.12.2025 11:13:15,30.4094,-16.1890,8,405,466,36875,1250,original
01.12.2025 11:13:45,30.4673,-16.1802,7,404,465,37450,1033,original
01.12.2025 11:14:16,30.5232,-16.1717,8,407,468,37925,959,original
01.12.2025 11:14:46,30.5792,-16.1631,8,408,470,38425,975,original
01.12.2025 11:15:16,30.6364,-16.1543,8,407,468,38900,975,original
01.12.2025 11:15:46,30.6921,-16.1458,8,407,468,39400,975,original
01.12.2025 11:16:16,30.7479,-16.1372,8,405,466,39875,529,original
01.12.2025 11:16:54,30.8222,-16.1258,8,413,475,40000,106,original
01.12.2025 11:17:27,30.8829,-16.1162,10,419,482,40000,0,original
01.12.2025 11:17:47,30.9208,-16.1042,19,421,484,40000,0,original
01.12.2025 11:18:18,30.9755,-16.0778,25,422,486,40000,0,original
01.12.2025 11:18:49,31.0288,-16.0485,25,421,484,40000,0,original
01.12.2025 11:19:28,31.1004,-16.0106,24,420,483,40000,0,original
01.12.2025 11:20:00,31.1535,-15.9826,25,419,482,40000,0,original
01.12.2025 11:20:35,31.2164,-15.9491,25,419,482,40000,0,original
01.12.2025 11:21:05,31.2696,-15.9209,25,418,481,40000,0,original
01.12.2025 11:21:37,31.3266,-15.8906,25,417,480,40000,0,original
01.12.2025 11:22:07,31.3799,-15.8622,24,416,479,40000,0,original
01.12.2025 11:22:37,31.4325,-15.8343,25,416,479,40000,0,original
01.12.2025 11:23:07,31.4857,-15.8059,25,416,479,40000,0,original
01.12.2025 11:23:37,31.5369,-15.7787,25,416,479,40000,0,original
01.12.2025 11:24:07,31.5901,-15.7502,25,416,479,40000,0,original
01.12.2025 11:24:39,31.6455,-15.7206,25,417,480,40000,97,original
01.12.2025 11:25:09,31.6977,-15.6927,25,414,476,40100,475,original
01.12.2025 11:25:39,31.7494,-15.6649,25,410,472,40475,825,original
01.12.2025 11:26:09,31.8014,-15.6371,25,407,468,40925,463,original
01.12.2025 11:26:47,31.8681,-15.6010,26,416,479,41000,60,original
01.12.2025 11:27:24,31.9310,-15.5627,28,419,482,41000,0,original
01.12.2025 11:27:56,31.9876,-15.5273,28,421,484,41000,0,original
01.12.2025 11:28:26,32.0386,-15.4958,28,421,484,41000,0,original
01.12.2025 11:28:56,32.0896,-15.4637,28,419,482,41000,0,original
01.12.2025 11:29:26,32.1405,-15.4316,28,419,482,41000,0,original
01.12.2025 11:29:57,32.1935,-15.3983,28,419,482,41000,0,original
01.12.2025 11:30:27,32.2451,-15.3657,28,418,481,41000,0,original
01.12.2025 11:30:57,32.2960,-15.3335,28,419,482,41000,0,original
01.12.2025 11:31:48,32.3851,-15.2770,28,419,482,41000,0,original
01.12.2025 11:32:20,32.4370,-15.2440,28,419,482,41000,0,original
