time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
03.12.2025 12:10:54,50.8565,7.1634,138,145,167,925,0,original
03.12.2025 12:11:10,50.8481,7.1747,141,156,180,1575,2297,original
03.12.2025 12:11:26,50.8383,7.1873,140,173,199,2150,2250,original
03.12.2025 12:11:42,50.8279,7.2016,138,186,214,2775,2766,original
03.12.2025 12:11:58,50.8173,7.2176,134,185,213,3625,3469,original
03.12.2025 12:12:14,50.8108,7.2363,108,188,216,4625,3221,original
03.12.2025 12:12:32,50.8087,7.2598,93,195,224,5450,2731,original
03.12.2025 12:12:53,50.8079,7.2910,93,207,238,6400,2833,original
03.12.2025 12:13:17,50.8062,7.3288,96,214,246,7575,3083,original
03.12.2025 12:13:47,50.8023,7.3759,98,227,261,9175,2600,original
03.12.2025 12:14:32,50.7952,7.4576,99,287,330,10825,2160,original
03.12.2025 12:15:02,50.7879,7.5249,101,328,377,11875,2250,original
03.12.2025 12:15:32,50.7782,7.6011,102,360,414,13075,2800,original
03.12.2025 12:16:02,50.7681,7.6781,102,377,434,14675,3400,original
03.12.2025 12:16:32,50.7572,7.7610,102,390,449,16475,3510,original
03.12.2025 12:16:52,50.7500,7.8149,102,397,457,17600,3570,original
03.12.2025 12:17:22,50.7392,7.9044,100,403,464,19450,3563,original
03.12.2025 12:17:40,50.7332,7.9552,108,404,465,20450,3386,original
03.12.2025 12:17:57,50.7170,7.9993,129,398,458,21425,3221,original
03.12.2025 12:18:14,50.6966,8.0343,135,399,459,22275,3032,original
03.12.2025 12:18:44,50.6569,8.0963,134,402,463,23800,3000,original
03.12.2025 12:19:04,50.6319,8.1389,131,404,465,24775,3092,original
03.12.2025 12:19:49,50.5755,8.2427,131,402,463,27150,3100,original
03.12.2025 12:20:19,50.5397,8.3083,130,397,457,28650,2620,original
03.12.2025 12:21:00,50.4927,8.3960,130,398,458,30250,2028,original
03.12.2025 12:21:30,50.4575,8.4615,130,407,468,31050,1575,original
03.12.2025 12:22:00,50.4202,8.5312,130,413,475,31825,1525,original
03.12.2025 12:22:30,50.3835,8.5998,130,418,481,32575,1500,original
03.12.2025 12:23:00,50.3467,8.6678,130,422,486,33325,1378,original
03.12.2025 12:23:19,50.3207,8.7159,130,425,489,33700,1066,original
03.12.2025 12:24:16,50.2494,8.8484,130,434,499,34675,1034,original
03.12.2025 12:24:46,50.2101,8.9203,130,436,502,35200,1050,original
03.12.2025 12:25:16,50.1726,8.9895,130,438,504,35725,1050,original
03.12.2025 12:25:46,50.1327,9.0649,128,440,506,36250,1050,original
03.12.2025 12:26:16,50.0962,9.1395,128,440,506,36775,1100,original
03.12.2025 12:26:46,50.0592,9.2126,128,436,502,37350,1200,original
03.12.2025 12:27:16,50.0217,9.2862,128,431,496,37975,1325,original
03.12.2025 12:27:46,49.9840,9.3609,128,424,488,38675,1400,original
03.12.2025 12:28:16,49.9484,9.4307,128,416,479,39375,1275,original
03.12.2025 12:28:46,49.9126,9.5009,128,413,475,39950,825,original
03.12.2025 12:29:16,49.8773,9.5702,128,417,480,40200,381,original
03.12.2025 12:29:45,49.8426,9.6379,129,423,487,40325,229,original
03.12.2025 12:30:15,49.8046,9.7115,129,428,493,40425,225,original
03.12.2025 12:30:45,49.7684,9.7818,129,433,498,40550,250,original
03.12.2025 12:31:15,49.7316,9.8533,129,438,504,40675,250,original
03.12.2025 12:31:45,49.6927,9.9282,129,442,509,40800,250,original
03.12.2025 12:32:15,49.6533,10.0040,129,445,512,40925,200,original
03.12.2025 12:32:45,49.6157,10.0761,129,447,514,41000,74,original
03.12.2025 12:33:16,49.5754,10.1531,129,450,518,41000,0,original
03.12.2025 12:33:46,49.5363,10.2276,129,449,517,41000,0,original
03.12.2025 12:34:16,49.4974,10.3019,129,448,516,41000,0,original
03.12.2025 12:34:46,49.4589,10.3749,129,447,514,41000,0,original
03.12.2025 12:35:08,49.4299,10.4299,129,446,513,41000,0,original
03.12.2025 12:35:33,49.3965,10.4929,129,445,512,41000,0,original
03.12.2025 12:36:03,49.3592,10.5632,129,444,511,41000,0,original
03.12.2025 12:36:33,49.3199,10.6371,129,443,510,41000,0,original
03.12.2025 12:37:21,49.2577,10.7534,129,441,507,41000,0,original
03.12.2025 12:37:51,49.2190,10.8256,129,441,507,41000,0,original
03.12.2025 12:38:22,49.1796,10.8991,130,441,507,41000,0,original
03.12.2025 12:38:52,49.1401,10.9722,129,441,507,41000,0,original
03.12.2025 12:39:46,49.0707,11.1006,130,443,510,41000,0,original
03.12.2025 12:40:16,49.0322,11.1713,130,442,509,41000,0,original
