time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
04.12.2025 12:11:05,42.5638,18.2622,119,134,154,950,0,original
04.12.2025 12:11:21,42.5591,18.2742,117,133,153,1750,3397,original
04.12.2025 12:11:39,42.5544,18.2868,117,128,147,2875,3083,original
04.12.2025 12:11:57,42.5488,18.3009,119,138,159,3600,2500,original
04.12.2025 12:12:15,42.5431,18.3148,119,152,175,4375,3081,original
04.12.2025 12:12:34,42.5362,18.3304,134,149,171,5500,3446,original
04.12.2025 12:12:52,42.5234,18.3341,198,162,186,6500,3092,original
04.12.2025 12:13:23,42.5041,18.3135,227,189,217,8025,2969,original
04.12.2025 12:13:40,42.4946,18.2979,239,203,234,8875,3044,original
04.12.2025 12:13:57,42.4881,18.2768,254,221,254,9750,3167,original
04.12.2025 12:14:16,42.4857,18.2476,270,247,284,10775,2847,original
04.12.2025 12:14:46,42.4884,18.1992,277,282,325,12075,2533,original
04.12.2025 12:15:17,42.4944,18.1425,279,312,359,13350,2476,original
04.12.2025 12:15:49,42.5012,18.0789,277,347,399,14675,2500,original
04.12.2025 12:16:11,42.5058,18.0277,278,370,426,15600,2571,original
04.12.2025 12:16:31,42.5179,17.9829,299,401,461,16475,2478,original
04.12.2025 12:16:57,42.5466,17.9305,311,425,489,17500,2526,original
04.12.2025 12:17:28,42.5904,17.8670,314,444,511,18875,2730,original
04.12.2025 12:17:58,42.6341,17.8059,314,443,510,20275,2775,original
04.12.2025 12:18:28,42.6758,17.7457,313,440,506,21650,2650,original
04.12.2025 12:18:58,42.7170,17.6851,313,442,509,22925,2475,original
04.12.2025 12:19:28,42.7583,17.6247,313,445,512,24125,2350,original
04.12.2025 12:19:58,42.8001,17.5632,313,451,519,25275,2090,original
04.12.2025 12:20:29,42.8457,17.4957,313,460,529,26250,1820,original
04.12.2025 12:20:59,42.8886,17.4320,313,468,539,27125,1775,original
04.12.2025 12:21:29,42.9334,17.3654,312,474,545,28025,1675,original
04.12.2025 12:21:59,42.9775,17.2997,312,481,554,28800,1500,original
04.12.2025 12:22:29,43.0227,17.2319,312,488,562,29525,1425,original
04.12.2025 12:22:59,43.0673,17.1651,312,493,567,30225,1500,original
04.12.2025 12:23:32,43.1206,17.0851,312,496,571,31100,1547,original
04.12.2025 12:24:03,43.1679,17.0138,312,498,573,31875,1573,original
04.12.2025 12:24:34,43.2153,16.9421,312,496,571,32725,1672,original
04.12.2025 12:25:04,43.2595,16.8753,312,494,568,33575,1675,original
04.12.2025 12:25:34,43.3068,16.8037,312,490,564,34400,1650,original
04.12.2025 12:26:04,43.3520,16.7347,312,485,558,35225,1650,original
04.12.2025 12:26:34,43.3964,16.6669,312,479,551,36050,1550,original
04.12.2025 12:27:04,43.4400,16.6002,312,475,547,36775,1350,original
04.12.2025 12:27:34,43.4854,16.5306,312,473,544,37400,1150,original
04.12.2025 12:28:04,43.5282,16.4650,312,472,543,37925,975,original
04.12.2025 12:28:34,43.5714,16.3983,312,471,542,38375,925,original
04.12.2025 12:29:04,43.6139,16.3328,312,469,540,38850,950,original
04.12.2025 12:29:34,43.6581,16.2643,312,467,537,39325,950,original
04.12.2025 12:30:04,43.7001,16.1992,312,463,533,39800,925,original
04.12.2025 12:30:34,43.7426,16.1332,312,461,531,40250,775,original
04.12.2025 12:31:04,43.7874,16.0633,312,461,531,40575,525,original
04.12.2025 12:31:34,43.8285,15.9990,312,465,535,40775,369,original
04.12.2025 12:32:05,43.8722,15.9308,311,468,539,40950,398,original
04.12.2025 12:32:38,43.9209,15.8544,312,469,540,41200,445,original
04.12.2025 12:33:09,43.9650,15.7851,311,468,539,41425,443,original
04.12.2025 12:33:39,44.0075,15.7180,311,467,537,41650,450,original
04.12.2025 12:34:09,44.0499,15.6511,311,466,536,41875,443,original
04.12.2025 12:34:40,44.0951,15.5793,311,463,533,42100,516,original
04.12.2025 12:35:10,44.1371,15.5127,311,457,526,42400,541,original
04.12.2025 12:35:41,44.1782,15.4473,311,454,522,42650,516,original
04.12.2025 12:36:11,44.2211,15.3787,311,450,518,42925,350,original
04.12.2025 12:36:41,44.2599,15.3165,311,453,521,43000,75,original
04.12.2025 12:37:11,44.2999,15.2525,311,457,526,43000,0,original
04.12.2025 12:37:42,44.3442,15.1815,311,461,531,43000,0,original
04.12.2025 12:38:12,44.3872,15.1120,311,465,535,43000,0,original
04.12.2025 12:38:44,44.4312,15.0410,311,468,539,43000,0,original
04.12.2025 12:39:17,44.4782,14.9648,311,471,542,43000,0,original
04.12.2025 12:39:47,44.5207,14.8961,311,473,544,43000,0,original
04.12.2025 12:40:18,44.5645,14.8247,311,472,543,43000,0,original
04.12.2025 12:40:50,44.6105,14.7496,311,472,543,43000,0,original
04.12.2025 12:41:20,44.6550,14.6768,311,471,542,43000,0,original
04.12.2025 12:41:50,44.6952,14.6109,311,471,542,43000,0,original
04.12.2025 12:42:20,44.7370,14.5422,310,470,541,43000,0,original
04.12.2025 12:42:50,44.7804,14.4708,310,470,541,43000,0,original
04.12.2025 12:43:20,44.8243,14.3983,310,470,541,43000,0,original
04.12.2025 12:43:50,44.8652,14.3305,310,468,539,43000,0,original
04.12.2025 12:44:20,44.9055,14.2636,310,467,537,43000,0,original
04.12.2025 12:44:53,44.9540,14.1827,310,468,539,43000,0,original
04.12.2025 12:45:24,44.9959,14.1129,310,467,537,43000,0,original
04.12.2025 12:45:55,45.0400,14.0391,310,466,536,43000,0,original
04.12.2025 12:46:25,45.0808,13.9709,310,466,536,43000,0,original
04.12.2025 12:46:55,45.1224,13.9007,310,464,534,43000,0,original
04.12.2025 12:47:25,45.1637,13.8311,310,463,533,43000,0,original
04.12.2025 12:47:56,45.2067,13.7589,311,463,533,43000,0,original
04.12.2025 12:48:33,45.2622,13.6794,317,466,536,43000,0,original
04.12.2025 12:49:00,45.3051,13.6255,319,467,537,43000,0,original
04.12.2025 12:49:32,45.3583,13.5599,319,468,539,43000,0,original
04.12.2025 12:50:02,45.4048,13.5010,318,469,540,43000,0,original
04.12.2025 12:50:32,45.4545,13.4380,318,468,539,43000,0,original
04.12.2025 12:51:03,45.5040,13.3753,318,469,540,43000,0,original
04.12.2025 12:51:33,45.5523,13.3137,318,468,539,43000,0,original
04.12.2025 12:52:03,45.6007,13.2520,318,469,540,43000,0,original
04.12.2025 12:52:33,45.6502,13.1886,318,467,537,43000,0,original
04.12.2025 12:53:04,45.6998,13.1250,318,466,536,43000,0,original
04.12.2025 12:53:34,45.7462,13.0653,318,466,536,43000,0,original
04.12.2025 12:53:52,45.7743,13.0290,318,465,535,43000,0,original
04.12.2025 12:54:22,45.8233,12.9657,318,464,534,43000,0,original
04.12.2025 12:54:52,45.8716,12.9032,318,464,534,43000,0,original
04.12.2025 12:55:22,45.9176,12.8435,319,463,533,43000,0,original
04.12.2025 12:55:52,45.9661,12.7805,318,463,533,43000,0,original
04.12.2025 12:56:22,46.0133,12.7189,318,464,534,43000,0,original
04.12.2025 12:56:52,46.0599,12.6579,318,464,534,43000,0,original
04.12.2025 12:57:22,46.1070,12.5961,318,464,534,43000,0,original
04.12.2025 12:57:52,46.1554,12.5327,318,464,534,43000,0,original
04.12.2025 12:58:22,46.1974,12.4773,318,462,532,43000,0,original
04.12.2025 12:58:52,46.2510,12.4064,318,463,533,43000,0,original
04.12.2025 12:59:22,46.2980,12.3443,318,464,534,43000,0,original
04.12.2025 12:59:52,46.3445,12.2828,317,464,534,43000,0,original
04.12.2025 13:00:22,46.3925,12.2189,317,465,535,43000,0,original
04.12.2025 13:00:42,46.4237,12.1772,317,466,536,43000,0,original
04.12.2025 13:01:12,46.4715,12.1135,317,466,536,43000,0,original
04.12.2025 13:01:42,46.5193,12.0497,317,466,536,43000,0,original
04.12.2025 13:02:12,46.5670,11.9855,317,467,537,43000,0,original
04.12.2025 13:02:42,46.6138,11.9225,317,467,537,43000,0,original
04.12.2025 13:03:12,46.6609,11.8589,317,468,539,43000,0,original
04.12.2025 13:03:42,46.7084,11.7949,317,467,537,43000,0,original
04.12.2025 13:04:12,46.7554,11.7311,317,468,539,43000,0,original
04.12.2025 13:04:42,46.8041,11.6651,317,468,539,43000,0,original
04.12.2025 13:04:58,46.8248,11.6366,318,467,537,43000,0,original
04.12.2025 13:05:28,46.8744,11.5670,316,465,535,43000,0,original
04.12.2025 13:05:58,46.9208,11.5021,316,464,534,43000,0,original
04.12.2025 13:06:28,46.9686,11.4351,316,462,532,43000,0,original
04.12.2025 13:06:58,47.0127,11.3730,316,459,528,43000,0,original
04.12.2025 13:07:28,47.0586,11.3082,316,456,525,43000,0,original
04.12.2025 13:07:58,47.1055,11.2419,316,455,524,43000,0,original
04.12.2025 13:08:38,47.1649,11.1577,316,453,521,43000,0,original
04.12.2025 13:09:08,47.2092,11.0944,316,453,521,43000,0,original
04.12.2025 13:09:38,47.2557,11.0279,316,452,520,43000,0,original
04.12.2025 13:10:09,47.3002,10.9641,316,452,520,43000,0,original
04.12.2025 13:10:39,47.3454,10.8997,316,451,519,43000,0,original
04.12.2025 13:11:09,47.3899,10.8353,316,451,519,43000,0,original
04.12.2025 13:11:39,47.4346,10.7711,316,450,518,43000,0,original
04.12.2025 13:12:09,47.4795,10.7062,315,452,520,43000,0,original
04.12.2025 13:12:39,47.5238,10.6418,316,453,521,43000,0,original
04.12.2025 13:13:09,47.5681,10.5776,315,455,524,43000,0,original
04.12.2025 13:13:54,47.6365,10.4777,315,455,524,43000,0,original
04.12.2025 13:14:24,47.6816,10.4119,315,455,524,43000,0,original
04.12.2025 13:14:54,47.7273,10.3450,315,455,524,43000,0,original
04.12.2025 13:15:24,47.7708,10.2810,315,454,522,43000,0,original
04.12.2025 13:15:54,47.8151,10.2156,315,454,522,43000,0,original
04.12.2025 13:16:15,47.8460,10.1700,315,454,522,43000,0,original
04.12.2025 13:16:55,47.9070,10.0798,315,455,524,43000,0,original
04.12.2025 13:17:25,47.9501,10.0157,315,455,524,43000,0,original
04.12.2025 13:18:05,48.0098,9.9266,315,455,524,43000,0,original
04.12.2025 13:18:35,48.0560,9.8578,315,457,526,43000,0,original
04.12.2025 13:19:00,48.0912,9.8052,315,458,527,43000,0,original
04.12.2025 13:19:23,48.1260,9.7527,315,458,527,43000,0,original
04.12.2025 13:19:53,48.1707,9.6855,315,458,527,43000,0,original
04.12.2025 13:20:22,48.2152,9.6187,315,458,527,43000,0,original
04.12.2025 13:20:59,48.2687,9.5375,315,458,527,43000,0,original
04.12.2025 13:21:27,48.3119,9.4721,316,458,527,43000,0,original
