time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
04.12.2025 17:33:30,53.3408,-2.2926,232,142,163,950,0,original
04.12.2025 17:33:46,53.3340,-2.3081,235,149,171,1925,3469,original
04.12.2025 17:34:02,53.3274,-2.3224,231,154,177,2800,3000,original
04.12.2025 17:34:18,53.3199,-2.3362,223,169,194,3525,2813,original
04.12.2025 17:34:34,53.3074,-2.3452,185,192,221,4300,3234,original
04.12.2025 17:34:50,53.2940,-2.3424,164,201,231,5250,3682,original
04.12.2025 17:35:07,53.2792,-2.3316,151,206,237,6325,3729,original
04.12.2025 17:35:25,53.2641,-2.3165,147,206,237,7425,3986,original
04.12.2025 17:35:42,53.2494,-2.3003,147,209,241,8650,4286,original
04.12.2025 17:36:07,53.2283,-2.2789,150,213,245,10425,4402,original
04.12.2025 17:36:28,53.2118,-2.2637,151,206,237,12025,4529,original
04.12.2025 17:36:58,53.1861,-2.2397,150,216,249,14275,4300,original
04.12.2025 17:37:28,53.1592,-2.2140,150,236,272,16325,3612,original
04.12.2025 17:37:47,53.1387,-2.1955,154,267,307,17225,2654,original
04.12.2025 17:38:07,53.1158,-2.1762,151,294,338,18050,2527,original
04.12.2025 17:39:00,53.0497,-2.1067,148,350,403,20300,2577,original
04.12.2025 17:39:18,53.0244,-2.0768,142,367,422,21100,2603,original
04.12.2025 17:39:34,53.0028,-2.0477,141,378,435,21775,2494,original
04.12.2025 17:40:41,52.9090,-1.9224,142,409,471,24550,2521,original
04.12.2025 17:41:11,52.8647,-1.8645,142,415,478,25850,2793,original
04.12.2025 17:41:39,52.8225,-1.8077,140,415,478,27250,2908,original
04.12.2025 17:42:16,52.7689,-1.7329,139,414,476,29000,2745,original
04.12.2025 17:42:32,52.7439,-1.6985,143,414,476,29675,2531,original
04.12.2025 17:42:48,52.7188,-1.6734,153,414,476,30350,2432,original
04.12.2025 17:43:09,52.6830,-1.6451,155,414,476,31175,2357,original
04.12.2025 17:43:30,52.6466,-1.6174,155,413,475,32000,1883,original
04.12.2025 17:44:39,52.5284,-1.5226,154,422,486,34000,1515,original
04.12.2025 17:45:09,52.4746,-1.4784,153,433,498,34500,938,original
04.12.2025 17:45:27,52.4427,-1.4520,152,439,505,34750,770,original
04.12.2025 17:45:46,52.4117,-1.4169,138,449,517,34975,771,original
04.12.2025 17:46:02,52.3869,-1.3754,130,455,524,35200,750,original
04.12.2025 17:46:20,52.3644,-1.3284,126,460,529,35400,750,original
04.12.2025 17:46:50,52.3276,-1.2426,125,465,535,35800,1047,original
04.12.2025 17:47:56,52.2458,-1.0544,126,460,529,37075,1171,original
04.12.2025 17:48:12,52.2262,-1.0091,125,459,528,37400,1194,original
04.12.2025 17:48:50,52.1798,-0.9029,126,457,526,38150,1191,original
04.12.2025 17:49:20,52.1432,-0.8200,126,455,524,38750,825,original
04.12.2025 17:49:50,52.1059,-0.7353,126,462,532,38975,250,original
04.12.2025 17:50:20,52.0679,-0.6496,126,470,541,39000,25,original
04.12.2025 17:50:50,52.0305,-0.5653,126,473,544,39000,0,original
04.12.2025 17:51:20,51.9923,-0.4799,126,472,543,39000,0,original
04.12.2025 17:51:50,51.9530,-0.3921,126,471,542,39000,0,original
04.12.2025 17:52:20,51.9154,-0.3081,126,468,539,39000,0,original
04.12.2025 17:52:50,51.8784,-0.2260,126,465,535,39000,0,original
