time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
04.12.2025 09:06:12,34.7244,32.4645,292,158,182,1250,0,original
04.12.2025 09:06:12,34.7244,32.4645,292,158,182,1250,2625,original
04.12.2025 09:06:24,34.7276,32.4539,289,173,199,1775,2379,original
04.12.2025 09:06:41,34.7307,32.4362,273,191,220,2400,2318,original
04.12.2025 09:06:57,34.7302,32.4211,265,198,228,3050,2906,original
04.12.2025 09:07:13,34.7280,32.4010,261,205,236,3950,3182,original
04.12.2025 09:07:30,34.7252,32.3801,262,217,250,4800,3293,original
04.12.2025 09:07:59,34.7256,32.3450,277,222,255,6475,3585,original
04.12.2025 09:08:29,34.7307,32.3072,281,228,262,8325,3760,original
04.12.2025 09:09:14,34.7378,32.2510,277,243,280,11175,3620,original
04.12.2025 09:09:44,34.7428,32.2047,278,280,322,12850,3150,original
04.12.2025 09:10:14,34.7483,32.1578,278,313,360,14325,3075,original
04.12.2025 09:10:44,34.7545,32.1016,277,341,392,15925,3175,original
04.12.2025 09:11:14,34.7608,32.0436,278,360,414,17500,3350,original
04.12.2025 09:11:44,34.7677,31.9819,278,369,425,19275,3500,original
04.12.2025 09:12:14,34.7741,31.9224,277,373,429,21000,3550,original
04.12.2025 09:12:44,34.7810,31.8583,277,373,429,22825,3550,original
04.12.2025 09:13:14,34.7876,31.7974,278,370,426,24550,3525,original
04.12.2025 09:13:44,34.7942,31.7353,277,363,418,26350,3363,original
04.12.2025 09:14:16,34.8009,31.6727,277,358,412,28025,2782,original
04.12.2025 09:14:46,34.8074,31.6112,277,362,417,29225,2075,original
04.12.2025 09:15:16,34.8137,31.5509,277,369,425,30100,1688,original
04.12.2025 09:15:50,34.8216,31.4758,277,381,438,31025,1547,original
04.12.2025 09:16:20,34.8280,31.4151,277,387,445,31750,1525,original
04.12.2025 09:16:51,34.8352,31.3459,277,393,452,32575,1557,original
04.12.2025 09:17:13,34.8402,31.2971,275,396,456,33125,1242,original
04.12.2025 09:17:55,34.8383,31.2051,266,405,466,33900,1149,original
04.12.2025 09:18:30,34.8338,31.1237,267,408,470,34600,1408,original
04.12.2025 09:19:00,34.8311,31.0549,267,404,465,35425,1700,original
04.12.2025 09:19:30,34.8281,30.9897,267,394,453,36300,1648,original
04.12.2025 09:20:01,34.8240,30.9187,266,391,450,37100,1254,original
04.12.2025 09:20:31,34.8212,30.8545,272,392,451,37575,895,original
04.12.2025 09:20:58,34.8280,30.7946,282,396,456,37950,425,original
04.12.2025 09:21:31,34.8417,30.7230,285,397,457,38000,57,original
04.12.2025 09:21:51,34.8537,30.6841,296,402,463,38000,0,original
04.12.2025 09:22:26,34.8877,30.6148,304,403,464,38000,22,original
04.12.2025 09:23:00,34.9236,30.5497,303,400,460,38025,392,original
04.12.2025 09:23:31,34.9533,30.4923,302,401,461,38425,702,original
04.12.2025 09:24:02,34.9851,30.4314,303,406,467,38750,566,original
04.12.2025 09:24:32,35.0157,30.3729,302,410,472,39000,500,original
04.12.2025 09:25:02,35.0449,30.3165,302,413,475,39250,475,original
04.12.2025 09:25:32,35.0768,30.2551,302,418,481,39475,467,original
04.12.2025 09:26:03,35.1084,30.1941,302,420,483,39725,492,original
04.12.2025 09:26:33,35.1400,30.1330,302,422,486,39975,500,original
04.12.2025 09:27:03,35.1703,30.0742,302,422,486,40225,625,original
04.12.2025 09:27:33,35.2021,30.0124,302,418,481,40600,725,original
04.12.2025 09:28:03,35.2330,29.9523,302,415,478,40950,675,original
04.12.2025 09:28:33,35.2622,29.8952,302,413,475,41275,675,original
04.12.2025 09:29:03,35.2924,29.8361,302,410,472,41625,541,original
04.12.2025 09:29:34,35.3233,29.7755,302,412,474,41825,393,original
04.12.2025 09:30:04,35.3547,29.7142,302,413,475,42025,400,original
04.12.2025 09:30:34,35.3841,29.6562,302,413,475,42225,393,original
04.12.2025 09:31:05,35.4152,29.5952,302,412,474,42425,443,original
04.12.2025 09:31:35,35.4464,29.5337,302,409,471,42675,500,original
