time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
07.12.2025 05:57:19,50.8562,7.1427,136,149,171,1000,0,original
07.12.2025 05:57:35,50.8483,7.1551,134,162,186,1725,2906,original
07.12.2025 05:57:51,50.8392,7.1706,132,174,200,2550,3000,original
07.12.2025 05:58:07,50.8307,7.1861,130,180,207,3325,2906,original
07.12.2025 05:58:23,50.8220,7.2033,127,186,214,4100,2953,original
07.12.2025 05:58:39,50.8145,7.2191,127,191,220,4900,2833,original
07.12.2025 05:58:59,50.8028,7.2425,130,207,238,5800,2635,original
07.12.2025 05:59:16,50.7893,7.2582,161,210,242,6525,2614,original
07.12.2025 05:59:34,50.7730,7.2550,210,207,238,7325,2625,original
07.12.2025 05:59:52,50.7623,7.2339,248,213,245,8100,2542,original
07.12.2025 06:00:10,50.7587,7.2056,265,228,262,8850,2500,original
07.12.2025 06:00:28,50.7591,7.1738,274,250,288,9600,2684,original
07.12.2025 06:00:48,50.7608,7.1357,271,270,311,10550,2792,original
07.12.2025 06:01:04,50.7591,7.1042,262,290,334,11275,2754,original
07.12.2025 06:01:49,50.7462,7.0038,258,338,389,13350,2920,original
07.12.2025 06:02:19,50.7364,6.9261,260,359,413,14925,3300,original
07.12.2025 06:02:49,50.7275,6.8503,259,374,430,16650,3826,original
07.12.2025 06:03:28,50.7146,6.7448,259,372,428,19325,4310,original
07.12.2025 06:03:52,50.7068,6.6802,259,363,418,21175,4528,original
07.12.2025 06:04:22,50.6971,6.6007,259,352,405,23400,3750,original
07.12.2025 06:04:52,50.6880,6.5251,259,353,406,24925,2940,original
07.12.2025 06:05:12,50.6823,6.4802,254,359,413,25850,2791,original
07.12.2025 06:05:35,50.6643,6.4216,238,380,437,26925,2400,original
07.12.2025 06:06:12,50.6260,6.3402,232,397,457,28250,2104,original
07.12.2025 06:06:42,50.5902,6.2679,233,401,461,29275,1950,original
07.12.2025 06:07:12,50.5586,6.2002,234,404,465,30200,1754,original
07.12.2025 06:07:53,50.5117,6.1016,233,410,472,31350,1880,original
07.12.2025 06:08:23,50.4777,6.0301,233,405,466,32425,2175,original
07.12.2025 06:08:53,50.4460,5.9630,234,398,458,33525,2150,original
07.12.2025 06:09:23,50.4112,5.8899,233,393,452,34575,1953,original
07.12.2025 06:09:46,50.3875,5.8402,233,389,448,35250,1642,original
07.12.2025 06:10:16,50.3550,5.7719,233,389,448,36025,1175,original
07.12.2025 06:10:46,50.3226,5.7041,233,396,456,36425,781,original
07.12.2025 06:11:04,50.3024,5.6621,233,401,461,36650,750,original
07.12.2025 06:11:48,50.2525,5.5586,233,411,473,37200,750,original
07.12.2025 06:12:18,50.2190,5.4891,233,416,479,37575,825,original
07.12.2025 06:12:48,50.1847,5.4184,233,417,480,38025,950,original
07.12.2025 06:13:18,50.1490,5.3447,233,416,479,38525,952,original
07.12.2025 06:13:40,50.1237,5.2935,231,418,481,38850,992,original
07.12.2025 06:14:20,50.0719,5.2049,226,418,481,39550,1050,original
07.12.2025 06:14:50,50.0316,5.1391,227,412,474,40075,800,original
07.12.2025 06:15:20,49.9924,5.0729,227,415,478,40350,500,original
07.12.2025 06:15:50,49.9532,5.0075,227,420,483,40575,450,original
07.12.2025 06:16:20,49.9146,4.9435,227,424,488,40800,450,original
07.12.2025 06:16:50,49.8722,4.8726,227,427,491,41025,450,original
07.12.2025 06:17:20,49.8338,4.8089,227,430,495,41250,450,original
07.12.2025 06:17:50,49.7929,4.7410,227,432,497,41475,450,original
07.12.2025 06:18:20,49.7525,4.6744,227,434,499,41700,450,original
07.12.2025 06:18:50,49.7101,4.6046,227,434,499,41925,443,original
07.12.2025 06:19:21,49.6680,4.5352,227,433,498,42150,443,original
07.12.2025 06:19:51,49.6280,4.4697,227,433,498,42375,467,original
07.12.2025 06:20:22,49.5859,4.4009,227,431,496,42625,467,original
07.12.2025 06:20:52,49.5423,4.3297,227,430,495,42850,500,original
07.12.2025 06:21:22,49.5038,4.2669,227,427,491,43125,570,original
07.12.2025 06:21:42,49.4789,4.2265,228,426,490,43325,600,original
07.12.2025 06:22:12,49.4355,4.1563,227,422,486,43625,575,original
07.12.2025 06:22:42,49.3960,4.0925,226,419,482,43900,525,original
07.12.2025 06:23:12,49.3570,4.0295,226,417,480,44150,500,original
07.12.2025 06:23:42,49.3156,3.9630,226,416,479,44400,450,original
07.12.2025 06:24:12,49.2769,3.9010,226,415,478,44600,425,original
07.12.2025 06:24:42,49.2367,3.8368,226,415,478,44825,400,original
07.12.2025 06:25:12,49.1966,3.7727,226,415,478,45000,175,original
07.12.2025 06:25:42,49.1587,3.7123,226,417,480,45000,0,original
07.12.2025 06:26:12,49.1180,3.6477,226,421,484,45000,0,original
07.12.2025 06:26:42,49.0767,3.5823,226,425,489,45000,0,original
07.12.2025 06:27:13,49.0347,3.5160,226,428,493,45000,0,original
07.12.2025 06:27:43,48.9934,3.4508,226,431,496,45000,0,original
07.12.2025 06:28:13,48.9518,3.3855,226,433,498,45000,0,original
07.12.2025 06:28:43,48.9109,3.3214,226,434,499,45000,0,original
07.12.2025 06:29:13,48.8679,3.2540,226,433,498,45000,0,original
07.12.2025 06:29:43,48.8262,3.1891,226,431,496,45000,0,original
07.12.2025 06:30:13,48.7853,3.1255,226,429,494,45000,0,original
07.12.2025 06:30:43,48.7428,3.0594,226,429,494,45000,0,original
07.12.2025 06:31:13,48.7024,2.9971,226,428,493,45000,0,original
07.12.2025 06:31:43,48.6599,2.9315,226,428,493,45000,0,original
07.12.2025 06:32:13,48.6183,2.8672,226,427,491,45000,0,original
07.12.2025 06:32:44,48.5762,2.8026,226,428,493,45000,0,original
07.12.2025 06:33:14,48.5349,2.7395,226,428,493,45000,0,original
07.12.2025 06:33:44,48.4931,2.6755,226,428,493,45000,0,original
07.12.2025 06:34:06,48.4614,2.6322,216,435,501,45000,0,original
07.12.2025 06:34:26,48.4248,2.6008,204,445,512,45000,0,original
07.12.2025 06:35:10,48.3381,2.5604,194,451,519,45000,0,original
07.12.2025 06:35:40,48.2783,2.5378,195,452,520,45000,0,original
07.12.2025 06:36:11,48.2163,2.5124,196,452,520,45000,0,original
07.12.2025 06:36:41,48.1540,2.4868,195,452,520,45000,0,original
07.12.2025 06:37:12,48.0924,2.4619,195,452,520,45000,0,original
07.12.2025 06:37:42,48.0333,2.4377,195,451,519,45000,0,original
07.12.2025 06:38:12,47.9726,2.4129,195,452,520,45000,0,original
07.12.2025 06:38:42,47.9127,2.3886,195,452,520,45000,0,original
07.12.2025 06:39:13,47.8495,2.3630,195,451,519,45000,0,original
07.12.2025 06:39:43,47.7900,2.3389,195,452,520,45000,0,original
07.12.2025 06:40:14,47.7268,2.3134,195,452,520,45000,0,original
07.12.2025 06:40:44,47.6667,2.2892,195,453,521,45000,0,original
07.12.2025 06:41:15,47.6046,2.2643,195,452,520,45000,0,original
07.12.2025 06:41:45,47.5431,2.2396,195,451,519,45000,0,original
07.12.2025 06:42:15,47.4852,2.2165,195,451,519,45000,0,original
07.12.2025 06:42:46,47.4210,2.1907,195,450,518,45000,0,original
07.12.2025 06:43:17,47.3592,2.1663,195,451,519,45000,0,original
07.12.2025 06:43:47,47.2978,2.1418,195,451,519,45000,0,original
07.12.2025 06:44:17,47.2388,2.1186,195,453,521,45000,0,original
