time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
07.12.2025 11:17:33,39.4952,-0.4953,300,155,178,700,0,original
07.12.2025 11:17:49,39.5017,-0.5084,304,167,192,1450,3188,original
07.12.2025 11:18:05,39.5092,-0.5231,302,169,194,2400,3141,original
07.12.2025 11:18:21,39.5146,-0.5357,297,170,196,3125,2953,original
07.12.2025 11:18:37,39.5200,-0.5501,295,170,196,3975,3141,original
07.12.2025 11:18:53,39.5255,-0.5657,302,177,204,4800,2813,original
07.12.2025 11:19:09,39.5358,-0.5746,347,187,215,5475,2400,original
07.12.2025 11:19:28,39.5543,-0.5712,19,216,249,6200,2458,original
07.12.2025 11:19:45,39.5693,-0.5619,33,229,264,6950,2682,original
07.12.2025 11:20:01,39.5830,-0.5463,49,247,284,7675,2578,original
07.12.2025 11:20:17,39.5935,-0.5267,60,264,304,8325,2554,original
07.12.2025 11:20:38,39.6049,-0.4950,65,286,329,9250,2674,original
07.12.2025 11:21:03,39.6274,-0.4586,43,312,359,10375,2618,original
07.12.2025 11:21:33,39.6611,-0.4194,42,344,396,11650,2550,original
07.12.2025 11:22:03,39.6981,-0.3763,42,376,433,12925,2779,original
07.12.2025 11:22:34,39.7393,-0.3279,42,394,453,14475,3221,original
07.12.2025 11:23:04,39.7800,-0.2807,42,406,467,16200,3500,original
07.12.2025 11:23:34,39.8230,-0.2303,42,413,475,17975,3250,original
07.12.2025 11:24:04,39.8649,-0.1811,42,423,487,19450,2975,original
07.12.2025 11:24:34,39.9094,-0.1289,42,430,495,20950,2725,original
07.12.2025 11:25:04,39.9533,-0.0773,42,439,505,22175,2484,original
07.12.2025 11:25:35,40.0003,-0.0219,42,446,513,23475,2533,original
07.12.2025 11:26:05,40.0474,0.0337,42,450,518,24750,2531,original
07.12.2025 11:26:23,40.0778,0.0664,33,448,516,25500,2352,original
07.12.2025 11:26:49,40.1237,0.0974,24,448,516,26475,2116,original
07.12.2025 11:27:19,40.1826,0.1293,22,452,520,27475,1975,original
07.12.2025 11:27:49,40.2389,0.1594,23,455,524,28450,1975,original
07.12.2025 11:28:19,40.2958,0.1912,23,456,525,29450,2000,original
07.12.2025 11:28:49,40.3538,0.2230,23,455,524,30450,2000,original
07.12.2025 11:29:19,40.4122,0.2551,23,453,521,31450,1525,original
07.12.2025 11:29:49,40.4699,0.2871,23,457,526,31975,650,original
07.12.2025 11:30:19,40.5288,0.3196,23,455,524,32100,1000,original
07.12.2025 11:30:49,40.5874,0.3523,23,450,518,32975,1875,original
07.12.2025 11:31:19,40.6448,0.3842,23,443,510,33975,1850,original
07.12.2025 11:31:49,40.6987,0.4142,23,438,504,34825,1625,original
07.12.2025 11:32:19,40.7559,0.4462,23,435,501,35600,1131,original
07.12.2025 11:32:50,40.8126,0.4778,23,439,505,35975,566,original
07.12.2025 11:33:20,40.8731,0.5118,23,446,513,36175,884,original
07.12.2025 11:33:46,40.9209,0.5358,16,438,504,36800,1500,original
07.12.2025 11:34:31,41.0087,0.5603,10,423,487,37950,1520,original
07.12.2025 11:35:02,41.0670,0.5749,11,416,479,38725,1402,original
07.12.2025 11:35:32,41.1235,0.5903,12,412,474,39375,1131,original
07.12.2025 11:36:03,41.1789,0.6050,11,409,471,39875,1008,original
07.12.2025 11:36:33,41.2343,0.6199,12,406,467,40400,1050,original
07.12.2025 11:37:03,41.2911,0.6353,12,403,464,40925,1025,original
07.12.2025 11:37:33,41.3442,0.6498,12,400,460,41425,800,original
07.12.2025 11:38:03,41.4000,0.6649,12,400,460,41725,575,original
07.12.2025 11:38:33,41.4539,0.6796,12,400,460,42000,516,original
07.12.2025 11:39:04,41.5088,0.6946,12,401,461,42250,516,original
07.12.2025 11:39:34,41.5634,0.7096,12,402,463,42525,550,original
07.12.2025 11:40:04,41.6186,0.7247,12,401,461,42800,450,original
07.12.2025 11:40:34,41.6724,0.7395,12,403,464,42975,185,original
07.12.2025 11:41:09,41.7388,0.7577,12,408,470,43000,22,original
07.12.2025 11:41:43,41.7999,0.7745,12,414,476,43000,0,original
07.12.2025 11:42:13,41.8578,0.7906,12,417,480,43000,0,original
07.12.2025 11:42:43,41.9145,0.8063,12,419,482,43000,0,original
07.12.2025 11:43:13,41.9711,0.8219,12,419,482,43000,0,original
07.12.2025 11:43:43,42.0280,0.8378,12,420,483,43000,0,original
07.12.2025 11:44:14,42.0867,0.8540,12,420,483,43000,0,original
07.12.2025 11:44:44,42.1435,0.8699,12,418,481,43000,0,original
07.12.2025 11:45:14,42.2006,0.8859,12,417,480,43000,0,original
07.12.2025 11:45:44,42.2560,0.9013,12,416,479,43000,0,original
07.12.2025 11:46:14,42.3128,0.9172,12,416,479,43000,0,original
07.12.2025 11:46:44,42.3692,0.9331,12,416,479,43000,0,original
07.12.2025 11:47:14,42.4263,0.9491,12,416,479,43000,0,original
07.12.2025 11:47:44,42.4834,0.9652,12,415,478,43000,0,original
07.12.2025 11:48:27,42.5647,0.9729,1,410,472,43000,0,original
07.12.2025 11:48:47,42.6026,0.9730,360,411,473,43000,0,original
07.12.2025 11:49:04,42.6349,0.9731,1,412,474,43000,0,original
07.12.2025 11:49:28,42.6795,0.9738,1,412,474,43000,0,original
07.12.2025 11:49:58,42.7359,0.9752,1,413,475,43000,0,original
07.12.2025 11:50:29,42.7946,0.9766,1,412,474,43000,0,original
07.12.2025 11:50:59,42.8536,0.9779,1,412,474,43000,0,original
07.12.2025 11:51:29,42.9088,0.9793,1,412,474,43000,0,original
07.12.2025 11:52:00,42.9705,0.9809,1,411,473,43000,0,original
07.12.2025 11:52:30,43.0268,0.9822,1,412,474,43000,0,original
