time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
08.12.2025 08:19:40,51.2808,6.7542,233,154,177,875,0,original
08.12.2025 08:19:56,51.2739,6.7392,233,159,183,1825,3984,original
08.12.2025 08:20:12,51.2679,6.7239,251,154,177,3000,4500,original
08.12.2025 08:20:28,51.2710,6.7046,308,165,190,4225,4313,original
08.12.2025 08:20:44,51.2799,6.6940,334,174,200,5300,3682,original
08.12.2025 08:21:01,51.2943,6.6866,349,190,219,6250,3257,original
08.12.2025 08:21:19,51.3100,6.6859,9,212,244,7200,3441,original
08.12.2025 08:21:35,51.3254,6.6938,23,224,258,8200,3636,original
08.12.2025 08:21:52,51.3413,6.7085,35,241,277,9200,3545,original
08.12.2025 08:22:08,51.3565,6.7277,41,250,288,10150,3762,original
08.12.2025 08:22:55,51.3984,6.7905,43,296,341,13150,3696,original
08.12.2025 08:23:32,51.4383,6.8479,42,332,382,15325,3467,original
08.12.2025 08:23:56,51.4671,6.8893,42,357,411,16675,3000,original
08.12.2025 08:24:14,51.4896,6.9218,42,377,434,17425,2583,original
08.12.2025 08:24:50,51.5384,6.9923,42,418,481,19000,2545,original
08.12.2025 08:25:20,51.5826,7.0559,42,444,511,20225,2450,original
08.12.2025 08:25:50,51.6299,7.1245,42,462,532,21450,2475,original
08.12.2025 08:26:20,51.6776,7.1938,42,477,549,22700,2457,original
08.12.2025 08:26:59,51.7433,7.2894,42,492,566,24275,2326,original
08.12.2025 08:27:29,51.7937,7.3629,42,501,577,25375,2200,original
08.12.2025 08:27:59,51.8463,7.4403,42,506,582,26475,2175,original
08.12.2025 08:28:29,51.8980,7.5164,42,510,587,27550,2000,original
08.12.2025 08:28:59,51.9505,7.5937,42,515,593,28475,2175,original
08.12.2025 08:29:29,52.0025,7.6709,43,510,587,29725,2500,original
08.12.2025 08:29:59,52.0551,7.7489,42,505,581,30975,2450,original
08.12.2025 08:30:29,52.1056,7.8243,43,500,575,32175,2389,original
08.12.2025 08:30:53,52.1454,7.8840,43,495,570,33125,2250,original
08.12.2025 08:31:23,52.1970,7.9612,43,493,567,34200,1800,original
08.12.2025 08:31:53,52.2482,8.0381,43,498,573,34925,1300,original
08.12.2025 08:32:23,52.2990,8.1151,43,505,581,35500,1075,original
08.12.2025 08:32:53,52.3495,8.1914,43,511,588,36000,1000,original
08.12.2025 08:33:23,52.4029,8.2727,43,515,593,36500,1000,original
08.12.2025 08:33:53,52.4539,8.3503,43,517,595,37000,969,original
08.12.2025 08:34:11,52.4860,8.3995,43,518,596,37275,938,original
08.12.2025 08:34:41,52.5366,8.4772,43,519,597,37750,975,original
08.12.2025 08:35:11,52.5887,8.5570,43,517,595,38250,975,original
08.12.2025 08:35:41,52.6397,8.6356,43,513,590,38725,1265,original
08.12.2025 08:36:02,52.6771,8.6940,44,504,580,39325,1674,original
08.12.2025 08:36:24,52.7147,8.7524,43,497,572,39925,1413,original
08.12.2025 08:36:54,52.7639,8.8284,43,492,566,40550,1250,original
08.12.2025 08:37:24,52.8130,8.9054,44,486,559,41175,1175,original
08.12.2025 08:37:54,52.8615,8.9814,43,483,556,41725,975,original
08.12.2025 08:38:24,52.9112,9.0592,44,480,552,42150,775,original
08.12.2025 08:38:54,52.9592,9.1354,44,480,552,42500,675,original
08.12.2025 08:39:24,53.0076,9.2117,44,480,552,42825,650,original
08.12.2025 08:39:54,53.0543,9.2859,44,480,552,43150,675,original
08.12.2025 08:40:24,53.1020,9.3617,44,480,552,43500,660,original
08.12.2025 08:40:44,53.1335,9.4121,44,479,551,43700,638,original
08.12.2025 08:41:04,53.1654,9.4630,44,478,550,43925,510,original
08.12.2025 08:41:34,53.2148,9.5422,44,481,554,44125,350,original
08.12.2025 08:42:04,53.2608,9.6165,44,484,557,44275,300,original
08.12.2025 08:42:34,53.3104,9.6965,44,487,560,44425,275,original
08.12.2025 08:43:04,53.3578,9.7735,44,489,563,44550,300,original
08.12.2025 08:43:34,53.4067,9.8529,44,489,563,44725,400,original
08.12.2025 08:44:04,53.4564,9.9338,44,486,559,44950,275,original
08.12.2025 08:44:34,53.5021,10.0087,44,484,557,45000,50,original
08.12.2025 08:45:04,53.5523,10.0910,44,484,557,45000,0,original
08.12.2025 08:45:34,53.5984,10.1671,45,482,555,45000,0,original
08.12.2025 08:46:04,53.6453,10.2447,45,480,552,45000,0,original
08.12.2025 08:46:34,53.6929,10.3234,44,477,549,45000,0,original
08.12.2025 08:47:05,53.7416,10.4046,45,476,548,45000,0,original
08.12.2025 08:47:35,53.7885,10.4828,45,476,548,45000,0,original
08.12.2025 08:48:06,53.8368,10.5636,45,476,548,45000,0,original
08.12.2025 08:48:37,53.8859,10.6464,45,476,548,45000,0,original
08.12.2025 08:49:07,53.9329,10.7256,45,476,548,45000,0,original
08.12.2025 08:49:37,53.9795,10.8045,45,477,549,45000,0,original
08.12.2025 08:49:59,54.0134,10.8620,45,477,549,45000,0,original
08.12.2025 08:50:29,54.0588,10.9392,45,477,549,45000,0,original
08.12.2025 08:50:59,54.1055,11.0189,45,478,550,45000,0,original
08.12.2025 08:51:29,54.1531,11.1007,45,479,551,45000,0,original
08.12.2025 08:51:59,54.1998,11.1811,45,482,555,45000,0,original
08.12.2025 08:52:29,54.2464,11.2613,45,482,555,45000,0,original
08.12.2025 08:52:57,54.2900,11.3376,47,484,557,45000,0,original
08.12.2025 08:53:16,54.3167,11.3981,57,488,562,45000,0,original
08.12.2025 08:53:38,54.3378,11.4731,70,490,564,45000,0,original
08.12.2025 08:54:01,54.3501,11.5593,83,489,563,45000,0,original
08.12.2025 08:54:31,54.3501,11.6730,95,486,559,45000,0,original
08.12.2025 08:55:04,54.3432,11.8022,94,488,562,45000,0,original
08.12.2025 08:55:23,54.3410,11.8701,92,489,563,45000,0,original
08.12.2025 08:55:53,54.3395,11.9892,91,491,565,45000,0,original
08.12.2025 08:56:23,54.3377,12.1049,92,491,565,45000,0,original
08.12.2025 08:56:53,54.3352,12.2221,92,493,567,45000,0,original
08.12.2025 08:57:36,54.3323,12.3872,92,494,568,45000,0,original
08.12.2025 08:58:13,54.3294,12.5310,92,496,571,45000,0,original
08.12.2025 08:58:43,54.3271,12.6516,92,497,572,45000,0,original
08.12.2025 08:59:07,54.3256,12.7442,90,498,573,45000,0,original
08.12.2025 08:59:23,54.3259,12.8087,89,498,573,45000,0,original
08.12.2025 08:59:54,54.3280,12.9290,89,499,574,45000,0,original
08.12.2025 09:00:24,54.3287,13.0471,90,499,574,45000,0,original
08.12.2025 09:00:55,54.3293,13.1691,89,499,574,45000,0,original
08.12.2025 09:01:25,54.3302,13.2889,89,499,574,45000,0,original
08.12.2025 09:01:55,54.3307,13.4095,90,500,575,45000,0,original
08.12.2025 09:02:25,54.3312,13.5229,90,499,574,45000,0,original
08.12.2025 09:02:55,54.3315,13.6458,90,498,573,45000,0,original
08.12.2025 09:03:25,54.3317,13.7597,90,497,572,45000,0,original
08.12.2025 09:03:55,54.3320,13.8789,90,496,571,45000,0,original
08.12.2025 09:04:25,54.3319,13.9999,90,494,568,45000,0,original
08.12.2025 09:04:55,54.3317,14.1104,90,493,567,45000,0,original
08.12.2025 09:05:25,54.3316,14.2262,90,492,566,45000,0,original
08.12.2025 09:05:55,54.3313,14.3443,91,492,566,45000,0,original
08.12.2025 09:06:25,54.3307,14.4616,91,492,566,45000,0,original
08.12.2025 09:06:55,54.3302,14.5829,91,492,566,45000,0,original
08.12.2025 09:07:25,54.3295,14.7002,91,492,566,45000,0,original
08.12.2025 09:07:54,54.3287,14.8067,91,493,567,45000,-123,original
08.12.2025 09:08:38,54.3275,14.9762,91,493,567,44850,-365,original
08.12.2025 09:09:08,54.3264,15.0945,91,494,568,44550,-1075,original
08.12.2025 09:09:38,54.3252,15.2110,91,491,565,43775,-1850,original
08.12.2025 09:10:08,54.3238,15.3259,91,486,559,42700,-2300,original
08.12.2025 09:10:38,54.3226,15.4413,91,486,559,41475,-2475,original
08.12.2025 09:11:08,54.3211,15.5544,91,483,556,40225,-2575,original
08.12.2025 09:11:38,54.3194,15.6724,91,483,556,38900,-2550,original
08.12.2025 09:12:08,54.3178,15.7871,92,500,575,37675,-2525,original
08.12.2025 09:12:38,54.3159,15.9035,92,516,594,36375,-2625,original
08.12.2025 09:13:08,54.3137,16.0295,92,518,596,35050,-2680,original
08.12.2025 09:13:39,54.3116,16.1589,92,515,593,33650,-2656,original
08.12.2025 09:14:09,54.3081,16.2789,93,523,602,32350,-2575,original
08.12.2025 09:14:39,54.3040,16.4053,93,533,613,31075,-2550,original
08.12.2025 09:15:09,54.3002,16.5318,93,541,623,29800,-2575,original
08.12.2025 09:15:39,54.2961,16.6588,93,542,624,28500,-2650,original
08.12.2025 09:16:09,54.2917,16.7880,93,537,618,27150,-2705,original
08.12.2025 09:16:40,54.2872,16.9219,93,519,597,25750,-2656,original
08.12.2025 09:17:10,54.2831,17.0367,93,502,578,24450,-2550,original
08.12.2025 09:17:40,54.2790,17.1487,94,487,560,23200,-2550,original
08.12.2025 09:18:10,54.2746,17.2674,94,473,544,21900,-2625,original
08.12.2025 09:18:40,54.2703,17.3771,94,459,528,20575,-2600,original
08.12.2025 09:19:10,54.2662,17.4818,94,447,514,19300,-2600,original
08.12.2025 09:19:40,54.2620,17.5872,94,434,499,17975,-2675,original
08.12.2025 09:20:10,54.2578,17.6901,94,410,472,16625,-2672,original
