time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
08.12.2025 15:56:26,50.0024,8.5264,179,148,170,925,0,original
08.12.2025 15:56:42,49.9912,8.5270,177,157,181,1725,2953,original
08.12.2025 15:56:58,49.9800,8.5282,176,169,194,2500,3141,original
08.12.2025 15:57:14,49.9668,8.5297,176,175,201,3400,3141,original
08.12.2025 15:57:30,49.9537,8.5308,177,182,209,4175,2538,original
08.12.2025 15:57:53,49.9326,8.5317,179,211,243,5050,2208,original
08.12.2025 15:58:23,49.9006,8.5331,178,248,285,6125,2325,original
08.12.2025 15:58:53,49.8650,8.5361,177,272,313,7375,3100,original
08.12.2025 15:59:23,49.8255,8.5388,178,279,321,9225,3850,original
08.12.2025 15:59:53,49.7851,8.5411,180,290,334,11225,3444,original
08.12.2025 16:00:17,49.7540,8.5366,189,308,354,12325,3143,original
08.12.2025 16:00:35,49.7275,8.5288,192,319,367,13425,4031,original
08.12.2025 16:01:05,49.6841,8.5143,192,325,374,15550,4240,original
08.12.2025 16:01:27,49.6521,8.5044,191,328,377,17100,3633,original
08.12.2025 16:02:09,49.5868,8.4852,191,347,399,19425,3114,original
08.12.2025 16:02:33,49.5501,8.4741,191,360,414,20525,2472,original
08.12.2025 16:03:03,49.4971,8.4584,191,384,442,21650,2075,original
08.12.2025 16:03:33,49.4442,8.4430,191,402,463,22600,2000,original
08.12.2025 16:04:03,49.3879,8.4265,191,416,479,23650,2087,original
08.12.2025 16:04:19,49.3578,8.4177,191,424,488,24200,1989,original
08.12.2025 16:04:49,49.2982,8.4003,191,434,499,25175,1983,original
08.12.2025 16:05:18,49.2398,8.3834,192,439,505,26150,1960,original
08.12.2025 16:05:51,49.1766,8.3650,191,447,514,27200,1881,original
08.12.2025 16:06:21,49.1136,8.3469,191,453,521,28125,1780,original
08.12.2025 16:06:50,49.0570,8.3305,191,458,527,28950,1800,original
08.12.2025 16:07:16,48.9993,8.3134,193,457,526,29775,2293,original
08.12.2025 16:08:00,48.9161,8.2736,200,438,504,31625,2493,original
08.12.2025 16:08:30,48.8588,8.2410,200,428,493,32850,2500,original
08.12.2025 16:09:00,48.8029,8.2112,199,421,484,34125,2525,original
