time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
08.12.2025 11:37:35,54.3815,18.4542,298,157,181,1350,0,original
08.12.2025 11:37:51,54.3870,18.4372,298,164,189,2200,3563,original
08.12.2025 11:38:07,54.3917,18.4187,291,154,177,3250,3656,original
08.12.2025 11:38:23,54.3955,18.4002,289,159,183,4150,2864,original
08.12.2025 11:38:40,54.3999,18.3782,290,182,209,4825,2182,original
08.12.2025 11:38:56,54.4050,18.3555,291,205,236,5350,2318,original
08.12.2025 11:39:13,54.4063,18.3265,262,221,254,6100,2553,original
08.12.2025 11:39:43,54.3958,18.2743,248,252,290,7350,2575,original
08.12.2025 11:40:13,54.3820,18.2138,249,278,320,8675,2575,original
08.12.2025 11:40:43,54.3671,18.1492,248,307,353,9925,2750,original
08.12.2025 11:41:13,54.3509,18.0803,248,320,368,11425,3300,original
08.12.2025 11:41:43,54.3345,18.0093,248,335,386,13225,3550,original
08.12.2025 11:42:13,54.3167,17.9332,248,351,404,14975,3700,original
08.12.2025 11:42:43,54.2977,17.8527,248,362,417,16925,4125,original
08.12.2025 11:43:13,54.2795,17.7755,248,359,413,19100,4350,original
08.12.2025 11:43:43,54.2611,17.6981,248,353,406,21275,3689,original
08.12.2025 11:44:14,54.2415,17.6154,248,362,417,22850,2803,original
08.12.2025 11:44:44,54.2222,17.5345,248,371,427,24125,2575,original
08.12.2025 11:45:14,54.2026,17.4525,248,377,434,25425,2500,original
08.12.2025 11:45:44,54.1829,17.3703,248,379,436,26625,2484,original
08.12.2025 11:46:15,54.1617,17.2826,248,379,436,27950,2434,original
08.12.2025 11:46:45,54.1429,17.2048,248,374,430,29100,2450,original
08.12.2025 11:47:15,54.1224,17.1210,248,371,427,30400,2545,original
08.12.2025 11:47:41,54.1052,17.0522,244,369,425,31475,2438,original
08.12.2025 11:48:11,54.0782,16.9801,234,373,429,32675,2450,original
08.12.2025 11:48:41,54.0474,16.9097,233,367,422,33925,2500,original
