time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
09.12.2025 08:37:10,37.4179,-5.8896,91,150,173,250,0,original
09.12.2025 08:37:10,37.4179,-5.8896,91,150,173,250,2654,original
09.12.2025 08:37:23,37.4177,-5.8777,91,163,188,825,2483,original
09.12.2025 08:37:39,37.4174,-5.8618,91,183,211,1450,2531,original
09.12.2025 08:37:55,37.4174,-5.8428,89,197,227,2175,2859,original
09.12.2025 08:38:11,37.4176,-5.8246,95,200,230,2975,3088,original
09.12.2025 08:38:29,37.4108,-5.8073,137,190,219,3925,3243,original
09.12.2025 08:38:48,37.3952,-5.8023,192,178,205,4975,3577,original
09.12.2025 08:39:08,37.3816,-5.8142,222,169,194,6250,3625,original
09.12.2025 08:39:24,37.3729,-5.8235,220,170,196,7150,2935,original
09.12.2025 08:39:54,37.3532,-5.8449,221,203,234,8500,2650,original
09.12.2025 08:40:24,37.3297,-5.8699,220,240,276,9800,2575,original
09.12.2025 08:40:54,37.3021,-5.8991,220,281,323,11075,2575,original
09.12.2025 08:41:24,37.2700,-5.9330,220,319,367,12375,2525,original
09.12.2025 08:41:54,37.2333,-5.9712,219,355,409,13600,2475,original
09.12.2025 08:42:24,37.1944,-6.0103,219,386,444,14850,2875,original
09.12.2025 08:42:54,37.1505,-6.0545,219,399,459,16475,3265,original
09.12.2025 08:43:15,37.1211,-6.0881,232,401,461,17625,3750,original
09.12.2025 08:43:36,37.1050,-6.1305,254,399,459,19100,4023,original
09.12.2025 08:43:59,37.0982,-6.1836,266,397,457,20575,3738,original
09.12.2025 08:44:37,37.0987,-6.2698,273,392,451,22900,3154,original
09.12.2025 08:45:07,37.1018,-6.3386,273,401,461,24150,2500,original
09.12.2025 08:45:37,37.1037,-6.4100,271,406,467,25400,2500,original
09.12.2025 08:45:58,37.0977,-6.4588,255,408,470,26275,2361,original
09.12.2025 08:46:38,37.0723,-6.5460,248,413,475,27800,2143,original
09.12.2025 08:47:08,37.0508,-6.6133,249,417,480,28775,1950,original
09.12.2025 08:47:38,37.0303,-6.6813,250,420,483,29750,1975,original
09.12.2025 08:48:08,37.0097,-6.7495,249,422,486,30750,2000,original
09.12.2025 08:48:38,36.9884,-6.8195,249,421,484,31750,1975,original
09.12.2025 08:49:08,36.9684,-6.8858,249,420,483,32725,1800,original
09.12.2025 08:49:38,36.9483,-6.9524,250,422,486,33550,1575,original
09.12.2025 08:50:08,36.9274,-7.0211,249,424,488,34300,1500,original
09.12.2025 08:50:38,36.9062,-7.0906,249,426,490,35050,1450,original
09.12.2025 08:51:08,36.8860,-7.1571,249,424,488,35750,1475,original
09.12.2025 08:51:38,36.8643,-7.2278,249,423,487,36525,1225,original
09.12.2025 08:52:08,36.8434,-7.2961,249,427,491,36975,475,original
09.12.2025 08:52:38,36.8223,-7.3651,249,432,497,37000,22,original
09.12.2025 08:53:17,36.7852,-7.4515,239,436,502,37000,370,original
09.12.2025 08:53:47,36.7530,-7.5177,239,435,501,37425,1156,original
09.12.2025 08:54:18,36.7223,-7.5816,239,428,493,38175,1451,original
09.12.2025 08:54:48,36.6928,-7.6433,240,420,483,38900,1500,original
09.12.2025 08:55:18,36.6630,-7.7073,240,413,475,39675,1475,original
09.12.2025 08:55:48,36.6358,-7.7677,242,407,468,40375,1010,original
09.12.2025 08:56:07,36.6171,-7.8097,240,412,474,40500,500,original
09.12.2025 08:56:51,36.5623,-7.8891,226,419,482,40900,540,original
09.12.2025 08:57:22,36.5206,-7.9406,225,423,487,41175,492,original
09.12.2025 08:57:52,36.4794,-7.9920,226,426,490,41400,475,original
09.12.2025 08:58:22,36.4375,-8.0453,226,428,493,41650,525,original
09.12.2025 08:58:52,36.3961,-8.0975,226,431,496,41925,525,original
09.12.2025 08:59:22,36.3544,-8.1500,226,432,497,42175,500,original
09.12.2025 08:59:52,36.3121,-8.2035,226,434,499,42425,525,original
09.12.2025 09:00:22,36.2710,-8.2552,226,434,499,42700,525,original
09.12.2025 09:00:52,36.2283,-8.3089,226,434,499,42950,500,original
09.12.2025 09:01:22,36.1859,-8.3622,226,432,497,43200,525,original
09.12.2025 09:01:52,36.1425,-8.4166,226,431,496,43475,525,original
09.12.2025 09:02:22,36.1030,-8.4661,226,428,493,43725,500,original
09.12.2025 09:02:52,36.0612,-8.5184,226,425,489,43975,500,original
09.12.2025 09:03:22,36.0190,-8.5711,225,424,488,44225,500,original
09.12.2025 09:03:52,35.9788,-8.6211,225,422,486,44475,516,original
09.12.2025 09:04:23,35.9353,-8.6753,225,420,483,44750,484,original
09.12.2025 09:04:54,35.8940,-8.7265,225,419,482,44975,246,original
09.12.2025 09:05:24,35.8535,-8.7769,225,424,488,45000,25,original
09.12.2025 09:05:54,35.8100,-8.8307,225,427,491,45000,0,original
09.12.2025 09:06:24,35.7680,-8.8826,225,430,495,45000,0,original
09.12.2025 09:06:54,35.7260,-8.9344,225,433,498,45000,0,original
09.12.2025 09:07:24,35.6835,-8.9869,225,436,502,45000,0,original
09.12.2025 09:07:55,35.6388,-9.0418,225,439,505,45000,0,original
09.12.2025 09:08:25,35.5957,-9.0948,225,441,507,45000,0,original
09.12.2025 09:08:55,35.5541,-9.1458,225,443,510,45000,0,original
09.12.2025 09:09:26,35.5090,-9.2011,225,443,510,45000,0,original
09.12.2025 09:09:57,35.4630,-9.2574,225,441,507,45000,0,original
09.12.2025 09:10:27,35.4180,-9.3123,225,440,506,45000,0,original
09.12.2025 09:10:58,35.3737,-9.3662,225,438,504,45000,0,original
09.12.2025 09:11:28,35.3307,-9.4184,225,437,503,45000,0,original
09.12.2025 09:11:58,35.2904,-9.4675,225,436,502,45000,0,original
09.12.2025 09:12:28,35.2474,-9.5194,225,436,502,45000,0,original
09.12.2025 09:12:58,35.2049,-9.5711,225,436,502,45000,0,original
09.12.2025 09:13:28,35.1614,-9.6236,225,435,501,45000,0,original
09.12.2025 09:13:58,35.1182,-9.6758,225,435,501,45000,0,original
09.12.2025 09:14:28,35.0752,-9.7276,225,435,501,45000,0,original
09.12.2025 09:14:58,35.0319,-9.7797,225,435,501,45000,0,original
09.12.2025 09:15:32,34.9835,-9.8377,225,434,499,45000,0,original
09.12.2025 09:16:03,34.9406,-9.8892,224,434,499,45000,0,original
09.12.2025 09:16:33,34.8976,-9.9406,224,434,499,45000,0,original
09.12.2025 09:17:06,34.8493,-9.9984,225,434,499,45000,0,original
09.12.2025 09:17:36,34.8064,-10.0497,224,433,498,45000,0,original
09.12.2025 09:18:06,34.7647,-10.0993,224,433,498,45000,0,original
09.12.2025 09:18:36,34.7204,-10.1520,224,433,498,45000,0,original
