time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
09.12.2025 13:05:28,28.4799,-16.3326,110,160,184,2400,0,original
09.12.2025 13:05:44,28.4746,-16.3200,120,177,204,2925,2273,original
09.12.2025 13:06:01,28.4662,-16.3051,123,190,219,3650,2727,original
09.12.2025 13:06:17,28.4590,-16.2926,123,191,220,4425,3047,original
09.12.2025 13:06:33,28.4513,-16.2776,117,196,226,5275,2956,original
09.12.2025 13:06:51,28.4440,-16.2608,115,206,237,6100,2761,original
09.12.2025 13:07:17,28.4340,-16.2333,109,224,258,7300,2966,original
09.12.2025 13:07:35,28.4332,-16.2122,73,231,266,8275,3292,original
09.12.2025 13:07:53,28.4456,-16.1950,33,233,268,9275,3110,original
09.12.2025 13:08:16,28.4679,-16.1848,15,248,285,10400,2774,original
09.12.2025 13:08:46,28.5045,-16.1763,10,283,326,11725,2600,original
09.12.2025 13:09:16,28.5452,-16.1668,13,320,368,13000,2575,original
09.12.2025 13:09:46,28.5908,-16.1540,14,352,405,14300,2700,original
09.12.2025 13:10:16,28.6405,-16.1409,13,372,428,15700,2925,original
09.12.2025 13:10:46,28.6906,-16.1274,14,386,444,17225,3025,original
09.12.2025 13:11:16,28.7441,-16.1127,14,394,453,18725,3025,original
09.12.2025 13:11:46,28.7990,-16.0978,14,401,461,20250,2707,original
09.12.2025 13:12:02,28.8295,-16.0909,7,409,471,20800,1047,original
09.12.2025 13:12:29,28.8804,-16.0882,3,438,504,21000,447,original
09.12.2025 13:12:49,28.9221,-16.0733,30,461,531,21150,563,original
09.12.2025 13:13:09,28.9537,-16.0405,52,467,537,21375,870,original
09.12.2025 13:13:39,28.9864,-15.9824,59,469,540,21875,1147,original
09.12.2025 13:14:00,29.0163,-15.9412,38,464,534,22350,1393,original
09.12.2025 13:14:21,29.0581,-15.9157,20,463,533,22850,1364,original
09.12.2025 13:14:44,29.1019,-15.9008,14,467,537,23350,1527,original
09.12.2025 13:15:16,29.1696,-15.8836,12,471,542,24250,1969,original
09.12.2025 13:15:48,29.2403,-15.8656,13,471,542,25450,2129,original
09.12.2025 13:16:18,29.3040,-15.8483,13,471,542,26450,1975,original
09.12.2025 13:16:48,29.3690,-15.8310,13,469,540,27425,1950,original
09.12.2025 13:17:18,29.4323,-15.8141,13,466,536,28400,1925,original
09.12.2025 13:17:48,29.4942,-15.7974,13,461,531,29350,1925,original
09.12.2025 13:18:18,29.5556,-15.7809,13,457,526,30325,1950,original
09.12.2025 13:18:48,29.6171,-15.7643,13,452,520,31300,1950,original
09.12.2025 13:19:18,29.6787,-15.7476,13,447,514,32275,1844,original
09.12.2025 13:19:49,29.7389,-15.7314,13,444,511,33175,1672,original
09.12.2025 13:20:19,29.7990,-15.7151,13,444,511,33975,1450,original
09.12.2025 13:20:49,29.8586,-15.6989,13,444,511,34625,1375,original
09.12.2025 13:21:19,29.9194,-15.6824,13,443,510,35350,1450,original
09.12.2025 13:21:49,29.9788,-15.6663,13,441,507,36075,1303,original
09.12.2025 13:22:20,30.0431,-15.6488,13,442,509,36675,1082,original
09.12.2025 13:22:50,30.1021,-15.6327,13,443,510,37175,950,original
09.12.2025 13:23:20,30.1608,-15.6167,13,443,510,37625,925,original
09.12.2025 13:23:50,30.2231,-15.5998,13,442,509,38100,950,original
09.12.2025 13:24:20,30.2825,-15.5834,14,441,507,38575,959,original
09.12.2025 13:24:51,30.3421,-15.5671,13,438,504,39075,934,original
09.12.2025 13:25:21,30.4011,-15.5510,13,435,501,39525,750,original
09.12.2025 13:25:51,30.4604,-15.5348,13,437,503,39825,525,original
09.12.2025 13:26:21,30.5192,-15.5186,13,440,506,40050,450,original
09.12.2025 13:26:51,30.5801,-15.5018,13,443,510,40275,450,original
09.12.2025 13:27:21,30.6406,-15.4851,13,446,513,40500,425,original
09.12.2025 13:27:51,30.7011,-15.4684,13,449,517,40700,425,original
09.12.2025 13:28:21,30.7623,-15.4515,13,450,518,40925,450,original
09.12.2025 13:28:51,30.8188,-15.4359,14,451,519,41150,450,original
09.12.2025 13:29:21,30.8843,-15.4176,13,451,519,41375,450,original
09.12.2025 13:29:51,30.9460,-15.4006,13,450,518,41600,450,original
09.12.2025 13:30:21,31.0069,-15.3837,14,449,517,41825,450,original
09.12.2025 13:30:51,31.0644,-15.3677,14,449,517,42050,450,original
09.12.2025 13:31:21,31.1251,-15.3508,13,447,514,42275,443,original
09.12.2025 13:31:52,31.1892,-15.3330,13,445,512,42500,435,original
09.12.2025 13:32:23,31.2496,-15.3162,14,444,511,42725,395,original
09.12.2025 13:33:08,31.3337,-15.2757,30,454,522,43000,214,original
09.12.2025 13:33:40,31.3920,-15.2328,34,460,529,43000,0,original
09.12.2025 13:34:16,31.4559,-15.1816,34,464,534,43000,0,original
09.12.2025 13:35:00,31.5336,-15.1211,33,466,536,43000,0,original
09.12.2025 13:35:32,31.5928,-15.0750,34,465,535,43000,0,original
09.12.2025 13:36:03,31.6480,-15.0318,34,465,535,43000,0,original
09.12.2025 13:36:33,31.7003,-14.9911,34,465,535,43000,0,original
09.12.2025 13:37:04,31.7565,-14.9470,34,465,535,43000,0,original
09.12.2025 13:37:36,31.8137,-14.9022,34,464,534,43000,0,original
09.12.2025 13:38:06,31.8681,-14.8596,34,464,534,43000,0,original
09.12.2025 13:38:41,31.9306,-14.8105,34,464,534,43000,0,original
09.12.2025 13:39:13,31.9880,-14.7652,34,464,534,43000,0,original
09.12.2025 13:39:43,32.0411,-14.7235,34,464,534,43000,0,original
