time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
09.12.2025 16:08:41,41.6971,-4.8655,226,153,176,3775,0,original
09.12.2025 16:08:41,41.6971,-4.8655,226,153,176,3842,3632,original
09.12.2025 16:09:00,41.6846,-4.8679,168,155,178,4925,2975,original
09.12.2025 16:09:21,41.6743,-4.8515,105,198,228,5825,2514,original
09.12.2025 16:09:37,41.6763,-4.8296,67,223,257,6475,2308,original
09.12.2025 16:10:00,41.6894,-4.7991,58,254,292,7325,2208,original
09.12.2025 16:10:30,41.7109,-4.7566,55,293,337,8425,2234,original
09.12.2025 16:10:47,41.7227,-4.7336,56,308,354,9075,3048,original
09.12.2025 16:11:32,41.7601,-4.6570,57,334,384,11575,2903,original
09.12.2025 16:12:04,41.7890,-4.5988,55,358,412,12800,2250,original
09.12.2025 16:12:34,41.8203,-4.5441,51,375,432,13900,2250,original
09.12.2025 16:13:04,41.8519,-4.4920,52,382,440,15050,2164,original
09.12.2025 16:13:35,41.8859,-4.4339,52,396,456,16100,2213,original
09.12.2025 16:14:05,41.9202,-4.3751,52,403,464,17300,2475,original
09.12.2025 16:14:35,41.9551,-4.3159,52,409,471,18575,2900,original
09.12.2025 16:15:05,41.9925,-4.2516,52,418,481,20200,3175,original
09.12.2025 16:15:35,42.0286,-4.1895,52,425,489,21750,2800,original
09.12.2025 16:16:05,42.0647,-4.1274,52,436,502,23000,2525,original
09.12.2025 16:16:35,42.1005,-4.0659,52,441,507,24275,2484,original
09.12.2025 16:17:06,42.1395,-3.9984,52,448,516,25525,2250,original
09.12.2025 16:17:37,42.1809,-3.9266,52,458,527,26600,2177,original
09.12.2025 16:18:08,42.2210,-3.8571,52,460,529,27775,2274,original
09.12.2025 16:18:39,42.2622,-3.7854,52,461,531,28950,1992,original
09.12.2025 16:19:09,42.3005,-3.7186,52,467,537,29800,1700,original
09.12.2025 16:19:39,42.3411,-3.6476,52,471,542,30650,1925,original
09.12.2025 16:20:09,42.3813,-3.5770,53,468,539,31725,2050,original
09.12.2025 16:20:39,42.4182,-3.5122,53,466,536,32700,2050,original
09.12.2025 16:21:09,42.4575,-3.4431,53,462,532,33775,2250,original
09.12.2025 16:21:39,42.4969,-3.3735,53,456,525,34950,1887,original
09.12.2025 16:22:11,42.5393,-3.2986,53,459,528,35725,1645,original
09.12.2025 16:22:41,42.5788,-3.2286,53,452,520,36650,1775,original
09.12.2025 16:23:11,42.6161,-3.1625,53,447,514,37500,1325,original
09.12.2025 16:23:41,42.6511,-3.0999,53,451,519,37975,910,original
09.12.2025 16:24:12,42.6921,-3.0266,53,455,524,38425,762,original
09.12.2025 16:24:42,42.7294,-2.9600,53,459,528,38750,575,original
09.12.2025 16:25:12,42.7691,-2.8888,53,465,535,39000,500,original
09.12.2025 16:25:42,42.8078,-2.8195,53,470,541,39250,532,original
09.12.2025 16:26:14,42.8482,-2.7464,53,473,544,39550,556,original
09.12.2025 16:26:44,42.8881,-2.6745,53,476,548,39825,1131,original
09.12.2025 16:27:15,42.9301,-2.5983,53,459,528,40700,1648,original
09.12.2025 16:27:45,42.9661,-2.5327,53,449,517,41500,1075,original
09.12.2025 16:28:15,43.0038,-2.4643,53,451,519,41775,541,original
09.12.2025 16:28:46,43.0434,-2.3923,53,453,521,42050,541,original
09.12.2025 16:29:16,43.0802,-2.3249,53,454,522,42325,550,original
09.12.2025 16:29:46,43.1176,-2.2565,53,454,522,42600,525,original
09.12.2025 16:30:16,43.1559,-2.1860,53,454,522,42850,400,original
09.12.2025 16:30:46,43.1932,-2.1174,53,456,525,43000,150,original
09.12.2025 16:31:16,43.2308,-2.0480,54,461,531,43000,0,original
09.12.2025 16:31:46,43.2706,-1.9744,54,466,536,43000,0,original
09.12.2025 16:32:16,43.3085,-1.9041,54,467,537,43000,0,original
09.12.2025 16:32:42,43.3405,-1.8451,52,469,540,43000,29,original
09.12.2025 16:33:08,43.3841,-1.7881,37,465,535,43025,0,original
09.12.2025 16:33:35,43.4307,-1.7483,29,465,535,43000,-26,original
09.12.2025 16:34:05,43.4879,-1.7094,25,463,533,43000,0,original
09.12.2025 16:34:38,43.5557,-1.6672,24,463,533,43000,0,original
09.12.2025 16:35:11,43.6170,-1.6281,25,463,533,43000,0,original
09.12.2025 16:35:42,43.6764,-1.5903,25,462,532,43000,0,original
09.12.2025 16:36:12,43.7377,-1.5514,25,462,532,43000,0,original
09.12.2025 16:36:42,43.7943,-1.5155,25,461,531,43000,0,original
09.12.2025 16:37:14,43.8544,-1.4771,25,462,532,43000,0,original
09.12.2025 16:37:45,43.9156,-1.4381,25,460,529,43000,0,original
09.12.2025 16:38:15,43.9720,-1.4020,25,460,529,43000,0,original
09.12.2025 16:38:48,44.0371,-1.3602,25,459,528,43000,0,original
09.12.2025 16:39:19,44.0966,-1.3219,25,457,526,43000,0,original
09.12.2025 16:39:49,44.1532,-1.2853,25,455,524,43000,0,original
09.12.2025 16:40:19,44.2101,-1.2487,25,455,524,43000,0,original
09.12.2025 16:40:49,44.2676,-1.2114,25,455,524,43000,0,original
09.12.2025 16:41:19,44.3244,-1.1747,25,455,524,43000,0,original
09.12.2025 16:41:49,44.3837,-1.1361,25,454,522,43000,0,original
09.12.2025 16:42:21,44.4418,-1.0982,25,454,522,43000,0,original
09.12.2025 16:43:00,44.5155,-1.0385,34,455,524,43000,0,original
09.12.2025 16:43:31,44.5662,-0.9874,36,454,522,43000,0,original
09.12.2025 16:44:01,44.6189,-0.9351,35,454,522,43000,0,original
09.12.2025 16:44:32,44.6742,-0.8816,35,454,522,43000,0,original
09.12.2025 16:45:02,44.7222,-0.8342,35,454,522,43000,0,original
09.12.2025 16:45:32,44.7738,-0.7835,35,454,522,43000,0,original
09.12.2025 16:46:02,44.8271,-0.7311,35,454,522,43000,0,original
09.12.2025 16:46:32,44.8768,-0.6821,35,454,522,43000,0,original
09.12.2025 16:47:02,44.9297,-0.6298,35,454,522,43000,0,original
09.12.2025 16:47:32,44.9813,-0.5787,35,456,525,43000,0,original
09.12.2025 16:48:02,45.0333,-0.5272,35,456,525,43000,0,original
09.12.2025 16:48:32,45.0835,-0.4772,35,456,525,43000,0,original
09.12.2025 16:49:02,45.1354,-0.4255,35,456,525,43000,0,original
09.12.2025 16:49:33,45.1881,-0.3729,35,457,526,43000,0,original
09.12.2025 16:50:04,45.2432,-0.3177,35,457,526,43000,0,original
09.12.2025 16:50:34,45.2949,-0.2658,35,456,525,43000,0,original
09.12.2025 16:51:04,45.3455,-0.2150,35,456,525,43000,0,original
09.12.2025 16:51:34,45.3974,-0.1627,35,456,525,43000,0,original
09.12.2025 16:52:04,45.4489,-0.1107,36,456,525,43000,0,original
09.12.2025 16:52:34,45.5001,-0.0589,36,456,525,43000,0,original
09.12.2025 16:53:04,45.5508,-0.0073,36,456,525,43000,0,original
09.12.2025 16:53:35,45.6069,0.0498,36,456,525,43000,0,original
09.12.2025 16:54:05,45.6545,0.0983,36,455,524,43000,0,original
09.12.2025 16:54:35,45.7085,0.1535,36,455,524,43000,0,original
09.12.2025 16:55:05,45.7591,0.2053,36,454,522,43000,0,original
09.12.2025 16:55:35,45.8075,0.2550,36,454,522,43000,0,original
09.12.2025 16:56:05,45.8624,0.3114,36,454,522,43000,0,original
09.12.2025 16:56:36,45.9131,0.3638,36,454,522,43000,0,original
09.12.2025 16:57:06,45.9638,0.4162,36,455,524,43000,0,original
09.12.2025 16:57:36,46.0152,0.4694,36,454,522,43000,0,original
09.12.2025 16:58:06,46.0658,0.5220,36,453,521,43000,0,original
09.12.2025 16:58:36,46.1166,0.5749,36,453,521,43000,0,original
09.12.2025 16:59:06,46.1677,0.6283,36,454,522,43000,0,original
09.12.2025 16:59:36,46.2182,0.6812,36,454,522,43000,0,original
09.12.2025 17:00:07,46.2695,0.7349,36,454,522,43000,0,original
09.12.2025 17:00:37,46.3221,0.7901,36,454,522,43000,0,original
09.12.2025 17:01:07,46.3719,0.8427,36,454,522,43000,0,original
09.12.2025 17:01:37,46.4235,0.8972,36,455,524,43000,0,original
09.12.2025 17:02:07,46.4742,0.9506,36,456,525,43000,0,original
09.12.2025 17:02:37,46.5251,1.0048,36,455,524,43000,0,original
09.12.2025 17:03:07,46.5762,1.0592,36,455,524,43000,0,original
09.12.2025 17:03:37,46.6270,1.1133,36,455,524,43000,0,original
09.12.2025 17:04:07,46.6784,1.1683,36,455,524,43000,0,original
09.12.2025 17:04:37,46.7279,1.2212,36,456,525,43000,0,original
09.12.2025 17:05:07,46.7793,1.2764,36,456,525,43000,0,original
09.12.2025 17:05:37,46.8301,1.3311,37,457,526,43000,0,original
09.12.2025 17:06:07,46.8823,1.3875,36,456,525,43000,0,original
09.12.2025 17:06:38,46.9341,1.4435,37,457,526,43000,0,original
09.12.2025 17:07:08,46.9840,1.4975,37,457,526,43000,0,original
09.12.2025 17:07:38,47.0344,1.5524,37,456,525,43000,0,original
09.12.2025 17:08:08,47.0864,1.6090,37,455,524,43000,0,original
09.12.2025 17:08:39,47.1377,1.6650,37,455,524,43000,0,original
09.12.2025 17:09:09,47.1892,1.7214,37,455,524,43000,0,original
09.12.2025 17:09:39,47.2390,1.7761,37,456,525,43000,0,original
09.12.2025 17:10:09,47.2906,1.8328,37,456,525,43000,0,original
09.12.2025 17:10:40,47.3432,1.8909,37,457,526,43000,0,original
09.12.2025 17:11:10,47.3936,1.9465,37,458,527,43000,0,original
09.12.2025 17:11:40,47.4432,2.0016,37,458,527,43000,0,original
09.12.2025 17:12:10,47.4945,2.0586,37,457,526,43000,0,original
09.12.2025 17:12:40,47.5444,2.1141,37,458,527,43000,0,original
09.12.2025 17:13:10,47.5963,2.1721,37,458,527,43000,0,original
09.12.2025 17:13:40,47.6462,2.2280,37,458,527,43000,0,original
09.12.2025 17:14:10,47.6968,2.2847,37,457,526,43000,0,original
09.12.2025 17:14:40,47.7483,2.3427,37,458,527,43000,0,original
09.12.2025 17:15:10,47.7988,2.3997,37,457,526,43000,0,original
09.12.2025 17:15:41,47.8509,2.4586,37,457,526,43000,0,original
09.12.2025 17:16:12,47.9014,2.5158,37,458,527,43000,0,original
09.12.2025 17:16:42,47.9518,2.5731,37,458,527,43000,0,original
09.12.2025 17:17:12,48.0026,2.6310,38,458,527,43000,0,original
09.12.2025 17:17:44,48.0560,2.6921,38,459,528,43000,0,original
09.12.2025 17:18:14,48.1067,2.7500,37,457,526,43000,0,original
09.12.2025 17:18:44,48.1576,2.8085,38,457,526,43000,0,original
09.12.2025 17:19:14,48.2065,2.8648,38,458,527,43000,0,original
09.12.2025 17:19:44,48.2571,2.9232,38,458,527,43000,0,original
09.12.2025 17:20:14,48.3084,2.9825,38,459,528,43000,0,original
09.12.2025 17:20:44,48.3580,3.0401,38,458,527,43000,0,original
09.12.2025 17:21:14,48.4078,3.0981,38,459,528,43000,0,original
09.12.2025 17:21:44,48.4580,3.1566,38,459,528,43000,0,original
09.12.2025 17:22:14,48.5086,3.2158,38,459,528,43000,0,original
09.12.2025 17:22:44,48.5588,3.2746,38,460,529,43000,0,original
09.12.2025 17:23:14,48.6071,3.3312,38,460,529,43000,0,original
09.12.2025 17:23:44,48.6589,3.3924,38,460,529,43000,0,original
