time_europe_berlin,latitude,longitude,altitude_ft,speed_kts,speed_mph,course_deg_clockwise_from_north,vertical_rate_fpm,value_origin
10.12.2025 14:51:14,38.274654,-0.50981,2025,169,194,97,0,original
10.12.2025 14:51:22,38.273739,-0.501445,2350,179,206,96,0,original
10.12.2025 14:51:24,38.273808,-0.49927,2425,185,213,92,0,original
10.12.2025 14:51:27,38.273968,-0.495897,2525,192,221,87,0,original
10.12.2025 14:51:30,38.274532,-0.49204,2675,195,224,82,0,original
10.12.2025 14:51:33,38.275047,-0.490082,2800,196,226,79,0,original
10.12.2025 14:51:35,38.275967,-0.487372,2875,192,221,73,0,original
10.12.2025 14:51:38,38.277042,-0.48417,2975,192,221,70,0,original
10.12.2025 14:51:40,38.277863,-0.481943,3075,194,223,68,0,original
10.12.2025 14:51:43,38.279125,-0.479286,3200,194,223,58,0,original
10.12.2025 14:51:46,38.280285,-0.476893,3350,198,228,68,0,original
10.12.2025 14:51:48,38.281868,-0.474085,3425,200,230,55,0,original
10.12.2025 14:51:51,38.282955,-0.47209,3525,202,232,55,0,original
10.12.2025 14:51:53,38.283985,-0.470156,3575,202,232,55,0,original
10.12.2025 14:51:55,38.285412,-0.467723,3700,204,235,54,0,original
10.12.2025 14:52:00,38.288418,-0.462715,3900,204,235,52,0,original
10.12.2025 14:52:02,38.289585,-0.460836,4000,204,235,52,0,original
10.12.2025 14:52:05,38.290951,-0.458593,4125,210,242,52,0,original
10.12.2025 14:52:07,38.292549,-0.456181,4225,210,242,51,0,original
10.12.2025 14:52:10,38.294792,-0.45298,4325,213,245,50,0,original
10.12.2025 14:52:12,38.296101,-0.451104,4450,216,249,49,0,original
10.12.2025 14:52:15,38.297676,-0.448675,4550,216,249,49,0,original
10.12.2025 14:52:17,38.298874,-0.446893,4575,216,249,49,0,original
10.12.2025 14:52:20,38.301216,-0.443383,4775,222,255,49,0,original
10.12.2025 14:52:23,38.302879,-0.440726,4850,222,255,50,0,original
10.12.2025 14:52:25,38.304131,-0.438733,4975,224,258,50,0,original
10.12.2025 14:52:32,38.309151,-0.43101,5225,228,262,50,0,original
10.12.2025 14:52:47,38.318214,-0.416154,5700,242,278,53,0,original
10.12.2025 14:52:58,38.326408,-0.39931,6025,264,304,48,0,original
10.12.2025 14:53:01,38.327797,-0.396776,6100,266,306,58,0,original
10.12.2025 14:53:03,38.329647,-0.394796,6200,266,306,45,0,original
10.12.2025 14:53:05,38.332104,-0.392302,6250,266,306,41,0,original
10.12.2025 14:53:08,38.334885,-0.388661,6350,276,318,42,0,original
10.12.2025 14:53:11,38.33749,-0.386079,6425,280,322,40,0,original
10.12.2025 14:53:13,38.34029,-0.383883,6525,280,322,36,0,original
10.12.2025 14:53:15,38.342331,-0.38244,6600,282,325,34,0,original
10.12.2025 14:53:18,38.345226,-0.379783,6675,284,327,35,0,original
10.12.2025 14:53:20,38.347603,-0.377609,6800,288,331,35,0,original
10.12.2025 14:53:23,38.350357,-0.375014,6900,288,331,35,0,original
10.12.2025 14:53:25,38.353043,-0.372611,7000,290,334,35,0,original
10.12.2025 14:53:27,38.355289,-0.370741,7100,290,334,34,0,original
10.12.2025 14:53:29,38.357708,-0.368609,7150,290,334,34,0,original
10.12.2025 14:53:31,38.360107,-0.366525,7325,292,336,34,0,original
10.12.2025 14:53:33,38.362728,-0.364285,7425,292,336,34,0,original
10.12.2025 14:53:36,38.365414,-0.362015,7575,294,338,34,0,original
10.12.2025 14:53:38,38.36832,-0.359589,7700,294,338,33,0,original
10.12.2025 14:53:53,38.384052,-0.346714,8525,294,338,32,0,original
10.12.2025 14:54:07,38.400776,-0.333342,9325,300,345,31,0,original
10.12.2025 14:54:20,38.41626,-0.320915,9950,306,352,31,0,original
10.12.2025 14:54:34,38.43364,-0.306378,10600,318,366,33,0,original
10.12.2025 14:54:48,38.45153,-0.292313,11300,332,382,31,0,original
10.12.2025 14:55:03,38.471836,-0.275973,12075,344,396,32,0,original
10.12.2025 14:55:26,38.504192,-0.252119,13150,364,419,26,0,original
10.12.2025 14:55:28,38.507999,-0.250104,13225,366,421,24,0,original
10.12.2025 14:55:30,38.51141,-0.248536,13400,366,421,22,0,original
10.12.2025 14:55:33,38.514629,-0.247062,13550,366,421,21,0,original
10.12.2025 14:55:35,38.518776,-0.245481,13700,368,423,18,0,original
10.12.2025 14:55:37,38.52232,-0.244249,13850,368,423,17,0,original
10.12.2025 14:55:40,38.526188,-0.242874,14050,368,423,16,0,original
10.12.2025 14:55:42,38.530041,-0.241635,14200,368,423,15,0,original
10.12.2025 14:55:44,38.533947,-0.240351,14350,368,423,14,0,original
10.12.2025 14:55:47,38.538464,-0.2389,14525,368,423,14,0,original
10.12.2025 14:55:49,38.542004,-0.237865,14675,368,423,13,0,original
10.12.2025 14:55:51,38.545101,-0.236951,14850,370,426,13,0,original
10.12.2025 14:55:53,38.549179,-0.235904,14975,370,426,12,0,original
10.12.2025 14:55:56,38.552662,-0.234948,15200,370,426,12,0,original
10.12.2025 14:55:58,38.558403,-0.233408,15350,370,426,11,0,original
10.12.2025 14:56:01,38.56205,-0.232495,15500,370,426,11,0,original
10.12.2025 14:56:32,38.615086,-0.21937,17300,382,440,10,0,original
10.12.2025 14:56:38,38.624039,-0.217098,17600,382,440,11,0,original
10.12.2025 14:56:40,38.628822,-0.215913,17800,384,442,10,0,original
10.12.2025 14:56:42,38.632771,-0.214726,17925,384,442,12,0,original
10.12.2025 14:56:45,38.637474,-0.213586,18100,384,442,11,0,original
10.12.2025 14:56:47,38.64146,-0.212541,18225,384,442,11,0,original
10.12.2025 14:56:49,38.645393,-0.211466,18325,384,442,11,0,original
10.12.2025 14:56:51,38.648903,-0.210458,18475,386,444,12,0,original
10.12.2025 14:57:22,38.70269,-0.195251,19900,400,460,12,0,original
10.12.2025 14:57:54,38.760345,-0.175193,21225,412,474,16,0,original
10.12.2025 14:58:24,38.817242,-0.155517,22350,426,490,14,0,original
10.12.2025 14:58:56,38.880192,-0.134898,23450,440,506,14,0,original
10.12.2025 14:59:27,38.940895,-0.113555,24475,448,516,15,0,original
10.12.2025 14:59:48,38.982784,-0.099124,25150,452,520,14,0,original
10.12.2025 15:00:20,39.047813,-0.076765,26225,458,527,15,0,original
10.12.2025 15:00:51,39.112362,-0.054506,27300,460,529,15,0,original
10.12.2025 15:01:23,39.177521,-0.031908,28350,460,529,15,0,original
10.12.2025 15:01:53,39.239609,-0.010425,29375,460,529,14,0,original
10.12.2025 15:02:26,39.307003,0.012966,30475,458,527,15,0,original
10.12.2025 15:02:57,39.37077,0.035251,31500,454,522,15,0,original
10.12.2025 15:03:29,39.435928,0.057982,32575,450,518,15,0,original
10.12.2025 15:04:00,39.497288,0.07944,33425,450,518,15,0,original
10.12.2025 15:04:31,39.559681,0.101175,34200,452,520,15,0,original
10.12.2025 15:05:03,39.624107,0.123742,35000,450,518,14,0,original
10.12.2025 15:05:36,39.690052,0.14697,35800,448,516,15,0,original
10.12.2025 15:06:06,39.75145,0.168638,36000,458,527,14,0,original
10.12.2025 15:06:37,39.815502,0.191185,36000,468,539,14,0,original
10.12.2025 15:07:09,39.883251,0.215176,36000,476,548,14,0,original
10.12.2025 15:07:40,39.94857,0.238423,36500,470,541,15,0,original
10.12.2025 15:08:13,40.017101,0.262562,37200,466,536,15,0,original
10.12.2025 15:08:46,40.085209,0.286786,37725,466,536,16,0,original
10.12.2025 15:09:16,40.149487,0.309739,38250,464,534,15,0,original
10.12.2025 15:09:19,40.153698,0.311232,38275,464,534,15,0,original
