time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
10.12.2025 09:46:19,51.5147,7.6014,241,146,168,925,0,original
10.12.2025 09:46:24,51.5125,7.5953,240,147,169,1150,3094,original
10.12.2025 09:46:35,51.5089,7.5855,239,151,174,1750,3444,original
10.12.2025 09:46:51,51.5024,7.5690,238,155,178,2700,3094,original
10.12.2025 09:47:07,51.4967,7.5533,242,164,189,3400,3047,original
10.12.2025 09:47:23,51.4914,7.5368,243,163,188,4325,3516,original
10.12.2025 09:47:39,51.4855,7.5190,242,165,190,5275,3385,original
10.12.2025 09:48:02,51.4770,7.4955,237,168,193,6525,3321,original
10.12.2025 09:48:21,51.4670,7.4765,224,180,207,7600,3293,original
10.12.2025 09:48:48,51.4482,7.4513,217,201,231,9050,3067,original
10.12.2025 09:49:06,51.4353,7.4358,218,220,253,9900,3043,original
10.12.2025 09:49:23,51.4204,7.4168,219,238,274,10825,2795,original
10.12.2025 09:50:12,51.3731,7.3533,219,306,352,12975,2664,original
10.12.2025 09:50:30,51.3538,7.3283,219,321,369,13800,4500,original
10.12.2025 09:50:57,51.3226,7.2876,221,306,352,16350,4915,original
10.12.2025 09:51:35,51.2812,7.2327,220,310,357,19125,4125,original
10.12.2025 09:52:05,51.2478,7.1887,219,313,360,21025,3300,original
10.12.2025 09:52:35,51.2132,7.1434,220,327,376,22425,2850,original
10.12.2025 09:53:05,51.1786,7.0980,220,333,383,23875,2809,original
10.12.2025 09:53:30,51.1477,7.0582,216,341,392,25000,2488,original
10.12.2025 09:53:46,51.1278,7.0375,211,347,399,25575,2310,original
10.12.2025 09:54:20,51.0801,6.9965,207,355,409,26925,2250,original
10.12.2025 09:54:38,51.0528,6.9742,209,360,414,27525,2025,original
10.12.2025 09:55:00,51.0204,6.9465,209,365,420,28275,1933,original
10.12.2025 09:55:30,50.9751,6.9068,209,371,427,29200,1825,original
10.12.2025 09:56:00,50.9295,6.8676,208,377,434,30100,1603,original
10.12.2025 09:56:28,50.8862,6.8304,209,384,442,30750,1526,original
10.12.2025 09:56:57,50.8419,6.7922,209,390,449,31550,1551,original
10.12.2025 09:57:27,50.7933,6.7503,209,394,453,32275,1443,original
10.12.2025 09:57:50,50.7577,6.7197,209,396,456,32825,1500,original
10.12.2025 09:58:20,50.7074,6.6767,209,397,457,33600,1500,original
10.12.2025 09:58:50,50.6597,6.6356,209,398,458,34325,1441,original
10.12.2025 09:59:11,50.6267,6.6065,210,397,457,34825,1463,original
10.12.2025 09:59:30,50.5973,6.5796,210,397,457,35300,1575,original
10.12.2025 09:59:51,50.5652,6.5498,211,395,455,35875,1265,original
10.12.2025 10:00:21,50.5166,6.5041,211,396,456,36375,1180,original
10.12.2025 10:01:06,50.4448,6.4361,211,391,450,37350,1300,original
10.12.2025 10:01:36,50.4003,6.3940,211,386,444,38000,1200,original
10.12.2025 10:02:06,50.3545,6.3491,213,386,444,38550,927,original
10.12.2025 10:02:31,50.3162,6.3108,213,389,448,38850,709,original
10.12.2025 10:03:01,50.2719,6.2669,212,391,450,39200,704,original
10.12.2025 10:03:20,50.2425,6.2393,212,392,451,39425,750,original
10.12.2025 10:03:39,50.2149,6.2058,223,392,451,39675,619,original
10.12.2025 10:04:23,50.1588,6.1113,228,399,459,40075,532,original
10.12.2025 10:04:41,50.1382,6.0746,231,400,460,40225,523,original
10.12.2025 10:05:06,50.1145,6.0260,234,403,464,40450,518,original
10.12.2025 10:05:36,50.0792,5.9490,234,406,467,40700,528,original
10.12.2025 10:06:17,50.0326,5.8509,233,407,468,41075,549,original
10.12.2025 10:06:47,49.9986,5.7793,234,410,472,41350,528,original
10.12.2025 10:07:28,49.9526,5.6829,233,411,473,41700,507,original
10.12.2025 10:07:58,49.9199,5.6148,234,412,474,41950,525,original
10.12.2025 10:08:28,49.8846,5.5412,233,412,474,42225,550,original
10.12.2025 10:08:58,49.8503,5.4702,233,411,473,42500,525,original
10.12.2025 10:09:28,49.8164,5.4001,233,412,474,42750,525,original
10.12.2025 10:09:58,49.7825,5.3302,233,411,473,43025,550,original
10.12.2025 10:10:28,49.7490,5.2610,233,409,471,43300,525,original
10.12.2025 10:10:58,49.7154,5.1921,233,409,471,43550,525,original
