time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm,value_origin
11.12.2025 09:04:54,52.4433,-1.7359,145,149,171,1275,0,original
11.12.2025 09:05:10,52.4333,-1.7245,146,160,184,2150,3188,original
11.12.2025 09:05:26,52.4239,-1.7143,146,169,194,2975,3094,original
11.12.2025 09:05:42,52.4128,-1.7026,153,178,205,3800,3469,original
11.12.2025 09:05:58,52.4002,-1.6944,162,169,194,4825,3409,original
11.12.2025 09:06:15,52.3880,-1.6889,165,171,197,5675,2283,original
11.12.2025 09:06:44,52.3643,-1.6750,160,218,251,6575,2206,original
11.12.2025 09:07:06,52.3409,-1.6607,160,251,289,7550,2581,original
11.12.2025 09:07:27,52.3179,-1.6461,157,282,325,8425,2500,original
11.12.2025 09:07:48,52.2924,-1.6226,146,311,358,9300,2850,original
11.12.2025 09:08:17,52.2555,-1.5809,146,334,384,10800,3147,original
11.12.2025 09:08:39,52.2270,-1.5501,147,350,403,11975,3359,original
11.12.2025 09:09:03,52.1950,-1.5167,148,360,414,13375,5047,original
11.12.2025 09:09:53,52.1229,-1.4438,148,343,395,18200,4931,original
11.12.2025 09:10:30,52.0731,-1.3932,148,362,417,20525,2585,original
11.12.2025 09:10:58,52.0313,-1.3526,150,398,458,21000,1260,original
11.12.2025 09:11:20,51.9952,-1.3184,150,413,475,21575,1357,original
11.12.2025 09:11:40,51.9615,-1.2865,150,416,479,21950,1525,original
11.12.2025 09:12:21,51.8929,-1.2222,150,425,489,23125,2070,original
11.12.2025 09:12:51,51.8420,-1.1751,150,430,495,24400,2775,original
11.12.2025 09:13:21,51.7900,-1.1280,151,430,495,25900,3156,original
11.12.2025 09:13:39,51.7577,-1.0979,146,428,493,26925,3474,original
11.12.2025 09:13:59,51.7291,-1.0596,137,420,483,28100,3047,original
11.12.2025 09:14:43,51.6676,-0.9655,136,419,482,30175,2905,original
11.12.2025 09:15:18,51.6182,-0.8889,136,412,474,31925,2954,original
11.12.2025 09:15:48,51.5780,-0.8254,135,404,465,33375,2725,original
11.12.2025 09:16:18,51.5399,-0.7634,134,400,460,34650,1625,original
11.12.2025 09:16:48,51.5003,-0.6989,135,417,480,35000,404,original
11.12.2025 09:17:10,51.4684,-0.6478,135,433,498,35000,0,original
11.12.2025 09:17:40,51.4271,-0.5824,135,438,504,35000,0,original
11.12.2025 09:18:10,51.3834,-0.5138,136,437,503,35000,0,original
11.12.2025 09:18:39,51.3421,-0.4489,133,433,498,35000,160,original
11.12.2025 09:18:57,51.3203,-0.4039,122,437,503,35125,708,original
11.12.2025 09:19:15,51.3033,-0.3495,112,442,509,35425,1000,original
11.12.2025 09:19:39,51.2913,-0.2750,100,449,517,35825,1227,original
11.12.2025 09:20:21,51.2824,-0.1347,94,450,518,36775,1396,original
11.12.2025 09:20:51,51.2775,-0.0392,95,449,517,37500,1469,original
11.12.2025 09:21:09,51.2737,0.0209,96,448,516,37950,1500,original
11.12.2025 09:21:41,51.2665,0.1315,96,447,514,38750,1210,original
11.12.2025 09:22:11,51.2605,0.2267,96,449,517,39200,800,original
11.12.2025 09:22:41,51.2542,0.3234,96,456,525,39550,625,original
11.12.2025 09:23:11,51.2475,0.4243,96,464,534,39825,575,original
11.12.2025 09:23:41,51.2403,0.5301,96,470,541,40125,600,original
11.12.2025 09:24:06,51.2347,0.6136,96,474,545,40375,607,original
11.12.2025 09:24:23,51.2306,0.6712,96,477,549,40550,638,original
11.12.2025 09:24:53,51.2231,0.7788,96,479,551,40875,652,original
11.12.2025 09:25:09,51.2193,0.8328,97,481,554,41050,685,original
11.12.2025 09:25:39,51.2116,0.9390,97,482,555,41400,675,original
11.12.2025 09:26:09,51.2043,1.0412,97,483,556,41725,696,original
11.12.2025 09:26:48,51.1941,1.1813,97,480,552,42200,736,original
11.12.2025 09:27:04,51.1897,1.2371,98,478,550,42400,805,original
11.12.2025 09:27:29,51.1814,1.3264,99,475,547,42750,627,original
11.12.2025 09:27:59,51.1720,1.4296,98,475,547,42975,250,original
11.12.2025 09:28:29,51.1632,1.5306,98,477,549,43000,25,original
11.12.2025 09:28:59,51.1529,1.6402,99,473,544,43000,0,original
11.12.2025 09:29:29,51.1435,1.7403,98,471,542,43000,0,original
11.12.2025 09:29:59,51.1345,1.8384,99,469,540,43000,0,original
11.12.2025 09:30:29,51.1247,1.9416,99,467,537,43000,0,original
11.12.2025 09:30:59,51.1149,2.0431,99,466,536,43000,0,original
11.12.2025 09:31:29,51.1053,2.1437,99,465,535,43000,0,original
11.12.2025 09:31:59,51.0950,2.2481,99,465,535,43000,0,original
11.12.2025 09:32:29,51.0855,2.3457,99,465,535,43000,0,original
11.12.2025 09:32:59,51.0755,2.4465,99,465,535,43000,0,original
11.12.2025 09:33:29,51.0653,2.5487,99,464,534,43000,0,original
11.12.2025 09:33:59,51.0549,2.6514,99,464,534,43000,0,original
11.12.2025 09:34:29,51.0452,2.7467,99,464,534,43000,0,original
11.12.2025 09:34:59,51.0346,2.8492,99,464,534,43000,0,original
11.12.2025 09:35:29,51.0237,2.9543,99,463,533,43000,-525,original
11.12.2025 09:35:59,51.0137,3.0500,100,464,534,42475,-1275,original
11.12.2025 09:36:29,51.0031,3.1511,99,469,540,41725,-1450,original
11.12.2025 09:36:59,50.9923,3.2519,100,474,545,41025,-1475,original
11.12.2025 09:37:29,50.9808,3.3590,100,478,550,40250,-1525,original
11.12.2025 09:37:59,50.9698,3.4606,100,481,554,39500,-1706,original
11.12.2025 09:38:20,50.9618,3.5334,100,479,551,38800,-1992,original
11.12.2025 09:39:03,50.9459,3.6787,100,459,528,37375,-1993,original
11.12.2025 09:39:33,50.9352,3.7750,100,440,506,36375,-2000,original
11.12.2025 09:40:03,50.9247,3.8673,100,420,483,35375,-1975,original
11.12.2025 09:40:33,50.9149,3.9562,100,405,466,34400,-1900,original
11.12.2025 09:41:03,50.9046,4.0450,100,392,451,33475,-1350,original
11.12.2025 09:41:33,50.8953,4.1275,100,401,461,33050,-475,original
11.12.2025 09:42:03,50.8849,4.2170,101,422,486,33000,-50,original
11.12.2025 09:42:33,50.8745,4.3063,100,434,499,33000,0,original
11.12.2025 09:42:52,50.8675,4.3667,100,439,505,33000,-423,original
11.12.2025 09:43:12,50.8601,4.4305,101,433,498,32725,-1800,original
11.12.2025 09:43:42,50.8490,4.5239,101,431,496,31500,-2450,original
11.12.2025 09:44:12,50.8380,4.6157,101,429,494,30275,-2450,original
11.12.2025 09:44:42,50.8272,4.7084,100,427,491,29050,-2450,original
11.12.2025 09:45:12,50.8162,4.7990,101,433,498,27825,-2500,original
11.12.2025 09:45:42,50.8043,4.8957,101,449,517,26550,-2519,original
11.12.2025 09:46:05,50.7948,4.9736,101,456,525,25600,-2464,original
11.12.2025 09:46:24,50.7876,5.0321,101,460,529,24825,-2480,original
11.12.2025 09:46:54,50.7753,5.1318,101,453,521,23575,-2500,original
11.12.2025 09:47:24,50.7634,5.2286,101,447,514,22325,-2412,original
11.12.2025 09:47:45,50.7559,5.2907,101,439,505,21525,-2449,original
11.12.2025 09:48:13,50.7455,5.3802,100,426,490,20325,-2509,original
11.12.2025 09:48:43,50.7351,5.4693,100,403,464,19100,-2315,original
11.12.2025 09:48:59,50.7300,5.5139,100,385,443,18550,-1500,original
11.12.2025 09:49:41,50.7179,5.6263,100,364,419,17650,-1354,original
11.12.2025 09:50:11,50.7092,5.7036,101,365,420,16925,-1450,original
11.12.2025 09:50:41,50.7001,5.7830,100,365,420,16200,-1525,original
11.12.2025 09:51:11,50.6915,5.8647,99,364,419,15400,-1529,original
11.12.2025 09:51:32,50.6862,5.9168,97,362,417,14900,-1541,original
11.12.2025 09:51:48,50.6869,5.9597,82,348,400,14450,-1543,original
11.12.2025 09:52:07,50.6928,6.0029,74,328,377,14000,-1398,original
11.12.2025 09:52:47,50.7118,6.0928,71,301,346,13075,-1053,original
11.12.2025 09:53:04,50.7188,6.1264,72,289,333,13000,-96,original
11.12.2025 09:53:34,50.7305,6.1844,72,295,339,13000,0,original
11.12.2025 09:54:18,50.7506,6.2822,72,339,390,13000,-81,original
11.12.2025 09:54:48,50.7645,6.3498,72,343,395,12900,-750,original
11.12.2025 09:55:18,50.7792,6.4222,72,340,391,12250,-1425,original
11.12.2025 09:55:48,50.7935,6.4925,72,320,368,11475,-1525,original
11.12.2025 09:56:18,50.8067,6.5559,72,299,344,10725,-1425,original
11.12.2025 09:56:48,50.8196,6.6185,72,283,326,10050,-1219,original
11.12.2025 09:57:06,50.8311,6.6464,49,267,307,9750,-1286,original
11.12.2025 09:57:30,50.8510,6.6798,46,262,302,9150,-1561,original
11.12.2025 09:57:55,50.8745,6.7097,36,258,297,8475,-1500,original
11.12.2025 09:58:25,50.9037,6.7431,36,248,285,7775,-1475,original
11.12.2025 09:58:55,50.9316,6.7751,36,246,283,7000,-1575,original
11.12.2025 09:59:25,50.9577,6.8045,35,246,283,6200,-1675,original
11.12.2025 09:59:55,50.9868,6.8378,37,246,283,5325,-1290,original
11.12.2025 10:00:15,51.0047,6.8595,38,212,244,5125,-632,original
11.12.2025 10:00:33,51.0129,6.8793,76,193,222,4925,-722,original
11.12.2025 10:00:42,51.0131,6.8926,95,186,214,4800,-1031,original
11.12.2025 10:00:49,51.0123,6.9016,99,182,209,4650,-1239,original
11.12.2025 10:01:05,51.0101,6.9207,101,187,215,4325,-1734,original
11.12.2025 10:01:21,51.0062,6.9438,117,190,219,3725,-2016,original
11.12.2025 10:01:37,50.9976,6.9610,135,187,215,3250,-1594,original
11.12.2025 10:01:53,50.9873,6.9753,140,184,212,2875,-1219,original
11.12.2025 10:02:09,50.9777,6.9881,139,182,209,2600,-984,original
11.12.2025 10:02:25,50.9672,7.0032,138,182,209,2350,-1031,original
11.12.2025 10:02:41,50.9571,7.0177,138,178,205,2050,-1031,original
11.12.2025 10:02:57,50.9477,7.0313,138,171,197,1800,-971,original
11.12.2025 10:03:15,50.9374,7.0463,138,163,188,1500,-875,original
11.12.2025 10:03:45,50.9214,7.0695,138,157,181,1100,-848,original
11.12.2025 10:04:01,50.9130,7.0819,138,159,183,850,-891,original
11.12.2025 10:04:17,50.9052,7.0931,137,144,166,625,-797,original
11.12.2025 10:04:33,50.8978,7.1038,137,122,140,425,-656,original
11.12.2025 10:04:49,50.8910,7.1139,137,121,139,275,-609,original
11.12.2025 10:05:05,50.8843,7.1235,138,124,143,100,-553,original
11.12.2025 10:05:27,50.8754,7.1365,138,118,136,100,-477,computed
