time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm
30.10.2025 08:39:22,50.8603,7.1231,247,140,161,1375,0
30.10.2025 08:39:38,50.8563,7.1091,246,137,158,2350,3234
30.10.2025 08:39:54,50.8517,7.0935,244,150,173,3100,2672
30.10.2025 08:40:10,50.8468,7.0782,243,162,186,3775,2859
30.10.2025 08:40:26,50.8404,7.0619,228,170,196,4625,3375
30.10.2025 08:40:42,50.8289,7.0541,185,193,222,5575,3397
30.10.2025 08:41:00,50.8120,7.0567,166,210,242,6550,3386
30.10.2025 08:41:17,50.7954,7.0657,158,221,254,7550,3591
30.10.2025 08:41:33,50.7810,7.0811,137,236,272,8525,3545
30.10.2025 08:41:50,50.7688,7.1039,127,249,287,9500,3000
30.10.2025 08:43:03,50.7162,7.2403,122,356,410,13025,2782
30.10.2025 08:43:33,50.6884,7.3083,123,403,464,14275,2500
30.10.2025 08:44:03,50.6574,7.3838,123,441,507,15525,2475
30.10.2025 08:44:33,50.6220,7.4701,123,472,543,16750,2611
30.10.2025 08:44:57,50.5936,7.5386,123,488,562,17875,2722
30.10.2025 08:45:27,50.5555,7.6300,123,498,573,19200,2075
30.10.2025 08:45:57,50.5179,7.7195,125,508,585,19950,1313
30.10.2025 08:46:15,50.4890,7.7694,137,503,579,20250,1038
30.10.2025 08:46:36,50.4525,7.8162,143,499,574,20625,1588
30.10.2025 08:47:06,50.3970,7.8812,143,509,586,21600,2425
30.10.2025 08:47:36,50.3398,7.9501,142,507,583,23050,2850
30.10.2025 08:48:06,50.2848,8.0182,141,507,583,24450,1925
30.10.2025 08:48:36,50.2281,8.0886,142,526,605,24975,850
30.10.2025 08:49:06,50.1711,8.1588,142,523,602,25300,1125
30.10.2025 08:49:36,50.1146,8.2279,142,532,612,26100,1800
30.10.2025 08:50:06,50.0548,8.3005,142,534,615,27100,2011
30.10.2025 08:50:23,50.0230,8.3391,142,533,613,27675,1735
30.10.2025 08:50:57,49.9573,8.4187,142,535,616,28575,1417
30.10.2025 08:51:17,49.9125,8.4635,151,526,605,28950,297
30.10.2025 08:52:23,49.7723,8.5685,154,527,606,29000,125
30.10.2025 08:52:53,49.7070,8.6168,154,523,602,29150,875
30.10.2025 08:53:23,49.6420,8.6668,153,520,598,29875,1450
30.10.2025 08:53:53,49.5795,8.7156,153,518,596,30600,1475
30.10.2025 08:54:23,49.5136,8.7661,154,518,596,31350,1525
30.10.2025 08:54:53,49.4478,8.8161,154,520,598,32125,1500
30.10.2025 08:55:23,49.3844,8.8642,154,521,600,32850,1500
30.10.2025 08:55:53,49.3197,8.9128,154,519,597,33625,1775
30.10.2025 08:56:23,49.2557,8.9606,154,516,594,34625,1975
30.10.2025 08:56:53,49.1919,9.0084,154,509,586,35600,2050
30.10.2025 08:57:23,49.1267,9.0571,154,499,574,36675,2100
30.10.2025 08:57:53,49.0653,9.1028,154,490,564,37700,1875
30.10.2025 08:58:23,49.0070,9.1461,154,481,554,38550,1275
30.10.2025 08:58:53,48.9451,9.1916,154,485,558,38975,450
30.10.2025 08:59:23,48.8855,9.2355,154,497,572,39000,25
30.10.2025 08:59:53,48.8215,9.2824,154,500,575,39000,0
30.10.2025 09:00:23,48.7597,9.3277,154,500,575,39000,0
30.10.2025 09:00:53,48.6982,9.3724,154,496,571,39000,-25
30.10.2025 09:01:23,48.6390,9.4154,154,478,550,38975,0
30.10.2025 09:01:53,48.5786,9.4597,154,470,541,39000,25
30.10.2025 09:02:23,48.5212,9.5012,154,469,540,39000,0
30.10.2025 09:02:53,48.4633,9.5431,154,471,542,39000,330
30.10.2025 09:03:13,48.4212,9.5736,154,466,536,39275,870
30.10.2025 09:03:43,48.3683,9.6116,154,462,532,39725,950
30.10.2025 09:04:13,48.3085,9.6546,155,454,522,40225,1025
30.10.2025 09:04:43,48.2519,9.6953,154,448,516,40750,750
30.10.2025 09:05:13,48.1951,9.7359,155,451,519,40975,250
30.10.2025 09:05:43,48.1388,9.7758,155,461,531,41000,27
30.10.2025 09:06:09,48.0884,9.8117,154,468,539,41000,0
30.10.2025 09:06:57,47.9937,9.8787,155,474,545,41000,0
30.10.2025 09:07:27,47.9344,9.9207,155,473,544,41000,-25
30.10.2025 09:07:57,47.8755,9.9623,155,469,540,40975,0
30.10.2025 09:08:27,47.8160,10.0040,155,461,531,41000,25
30.10.2025 09:08:57,47.7595,10.0437,155,454,522,41000,0
30.10.2025 09:09:27,47.7032,10.0831,155,450,518,41000,0
30.10.2025 09:09:57,47.6482,10.1214,155,447,514,41000,25
30.10.2025 09:10:27,47.5907,10.1614,155,446,513,41025,0
30.10.2025 09:10:57,47.5354,10.1998,155,443,510,41000,-25
30.10.2025 09:11:27,47.4801,10.2383,155,440,506,41000,0
30.10.2025 09:11:57,47.4233,10.2776,155,437,503,41000,0
30.10.2025 09:12:27,47.3696,10.3145,155,437,503,41000,0
30.10.2025 09:12:51,47.3243,10.3433,159,431,496,41000,0
30.10.2025 09:13:09,47.2940,10.3591,161,429,494,41000,0
30.10.2025 09:13:34,47.2452,10.3823,163,430,495,41000,0
30.10.2025 09:14:16,47.1646,10.4153,164,435,501,41000,0
30.10.2025 09:14:46,47.1068,10.4398,164,440,506,41000,0
30.10.2025 09:15:16,47.0474,10.4649,164,442,509,41000,0
30.10.2025 09:15:46,46.9886,10.4891,164,445,512,41000,0
30.10.2025 09:16:16,46.9291,10.5139,164,449,517,41000,0
30.10.2025 09:16:46,46.8673,10.5396,164,450,518,41000,0
30.10.2025 09:17:16,46.8087,10.5638,164,452,520,41000,0
30.10.2025 09:17:46,46.7493,10.5884,164,439,505,41000,0
30.10.2025 09:18:17,46.6903,10.6127,164,431,496,41000,0
30.10.2025 09:18:47,46.6301,10.6373,164,434,499,41000,0
30.10.2025 09:19:17,46.5738,10.6604,164,439,505,41000,0
30.10.2025 09:19:48,46.5133,10.6852,164,442,509,41000,0
30.10.2025 09:20:19,46.4522,10.7101,164,439,505,41000,0
30.10.2025 09:20:49,46.3942,10.7338,164,437,503,41000,0
30.10.2025 09:21:19,46.3363,10.7573,164,437,503,41000,0
30.10.2025 09:21:49,46.2775,10.7810,165,433,498,41000,0
30.10.2025 09:22:19,46.2183,10.8049,164,431,496,41000,0
30.10.2025 09:22:49,46.1624,10.8276,164,430,495,41000,0
30.10.2025 09:23:22,46.0981,10.8534,165,430,495,41000,0
30.10.2025 09:23:52,46.0404,10.8765,164,430,495,41000,0
30.10.2025 09:24:23,45.9838,10.8993,164,430,495,41000,0
30.10.2025 09:24:54,45.9229,10.9236,165,431,496,41000,0
30.10.2025 09:25:24,45.8661,10.9463,165,433,498,41000,-50
30.10.2025 09:25:54,45.8066,10.9699,164,433,498,40950,-750
30.10.2025 09:26:24,45.7493,10.9926,165,434,499,40250,-1725
30.10.2025 09:26:54,45.6901,11.0163,164,426,490,39225,-2000
30.10.2025 09:27:24,45.6364,11.0375,165,415,478,38250,-1950
30.10.2025 09:27:54,45.5819,11.0576,167,403,464,37275,-2000
30.10.2025 09:28:24,45.5274,11.0738,168,402,463,36250,-1950
30.10.2025 09:28:54,45.4721,11.0910,167,408,470,35325,-1875
30.10.2025 09:29:24,45.4147,11.1093,168,413,475,34375,-1825
30.10.2025 09:29:54,45.3612,11.1257,168,415,478,33500,-1800
30.10.2025 09:30:24,45.3033,11.1438,168,422,486,32575,-1825
30.10.2025 09:30:54,45.2475,11.1612,168,426,490,31675,-1850
30.10.2025 09:31:24,45.1872,11.1800,168,430,495,30725,-1850
30.10.2025 09:31:54,45.1315,11.1972,168,432,497,29825,-1800
30.10.2025 09:32:24,45.0709,11.2158,168,434,499,28925,-1860
30.10.2025 09:32:44,45.0323,11.2251,174,431,496,28275,-1853
30.10.2025 09:33:15,44.9687,11.2249,182,426,490,27350,-1795
30.10.2025 09:33:45,44.9110,11.2220,182,427,491,26450,-1800
30.10.2025 09:34:15,44.8521,11.2208,181,428,493,25550,-1800
30.10.2025 09:34:45,44.7951,11.2197,181,427,491,24650,-2075
30.10.2025 09:35:15,44.7332,11.2183,181,423,487,23475,-2400
30.10.2025 09:35:45,44.6757,11.2170,181,422,486,22250,-2475
30.10.2025 09:36:15,44.6174,11.2156,181,419,482,21000,-2500
30.10.2025 09:36:45,44.5577,11.2142,181,411,473,19750,-2525
30.10.2025 09:37:15,44.5039,11.2132,181,386,444,18475,-2250
30.10.2025 09:37:45,44.4522,11.2122,181,363,418,17500,-1975
30.10.2025 09:38:15,44.4023,11.2108,181,352,405,16500,-2050
30.10.2025 09:38:45,44.3529,11.2095,181,355,409,15450,-1975
30.10.2025 09:39:15,44.3049,11.2085,181,353,406,14525,-1450
30.10.2025 09:39:45,44.2560,11.2076,181,336,387,14000,-625
30.10.2025 09:40:15,44.2104,11.2066,181,332,382,13900,-850
30.10.2025 09:40:45,44.1651,11.2054,181,318,366,13150,-1475
30.10.2025 09:41:15,44.1235,11.2045,181,295,339,12425,-1500
