time_utc,latitude,longitude,course_deg_clockwise_from_north,speed_kts,speed_mph,altitude_ft,vertical_rate_fpm
02.11.2025 11:34:16,51.3823,-2.7303,266,138,159,1300,0
02.11.2025 11:34:31,51.3816,-2.7458,267,140,161,2275,3823
02.11.2025 11:34:47,51.3811,-2.7626,268,143,165,3275,3281
02.11.2025 11:35:03,51.3807,-2.7790,268,151,174,4025,3141
02.11.2025 11:35:19,51.3803,-2.7991,268,160,184,4950,3516
02.11.2025 11:35:35,51.3798,-2.8177,268,164,189,5900,3453
02.11.2025 11:36:02,51.3789,-2.8513,267,175,201,7425,3628
02.11.2025 11:36:18,51.3795,-2.8725,287,182,209,8500,3667
02.11.2025 11:36:38,51.3926,-2.8909,344,216,249,9625,3042
02.11.2025 11:36:54,51.4099,-2.8891,22,250,288,10325,2500
02.11.2025 11:37:11,51.4247,-2.8698,56,273,314,11000,2294
02.11.2025 11:37:28,51.4344,-2.8361,73,294,338,11625,2182
02.11.2025 11:37:44,51.4390,-2.8009,83,312,359,12200,2083
02.11.2025 11:38:04,51.4411,-2.7515,88,329,379,12875,1986
02.11.2025 11:38:21,51.4410,-2.7154,92,345,397,13425,1941
02.11.2025 11:38:38,51.4404,-2.6669,91,357,411,13975,1989
02.11.2025 11:39:07,51.4406,-2.5907,89,376,433,14950,2339
02.11.2025 11:39:37,51.4414,-2.5021,90,399,459,16275,2759
02.11.2025 11:40:03,51.4415,-2.4271,90,410,472,17525,2933
02.11.2025 11:40:22,51.4407,-2.3666,93,418,481,18475,3000
02.11.2025 11:40:39,51.4386,-2.3151,94,424,488,19325,3043
02.11.2025 11:40:57,51.4354,-2.2594,96,431,496,20250,2771
02.11.2025 11:41:38,51.4286,-2.1260,95,448,516,22050,2303
02.11.2025 11:42:08,51.4236,-2.0252,95,467,537,22975,2125
02.11.2025 11:42:38,51.4182,-1.9197,94,472,543,24175,2415
02.11.2025 11:43:07,51.4128,-1.8214,95,478,550,25350,2492
02.11.2025 11:43:37,51.4067,-1.7127,95,479,551,26625,2406
02.11.2025 11:44:00,51.4027,-1.6317,94,481,554,27475,2308
02.11.2025 11:44:16,51.4003,-1.5769,95,484,557,28125,2315
02.11.2025 11:44:46,51.3941,-1.4638,94,483,556,29250,1875
02.11.2025 11:45:16,51.3881,-1.3567,96,495,570,30000,1475
02.11.2025 11:45:46,51.3822,-1.2491,94,498,573,30725,1000
02.11.2025 11:46:16,51.3759,-1.1383,95,513,590,31000,725
02.11.2025 11:46:46,51.3693,-1.0294,95,511,588,31450,950
02.11.2025 11:47:16,51.3628,-0.9176,95,507,583,31950,1025
02.11.2025 11:47:46,51.3567,-0.8061,96,503,579,32475,975
02.11.2025 11:48:16,51.3485,-0.6902,95,498,573,32925,525
02.11.2025 11:48:46,51.3423,-0.5840,95,503,579,33000,75
02.11.2025 11:49:16,51.3358,-0.4729,96,507,583,33000,0
02.11.2025 11:49:44,51.3286,-0.3718,95,505,581,33000,0
02.11.2025 11:50:14,51.3221,-0.2599,96,502,578,33000,0
02.11.2025 11:50:30,51.3179,-0.1968,97,503,579,33000,0
02.11.2025 11:51:00,51.3102,-0.0874,96,502,578,33000,0
02.11.2025 11:51:30,51.3031,0.0188,96,502,578,33000,0
02.11.2025 11:52:01,51.2954,0.1355,97,508,585,33000,0
02.11.2025 11:52:32,51.2872,0.2507,97,508,585,33000,0
02.11.2025 11:53:02,51.2794,0.3633,96,506,582,33000,0
02.11.2025 11:53:32,51.2714,0.4748,96,503,579,33000,0
02.11.2025 11:54:16,51.2597,0.6364,96,499,574,33000,0
02.11.2025 11:54:46,51.2523,0.7429,98,497,572,33000,0
02.11.2025 11:55:16,51.2440,0.8499,97,497,572,33000,0
02.11.2025 11:55:46,51.2360,0.9573,97,496,571,33000,0
02.11.2025 11:56:15,51.2271,1.0715,97,495,570,33000,0
02.11.2025 11:56:33,51.2228,1.1304,97,495,570,33000,0
02.11.2025 11:57:04,51.2137,1.2450,97,494,568,33000,0
02.11.2025 11:57:34,51.2049,1.3548,97,494,568,33000,0
02.11.2025 11:58:04,51.1969,1.4572,98,494,568,33000,0
02.11.2025 11:58:49,51.1811,1.6182,98,491,565,33000,0
02.11.2025 11:59:13,51.1726,1.7038,100,490,564,33000,0
02.11.2025 11:59:43,51.1618,1.8111,98,490,564,33000,0
02.11.2025 12:00:13,51.1516,1.9171,100,489,563,33000,0
02.11.2025 12:00:43,51.1408,2.0256,99,490,564,33000,0
02.11.2025 12:01:21,51.1266,2.1575,99,490,564,33000,0
02.11.2025 12:01:38,51.1205,2.2178,99,490,564,33000,0
02.11.2025 12:02:08,51.1094,2.3248,100,489,563,33000,0
02.11.2025 12:02:42,51.0972,2.4461,100,491,565,33000,0
02.11.2025 12:03:12,51.0855,2.5541,99,491,565,33000,30
02.11.2025 12:03:32,51.0781,2.6258,100,490,564,33025,35
02.11.2025 12:03:55,51.0692,2.7047,99,490,564,33025,-28
02.11.2025 12:04:25,51.0580,2.8102,101,490,564,33000,-25
02.11.2025 12:04:55,51.0467,2.9155,99,489,563,33000,25
02.11.2025 12:05:24,51.0351,3.0181,101,487,560,33025,31
02.11.2025 12:05:43,51.0273,3.0878,99,488,562,33025,0
02.11.2025 12:06:13,51.0165,3.1899,101,487,560,33025,0
02.11.2025 12:06:36,51.0066,3.2725,100,487,560,33025,0
02.11.2025 12:07:06,50.9947,3.3793,101,488,562,33025,-25
02.11.2025 12:07:36,50.9835,3.4805,100,489,563,33000,0
02.11.2025 12:08:04,50.9714,3.5803,100,489,563,33025,0
02.11.2025 12:08:31,50.9609,3.6761,101,489,563,33000,-30
02.11.2025 12:08:54,50.9506,3.7596,100,489,563,33000,23
02.11.2025 12:09:35,50.9341,3.9015,101,489,563,33025,0
02.11.2025 12:09:56,50.9253,3.9759,100,489,563,33000,0
02.11.2025 12:10:15,50.9179,4.0422,101,488,562,33025,-92
02.11.2025 12:11:01,50.8986,4.2020,101,477,549,32900,-640
02.11.2025 12:11:23,50.8887,4.2794,101,475,547,32300,-1817
02.11.2025 12:11:53,50.8762,4.3810,102,477,549,31325,-1925
02.11.2025 12:12:23,50.8640,4.4804,101,476,548,30375,-1875
02.11.2025 12:12:53,50.8516,4.5834,101,471,542,29450,-1775
02.11.2025 12:13:23,50.8391,4.6828,101,466,536,28600,-1698
02.11.2025 12:13:46,50.8296,4.7589,102,461,531,27950,-1684
02.11.2025 12:14:12,50.8180,4.8430,101,461,531,27225,-1721
02.11.2025 12:14:47,50.8031,4.9631,102,459,528,26200,-1675
02.11.2025 12:15:12,50.7929,5.0400,101,460,529,25550,-1667
02.11.2025 12:15:32,50.7851,5.1079,101,462,532,24950,-1977
02.11.2025 12:15:56,50.7736,5.1909,102,465,535,24100,-2028
02.11.2025 12:16:26,50.7613,5.2881,102,465,535,23125,-1875
02.11.2025 12:16:56,50.7484,5.3826,101,463,533,22225,-1929
02.11.2025 12:17:50,50.7252,5.5607,101,450,518,20425,-1905
02.11.2025 12:18:10,50.7167,5.6259,103,443,510,19875,-1560
02.11.2025 12:18:40,50.7038,5.7179,102,435,501,19125,-1400
02.11.2025 12:19:10,50.6914,5.8097,101,426,490,18475,-1145
02.11.2025 12:19:35,50.6811,5.8879,103,429,494,18075,-582
02.11.2025 12:19:59,50.6713,5.9555,102,430,495,18000,-278
02.11.2025 12:20:29,50.6583,6.0526,103,429,494,17825,-594
02.11.2025 12:20:47,50.6526,6.1047,91,433,498,17525,-1227
02.11.2025 12:21:13,50.6671,6.1840,63,440,506,16925,-1448
02.11.2025 12:21:45,50.6975,6.2739,61,440,506,16125,-1530
02.11.2025 12:22:03,50.7149,6.3254,62,437,503,15650,-1574
02.11.2025 12:22:46,50.7549,6.4437,62,430,495,14525,-1630
02.11.2025 12:23:12,50.7799,6.5190,63,428,493,13775,-1629
02.11.2025 12:23:56,50.8190,6.6359,61,399,459,12625,-1581
02.11.2025 12:24:26,50.8442,6.7098,61,375,432,11825,-1594
02.11.2025 12:24:44,50.8586,6.7519,62,359,413,11350,-1586
02.11.2025 12:25:01,50.8716,6.7896,61,343,395,10900,-1682
02.11.2025 12:25:17,50.8838,6.8243,61,328,377,10425,-1594
02.11.2025 12:25:33,50.8955,6.8578,61,318,366,10050,-1467
02.11.2025 12:26:03,50.9166,6.9177,61,300,345,9300,-1500
02.11.2025 12:26:37,50.9373,6.9814,64,288,331,8450,-1477
02.11.2025 12:27:07,50.9543,7.0393,65,290,334,7725,-1500
02.11.2025 12:27:37,50.9710,7.0969,66,290,334,6950,-1531
02.11.2025 12:27:55,50.9797,7.1300,72,288,331,6500,-1425
02.11.2025 12:28:17,50.9880,7.1761,75,287,330,6000,-1471
02.11.2025 12:28:47,50.9975,7.2356,77,283,326,5225,-1550
02.11.2025 12:29:17,51.0068,7.2986,77,279,321,4450,-1531
02.11.2025 12:29:36,51.0093,7.3362,100,272,313,3975,-1208
02.11.2025 12:29:53,51.0018,7.3660,117,253,291,3725,-818
02.11.2025 12:30:09,50.9914,7.3892,134,233,268,3525,-591
02.11.2025 12:30:26,50.9761,7.4043,168,208,239,3400,-386
02.11.2025 12:30:44,50.9607,7.4007,198,188,216,3300,-309
02.11.2025 12:31:00,50.9488,7.3939,203,171,197,3225,-176
02.11.2025 12:31:18,50.9394,7.3795,238,158,182,3200,-183
