Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1763885940,2025-11-23T08:19:00Z,UNI131,"50.870678,7.126751",0,0,343
1763886230,2025-11-23T08:23:50Z,UNI131,"50.870506,7.125683",0,0,222
1763886236,2025-11-23T08:23:56Z,UNI131,"50.870304,7.125487",0,9,196
1763886241,2025-11-23T08:24:01Z,UNI131,"50.870087,7.125549",0,8,154
1763886249,2025-11-23T08:24:09Z,UNI131,"50.869911,7.125778",0,8,135
1763886254,2025-11-23T08:24:14Z,UNI131,"50.86972,7.126044",0,11,135
1763886258,2025-11-23T08:24:18Z,UNI131,"50.869526,7.126341",0,12,135
1763886263,2025-11-23T08:24:23Z,UNI131,"50.869331,7.126601",0,12,135
1763886273,2025-11-23T08:24:33Z,UNI131,"50.868923,7.12719",0,11,135
1763886284,2025-11-23T08:24:44Z,UNI131,"50.868385,7.127438",0,11,194
1763886288,2025-11-23T08:24:48Z,UNI131,"50.868214,7.127228",0,12,222
1763886292,2025-11-23T08:24:52Z,UNI131,"50.86805,7.126942",0,14,222
1763886298,2025-11-23T08:24:58Z,UNI131,"50.867748,7.126427",0,0,225
1763886304,2025-11-23T08:25:04Z,UNI131,"50.867561,7.126026",0,0,244
1763886308,2025-11-23T08:25:08Z,UNI131,"50.867592,7.125673",0,11,286
1763886318,2025-11-23T08:25:18Z,UNI131,"50.868027,7.124986",0,16,315
1763886324,2025-11-23T08:25:24Z,UNI131,"50.868397,7.124443",0,22,312
1763886326,2025-11-23T08:25:26Z,UNI131,"50.868622,7.124133",0,24,315
1763886329,2025-11-23T08:25:29Z,UNI131,"50.868862,7.12378",0,26,315
1763886339,2025-11-23T08:25:39Z,UNI131,"50.869537,7.122784",0,23,315
1763886347,2025-11-23T08:25:47Z,UNI131,"50.870167,7.12185",0,15,306
1763886354,2025-11-23T08:25:54Z,UNI131,"50.870338,7.121275",0,12,286
1763886358,2025-11-23T08:25:58Z,UNI131,"50.870453,7.121052",0,8,317
1763886366,2025-11-23T08:26:06Z,UNI131,"50.87059,7.121256",0,6,78
1763886380,2025-11-23T08:26:20Z,UNI131,"50.870453,7.12146",0,3,135
1763886386,2025-11-23T08:26:26Z,UNI131,"50.870029,7.122078",0,32,132
1763886392,2025-11-23T08:26:32Z,UNI131,"50.868885,7.123724",0,0,132
1763886393,2025-11-23T08:26:33Z,UNI131,"50.868641,7.124081",0,72,135
1763886399,2025-11-23T08:26:39Z,UNI131,"50.866711,7.126865",0,100,132
