Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1763900938,2025-11-23T12:28:58Z,UNI131,"40.38813,39.795391",26825,0,124
1763901253,2025-11-23T12:34:13Z,UNI131,"39.895081,40.376827",34325,190,144
1763901255,2025-11-23T12:34:15Z,UNI131,"39.890778,40.382065",34400,452,138
1763901257,2025-11-23T12:34:17Z,UNI131,"39.888863,40.384449",34450,442,137
1763901260,2025-11-23T12:34:20Z,UNI131,"39.885422,40.388542",34500,444,137
1763901262,2025-11-23T12:34:22Z,UNI131,"39.881184,40.393417",34550,448,137
1763901264,2025-11-23T12:34:24Z,UNI131,"39.877369,40.398022",34625,190,139
1763901270,2025-11-23T12:34:30Z,UNI131,"39.867756,40.409817",34775,460,136
1763901297,2025-11-23T12:34:57Z,UNI131,"39.826767,40.456429",35475,474,143
1763901301,2025-11-23T12:35:01Z,UNI131,"39.822159,40.461964",35550,449,138
1763901342,2025-11-23T12:35:42Z,UNI131,"39.757122,40.538551",36425,445,137
1763901414,2025-11-23T12:36:54Z,UNI131,"39.646706,40.665909",37350,450,138
1763901426,2025-11-23T12:37:06Z,UNI131,"39.628906,40.686543",37500,200,141
1763901429,2025-11-23T12:37:09Z,UNI131,"39.622822,40.693741",37550,454,138
1763901433,2025-11-23T12:37:13Z,UNI131,"39.61887,40.698288",37600,454,139
1763901436,2025-11-23T12:37:16Z,UNI131,"39.615002,40.702736",37600,190,139
1763901438,2025-11-23T12:37:18Z,UNI131,"39.609924,40.708809",37650,520,137
1763901440,2025-11-23T12:37:20Z,UNI131,"39.60442,40.715275",37675,452,137
1763901443,2025-11-23T12:37:23Z,UNI131,"39.601589,40.718376",37700,454,138
1763901446,2025-11-23T12:37:26Z,UNI131,"39.598442,40.721775",37725,240,141
1763901449,2025-11-23T12:37:29Z,UNI131,"39.592354,40.728947",37775,451,134
1763901451,2025-11-23T12:37:31Z,UNI131,"39.590031,40.731819",37800,435,135
1763901453,2025-11-23T12:37:33Z,UNI131,"39.586021,40.736248",37825,260,142
1763901455,2025-11-23T12:37:35Z,UNI131,"39.581921,40.740696",37850,469,140
1763901458,2025-11-23T12:37:38Z,UNI131,"39.577583,40.74577",37875,480,138
1763901460,2025-11-23T12:37:40Z,UNI131,"39.574547,40.749363",37900,480,138
1763901462,2025-11-23T12:37:42Z,UNI131,"39.57262,40.751453",37950,100,138
1763901465,2025-11-23T12:37:45Z,UNI131,"39.568619,40.756222",37975,452,138
1763901468,2025-11-23T12:37:48Z,UNI131,"39.561848,40.763885",38000,453,138
1763901470,2025-11-23T12:37:50Z,UNI131,"39.55994,40.766109",38050,230,137
1763901474,2025-11-23T12:37:54Z,UNI131,"39.553608,40.773315",38075,400,138
1763901476,2025-11-23T12:37:56Z,UNI131,"39.549934,40.777542",38100,455,137
1763901478,2025-11-23T12:37:58Z,UNI131,"39.545322,40.78257",38125,500,138
1763901487,2025-11-23T12:38:07Z,UNI131,"39.533226,40.796673",38225,210,132
1763901489,2025-11-23T12:38:09Z,UNI131,"39.528702,40.801441",38250,250,141
