Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1759312960,2025-10-01T10:02:40Z,UNI133,"51.419693,9.410706",1175,152,94
1759312968,2025-10-01T10:02:48Z,UNI133,"51.419182,9.4207",1275,166,94
1759312975,2025-10-01T10:02:55Z,UNI133,"51.418762,9.428867",1325,166,93
1759312977,2025-10-01T10:02:57Z,UNI133,"51.418808,9.431534",1350,163,89
1759312979,2025-10-01T10:02:59Z,UNI133,"51.419041,9.433823",1400,158,79
1759312981,2025-10-01T10:03:01Z,UNI133,"51.419312,9.43592",1400,157,72
1759312983,2025-10-01T10:03:03Z,UNI133,"51.419861,9.438072",1425,156,65
1759312986,2025-10-01T10:03:06Z,UNI133,"51.420868,9.440893",1400,157,58
1759312988,2025-10-01T10:03:08Z,UNI133,"51.421783,9.442675",1400,159,50
1759312990,2025-10-01T10:03:10Z,UNI133,"51.422882,9.444382",1375,162,44
1759312992,2025-10-01T10:03:12Z,UNI133,"51.424301,9.446164",1350,164,34
1759312994,2025-10-01T10:03:14Z,UNI133,"51.425629,9.447426",1350,166,28
1759312997,2025-10-01T10:03:17Z,UNI133,"51.427467,9.4487",1350,167,22
1759312999,2025-10-01T10:03:19Z,UNI133,"51.428959,9.449387",1325,168,15
1759313001,2025-10-01T10:03:21Z,UNI133,"51.430664,9.449875",1325,169,7
1759313003,2025-10-01T10:03:23Z,UNI133,"51.432076,9.450073",1350,170,1
1759313005,2025-10-01T10:03:25Z,UNI133,"51.434097,9.449949",1350,170,358
1759313007,2025-10-01T10:03:27Z,UNI133,"51.435654,9.449504",1350,169,348
1759313010,2025-10-01T10:03:30Z,UNI133,"51.437614,9.448547",1375,169,341
1759313012,2025-10-01T10:03:32Z,UNI133,"51.43906,9.447556",1400,169,333
1759313014,2025-10-01T10:03:34Z,UNI133,"51.440643,9.445953",1400,169,330
1759313016,2025-10-01T10:03:36Z,UNI133,"51.441944,9.444504",1400,170,324
1759313019,2025-10-01T10:03:39Z,UNI133,"51.443203,9.442978",1375,172,321
1759313021,2025-10-01T10:03:41Z,UNI133,"51.444534,9.441116",1375,174,319
1759313023,2025-10-01T10:03:43Z,UNI133,"51.44577,9.439408",1350,174,318
1759313025,2025-10-01T10:03:45Z,UNI133,"51.447235,9.43733",1350,175,318
1759313027,2025-10-01T10:03:47Z,UNI133,"51.448277,9.43573",1350,175,315
1759313029,2025-10-01T10:03:49Z,UNI133,"51.449348,9.433823",1350,174,310
1759313031,2025-10-01T10:03:51Z,UNI133,"51.450623,9.431169",1375,174,304
1759313033,2025-10-01T10:03:53Z,UNI133,"51.451401,9.428867",1375,173,297
1759313036,2025-10-01T10:03:56Z,UNI133,"51.452042,9.426566",1400,172,292
1759313038,2025-10-01T10:03:58Z,UNI133,"51.452606,9.423904",1400,171,287
1759313040,2025-10-01T10:04:00Z,UNI133,"51.452957,9.421222",1400,170,278
1759313042,2025-10-01T10:04:02Z,UNI133,"51.45314,9.418698",1400,169,275
1759313044,2025-10-01T10:04:04Z,UNI133,"51.453278,9.416174",1425,169,274
1759313047,2025-10-01T10:04:07Z,UNI133,"51.453506,9.412166",1425,168,274
