Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1759313380,2025-10-01T10:09:40Z,UNI133,"51.419147,9.393349",0,0,275
1759313639,2025-10-01T10:13:59Z,UNI133,"51.420437,9.398346",775,132,95
1759313646,2025-10-01T10:14:06Z,UNI133,"51.420017,9.406433",1050,141,94
1759313655,2025-10-01T10:14:15Z,UNI133,"51.41954,9.415729",1300,151,95
1759313664,2025-10-01T10:14:24Z,UNI133,"51.419041,9.426193",1425,161,94
1759313672,2025-10-01T10:14:32Z,UNI133,"51.418621,9.436035",1425,165,89
1759313675,2025-10-01T10:14:35Z,UNI133,"51.418762,9.438934",1450,162,84
1759313677,2025-10-01T10:14:37Z,UNI133,"51.419182,9.441833",1475,163,74
1759313679,2025-10-01T10:14:39Z,UNI133,"51.419724,9.444234",1475,164,65
1759313681,2025-10-01T10:14:41Z,UNI133,"51.420532,9.446564",1450,165,59
1759313683,2025-10-01T10:14:43Z,UNI133,"51.421417,9.448547",1450,166,52
1759313686,2025-10-01T10:14:46Z,UNI133,"51.422626,9.45076",1425,166,46
1759313688,2025-10-01T10:14:48Z,UNI133,"51.42379,9.452438",1425,167,38
1759313690,2025-10-01T10:14:50Z,UNI133,"51.425278,9.454193",1425,168,36
1759313692,2025-10-01T10:14:52Z,UNI133,"51.426628,9.45549",1450,168,28
1759313694,2025-10-01T10:14:54Z,UNI133,"51.428307,9.456711",1425,169,23
1759313696,2025-10-01T10:14:56Z,UNI133,"51.429794,9.45755",1450,169,18
1759313699,2025-10-01T10:14:59Z,UNI133,"51.431332,9.45816",1425,170,12
1759313701,2025-10-01T10:15:01Z,UNI133,"51.432869,9.458542",1425,171,7
1759313703,2025-10-01T10:15:03Z,UNI133,"51.434967,9.458634",1425,173,358
1759313705,2025-10-01T10:15:05Z,UNI133,"51.43689,9.458412",1400,174,352
1759313707,2025-10-01T10:15:07Z,UNI133,"51.438171,9.457967",1400,176,347
1759313709,2025-10-01T10:15:09Z,UNI133,"51.439896,9.457169",1375,178,341
1759313712,2025-10-01T10:15:12Z,UNI133,"51.441433,9.456177",1375,178,336
1759313714,2025-10-01T10:15:14Z,UNI133,"51.443436,9.454422",1375,178,330
1759313716,2025-10-01T10:15:16Z,UNI133,"51.444786,9.452896",1400,178,322
1759313718,2025-10-01T10:15:18Z,UNI133,"51.446041,9.451218",1400,178,317
1759313720,2025-10-01T10:15:20Z,UNI133,"51.447392,9.448929",1400,177,312
1759313722,2025-10-01T10:15:22Z,UNI133,"51.448418,9.446793",1425,177,306
1759313725,2025-10-01T10:15:25Z,UNI133,"51.44944,9.444122",1425,176,300
1759313727,2025-10-01T10:15:27Z,UNI133,"51.450073,9.442007",1400,177,292
1759313729,2025-10-01T10:15:29Z,UNI133,"51.450699,9.439316",1400,176,288
1759313731,2025-10-01T10:15:31Z,UNI133,"51.451263,9.435994",1375,177,284
1759313733,2025-10-01T10:15:33Z,UNI133,"51.451538,9.43399",1375,177,281
1759313735,2025-10-01T10:15:35Z,UNI133,"51.451904,9.430872",1350,177,279
1759313738,2025-10-01T10:15:38Z,UNI133,"51.452133,9.428274",1350,176,276
1759313740,2025-10-01T10:15:40Z,UNI133,"51.452271,9.425156",1350,176,274
1759313742,2025-10-01T10:15:42Z,UNI133,"51.452316,9.422409",1350,176,272
1759313744,2025-10-01T10:15:44Z,UNI133,"51.452374,9.419708",1325,176,271
1759313746,2025-10-01T10:15:46Z,UNI133,"51.452454,9.417881",1325,175,271
1759313748,2025-10-01T10:15:48Z,UNI133,"51.452511,9.413986",1325,174,271
1759313750,2025-10-01T10:15:50Z,UNI133,"51.452606,9.411469",1300,174,272
1759313753,2025-10-01T10:15:53Z,UNI133,"51.452637,9.408603",1300,174,272
1759313755,2025-10-01T10:15:55Z,UNI133,"51.452728,9.406004",1300,173,271
1759313757,2025-10-01T10:15:57Z,UNI133,"51.452744,9.403763",1300,172,271
1759313759,2025-10-01T10:15:59Z,UNI133,"51.45282,9.400436",1325,170,271
1759313761,2025-10-01T10:16:01Z,UNI133,"51.452885,9.397659",1350,169,271
1759313764,2025-10-01T10:16:04Z,UNI133,"51.45293,9.395218",1375,166,271
1759313766,2025-10-01T10:16:06Z,UNI133,"51.452976,9.392319",1400,164,271
1759313772,2025-10-01T10:16:12Z,UNI133,"51.453026,9.384155",1425,161,270
1759313781,2025-10-01T10:16:21Z,UNI133,"51.45314,9.374159",1500,156,271
1759313790,2025-10-01T10:16:30Z,UNI133,"51.45335,9.364166",1475,159,271
1759313798,2025-10-01T10:16:38Z,UNI133,"51.453583,9.354248",1450,158,272
1759313807,2025-10-01T10:16:47Z,UNI133,"51.453815,9.344177",1425,154,272
1759313813,2025-10-01T10:16:53Z,UNI133,"51.45401,9.336597",1400,154,271
1759313820,2025-10-01T10:17:00Z,UNI133,"51.453918,9.329248",1350,153,265
1759313822,2025-10-01T10:17:02Z,UNI133,"51.45369,9.327022",1350,152,261
1759313824,2025-10-01T10:17:04Z,UNI133,"51.453445,9.32518",1350,151,253
1759313826,2025-10-01T10:17:06Z,UNI133,"51.452744,9.322205",1325,151,247
1759313828,2025-10-01T10:17:08Z,UNI133,"51.452141,9.320221",1300,150,241
1759313830,2025-10-01T10:17:10Z,UNI133,"51.451347,9.31839",1300,148,235
1759313832,2025-10-01T10:17:12Z,UNI133,"51.450512,9.316711",1275,146,229
1759313834,2025-10-01T10:17:14Z,UNI133,"51.449532,9.315186",1275,145,222
1759313837,2025-10-01T10:17:17Z,UNI133,"51.448463,9.313889",1275,145,217
1759313839,2025-10-01T10:17:19Z,UNI133,"51.44696,9.312398",1250,144,210
1759313841,2025-10-01T10:17:21Z,UNI133,"51.44577,9.311582",1250,143,200
1759313843,2025-10-01T10:17:23Z,UNI133,"51.444645,9.310989",1250,142,194
1759313845,2025-10-01T10:17:25Z,UNI133,"51.442829,9.310455",1225,141,188
1759313848,2025-10-01T10:17:28Z,UNI133,"51.441525,9.310379",1225,141,182
1759313850,2025-10-01T10:17:30Z,UNI133,"51.440094,9.310468",1200,140,176
1759313852,2025-10-01T10:17:32Z,UNI133,"51.438686,9.310913",1200,140,167
1759313854,2025-10-01T10:17:34Z,UNI133,"51.437199,9.3116",1175,140,162
1759313856,2025-10-01T10:17:36Z,UNI133,"51.435986,9.312286",1150,139,158
1759313859,2025-10-01T10:17:39Z,UNI133,"51.434822,9.313126",1150,139,155
1759313861,2025-10-01T10:17:41Z,UNI133,"51.433777,9.313956",1150,139,152
1759313863,2025-10-01T10:17:43Z,UNI133,"51.432308,9.315414",1150,138,148
1759313865,2025-10-01T10:17:45Z,UNI133,"51.431286,9.316559",1150,137,145
1759313867,2025-10-01T10:17:47Z,UNI133,"51.430252,9.317891",1150,136,139
