Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1759314101,2025-10-01T10:21:41Z,UNI133,"51.419083,9.394498",0,0,275
1759314163,2025-10-01T10:22:43Z,UNI133,"51.41946,9.387531",0,0,275
1759314569,2025-10-01T10:29:29Z,UNI133,"51.420319,9.399175",750,150,95
1759314578,2025-10-01T10:29:38Z,UNI133,"51.419678,9.409122",1175,154,95
1759314586,2025-10-01T10:29:46Z,UNI133,"51.419037,9.419144",1325,169,96
1759314595,2025-10-01T10:29:55Z,UNI133,"51.41835,9.429461",1450,176,93
1759314597,2025-10-01T10:29:57Z,UNI133,"51.418388,9.432373",1500,177,88
1759314599,2025-10-01T10:29:59Z,UNI133,"51.418671,9.435697",1525,177,82
1759314601,2025-10-01T10:30:01Z,UNI133,"51.419128,9.438815",1550,177,79
1759314603,2025-10-01T10:30:03Z,UNI133,"51.419724,9.441339",1575,181,67
1759314606,2025-10-01T10:30:06Z,UNI133,"51.420547,9.443714",1575,183,61
1759314608,2025-10-01T10:30:08Z,UNI133,"51.421738,9.446386",1550,184,54
1759314610,2025-10-01T10:30:10Z,UNI133,"51.422882,9.448465",1550,186,48
1759314612,2025-10-01T10:30:12Z,UNI133,"51.424164,9.450247",1550,187,41
1759314614,2025-10-01T10:30:14Z,UNI133,"51.425949,9.452103",1550,189,31
1759314616,2025-10-01T10:30:16Z,UNI133,"51.427326,9.453201",1550,190,24
1759314619,2025-10-01T10:30:19Z,UNI133,"51.429153,9.454255",1525,191,17
1759314621,2025-10-01T10:30:21Z,UNI133,"51.431259,9.455071",1500,193,11
1759314623,2025-10-01T10:30:23Z,UNI133,"51.433193,9.455414",1475,194,6
1759314625,2025-10-01T10:30:25Z,UNI133,"51.435009,9.455566",1475,195,2
1759314627,2025-10-01T10:30:27Z,UNI133,"51.436451,9.455566",1475,195,359
1759314629,2025-10-01T10:30:29Z,UNI133,"51.438812,9.455442",1450,196,357
1759314631,2025-10-01T10:30:31Z,UNI133,"51.440598,9.455295",1450,196,357
1759314633,2025-10-01T10:30:33Z,UNI133,"51.442226,9.455109",1450,196,354
1759314635,2025-10-01T10:30:35Z,UNI133,"51.444412,9.454575",1450,195,350
1759314637,2025-10-01T10:30:37Z,UNI133,"51.446136,9.453964",1450,196,345
1759314640,2025-10-01T10:30:40Z,UNI133,"51.44838,9.452696",1450,194,340
1759314642,2025-10-01T10:30:42Z,UNI133,"51.449982,9.451509",1450,192,333
1759314644,2025-10-01T10:30:44Z,UNI133,"51.451859,9.449875",1450,191,328
1759314646,2025-10-01T10:30:46Z,UNI133,"51.453323,9.448242",1450,191,323
1759314648,2025-10-01T10:30:48Z,UNI133,"51.454697,9.446461",1450,192,319
1759314651,2025-10-01T10:30:51Z,UNI133,"51.455933,9.444456",1425,191,313
1759314653,2025-10-01T10:30:53Z,UNI133,"51.457169,9.442062",1375,192,308
1759314655,2025-10-01T10:30:55Z,UNI133,"51.458084,9.439928",1350,192,303
1759314657,2025-10-01T10:30:57Z,UNI133,"51.459171,9.436646",1325,191,296
1759314659,2025-10-01T10:30:59Z,UNI133,"51.459774,9.434052",1300,190,290
1759314661,2025-10-01T10:31:01Z,UNI133,"51.460194,9.431305",1300,188,283
1759314663,2025-10-01T10:31:03Z,UNI133,"51.460426,9.428635",1300,184,277
1759314665,2025-10-01T10:31:05Z,UNI133,"51.460472,9.425888",1300,182,273
1759314667,2025-10-01T10:31:07Z,UNI133,"51.46051,9.423003",1325,179,270
1759314669,2025-10-01T10:31:09Z,UNI133,"51.460472,9.420624",1325,177,270
1759314671,2025-10-01T10:31:11Z,UNI133,"51.46051,9.417213",1325,176,270
1759314673,2025-10-01T10:31:13Z,UNI133,"51.460556,9.414689",1325,175,271
1759314675,2025-10-01T10:31:15Z,UNI133,"51.460648,9.412091",1325,175,272
1759314678,2025-10-01T10:31:18Z,UNI133,"51.460739,9.409493",1350,175,272
1759314680,2025-10-01T10:31:20Z,UNI133,"51.460831,9.406375",1350,174,272
1759314682,2025-10-01T10:31:22Z,UNI133,"51.460922,9.403257",1375,174,272
1759314684,2025-10-01T10:31:24Z,UNI133,"51.461014,9.400734",1375,174,272
1759314687,2025-10-01T10:31:27Z,UNI133,"51.461079,9.397888",1375,173,272
1759314689,2025-10-01T10:31:29Z,UNI133,"51.461197,9.394647",1400,170,273
1759314693,2025-10-01T10:31:33Z,UNI133,"51.461311,9.389877",1450,168,272
1759314700,2025-10-01T10:31:40Z,UNI133,"51.461609,9.381063",1425,171,272
1759314709,2025-10-01T10:31:49Z,UNI133,"51.461792,9.370522",1425,168,271
1759314715,2025-10-01T10:31:55Z,UNI133,"51.461884,9.361688",1375,164,271
1759314722,2025-10-01T10:32:02Z,UNI133,"51.462158,9.353522",1350,160,273
1759314731,2025-10-01T10:32:11Z,UNI133,"51.462616,9.343491",1350,157,274
1759314738,2025-10-01T10:32:18Z,UNI133,"51.463081,9.335556",1350,158,275
1759314742,2025-10-01T10:32:22Z,UNI133,"51.463406,9.32991",1350,158,275
1759314751,2025-10-01T10:32:31Z,UNI133,"51.463917,9.320679",1400,155,274
1759314755,2025-10-01T10:32:35Z,UNI133,"51.463917,9.316101",1425,154,264
1759314757,2025-10-01T10:32:37Z,UNI133,"51.463577,9.312769",1400,154,259
1759314759,2025-10-01T10:32:39Z,UNI133,"51.463219,9.31076",1400,153,252
1759314762,2025-10-01T10:32:42Z,UNI133,"51.462662,9.308463",1375,153,247
1759314764,2025-10-01T10:32:44Z,UNI133,"51.461964,9.306183",1375,153,241
1759314766,2025-10-01T10:32:46Z,UNI133,"51.460922,9.303787",1350,152,236
1759314768,2025-10-01T10:32:48Z,UNI133,"51.460102,9.302292",1325,152,227
1759314770,2025-10-01T10:32:50Z,UNI133,"51.458889,9.300461",1300,151,221
1759314772,2025-10-01T10:32:52Z,UNI133,"51.458084,9.299481",1300,152,214
1759314775,2025-10-01T10:32:55Z,UNI133,"51.456238,9.297791",1250,152,209
1759314777,2025-10-01T10:32:57Z,UNI133,"51.454559,9.296735",1225,152,202
1759314780,2025-10-01T10:33:00Z,UNI133,"51.452957,9.296066",1225,149,193
1759314782,2025-10-01T10:33:02Z,UNI133,"51.451721,9.295807",1225,146,186
1759314784,2025-10-01T10:33:04Z,UNI133,"51.450256,9.295621",1225,146,181
1759314786,2025-10-01T10:33:06Z,UNI133,"51.448788,9.295654",1200,144,176
1759314789,2025-10-01T10:33:09Z,UNI133,"51.447205,9.295959",1200,142,171
1759314791,2025-10-01T10:33:11Z,UNI133,"51.44595,9.296417",1225,141,169
1759314793,2025-10-01T10:33:13Z,UNI133,"51.444458,9.297104",1225,138,162
1759314795,2025-10-01T10:33:15Z,UNI133,"51.443295,9.297867",1225,137,157
1759314798,2025-10-01T10:33:18Z,UNI133,"51.441788,9.298962",1225,136,153
1759314800,2025-10-01T10:33:20Z,UNI133,"51.440689,9.300001",1225,136,150
1759314802,2025-10-01T10:33:22Z,UNI133,"51.439293,9.301376",1225,137,147
1759314804,2025-10-01T10:33:24Z,UNI133,"51.438126,9.302599",1225,137,145
1759314807,2025-10-01T10:33:27Z,UNI133,"51.437199,9.303589",1200,137,144
1759314809,2025-10-01T10:33:29Z,UNI133,"51.435753,9.305267",1200,136,143
1759314811,2025-10-01T10:33:31Z,UNI133,"51.434917,9.306259",1200,135,142
1759314813,2025-10-01T10:33:33Z,UNI133,"51.433456,9.308092",1200,134,142
1759314816,2025-10-01T10:33:36Z,UNI133,"51.432495,9.30928",1200,133,141
1759314818,2025-10-01T10:33:38Z,UNI133,"51.431351,9.310764",1200,131,140
1759314820,2025-10-01T10:33:40Z,UNI133,"51.430679,9.311676",1225,129,139
1759314822,2025-10-01T10:33:42Z,UNI133,"51.429607,9.313126",1225,127,138
1759314824,2025-10-01T10:33:44Z,UNI133,"51.42865,9.31455",1250,127,136
1759314826,2025-10-01T10:33:46Z,UNI133,"51.427643,9.31611",1250,126,134
1759314828,2025-10-01T10:33:48Z,UNI133,"51.42691,9.31752",1250,125,129
1759314830,2025-10-01T10:33:50Z,UNI133,"51.42627,9.319078",1250,124,123
1759314833,2025-10-01T10:33:53Z,UNI133,"51.425629,9.321009",1225,123,116
1759314835,2025-10-01T10:33:55Z,UNI133,"51.42514,9.322891",1175,125,111
1759314837,2025-10-01T10:33:57Z,UNI133,"51.424812,9.324722",1150,128,105
1759314839,2025-10-01T10:33:59Z,UNI133,"51.42458,9.326172",1125,130,103
1759314841,2025-10-01T10:34:01Z,UNI133,"51.424255,9.329025",1075,130,100
1759314843,2025-10-01T10:34:03Z,UNI133,"51.424114,9.330368",1025,130,98
1759314846,2025-10-01T10:34:06Z,UNI133,"51.423836,9.333725",975,128,97
1759314849,2025-10-01T10:34:09Z,UNI133,"51.423706,9.335855",925,128,95
1759314851,2025-10-01T10:34:11Z,UNI133,"51.423603,9.338303",875,127,94
1759314855,2025-10-01T10:34:15Z,UNI133,"51.423512,9.340897",850,126,93
1759314858,2025-10-01T10:34:18Z,UNI133,"51.42334,9.344392",800,124,94
1759314861,2025-10-01T10:34:21Z,UNI133,"51.423248,9.346248",775,124,94
1759314865,2025-10-01T10:34:25Z,UNI133,"51.423046,9.350739",725,122,94
1759314868,2025-10-01T10:34:28Z,UNI133,"51.422951,9.352493",675,121,95
1759314876,2025-10-01T10:34:36Z,UNI133,"51.422516,9.3605",575,118,94
1759314927,2025-10-01T10:35:27Z,UNI133,"51.420639,9.395278",0,46,95
