Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1759315265,2025-10-01T10:41:05Z,UNI133,"51.420391,9.39949",700,150,94
1759315271,2025-10-01T10:41:11Z,UNI133,"51.420044,9.406969",975,155,94
1759315278,2025-10-01T10:41:18Z,UNI133,"51.419693,9.415131",1200,159,94
1759315285,2025-10-01T10:41:25Z,UNI133,"51.419319,9.42276",1375,165,92
1759315288,2025-10-01T10:41:28Z,UNI133,"51.419357,9.426938",1425,166,87
1759315290,2025-10-01T10:41:30Z,UNI133,"51.419632,9.429387",1425,165,77
1759315292,2025-10-01T10:41:32Z,UNI133,"51.42009,9.431688",1450,166,68
1759315294,2025-10-01T10:41:34Z,UNI133,"51.420776,9.433915",1450,166,60
1759315297,2025-10-01T10:41:37Z,UNI133,"51.422012,9.436736",1450,165,53
1759315299,2025-10-01T10:41:39Z,UNI133,"51.423019,9.438518",1450,164,43
1759315301,2025-10-01T10:41:41Z,UNI133,"51.424164,9.440077",1475,163,36
1759315303,2025-10-01T10:41:43Z,UNI133,"51.425838,9.441681",1475,163,29
1759315306,2025-10-01T10:41:46Z,UNI133,"51.427094,9.4426",1475,165,22
1759315308,2025-10-01T10:41:48Z,UNI133,"51.428833,9.443565",1450,166,17
1759315310,2025-10-01T10:41:50Z,UNI133,"51.430538,9.444122",1425,168,11
1759315312,2025-10-01T10:41:52Z,UNI133,"51.432076,9.444427",1400,170,6
1759315314,2025-10-01T10:41:54Z,UNI133,"51.434143,9.444456",1375,170,1
1759315316,2025-10-01T10:41:56Z,UNI133,"51.435699,9.444234",1375,171,354
1759315319,2025-10-01T10:41:59Z,UNI133,"51.437302,9.443789",1350,172,349
1759315321,2025-10-01T10:42:01Z,UNI133,"51.439133,9.443046",1325,172,345
1759315323,2025-10-01T10:42:03Z,UNI133,"51.440643,9.442229",1325,172,339
1759315325,2025-10-01T10:42:05Z,UNI133,"51.442108,9.44119",1325,171,335
1759315327,2025-10-01T10:42:07Z,UNI133,"51.443481,9.439928",1350,171,329
1759315329,2025-10-01T10:42:09Z,UNI133,"51.444973,9.4384",1350,171,325
1759315331,2025-10-01T10:42:11Z,UNI133,"51.446365,9.436736",1350,172,321
1759315333,2025-10-01T10:42:13Z,UNI133,"51.44751,9.435029",1350,173,316
1759315336,2025-10-01T10:42:16Z,UNI133,"51.448837,9.432728",1350,172,311
1759315338,2025-10-01T10:42:18Z,UNI133,"51.449799,9.430723",1350,172,305
1759315340,2025-10-01T10:42:20Z,UNI133,"51.450577,9.428496",1350,172,300
1759315342,2025-10-01T10:42:22Z,UNI133,"51.451347,9.425964",1325,173,294
1759315344,2025-10-01T10:42:24Z,UNI133,"51.451908,9.423599",1325,173,290
1759315346,2025-10-01T10:42:26Z,UNI133,"51.452419,9.420624",1350,172,283
1759315348,2025-10-01T10:42:28Z,UNI133,"51.452744,9.418106",1350,171,279
1759315350,2025-10-01T10:42:30Z,UNI133,"51.452911,9.415877",1350,171,277
1759315353,2025-10-01T10:42:33Z,UNI133,"51.453163,9.412613",1350,170,276
1759315355,2025-10-01T10:42:35Z,UNI133,"51.453304,9.410095",1350,170,276
1759315357,2025-10-01T10:42:37Z,UNI133,"51.453537,9.40712",1375,168,276
1759315359,2025-10-01T10:42:39Z,UNI133,"51.45369,9.404817",1400,167,275
1759315361,2025-10-01T10:42:41Z,UNI133,"51.453861,9.401703",1425,166,275
1759315363,2025-10-01T10:42:43Z,UNI133,"51.45401,9.399027",1450,165,275
1759315365,2025-10-01T10:42:45Z,UNI133,"51.454147,9.396577",1475,164,275
1759315368,2025-10-01T10:42:48Z,UNI133,"51.454285,9.394127",1475,164,274
1759315370,2025-10-01T10:42:50Z,UNI133,"51.454422,9.391306",1500,162,274
1759315372,2025-10-01T10:42:52Z,UNI133,"51.454468,9.389377",1500,161,273
1759315374,2025-10-01T10:42:54Z,UNI133,"51.454559,9.387001",1500,159,273
1759315376,2025-10-01T10:42:56Z,UNI133,"51.454655,9.384308",1525,160,272
1759315378,2025-10-01T10:42:58Z,UNI133,"51.454742,9.381359",1525,158,272
1759315380,2025-10-01T10:43:00Z,UNI133,"51.454834,9.378983",1525,158,272
1759315387,2025-10-01T10:43:07Z,UNI133,"51.455063,9.371115",1500,155,273
1759315394,2025-10-01T10:43:14Z,UNI133,"51.455444,9.363632",1500,154,274
1759315402,2025-10-01T10:43:22Z,UNI133,"51.455933,9.353745",1475,157,275
1759315409,2025-10-01T10:43:29Z,UNI133,"51.456345,9.346248",1475,158,274
1759315418,2025-10-01T10:43:38Z,UNI133,"51.45639,9.335707",1425,153,260
1759315420,2025-10-01T10:43:40Z,UNI133,"51.456051,9.333267",1400,153,254
1759315423,2025-10-01T10:43:43Z,UNI133,"51.455475,9.330956",1375,153,247
1759315425,2025-10-01T10:43:45Z,UNI133,"51.454697,9.328506",1325,153,241
1759315427,2025-10-01T10:43:47Z,UNI133,"51.453644,9.326353",1300,153,233
1759315429,2025-10-01T10:43:49Z,UNI133,"51.452682,9.324795",1275,151,223
1759315431,2025-10-01T10:43:51Z,UNI133,"51.451721,9.323502",1250,148,216
1759315434,2025-10-01T10:43:54Z,UNI133,"51.450211,9.322048",1250,145,209
1759315436,2025-10-01T10:43:56Z,UNI133,"51.448975,9.321157",1250,142,199
1759315438,2025-10-01T10:43:58Z,UNI133,"51.44751,9.320489",1225,140,196
1759315440,2025-10-01T10:44:00Z,UNI133,"51.44632,9.320068",1200,139,191
1759315442,2025-10-01T10:44:02Z,UNI133,"51.444717,9.319598",1175,138,189
1759315444,2025-10-01T10:44:04Z,UNI133,"51.44334,9.319305",1150,137,187
1759315447,2025-10-01T10:44:07Z,UNI133,"51.442085,9.319077",1150,136,185
1759315449,2025-10-01T10:44:09Z,UNI133,"51.440548,9.319",1150,135,180
1759315452,2025-10-01T10:44:12Z,UNI133,"51.438721,9.319004",1125,134,179
1759315454,2025-10-01T10:44:14Z,UNI133,"51.437485,9.319078",1125,134,177
1759315456,2025-10-01T10:44:16Z,UNI133,"51.436081,9.319153",1125,134,177
1759315459,2025-10-01T10:44:19Z,UNI133,"51.434509,9.319376",1100,133,173
1759315461,2025-10-01T10:44:21Z,UNI133,"51.433147,9.319839",1075,134,169
1759315463,2025-10-01T10:44:23Z,UNI133,"51.431938,9.32045",1050,135,160
1759315465,2025-10-01T10:44:25Z,UNI133,"51.430588,9.321365",1025,134,154
1759315468,2025-10-01T10:44:28Z,UNI133,"51.429382,9.322494",1000,133,147
1759315470,2025-10-01T10:44:30Z,UNI133,"51.428726,9.323349",1000,134,140
1759315472,2025-10-01T10:44:32Z,UNI133,"51.427654,9.325027",1000,131,130
1759315474,2025-10-01T10:44:34Z,UNI133,"51.426544,9.327318",1000,130,125
1759315476,2025-10-01T10:44:36Z,UNI133,"51.425903,9.328877",1000,129,123
1759315479,2025-10-01T10:44:39Z,UNI133,"51.425446,9.330214",1000,126,115
1759315481,2025-10-01T10:44:41Z,UNI133,"51.424908,9.332504",1000,122,107
1759315483,2025-10-01T10:44:43Z,UNI133,"51.424438,9.335113",950,122,104
1759315486,2025-10-01T10:44:46Z,UNI133,"51.424118,9.337192",925,121,103
1759315488,2025-10-01T10:44:48Z,UNI133,"51.423889,9.338899",900,121,102
