time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
15.10.2025 10:05:38;51.5553;-0.4078;70;135;155;125;;FlightAware ADS-B(LHR / EGLL)
15.10.2025 10:05:54;51.5600;-0.3929;53;141;162;925;2953;FlightAware ADS-B(LHR / EGLL)
15.10.2025 10:06:10;51.5680;-0.3820;33;148;170;1700;2672;FlightAware ADS-B(BZZ / EGVN)
15.10.2025 10:06:26;51.5785;-0.3740;20;164;189;2350;1547;FlightAware ADS-B(EGLD)
15.10.2025 10:06:42;51.5909;-0.3685;12;181;208;2525;375;FlightAware ADS-B(EGTF)
15.10.2025 10:06:58;51.6038;-0.3651;8;184;212;2550;328;FlightAware ADS-B(LGW / EGKK)
15.10.2025 10:07:14;51.6170;-0.3623;7;184;212;2700;984;FlightAware ADS-B(HYC / EGTB)
15.10.2025 10:07:30;51.6314;-0.3595;7;191;220;3075;1406;FlightAware ADS-B(LHR / EGLL)
15.10.2025 10:07:46;51.6449;-0.3565;8;187;215;3450;1453;FlightAware ADS-B(FAB / EGLF)
15.10.2025 10:08:02;51.6588;-0.3531;8;191;220;3850;1500;FlightAware ADS-B(LHR / EGLL)
15.10.2025 10:08:18;51.6726;-0.3566;331;197;227;4250;1219;FlightAware ADS-B(LTN / EGGW)
15.10.2025 10:08:34;51.6835;-0.3734;307;219;252;4500;563;FlightAware ADS-B(EGTF)
15.10.2025 10:08:50;51.6925;-0.3981;297;251;289;4550;68;FlightAware ADS-B(LHR / EGLL)
15.10.2025 10:09:18;51.7056;-0.4496;290;274;315;4550;-26;FlightAware ADS-B(LHR / EGLL)
15.10.2025 10:09:48;51.7179;-0.5073;289;277;319;4525;-30;FlightAware ADS-B(EGSX)
15.10.2025 10:10:08;51.7268;-0.5487;287;276;318;4525;41;FlightAware ADS-B(EGWN)
15.10.2025 10:10:25;51.7321;-0.5797;284;277;319;4550;107;FlightAware ADS-B(LTN / EGGW)
15.10.2025 10:10:50;51.7393;-0.6309;282;279;321;4600;542;FlightAware ADS-B(LHR / EGLL)
15.10.2025 10:11:01;51.7420;-0.6541;281;280;322;4875;1406;Surface and Near-Surface
15.10.2025 10:11:06;51.7430;-0.6624;280;281;323;4975;1444;FlightAware ADS-B(EGUD)
15.10.2025 10:11:28;51.7484;-0.7075;282;282;325;5525;1500;FlightAware ADS-B(LYX / EGMD)
15.10.2025 10:11:49;51.7541;-0.7497;282;281;323;6050;1500;FlightAware ADS-B(EGTC)
15.10.2025 10:12:07;51.7532;-0.7877;252;285;328;6500;1378;FlightAware ADS-B(ODH / EGVO)
15.10.2025 10:12:26;51.7409;-0.8238;234;294;338;6900;770;FlightAware ADS-B(EGLJ)
15.10.2025 10:12:44;51.7244;-0.8549;226;297;342;6975;162;FlightAware ADS-B(EGTN)
15.10.2025 10:13:03;51.7056;-0.8849;224;296;341;7000;31;FlightAware ADS-B(EGBT)
15.10.2025 10:13:33;51.6753;-0.9297;222;295;339;7000;;FlightAware ADS-B(EGBT)
15.10.2025 10:13:53;51.6556;-0.9594;224;296;341;7000;;FlightAware ADS-B(LHR / EGLL)
15.10.2025 10:14:09;51.6406;-0.9831;225;294;338;7000;;FlightAware ADS-B(OXF / EGTK)
15.10.2025 10:14:27;51.6216;-1.0132;224;295;339;7000;;FlightAware ADS-B(EGWN)
15.10.2025 10:15:18;51.5735;-1.0885;225;294;338;7000;;FlightAware ADS-B(LHR / EGLL)
15.10.2025 10:15:45;51.5473;-1.1304;225;294;338;7000;420;FlightAware ADS-B(EGDI)
15.10.2025 10:16:08;51.5255;-1.1651;225;296;341;7350;1077;FlightAware ADS-B(LHR / EGLL)
15.10.2025 10:16:24;51.5065;-1.1894;210;301;346;7700;1853;FlightAware ADS-B(EGLM)
15.10.2025 10:16:42;51.4857;-1.1957;176;297;342;8400;3043;FlightAware ADS-B(EGTW)
15.10.2025 10:16:59;51.4631;-1.1838;154;293;337;9475;4298;FlightAware ADS-B(EGDM)
15.10.2025 10:17:34;51.4196;-1.1449;150;300;345;12125;4453;FlightAware ADS-B(BBS / EGLK)
15.10.2025 10:18:03;51.3852;-1.1122;149;315;362;14225;4340;FlightAware ADS-B(BEX / EGUB)
15.10.2025 10:18:21;51.3629;-1.0911;150;321;369;15525;2600;FlightAware ADS-B(NHT / EGWU)
15.10.2025 10:19:03;51.3034;-1.0341;149;393;452;16825;1264;FlightAware ADS-B(EGSG)
15.10.2025 10:19:31;51.2591;-0.9914;149;412;474;17000;672;FlightAware ADS-B(EGSL)
15.10.2025 10:20:01;51.2087;-0.9436;149;416;479;17475;1286;FlightAware ADS-B(EGTW)
15.10.2025 10:20:27;51.1654;-0.9033;150;422;486;18200;2380;FlightAware ADS-B(SOU / EGHI)
15.10.2025 10:20:47;51.1311;-0.8725;151;427;491;19300;3090;FlightAware ADS-B(BEX / EGUB)
15.10.2025 10:21:17;51.0785;-0.8270;151;439;505;20775;2938;FlightAware ADS-B(FAB / EGLF)
15.10.2025 10:21:35;51.0489;-0.7935;138;436;502;21650;2759;FlightAware ADS-B(EGUD)
15.10.2025 10:22:13;50.9959;-0.7050;133;442;509;23350;2527;FlightAware ADS-B(EGKL)
15.10.2025 10:22:48;50.9479;-0.6203;132;451;519;24725;2423;FlightAware ADS-B(BOH / EGHH)
15.10.2025 10:23:18;50.9060;-0.5452;131;454;522;25975;2521;FlightAware ADS-B(EGKH)
15.10.2025 10:23:35;50.8801;-0.5044;144;460;529;26700;2559;FlightAware ADS-B(FZO / EGTG)
15.10.2025 10:23:52;50.8478;-0.4809;164;468;539;27425;2034;FlightAware ADS-B(ODH / EGVO)
15.10.2025 10:24:34;50.7588;-0.4446;166;478;550;28700;1896;FlightAware ADS-B(EGTD)
15.10.2025 10:25:04;50.6954;-0.4193;166;479;551;29700;2011;FlightAware ADS-B(EGLG)
15.10.2025 10:25:21;50.6590;-0.4049;166;479;551;30275;2023;FlightAware ADS-B(BRS / EGGD)
15.10.2025 10:25:47;50.6030;-0.3824;164;477;549;31150;2000;FlightAware ADS-B(CVT / EGBE)
15.10.2025 10:26:06;50.5646;-0.3630;161;473;544;31775;2000;FlightAware ADS-B(BHX / EGBB)
15.10.2025 10:26:29;50.5171;-0.3365;161;470;541;32550;2051;FlightAware ADS-B(EBCV)
15.10.2025 10:27:14;50.4228;-0.2921;164;464;534;34100;1880;FlightAware ADS-B(ESH / EGKA)
15.10.2025 10:27:44;50.3616;-0.2621;162;463;533;34900;1925;FlightAware ADS-B(ESH / EGKA)
15.10.2025 10:28:14;50.3012;-0.2327;163;454;522;36025;2038;FlightAware ADS-B(SOU / EGHI)
15.10.2025 10:28:37;50.2546;-0.2132;167;452;520;36700;1600;FlightAware ADS-B(EGSQ)
15.10.2025 10:28:59;50.2098;-0.1991;169;453;521;37225;1425;FlightAware ADS-B(CWL / EGFF)
15.10.2025 10:29:37;50.1332;-0.1754;168;449;517;38125;1371;FlightAware ADS-B(BBS / EGLK)
15.10.2025 10:29:57;50.0924;-0.1615;168;447;514;38550;1233;FlightAware ADS-B(LHR / EGLL)
15.10.2025 10:30:22;50.0383;-0.1439;169;448;516;39050;1064;FlightAware ADS-B(FAB / EGLF)
15.10.2025 10:30:52;49.9802;-0.1253;168;449;517;39525;894;FlightAware ADS-B(LCY / EGLC)
15.10.2025 10:31:09;49.9457;-0.1140;168;451;519;39750;830;FlightAware ADS-B(LFON)
15.10.2025 10:31:39;49.8844;-0.0941;168;453;521;40175;850;FlightAware ADS-B(EGDR)
15.10.2025 10:32:09;49.8233;-0.0747;168;453;521;40600;775;FlightAware ADS-B(EGHR)
15.10.2025 10:32:39;49.7621;-0.0549;168;454;522;40950;400;FlightAware ADS-B(EGSR)
15.10.2025 10:33:09;49.7001;-0.0351;168;459;528;41000;50;FlightAware ADS-B(EGBP)
15.10.2025 10:33:39;49.6380;-0.0152;168;463;533;41000;;FlightAware ADS-B(STN / EGSS)
15.10.2025 10:34:09;49.5754;0.0048;168;466;536;41000;;FlightAware ADS-B(EGWE)
15.10.2025 10:34:40;49.5109;0.0252;169;466;536;41000;;FlightAware ADS-B(BVA / LFOB)
15.10.2025 10:35:10;49.4458;0.0459;168;468;539;41000;;FlightAware ADS-B(EGUO)
15.10.2025 10:35:54;49.3548;0.0746;168;467;537;41000;;FlightAware ADS-B(EGFC)
15.10.2025 10:36:24;49.2900;0.0949;168;464;534;41000;;FlightAware ADS-B(EGHR)
15.10.2025 10:36:54;49.2263;0.1151;169;463;533;41000;;FlightAware ADS-B(SEN / EGMC)
15.10.2025 10:37:24;49.1634;0.1347;168;462;532;41000;;FlightAware ADS-B(FAB / EGLF)
15.10.2025 10:37:54;49.1016;0.1542;168;462;532;41000;;FlightAware ADS-B(LHR / EGLL)
15.10.2025 10:38:24;49.0366;0.1742;169;460;529;41000;;FlightAware ADS-B(LHR / EGLL)
15.10.2025 10:38:48;48.9908;0.1884;168;460;529;41000;;FlightAware ADS-B(SWS / EGFH)
15.10.2025 10:39:39;48.8823;0.2223;168;461;531;41000;;FlightAware ADS-B(FZO / EGTG)
15.10.2025 10:40:09;48.8202;0.2412;169;460;529;41000;;FlightAware ADS-B(FZO / EGTG)
15.10.2025 10:40:40;48.7556;0.2613;168;461;531;41000;;FlightAware ADS-B(BOH / EGHH)
15.10.2025 10:41:10;48.6914;0.2812;168;462;532;41000;;FlightAware ADS-B(LFPZ)
15.10.2025 10:41:41;48.6257;0.3013;169;463;533;41000;;FlightAware ADS-B(LFPZ)
15.10.2025 10:42:11;48.5671;0.3191;169;462;532;41000;;FlightAware ADS-B(LFFO)
15.10.2025 10:42:41;48.5031;0.3386;169;462;532;41000;;FlightAware ADS-B(LFFO)
15.10.2025 10:43:11;48.4399;0.3580;169;463;533;41000;;FlightAware ADS-B(ESH / EGKA)
15.10.2025 10:43:41;48.3748;0.3774;169;464;534;41000;;FlightAware ADS-B(LFEB)
15.10.2025 10:44:11;48.3135;0.3963;169;465;535;41000;;FlightAware ADS-B(EGTD)
15.10.2025 10:44:55;48.2211;0.4239;169;466;536;41000;;FlightAware ADS-B(LME / LFRM)
15.10.2025 10:45:25;48.1583;0.4429;169;465;535;41000;;FlightAware ADS-B(ORY / LFPO)
15.10.2025 10:45:55;48.0947;0.4621;169;466;536;41000;;FlightAware ADS-B(LME / LFRM)
15.10.2025 10:46:25;48.0318;0.4809;169;466;536;41000;;FlightAware ADS-B(EVX / LFOE)
15.10.2025 10:46:55;47.9700;0.4992;169;467;537;41000;;FlightAware ADS-B(LFOG)
15.10.2025 10:47:25;47.9044;0.5188;169;468;539;41000;;FlightAware ADS-B(LFOG)
15.10.2025 10:47:55;47.8408;0.5378;169;468;539;41000;;FlightAware ADS-B(ORY / LFPO)
