time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
15.10.2025 13:06:16;38.8733;1.3744;63;144;166;50;;FlightAware ADS-B(IBZ / LEIB)
15.10.2025 13:06:36;38.8788;1.3905;75;155;178;975;2917;FlightAware ADS-B(IBZ / LEIB)
15.10.2025 13:06:52;38.8810;1.4051;81;164;189;1800;2829;FlightAware ADS-B(IBZ / LEIB)
15.10.2025 13:07:11;38.8836;1.4243;78;179;206;2625;2143;FlightAware ADS-B(IBZ / LEIB)
15.10.2025 13:07:27;38.8866;1.4410;76;194;223;3050;1313;FlightAware ADS-B(IBZ / LEIB)
15.10.2025 13:07:43;38.8905;1.4598;74;198;228;3325;1273;FlightAware ADS-B(IBZ / LEIB)
15.10.2025 13:08:00;38.8948;1.4786;74;192;221;3750;1727;FlightAware ADS-B(PMI / LEPA)
15.10.2025 13:08:16;38.8988;1.4968;75;202;232;4275;1800;FlightAware ADS-B(IBZ / LEIB)
15.10.2025 13:08:45;38.9061;1.5315;74;219;252;5100;1691;FlightAware ADS-B(LEMU)
15.10.2025 13:09:03;38.9165;1.5506;33;211;243;5600;2068;FlightAware ADS-B(PMI / LEPA)
15.10.2025 13:09:22;38.9340;1.5580;8;212;244;6375;2478;FlightAware ADS-B(MAD / LEMD)
15.10.2025 13:09:49;38.9619;1.5581;356;239;275;7500;2638;FlightAware ADS-B(IBZ / LEIB)
15.10.2025 13:10:20;38.9996;1.5522;352;270;311;8925;3027;FlightAware ADS-B(PMI / LEPA)
15.10.2025 13:10:44;39.0285;1.5483;4;283;326;10275;3833;FlightAware ADS-B(PMI / LEPA)
15.10.2025 13:11:05;39.0564;1.5563;15;288;331;11800;4302;FlightAware ADS-B(PMI / LEPA)
15.10.2025 13:11:37;39.0965;1.5707;16;303;349;14075;3702;FlightAware ADS-B(RMU / LEMI)
15.10.2025 13:12:07;39.1408;1.5864;15;334;384;15625;3475;FlightAware ADS-B(RMU / LEMI)
15.10.2025 13:12:37;39.1861;1.6023;15;345;397;17550;3765;FlightAware ADS-B(RMU / LEMI)
15.10.2025 13:12:56;39.2165;1.6058;356;345;397;18700;3469;FlightAware ADS-B(RMU / LEMI)
15.10.2025 13:13:41;39.2873;1.5874;346;353;406;21250;3160;FlightAware ADS-B(VLC / LEVC)
15.10.2025 13:14:11;39.3358;1.5715;346;366;421;22650;2325;FlightAware ADS-B(BCN / LEBL)
15.10.2025 13:14:41;39.3892;1.5554;348;390;449;23575;1325;FlightAware ADS-B(VLC / LEVC)
15.10.2025 13:15:11;39.4415;1.5404;347;396;456;23975;425;FlightAware ADS-B(PMI / LEPA)
15.10.2025 13:15:41;39.4937;1.5254;348;387;445;24000;25;FlightAware ADS-B(PMI / LEPA)
15.10.2025 13:16:11;39.5473;1.5102;347;379;436;24000;;FlightAware ADS-B(PMI / LEPA)
15.10.2025 13:16:44;39.6018;1.4946;348;375;432;24000;-92;FlightAware ADS-B(MAD / LEMD)
15.10.2025 13:17:16;39.6567;1.4792;348;375;432;23900;-609;FlightAware ADS-B(PMI / LEPA)
15.10.2025 13:17:48;39.7122;1.4635;348;381;438;23350;-1024;FlightAware ADS-B(CDT / LECH)
15.10.2025 13:18:19;39.7642;1.4487;348;380;437;22825;-984;FlightAware ADS-B(MJV / LELC)
