time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
15.10.2025 17:03:35;51.2802;-0.7624;62;156;180;475;;FlightAware ADS-B(BBS / EGLK)
15.10.2025 17:03:51;51.2851;-0.7464;65;169;194;1375;2625;FlightAware ADS-B(LHR / EGLL)
15.10.2025 17:04:07;51.2913;-0.7258;63;187;215;1875;1594;FlightAware ADS-B(HYC / EGTB)
15.10.2025 17:04:23;51.2973;-0.7080;60;188;216;2225;1172;FlightAware ADS-B(FAB / EGLF)
15.10.2025 17:04:39;51.3023;-0.6859;88;195;224;2500;600;FlightAware ADS-B(FAB / EGLF)
15.10.2025 17:04:58;51.2947;-0.6606;132;210;242;2575;54;FlightAware ADS-B(FAB / EGLF)
15.10.2025 17:05:35;51.2631;-0.6324;175;215;247;2550;;FlightAware ADS-B(BBS / EGLK)
15.10.2025 17:05:53;51.2471;-0.6412;217;216;249;2575;568;FlightAware ADS-B(FAB / EGLF)
15.10.2025 17:06:12;51.2348;-0.6624;235;206;237;2900;1414;FlightAware ADS-B(EGTF)
15.10.2025 17:06:28;51.2270;-0.6826;240;211;243;3400;1688;FlightAware ADS-B(FAB / EGLF)
15.10.2025 17:06:44;51.2197;-0.7051;244;222;255;3800;1547;FlightAware ADS-B(LGW / EGKK)
15.10.2025 17:07:00;51.2124;-0.7294;244;219;252;4225;1273;FlightAware ADS-B(CVT / EGBE)
15.10.2025 17:07:17;51.2035;-0.7543;238;225;259;4500;591;FlightAware ADS-B(BBS / EGLK)
15.10.2025 17:07:33;51.1943;-0.7767;236;229;264;4550;141;FlightAware ADS-B(LTN / EGGW)
15.10.2025 17:07:49;51.1842;-0.7990;234;230;265;4575;32;FlightAware ADS-B(SOU / EGHI)
15.10.2025 17:08:20;51.1652;-0.8390;234;225;259;4575;;FlightAware ADS-B(EGHO)
15.10.2025 17:08:50;51.1468;-0.8808;235;229;264;4575;254;FlightAware ADS-B(FAB / EGLF)
15.10.2025 17:09:19;51.1287;-0.9218;237;222;255;4825;952;FlightAware ADS-B(EGLM)
15.10.2025 17:09:42;51.1203;-0.9572;254;234;269;5400;1567;FlightAware ADS-B(SEN / EGMC)
15.10.2025 17:10:04;51.1144;-0.9917;255;238;274;6000;1684;FlightAware ADS-B(FAB / EGLF)
15.10.2025 17:10:31;51.1057;-1.0413;254;246;283;6775;1091;FlightAware ADS-B(SOU / EGHI)
15.10.2025 17:10:59;51.0974;-1.0889;255;247;284;7000;281;FlightAware ADS-B(BEX / EGUB)
15.10.2025 17:11:19;51.0916;-1.1224;256;244;281;7000;39;FlightAware ADS-B(STN / EGSS)
15.10.2025 17:11:37;51.0928;-1.1547;293;232;267;7025;833;FlightAware ADS-B(SOU / EGHI)
15.10.2025 17:11:55;51.1070;-1.1723;345;219;252;7500;1824;FlightAware ADS-B(BBS / EGLK)
15.10.2025 17:12:14;51.1246;-1.1681;24;216;249;8150;2511;FlightAware ADS-B(FAB / EGLF)
15.10.2025 17:12:41;51.1482;-1.1488;28;227;261;9425;3471;FlightAware ADS-B(QLA / EGHL)
15.10.2025 17:13:05;51.1730;-1.1275;29;245;282;11100;3659;FlightAware ADS-B(EGUO)
15.10.2025 17:13:22;51.1888;-1.1126;37;270;311;11925;3615;FlightAware ADS-B(BRS / EGGD)
15.10.2025 17:13:44;51.2073;-1.0781;56;284;327;13450;3975;FlightAware ADS-B(BBP / EGHJ)
15.10.2025 17:14:02;51.2209;-1.0452;57;307;353;14575;3081;FlightAware ADS-B(LHR / EGLL)
15.10.2025 17:14:21;51.2380;-1.0028;59;340;391;15350;2583;FlightAware ADS-B(YEO / EGDY)
15.10.2025 17:14:38;51.2506;-0.9702;55;357;411;16125;3042;FlightAware ADS-B(CVT / EGBE)
15.10.2025 17:14:57;51.2718;-0.9295;48;372;428;17175;3490;FlightAware ADS-B(BHX / EGBB)
15.10.2025 17:15:27;51.3069;-0.8687;47;384;442;18975;3450;FlightAware ADS-B(EGSP)
15.10.2025 17:15:57;51.3436;-0.8042;49;393;452;20625;3063;FlightAware ADS-B(LTN / EGGW)
15.10.2025 17:16:15;51.3649;-0.7652;49;401;461;21425;2308;FlightAware ADS-B(LCY / EGLC)
15.10.2025 17:16:36;51.3916;-0.7157;49;415;478;22125;1737;FlightAware ADS-B(NWI / EGSH)
15.10.2025 17:16:53;51.4108;-0.6773;57;423;487;22525;1085;FlightAware ADS-B(NWI / EGSH)
15.10.2025 17:17:23;51.4393;-0.5914;65;429;494;22975;300;FlightAware ADS-B(RCS / EGTO)
15.10.2025 17:18:28;51.4944;-0.4065;63;425;489;23000;16;FlightAware ADS-B(FAB / EGLF)
15.10.2025 17:18:54;51.5166;-0.3349;64;425;489;23000;;FlightAware ADS-B(EGNY)
15.10.2025 17:19:24;51.5420;-0.2507;64;424;488;23000;;FlightAware ADS-B(LGW / EGKK)
15.10.2025 17:19:54;51.5677;-0.1662;64;424;488;23000;;FlightAware ADS-B(EGTR)
15.10.2025 17:20:24;51.5937;-0.0801;64;424;488;23000;;FlightAware ADS-B(EGBD)
15.10.2025 17:20:54;51.6193;0.0045;64;427;491;23000;;FlightAware ADS-B(SEN / EGMC)
15.10.2025 17:21:24;51.6457;0.0916;64;435;501;23000;;FlightAware ADS-B(MAN / EGCC)
15.10.2025 17:21:54;51.6712;0.1774;65;439;505;23000;;FlightAware ADS-B(LTN / EGGW)
15.10.2025 17:22:24;51.6980;0.2676;64;439;505;23000;;FlightAware ADS-B(EGSR)
15.10.2025 17:22:54;51.7255;0.3603;64;439;505;23000;;FlightAware ADS-B(EGTC)
15.10.2025 17:23:14;51.7396;0.4211;73;441;507;23000;;FlightAware ADS-B(LCY / EGLC)
15.10.2025 17:23:31;51.7498;0.4714;72;438;504;23000;;FlightAware ADS-B(EGSM)
15.10.2025 17:24:11;51.7751;0.5914;71;436;502;23000;;FlightAware ADS-B(EGUD)
15.10.2025 17:24:41;51.7946;0.6826;71;434;499;23000;;FlightAware ADS-B(MSE / EGMH)
15.10.2025 17:25:11;51.8148;0.7782;71;434;499;23000;;FlightAware ADS-B(FAB / EGLF)
15.10.2025 17:25:41;51.8338;0.8687;71;434;499;23000;;FlightAware ADS-B(EGCL)
15.10.2025 17:26:11;51.8529;0.9600;71;434;499;23000;;FlightAware ADS-B(EGBW)
15.10.2025 17:26:41;51.8724;1.0539;72;433;498;23000;;FlightAware ADS-B(LCY / EGLC)
15.10.2025 17:27:11;51.8912;1.1460;72;433;498;23000;;FlightAware ADS-B(EGCL)
15.10.2025 17:27:41;51.9102;1.2353;70;433;498;23000;;FlightAware ADS-B(EGSL)
15.10.2025 17:27:59;51.9225;1.2878;69;432;497;23000;;FlightAware ADS-B(FZO / EGTG)
15.10.2025 17:28:29;51.9448;1.3807;69;433;498;23000;;FlightAware ADS-B(EGSW)
15.10.2025 17:29:09;51.9733;1.5030;70;434;499;23000;;FlightAware ADS-B(EBSJ)
15.10.2025 17:29:39;51.9943;1.5934;69;433;498;23000;;FlightAware ADS-B(WOE / EHWO)
15.10.2025 17:30:09;52.0149;1.6826;70;434;499;23000;;FlightAware ADS-B(RTM / EHRD)
15.10.2025 17:30:39;52.0360;1.7744;70;433;498;23000;;FlightAware ADS-B(EGVP)
15.10.2025 17:31:09;52.0571;1.8669;70;433;498;23000;;FlightAware ADS-B(EBBY)
15.10.2025 17:31:39;52.0775;1.9570;70;433;498;23000;;FlightAware ADS-B(EHVB)
15.10.2025 17:32:09;52.0988;2.0507;70;433;498;23000;;FlightAware ADS-B(EGUW)
15.10.2025 17:32:39;52.1196;2.1433;70;432;497;23000;;FlightAware ADS-B(EGUW)
15.10.2025 17:33:09;52.1397;2.2327;70;431;496;23000;;FlightAware ADS-B(EGSL)
15.10.2025 17:33:39;52.1596;2.3216;70;431;496;23000;;FlightAware ADS-B(EGSL)
15.10.2025 17:34:09;52.1803;2.4149;70;431;496;23000;;FlightAware ADS-B(LCY / EGLC)
15.10.2025 17:34:39;52.2005;2.5061;71;431;496;23000;;FlightAware ADS-B(NWI / EGSH)
15.10.2025 17:35:09;52.2202;2.5958;71;431;496;23000;;FlightAware ADS-B(MHZ / EGUN)
15.10.2025 17:35:39;52.2409;2.6903;70;430;495;23000;;FlightAware ADS-B(CVT / EGBE)
15.10.2025 17:36:09;52.2612;2.7809;70;430;495;23000;;FlightAware ADS-B(EGCL)
15.10.2025 17:36:39;52.2807;2.8735;71;430;495;23000;-450;FlightAware ADS-B(EGHB)
15.10.2025 17:37:09;52.3004;2.9630;70;429;494;22550;-950;FlightAware ADS-B(OST / EBOS)
15.10.2025 17:37:39;52.3200;3.0537;71;433;498;22050;-1025;FlightAware ADS-B(EGSL)
