time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
16.10.2025 12:25:02;51.2762;6.7469;232;154;177;700;;FlightAware MLAT(6 sites)
16.10.2025 12:25:02;51.2762;6.7469;232;154;177;700;2763;FlightAware MLAT(6 sites)
16.10.2025 12:25:21;51.2672;6.7287;235;164;189;1575;2542;FlightAware MLAT(10 sites)
16.10.2025 12:25:38;51.2598;6.7110;234;184;212;2225;2545;FlightAware MLAT(19 sites)
16.10.2025 12:25:54;51.2528;6.6923;234;184;212;2975;2727;FlightAware MLAT(7 sites)
16.10.2025 12:26:22;51.2360;6.6585;236;196;226;4225;2625;FlightAware MLAT(13 sites)
16.10.2025 12:26:38;51.2288;6.6378;232;196;226;4900;2614;FlightAware MLAT(9 sites)
16.10.2025 12:26:57;51.2387;6.6075;298;204;235;5750;2780;FlightAware MLAT(10 sites)
16.10.2025 12:27:19;51.2450;6.5761;246;230;265;6800;3077;FlightAware MLAT(10 sites)
16.10.2025 12:27:36;51.2340;6.5508;232;240;276;7750;2956;FlightAware MLAT(11 sites)
16.10.2025 12:27:53;51.2313;6.5258;230;256;295;8475;2515;FlightAware MLAT(12 sites)
16.10.2025 12:28:10;51.2240;6.5021;230;272;313;9175;2654;FlightAware MLAT(5 sites)
16.10.2025 12:28:45;51.1934;6.4407;233;302;348;10775;2850;FlightAware MLAT(9 sites)
16.10.2025 12:29:10;51.1624;6.3959;234;328;377;12025;3080;FlightAware MLAT(10 sites)
16.10.2025 12:29:41;51.1285;6.3341;233;354;407;13650;3460;FlightAware MLAT(8 sites)
16.10.2025 12:30:12;51.0971;6.2707;234;364;419;15600;3811;FlightAware MLAT(4 sites)
16.10.2025 12:30:42;51.0684;6.2041;234;372;428;17525;3702;FlightAware MLAT(8 sites)
16.10.2025 12:31:14;51.0364;6.1306;234;382;440;19425;3070;FlightAware MLAT(14 sites)
16.10.2025 12:31:46;51.0003;6.0600;216;402;463;20800;2640;FlightAware MLAT(5 sites)
16.10.2025 12:32:04;50.9733;6.0277;212;406;467;21625;2224;FlightAware MLAT(9 sites)
16.10.2025 12:32:44;50.9041;5.9701;207;432;497;22950;2049;FlightAware MLAT(10 sites)
16.10.2025 12:33:15;50.8457;5.9278;208;446;513;24050;2311;FlightAware MLAT(11 sites)
16.10.2025 12:33:45;50.7894;5.8802;209;450;518;25300;2468;FlightAware MLAT(10 sites)
16.10.2025 12:34:17;50.7313;5.8311;209;452;520;26600;2500;FlightAware MLAT(5 sites)
16.10.2025 12:34:48;50.6740;5.7796;209;452;520;27925;2016;FlightAware MLAT(4 sites)
16.10.2025 12:35:18;50.6179;5.7355;209;462;532;28650;1500;FlightAware MLAT(5 sites)
16.10.2025 12:35:49;50.5611;5.6855;210;470;541;29450;1525;FlightAware MLAT(10 sites)
16.10.2025 12:36:19;50.5036;5.6332;209;476;548;30200;1525;FlightAware MLAT(4 sites)
16.10.2025 12:36:50;50.4432;5.5793;209;478;550;31000;1500;FlightAware MLAT(11 sites)
16.10.2025 12:37:20;50.3852;5.5306;209;480;552;31725;1525;FlightAware MLAT(10 sites)
16.10.2025 12:37:50;50.3272;5.4808;215;480;552;32525;1500;FlightAware MLAT(10 sites)
16.10.2025 12:38:15;50.2870;5.4239;230;476;548;33100;1474;FlightAware MLAT(10 sites)
16.10.2025 12:38:47;50.2391;5.3491;240;472;543;33925;1531;FlightAware MLAT(4 sites)
16.10.2025 12:39:04;50.2292;5.2845;242;470;541;34350;1286;FlightAware MLAT(6 sites)
16.10.2025 12:39:36;50.1987;5.1825;243;472;543;34975;619;FlightAware MLAT(4 sites)
16.10.2025 12:40:07;50.1669;5.0886;242;478;550;35000;23;FlightAware MLAT(13 sites)
16.10.2025 12:40:40;50.1324;4.9911;243;474;545;35000;;FlightAware MLAT(4 sites)
16.10.2025 12:41:10;50.1025;4.8994;243;474;545;35000;;FlightAware MLAT(12 sites)
16.10.2025 12:41:41;50.0712;4.8053;243;472;543;35000;;FlightAware MLAT(12 sites)
16.10.2025 12:42:13;50.0398;4.7104;243;472;543;35000;;FlightAware MLAT(12 sites)
16.10.2025 12:42:47;50.0056;4.6082;242;470;541;35000;;FlightAware MLAT(6 sites)
16.10.2025 12:43:18;49.9733;4.5155;242;470;541;35000;;FlightAware MLAT(8 sites)
16.10.2025 12:43:51;49.9413;4.4168;242;470;541;35000;;FlightAware MLAT(7 sites)
16.10.2025 12:44:21;49.9092;4.3254;242;470;541;35000;;FlightAware MLAT(6 sites)
16.10.2025 12:44:51;49.8800;4.2374;243;470;541;35000;;FlightAware MLAT(13 sites)
16.10.2025 12:45:22;49.8502;4.1458;242;470;541;35000;;FlightAware MLAT(10 sites)
16.10.2025 12:45:54;49.8156;4.0515;242;470;541;35000;;FlightAware MLAT(5 sites)
16.10.2025 12:46:23;49.7886;3.9637;247;468;539;35000;;FlightAware MLAT(13 sites)
16.10.2025 12:46:53;49.7636;3.8731;247;468;539;35000;;FlightAware MLAT(6 sites)
16.10.2025 12:47:23;49.7386;3.7773;246;468;539;35000;;FlightAware MLAT(10 sites)
16.10.2025 12:47:55;49.7110;3.6825;246;468;539;35000;;FlightAware MLAT(11 sites)
16.10.2025 12:48:26;49.6845;3.5893;246;468;539;35000;;FlightAware MLAT(5 sites)
16.10.2025 12:48:58;49.6562;3.4922;246;468;539;35000;;FlightAware MLAT(5 sites)
16.10.2025 12:49:28;49.6293;3.4007;246;468;539;35000;;FlightAware MLAT(10 sites)
16.10.2025 12:49:59;49.6029;3.3052;246;468;539;35000;;FlightAware MLAT(10 sites)
16.10.2025 12:50:31;49.5742;3.2080;246;468;539;35000;;FlightAware MLAT(8 sites)
16.10.2025 12:51:02;49.5480;3.1159;246;468;539;35000;;FlightAware MLAT(16 sites)
16.10.2025 12:51:32;49.5216;3.0220;246;468;539;35000;;FlightAware MLAT(12 sites)
16.10.2025 12:52:04;49.4929;2.9240;246;468;539;35000;;FlightAware MLAT(5 sites)
16.10.2025 12:52:36;49.4646;2.8285;246;470;541;35000;;FlightAware MLAT(10 sites)
16.10.2025 12:53:08;49.4365;2.7322;246;470;541;35000;;FlightAware MLAT(5 sites)
16.10.2025 12:53:38;49.4098;2.6398;246;470;541;35000;;FlightAware MLAT(8 sites)
16.10.2025 12:54:10;49.3820;2.5423;251;468;539;35000;;FlightAware MLAT(5 sites)
16.10.2025 12:54:40;49.3640;2.4482;250;468;539;35000;;FlightAware MLAT(14 sites)
16.10.2025 12:55:11;49.3410;2.3513;249;468;539;35000;;FlightAware MLAT(4 sites)
16.10.2025 12:55:41;49.3180;2.2572;249;468;539;35000;;FlightAware MLAT(9 sites)
16.10.2025 12:56:13;49.2924;2.1604;249;468;539;35000;;FlightAware MLAT(10 sites)
16.10.2025 12:56:43;49.2699;2.0674;249;468;539;35000;;FlightAware MLAT(4 sites)
16.10.2025 12:57:14;49.2480;1.9734;249;468;539;35000;;FlightAware MLAT(10 sites)
