time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
16.10.2025 15:30:30;47.7640;-3.4243;71;119;137;1425;;FlightAware ADS-B(LRT / LFRH)
16.10.2025 15:30:50;47.7685;-3.4087;56;123;142;2550;3000;FlightAware ADS-B(LRT / LFRH)
16.10.2025 15:31:20;47.7787;-3.3865;58;145;167;3925;2631;FlightAware ADS-B(LRT / LFRH)
16.10.2025 15:31:51;47.7906;-3.3580;57;178;205;5225;2649;FlightAware ADS-B(JER / EGJJ)
16.10.2025 15:32:07;47.7988;-3.3401;56;195;224;6000;2707;FlightAware ADS-B(BES / LFRB)
16.10.2025 15:32:37;47.8154;-3.3025;57;235;270;7300;2650;FlightAware ADS-B(JER / EGJJ)
16.10.2025 15:33:07;47.8345;-3.2589;57;267;307;8650;3060;FlightAware ADS-B(BES / LFRB)
16.10.2025 15:33:52;47.8668;-3.1862;57;303;349;11125;3360;FlightAware ADS-B(BIC / LFEA)
16.10.2025 15:34:22;47.8912;-3.1308;57;333;383;12850;3383;FlightAware ADS-B(BIC / LFEA)
16.10.2025 15:34:39;47.9055;-3.0986;54;350;403;13775;3500;FlightAware ADS-B(RNS / LFRN)
16.10.2025 15:34:55;47.9231;-3.0688;45;362;417;14775;3978;FlightAware ADS-B(SNR / LFRZ)
16.10.2025 15:35:25;47.9621;-3.0162;41;376;433;16825;3225;FlightAware ADS-B(MXN / LFRU)
16.10.2025 15:35:55;48.0014;-2.9669;40;388;447;18000;1925;FlightAware ADS-B(LFFO)
16.10.2025 15:36:25;48.0439;-2.9139;40;391;450;18750;1000;FlightAware ADS-B(SNR / LFRZ)
16.10.2025 15:36:55;48.0853;-2.8602;42;400;460;19000;250;FlightAware ADS-B(GCI / EGJB)
16.10.2025 15:37:25;48.1277;-2.8047;41;403;464;19000;;FlightAware ADS-B(RNS / LFRN)
16.10.2025 15:37:57;48.1716;-2.7474;41;397;457;19000;;FlightAware ADS-B(GCI / EGJB)
16.10.2025 15:38:27;48.2127;-2.6931;42;383;441;19000;;FlightAware ADS-B(LFED)
16.10.2025 15:38:58;48.2539;-2.6386;41;389;448;19000;;FlightAware ADS-B(CFR / LFRK)
16.10.2025 15:39:28;48.2939;-2.5854;42;392;451;19000;;FlightAware ADS-B(RNS / LFRN)
16.10.2025 15:39:58;48.3341;-2.5318;42;384;442;19000;;FlightAware ADS-B(RNS / LFRN)
16.10.2025 15:40:28;48.3756;-2.4765;41;377;434;19000;;FlightAware ADS-B(JER / EGJJ)
16.10.2025 15:40:48;48.4011;-2.4425;43;374;430;19000;;FlightAware ADS-B(LFEB)
16.10.2025 15:41:32;48.4388;-2.3502;63;365;420;19000;;FlightAware ADS-B(LFOG)
16.10.2025 15:42:02;48.4617;-2.2827;62;370;426;19000;;FlightAware ADS-B(MXN / LFRU)
16.10.2025 15:42:33;48.4867;-2.2109;63;381;438;19000;-32;FlightAware ADS-B(LFAO)
16.10.2025 15:42:49;48.5019;-2.1733;51;387;445;18975;;FlightAware ADS-B(LFOM)
16.10.2025 15:43:16;48.5383;-2.1248;37;386;444;19000;26;FlightAware ADS-B(BRS / EGGD)
16.10.2025 15:43:46;48.5810;-2.0811;33;384;442;19000;;FlightAware ADS-B(LFED)
16.10.2025 15:44:16;48.6261;-2.0382;32;381;438;19000;;FlightAware ADS-B(RNS / LFRN)
16.10.2025 15:44:46;48.6704;-1.9950;33;379;436;19000;;FlightAware ADS-B(RNS / LFRN)
16.10.2025 15:45:16;48.7137;-1.9503;39;376;433;19000;450;FlightAware ADS-B(JER / EGJJ)
16.10.2025 15:45:36;48.7376;-1.9123;50;378;435;19375;2730;FlightAware ADS-B(EGUV)
16.10.2025 15:46:06;48.7717;-1.8503;50;382;440;21275;3775;FlightAware ADS-B(BES / LFRB)
16.10.2025 15:46:36;48.8046;-1.7895;51;382;440;23150;3600;FlightAware ADS-B(EXT / EGTE)
16.10.2025 15:47:06;48.8386;-1.7265;51;385;443;24875;2900;FlightAware ADS-B(LFOG)
16.10.2025 15:47:36;48.8733;-1.6612;52;400;460;26050;2225;FlightAware ADS-B(YEO / EGDY)
16.10.2025 15:48:06;48.9083;-1.5949;51;412;474;27100;2000;FlightAware ADS-B(HYC / EGTB)
16.10.2025 15:48:36;48.9434;-1.5272;52;422;486;28050;1725;FlightAware ADS-B(RNS / LFRN)
16.10.2025 15:49:06;48.9811;-1.4534;53;434;499;28825;1102;FlightAware ADS-B(RNS / LFRN)
16.10.2025 15:49:25;49.0044;-1.4054;57;449;517;28950;811;FlightAware ADS-B(LFEB)
