time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
18.10.2025 17:15:17;37.3194;30.9097;347;426;490;24625;;FlightAware MLAT(7 sites)
18.10.2025 17:15:47;37.3775;30.8931;347;428;493;25675;2273;FlightAware MLAT(8 sites)
18.10.2025 17:16:21;37.4441;30.8735;347;434;499;27050;1985;FlightAware MLAT(5 sites)
18.10.2025 17:16:52;37.5057;30.8561;347;440;506;27825;1402;FlightAware MLAT(7 sites)
18.10.2025 17:17:22;37.5670;30.8378;347;454;522;28475;1500;FlightAware MLAT(6 sites)
18.10.2025 17:17:53;37.6302;30.8127;340;454;522;29350;1427;FlightAware MLAT(7 sites)
18.10.2025 17:18:24;37.6893;30.7810;336;456;525;29950;1402;FlightAware MLAT(8 sites)
18.10.2025 17:18:54;37.7488;30.7498;337;456;525;30775;1625;FlightAware MLAT(8 sites)
18.10.2025 17:19:24;37.8053;30.7188;336;454;522;31575;1700;FlightAware MLAT(4 sites)
18.10.2025 17:19:54;37.8642;30.6866;336;452;520;32475;1775;FlightAware MLAT(7 sites)
18.10.2025 17:20:24;37.9208;30.6553;336;448;516;33350;1714;FlightAware MLAT(7 sites)
18.10.2025 17:20:57;37.9827;30.6212;336;444;511;34275;1615;FlightAware MLAT(5 sites)
18.10.2025 17:21:29;38.0426;30.5882;336;442;509;35100;1636;FlightAware MLAT(7 sites)
18.10.2025 17:22:03;38.1061;30.5534;336;438;504;36075;1664;FlightAware MLAT(4 sites)
18.10.2025 17:22:33;38.1619;30.5225;336;436;502;36875;1282;FlightAware MLAT(5 sites)
18.10.2025 17:23:05;38.2212;30.4897;336;438;504;37400;1065;FlightAware MLAT(4 sites)
18.10.2025 17:23:35;38.2766;30.4597;336;438;504;37975;1038;FlightAware MLAT(6 sites)
18.10.2025 17:24:10;38.3416;30.4234;336;438;504;38525;969;FlightAware MLAT(5 sites)
18.10.2025 17:24:40;38.3968;30.3929;336;438;504;39025;1082;FlightAware MLAT(5 sites)
