time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
20.10.2025 11:11:49;50.8558;7.1418;140;146;168;1125;;FlightAware ADS-B(CGN / EDDK)
20.10.2025 11:12:05;50.8487;7.1525;134;146;168;1950;2859;FlightAware ADS-B(EDKB)
20.10.2025 11:12:21;50.8405;7.1665;131;157;181;2650;2344;FlightAware ADS-B(CGN / EDDK)
20.10.2025 11:12:37;50.8318;7.1823;131;179;206;3200;2344;FlightAware ADS-B(CGN / EDDK)
20.10.2025 11:12:53;50.8233;7.1977;131;183;211;3900;2906;FlightAware ADS-B(MGL / EDLN)
20.10.2025 11:13:09;50.8149;7.2166;117;195;224;4750;2813;FlightAware ADS-B(CGN / EDDK)
20.10.2025 11:13:25;50.8108;7.2380;102;211;243;5400;2438;FlightAware ADS-B(EDKL)
20.10.2025 11:13:49;50.8079;7.2775;95;234;269;6375;2472;FlightAware ADS-B(DTM / EDLW)
20.10.2025 11:14:19;50.8053;7.3298;95;262;302;7625;2500;FlightAware ADS-B(DUS / EDDL)
20.10.2025 11:14:37;50.8030;7.3650;97;277;319;8375;2563;FlightAware ADS-B(GKE / ETNG)
20.10.2025 11:15:07;50.7975;7.4292;99;306;352;9675;2531;FlightAware ADS-B(CGN / EDDK)
20.10.2025 11:15:25;50.7901;7.4682;111;316;364;10400;2500;FlightAware ADS-B(CGN / EDDK)
20.10.2025 11:16:10;50.7592;7.5687;116;360;414;12300;2520;FlightAware ADS-B(EDRW)
20.10.2025 11:16:40;50.7380;7.6392;115;388;447;13550;2730;FlightAware ADS-B(EDKB)
20.10.2025 11:17:11;50.7131;7.7250;115;404;465;15075;3221;FlightAware ADS-B(EDGB)
20.10.2025 11:17:41;50.6885;7.8079;115;411;473;16825;3425;FlightAware ADS-B(CGN / EDDK)
20.10.2025 11:18:11;50.6649;7.8876;115;416;479;18500;3400;FlightAware ADS-B(EDVG)
20.10.2025 11:18:41;50.6409;7.9686;115;415;478;20225;3075;FlightAware ADS-B(EDLI)
20.10.2025 11:19:11;50.6162;8.0511;115;422;486;21575;2550;FlightAware ADS-B(DTM / EDLW)
20.10.2025 11:19:41;50.5921;8.1318;115;432;497;22775;2250;FlightAware ADS-B(CGN / EDDK)
20.10.2025 11:20:11;50.5658;8.2192;116;440;506;23825;2125;FlightAware ADS-B(QEF / EDFE)
20.10.2025 11:20:41;50.5392;8.3074;115;446;513;24900;2050;FlightAware ADS-B(EDFG)
20.10.2025 11:21:11;50.5124;8.3964;115;452;520;25875;1925;FlightAware ADS-B(EDLZ)
