time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
20.10.2025 14:20:16;42.4406;14.1923;37;164;189;675;;FlightAware ADS-B(PSR / LIBP)
20.10.2025 14:20:32;42.4511;14.2032;38;172;198;1625;3750;FlightAware ADS-B(PSR / LIBP)
20.10.2025 14:20:48;42.4613;14.2145;38;177;204;2675;3429;FlightAware ADS-B(PSR / LIBP)
20.10.2025 14:21:07;42.4775;14.2192;351;197;227;3625;2716;FlightAware ADS-B(PSR / LIBP)
20.10.2025 14:21:25;42.4920;14.2119;332;216;249;4350;2455;FlightAware ADS-B(PSR / LIBP)
20.10.2025 14:21:51;42.5155;14.1908;324;247;284;5425;2652;FlightAware ADS-B(PSR / LIBP)
20.10.2025 14:22:21;42.5475;14.1619;327;277;319;6825;3075;FlightAware ADS-B(PSR / LIBP)
20.10.2025 14:22:51;42.5791;14.1334;326;291;335;8500;3480;FlightAware ADS-B(PSR / LIBP)
20.10.2025 14:23:36;42.6323;14.0840;326;320;368;11175;3789;FlightAware ADS-B(AOI / LIPY)
20.10.2025 14:24:07;42.6714;14.0486;326;335;386;13300;4010;FlightAware ADS-B(FOG / LIBF)
20.10.2025 14:24:28;42.6973;14.0254;330;352;405;14650;4024;FlightAware ADS-B(FCO / LIRF)
20.10.2025 14:24:48;42.7278;14.0046;335;363;418;16050;4110;FlightAware ADS-B(SPU / LDSP)
20.10.2025 14:25:18;42.7748;13.9775;337;374;430;18075;3700;FlightAware ADS-B(FCO / LIRF)
20.10.2025 14:25:48;42.8240;13.9481;335;390;449;19750;3200;FlightAware ADS-B(AOI / LIPY)
20.10.2025 14:26:18;42.8742;13.9162;335;403;464;21275;3075;FlightAware ADS-B(FCO / LIRF)
20.10.2025 14:26:48;42.9257;13.8845;336;410;472;22825;3050;FlightAware ADS-B(FCO / LIRF)
20.10.2025 14:27:18;42.9777;13.8524;336;412;474;24325;2975;FlightAware ADS-B(FCO / LIRF)
20.10.2025 14:27:48;43.0284;13.8209;336;412;474;25800;3050;FlightAware ADS-B(ZAD / LDZD)
20.10.2025 14:28:18;43.0816;13.7876;336;410;472;27375;3125;FlightAware ADS-B(CIA / LIRA)
20.10.2025 14:28:48;43.1320;13.7565;336;405;466;28925;2550;FlightAware ADS-B(PSR / LIBP)
20.10.2025 14:29:18;43.1838;13.7239;334;412;474;29925;1724;FlightAware ADS-B(PSR / LIBP)
20.10.2025 14:29:55;43.2460;13.6805;332;424;488;30850;1500;FlightAware ADS-B(LIQQ)
20.10.2025 14:30:25;43.2998;13.6424;333;432;497;31600;1475;FlightAware ADS-B(PSR / LIBP)
20.10.2025 14:30:55;43.3527;13.6057;333;439;505;32325;1475;FlightAware ADS-B(LIPC)
20.10.2025 14:31:25;43.4090;13.5659;333;444;511;33075;1475;FlightAware ADS-B(AOI / LIPY)
20.10.2025 14:31:55;43.4625;13.5279;333;448;516;33800;1450;FlightAware ADS-B(AOI / LIPY)
20.10.2025 14:32:25;43.5174;13.4890;333;449;517;34525;1675;FlightAware ADS-B(PMF / LIMP)
20.10.2025 14:32:55;43.5723;13.4505;333;444;511;35475;1875;FlightAware ADS-B(PUY / LDPL)
20.10.2025 14:33:25;43.6290;13.4098;333;437;503;36400;1850;FlightAware ADS-B(PSR / LIBP)
20.10.2025 14:33:55;43.6809;13.3729;333;433;498;37325;1625;FlightAware ADS-B(PUY / LDPL)
20.10.2025 14:34:25;43.7355;13.3339;332;433;498;38025;1325;FlightAware ADS-B(PSR / LIBP)
20.10.2025 14:34:55;43.7882;13.2963;333;434;499;38650;1250;FlightAware ADS-B(LINA)
20.10.2025 14:35:25;43.8413;13.2582;333;433;498;39275;1275;FlightAware ADS-B(LIQQ)
20.10.2025 14:35:55;43.8948;13.2198;332;430;495;39925;1275;FlightAware ADS-B(AOI / LIPY)
20.10.2025 14:36:25;43.9464;13.1826;332;427;491;40550;1275;FlightAware ADS-B(AOI / LIPY)
