time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
21.10.2025 11:44:25;51.3175;0.0225;204;143;165;1276;;FlightAware ADS-B(BQH / EGKB)
21.10.2025 11:44:41;51.3091;0.0136;235;155;178;1926;1922;FlightAware ADS-B(BQH / EGKB)
21.10.2025 11:44:57;51.3079;-0.0040;286;160;184;2301;1219;FlightAware ADS-B(EGKR)
21.10.2025 11:45:13;51.3167;-0.0174;340;176;203;2576;844;FlightAware ADS-B(LCY / EGLC)
21.10.2025 11:45:29;51.3309;-0.0154;23;199;229;2751;656;FlightAware ADS-B(EGTF)
21.10.2025 11:45:45;51.3402;0.0013;69;208;239;2926;516;FlightAware ADS-B(LHR / EGLL)
21.10.2025 11:46:01;51.3402;0.0253;103;209;241;3026;94;FlightAware ADS-B(LHR / EGLL)
21.10.2025 11:46:17;51.3359;0.0507;104;217;250;2976;-47;FlightAware ADS-B(BQH / EGKB)
21.10.2025 11:46:33;51.3329;0.0771;97;219;252;3001;47;FlightAware ADS-B(LGW / EGKK)
21.10.2025 11:46:49;51.3314;0.1002;96;219;252;3001;;FlightAware ADS-B(ESH / EGKA)
21.10.2025 11:47:05;51.3297;0.1268;96;221;254;3001;34;FlightAware ADS-B(LHR / EGLL)
21.10.2025 11:47:33;51.3266;0.1741;96;221;254;3026;569;FlightAware ADS-B(RCS / EGTO)
21.10.2025 11:48:03;51.3239;0.2225;95;224;258;3551;1175;FlightAware ADS-B(LCY / EGLC)
21.10.2025 11:48:33;51.3209;0.2722;96;243;280;4201;1356;FlightAware ADS-B(RCS / EGTO)
21.10.2025 11:48:55;51.3186;0.3076;97;260;299;4726;1133;FlightAware ADS-B(EGSG)
21.10.2025 11:49:18;51.3116;0.3561;105;283;326;5051;2406;FlightAware ADS-B(OXF / EGTK)
21.10.2025 11:49:48;51.3002;0.4227;106;296;341;6851;3325;FlightAware ADS-B(EGSQ)
21.10.2025 11:50:18;51.2892;0.4834;106;307;353;8376;3156;FlightAware ADS-B(EGLW)
21.10.2025 11:50:36;51.2822;0.5230;106;311;358;9376;3794;FlightAware ADS-B(EGSQ)
21.10.2025 11:50:52;51.2758;0.5593;106;315;362;10526;3659;FlightAware ADS-B(RCS / EGTO)
21.10.2025 11:51:17;51.2655;0.6151;107;333;383;11876;2850;FlightAware ADS-B(RCS / EGTO)
21.10.2025 11:52:02;51.2426;0.7322;107;385;443;13851;2861;FlightAware ADS-B(EGMA)
21.10.2025 11:52:32;51.2266;0.8163;107;407;468;15452;2726;FlightAware ADS-B(SEN / EGMC)
21.10.2025 11:53:02;51.2112;0.8958;107;431;496;16577;2848;FlightAware ADS-B(EGSG)
21.10.2025 11:53:32;51.1919;0.9961;107;448;516;18300;3081;FlightAware ADS-B(LHR / EGLL)
21.10.2025 11:54:15;51.1672;1.1337;104;464;534;20325;2877;FlightAware ADS-B(EGMT)
21.10.2025 11:54:45;51.1523;1.2334;103;466;536;21800;3025;FlightAware ADS-B(EGKH)
21.10.2025 11:55:15;51.1368;1.3361;103;466;536;23350;3025;FlightAware ADS-B(BRU / EBBR)
21.10.2025 11:55:45;51.1225;1.4338;103;464;534;24825;3033;FlightAware ADS-B(EGUV)
21.10.2025 11:56:01;51.1143;1.4901;103;462;532;25675;2635;FlightAware ADS-B(EGSQ)
21.10.2025 11:56:59;51.0871;1.6765;103;466;536;28075;2131;FlightAware ADS-B(LHR / EGLL)
21.10.2025 11:57:29;51.0720;1.7790;104;478;550;28800;1525;FlightAware ADS-B(EGWN)
21.10.2025 11:57:59;51.0563;1.8813;104;487;560;29600;1675;FlightAware ADS-B(AMS / EHAM)
21.10.2025 11:58:29;51.0401;1.9865;104;491;565;30475;1925;FlightAware ADS-B(EGTR)
21.10.2025 11:58:59;51.0239;2.0933;104;492;566;31525;1766;FlightAware ADS-B(EGTR)
21.10.2025 11:59:31;51.0073;2.2054;104;497;572;32300;1476;FlightAware ADS-B(EGHR)
21.10.2025 12:00:02;50.9823;2.3101;113;499;574;33075;1475;FlightAware ADS-B(ESH / EGKA)
21.10.2025 12:00:32;50.9535;2.4114;114;501;577;33800;1500;FlightAware ADS-B(SEN / EGMC)
21.10.2025 12:00:52;50.9343;2.4798;116;502;578;34325;1476;FlightAware ADS-B(EGBG)
21.10.2025 12:01:34;50.8878;2.6101;121;498;573;35325;1438;FlightAware ADS-B(OST / EBOS)
21.10.2025 12:02:04;50.8533;2.7036;120;497;572;36050;1475;FlightAware ADS-B(BRU / EBBR)
21.10.2025 12:02:34;50.8194;2.7985;120;492;566;36800;1475;FlightAware ADS-B(EGCL)
21.10.2025 12:03:04;50.7853;2.8920;120;488;562;37525;1450;FlightAware ADS-B(EGLM)
21.10.2025 12:03:34;50.7520;2.9832;120;482;555;38250;1473;FlightAware ADS-B(EGKH)
21.10.2025 12:04:00;50.7229;3.0630;120;477;549;38900;1443;FlightAware ADS-B(HUY / EGNJ)
21.10.2025 12:04:53;50.6655;3.2191;120;463;533;40150;1446;FlightAware ADS-B(GLZ / EHGR)
21.10.2025 12:05:23;50.6329;3.3072;120;455;524;40900;1100;FlightAware ADS-B(KJK / EBKT)
21.10.2025 12:05:53;50.6017;3.3917;120;456;525;41250;575;FlightAware ADS-B(EGVP)
21.10.2025 12:06:23;50.5700;3.4765;120;459;528;41475;475;FlightAware ADS-B(LGG / EBLG)
21.10.2025 12:06:53;50.5374;3.5640;120;462;532;41725;500;FlightAware ADS-B(ANR / EBAW)
21.10.2025 12:07:14;50.5148;3.6248;121;464;534;41900;471;FlightAware ADS-B(LYX / EGMD)
21.10.2025 12:07:44;50.4818;3.7122;121;466;536;42125;369;FlightAware ADS-B(WOE / EHWO)
21.10.2025 12:08:15;50.4481;3.8019;121;469;540;42275;246;FlightAware ADS-B(RCS / EGTO)
21.10.2025 12:08:45;50.4149;3.8900;121;473;544;42375;200;FlightAware ADS-B(CGN / EDDK)
21.10.2025 12:09:15;50.3809;3.9792;121;479;551;42475;170;FlightAware ADS-B(LFPV)
21.10.2025 12:09:38;50.3555;4.0459;121;482;555;42525;158;FlightAware ADS-B(ORY / LFPO)
21.10.2025 12:10:12;50.3169;4.1480;121;486;559;42625;188;FlightAware ADS-B(LGG / EBLG)
21.10.2025 12:10:42;50.2812;4.2407;121;489;563;42725;175;FlightAware ADS-B(EBGG)
21.10.2025 12:11:12;50.2471;4.3291;121;492;566;42800;175;FlightAware ADS-B(MST / EHBK)
21.10.2025 12:11:42;50.2126;4.4192;121;494;568;42900;225;FlightAware ADS-B(CRL / EBCI)
21.10.2025 12:12:12;50.1766;4.5117;121;495;570;43025;250;FlightAware ADS-B(EIN / EHEH)
21.10.2025 12:12:42;50.1424;4.6001;121;495;570;43150;275;FlightAware ADS-B(EGUV)
21.10.2025 12:13:12;50.1052;4.6956;121;496;571;43300;275;FlightAware ADS-B(EDXE)
21.10.2025 12:13:42;50.0700;4.7853;121;495;570;43425;250;FlightAware ADS-B(MZM / LFSF)
21.10.2025 12:14:12;50.0344;4.8762;121;495;570;43550;269;FlightAware ADS-B(MST / EHBK)
21.10.2025 12:14:49;49.9899;4.9891;121;494;568;43725;269;FlightAware ADS-B(CSF / LFPC)
21.10.2025 12:15:19;49.9556;5.0758;122;493;567;43850;287;FlightAware ADS-B(ANR / EBAW)
21.10.2025 12:15:36;49.9339;5.1305;122;493;567;43950;287;FlightAware ADS-B(MGL / EDLN)
21.10.2025 12:16:06;49.8982;5.2203;122;491;565;44075;261;FlightAware ADS-B(EBDT)
21.10.2025 12:16:22;49.8783;5.2699;122;492;566;44150;255;FlightAware ADS-B(SCN / EDDR)
21.10.2025 12:16:59;49.8353;5.3780;122;490;564;44300;269;FlightAware ADS-B(STR / EDDS)
21.10.2025 12:17:29;49.7997;5.4663;122;489;563;44450;275;FlightAware ADS-B(ENS / EHTW)
21.10.2025 12:17:59;49.7650;5.5525;122;487;560;44575;275;FlightAware ADS-B(DTM / EDLW)
21.10.2025 12:18:29;49.7285;5.6430;122;485;558;44725;273;FlightAware ADS-B(LUX / ELLX)
21.10.2025 12:18:54;49.6992;5.7149;122;484;557;44825;273;FlightAware ADS-B(EDLS)
21.10.2025 12:19:24;49.6633;5.8036;122;482;555;44975;175;FlightAware ADS-B(ETNN)
21.10.2025 12:19:54;49.6285;5.8892;122;483;556;45000;25;FlightAware ADS-B(ENS / EHTW)
21.10.2025 12:20:24;49.5942;5.9725;122;485;558;45000;;FlightAware ADS-B(MST / EHBK)
21.10.2025 12:20:54;49.5556;6.0666;122;486;559;45000;;FlightAware ADS-B(EBAV)
21.10.2025 12:21:24;49.5201;6.1531;123;486;559;45000;;FlightAware ADS-B(LGG / EBLG)
21.10.2025 12:21:54;49.4842;6.2396;122;487;560;45000;;FlightAware ADS-B(EBTY)
21.10.2025 12:22:24;49.4473;6.3289;122;489;563;45000;;FlightAware ADS-B(LUX / ELLX)
21.10.2025 12:22:54;49.4123;6.4128;123;488;562;45000;;FlightAware ADS-B(EBBY)
21.10.2025 12:23:24;49.3743;6.5035;123;489;563;45000;;FlightAware ADS-B(QEF / EDFE)
21.10.2025 12:23:54;49.3384;6.5898;123;489;563;45000;-25;FlightAware ADS-B(EDGB)
21.10.2025 12:24:24;49.3017;6.6769;123;489;563;44975;-25;FlightAware ADS-B(LUX / ELLX)
21.10.2025 12:24:54;49.2652;6.7641;123;489;563;44975;;FlightAware ADS-B(LUX / ELLX)
21.10.2025 12:25:24;49.2288;6.8493;123;488;562;44975;25;FlightAware ADS-B(RMS / ETAR)
21.10.2025 12:25:54;49.1915;6.9372;123;487;560;45000;25;FlightAware ADS-B(LUX / ELLX)
21.10.2025 12:26:24;49.1539;7.0258;123;488;562;45000;;FlightAware ADS-B(EDKV)
21.10.2025 12:26:54;49.1175;7.1110;123;489;563;45000;;FlightAware ADS-B(DUS / EDDL)
21.10.2025 12:27:24;49.0820;7.1939;123;488;562;45000;;FlightAware ADS-B(FKB / EDSB)
21.10.2025 12:27:54;49.0438;7.2829;123;489;563;45000;;FlightAware ADS-B(AGB / EDMA)
21.10.2025 12:28:24;49.0065;7.3689;123;489;563;45000;;FlightAware ADS-B(LFGC)
21.10.2025 12:28:42;48.9834;7.4143;133;485;558;45000;;FlightAware ADS-B(EDNE)
21.10.2025 12:29:06;48.9431;7.4675;144;480;552;45000;;FlightAware ADS-B(EDFZ)
21.10.2025 12:29:40;48.8779;7.5318;149;479;551;45000;;FlightAware ADS-B(UTC / EHSB)
21.10.2025 12:30:10;48.8223;7.5826;149;479;551;45000;;FlightAware ADS-B(SCN / EDDR)
21.10.2025 12:30:33;48.7783;7.6242;148;481;554;45000;-37;FlightAware ADS-B(LFSH)
21.10.2025 12:30:51;48.7429;7.6577;148;481;554;44975;;FlightAware ADS-B(RMS / ETAR)
21.10.2025 12:31:10;48.7086;7.6898;148;480;552;45000;38;FlightAware ADS-B(EDTY)
21.10.2025 12:31:31;48.6689;7.7264;149;480;552;45000;;FlightAware ADS-B(EDTF)
21.10.2025 12:32:09;48.5973;7.7933;148;480;552;45000;;FlightAware ADS-B(EDSA)
21.10.2025 12:32:39;48.5402;7.8462;149;481;554;45000;;FlightAware ADS-B(ZQW / EDRZ)
21.10.2025 12:33:15;48.4727;7.9082;149;481;554;45000;-22;FlightAware ADS-B(FRA / EDDF)
21.10.2025 12:33:46;48.4148;7.9618;149;482;555;44975;;FlightAware ADS-B(FMM / EDJA)
21.10.2025 12:34:30;48.3313;8.0385;149;482;555;45000;;FlightAware ADS-B(EDEP)
21.10.2025 12:35:00;48.2724;8.0925;149;482;555;44975;;FlightAware ADS-B(FKB / EDSB)
21.10.2025 12:35:30;48.2172;8.1427;149;483;556;45000;25;FlightAware ADS-B(FKB / EDSB)
21.10.2025 12:36:00;48.1609;8.1940;149;482;555;45000;-25;FlightAware ADS-B(LIKH)
21.10.2025 12:36:30;48.1034;8.2463;149;482;555;44975;;FlightAware ADS-B(EDMI)
21.10.2025 12:37:00;48.0452;8.2990;149;482;555;45000;;FlightAware ADS-B(LSZI)
21.10.2025 12:37:30;47.9892;8.3495;149;482;555;44975;-25;FlightAware ADS-B(QEF / EDFE)
21.10.2025 12:38:00;47.9324;8.4007;149;482;555;44975;21;FlightAware ADS-B(LSME)
21.10.2025 12:38:41;47.8524;8.4726;149;483;556;45000;21;FlightAware ADS-B(LSPH)
21.10.2025 12:39:11;47.7956;8.5235;149;482;555;45000;;FlightAware ADS-B(SXB / LFST)
21.10.2025 12:39:41;47.7370;8.5757;149;481;554;45000;;FlightAware ADS-B(EDPR)
21.10.2025 12:40:11;47.6795;8.6269;149;480;552;45000;-25;FlightAware ADS-B(ZRH / LSZH)
21.10.2025 12:40:41;47.6233;8.6769;149;480;552;44975;;FlightAware ADS-B(FDH / EDNY)
21.10.2025 12:41:11;47.5667;8.7270;149;480;552;45000;25;FlightAware ADS-B(LSZP)
21.10.2025 12:41:41;47.5108;8.7766;149;481;554;45000;;FlightAware ADS-B(LSZI)
21.10.2025 12:42:11;47.4546;8.8260;149;482;555;45000;;FlightAware ADS-B(DIJ / LFSD)
21.10.2025 12:42:41;47.3972;8.8764;149;483;556;45000;;FlightAware ADS-B(ELNT)
21.10.2025 12:43:11;47.3393;8.9272;149;484;557;45000;;FlightAware ADS-B(EDSH)
21.10.2025 12:43:41;47.2799;8.9793;149;484;557;45000;;FlightAware ADS-B(STR / EDDS)
21.10.2025 12:44:11;47.2231;9.0288;149;483;556;45000;;FlightAware ADS-B(LSXB)
21.10.2025 12:44:41;47.1652;9.0792;149;482;555;45000;;FlightAware ADS-B(BXO / LSZC)
21.10.2025 12:45:11;47.1082;9.1289;149;481;554;45000;;FlightAware ADS-B(LIMB)
21.10.2025 12:45:41;47.0505;9.1785;150;479;551;45000;;FlightAware ADS-B(LSXB)
21.10.2025 12:46:11;46.9943;9.2275;149;478;550;45000;;FlightAware ADS-B(ZRH / LSZH)
21.10.2025 12:46:55;46.9110;9.2986;149;478;550;45000;;FlightAware ADS-B(ZRH / LSZH)
21.10.2025 12:47:25;46.8546;9.3478;149;477;549;45000;;FlightAware ADS-B(ZRH / LSZH)
21.10.2025 12:47:55;46.7977;9.3961;150;475;547;45000;;FlightAware ADS-B(LOIZ)
21.10.2025 12:48:25;46.7395;9.4457;150;473;544;45000;;FlightAware ADS-B(LSXB)
21.10.2025 12:48:56;46.6807;9.4960;150;474;545;45000;;FlightAware ADS-B(ZRH / LSZH)
21.10.2025 12:49:27;46.6218;9.5462;150;474;545;45000;;FlightAware ADS-B(ZRH / LSZH)
21.10.2025 12:49:57;46.5647;9.5945;150;474;545;45000;;FlightAware ADS-B(ZRH / LSZH)
21.10.2025 12:50:39;46.4849;9.6578;155;473;544;45000;;FlightAware ADS-B(ACH / LSZR)
21.10.2025 12:51:00;46.4435;9.6846;156;472;543;45000;;FlightAware ADS-B(LUG / LSZA)
21.10.2025 12:51:16;46.4112;9.7052;156;472;543;45000;;FlightAware ADS-B(EDMK)
21.10.2025 12:51:46;46.3537;9.7431;155;471;542;45000;;FlightAware ADS-B(LILE)
21.10.2025 12:52:16;46.2948;9.7825;155;472;543;45000;;FlightAware ADS-B(MXP / LIMC)
21.10.2025 12:52:46;46.2340;9.8224;156;472;543;45000;;FlightAware ADS-B(LSZP)
21.10.2025 12:53:16;46.1728;9.8627;155;474;545;45000;;FlightAware ADS-B(LSZP)
21.10.2025 12:53:36;46.1343;9.8850;160;470;541;45000;;FlightAware ADS-B(LSXB)
21.10.2025 12:53:57;46.0896;9.9071;162;469;540;45000;;FlightAware ADS-B(EDSR)
21.10.2025 12:54:27;46.0284;9.9366;161;469;540;45000;;FlightAware ADS-B(EDSR)
21.10.2025 12:54:57;45.9663;9.9683;160;521;600;45000;;FlightAware ADS-B(LSPA)
21.10.2025 12:55:47;45.8646;10.0195;161;471;542;45000;;FlightAware ADS-B(BGY / LIME)
21.10.2025 12:56:17;45.8050;10.0491;160;471;542;45000;;FlightAware ADS-B(EDMG)
21.10.2025 12:56:47;45.7412;10.0810;161;474;545;45000;;FlightAware ADS-B(LIN / LIML)
21.10.2025 12:57:17;45.6791;10.1122;161;475;547;45000;;FlightAware ADS-B(LIDT)
21.10.2025 12:57:47;45.6172;10.1428;161;475;547;45000;;FlightAware ADS-B(BZO / LIPB)
21.10.2025 12:58:17;45.5525;10.1751;160;478;550;45000;;FlightAware ADS-B(LIPC)
21.10.2025 12:58:47;45.4929;10.2045;161;477;549;45000;;FlightAware ADS-B(BLQ / LIPE)
21.10.2025 12:59:17;45.4297;10.2355;161;477;549;45000;;FlightAware ADS-B(BGY / LIME)
21.10.2025 12:59:47;45.3694;10.2655;161;478;550;45000;;FlightAware ADS-B(MXP / LIMC)
21.10.2025 13:00:17;45.3051;10.2969;161;478;550;45000;;FlightAware ADS-B(CEQ / LFMD)
21.10.2025 13:00:47;45.2417;10.3281;161;479;551;45000;;FlightAware ADS-B(BGY / LIME)
21.10.2025 13:01:17;45.1788;10.3588;161;481;554;45000;;FlightAware ADS-B(BGY / LIME)
21.10.2025 13:01:47;45.1166;10.3892;161;481;554;45000;;FlightAware ADS-B(LIKO)
21.10.2025 13:02:17;45.0540;10.4197;161;481;554;45000;;FlightAware ADS-B(BLX / LIDB)
21.10.2025 13:02:47;44.9887;10.4513;161;481;554;45000;;FlightAware ADS-B(VRN / LIPX)
21.10.2025 13:03:17;44.9266;10.4815;161;480;552;45000;;FlightAware ADS-B(LIDT)
21.10.2025 13:03:47;44.8639;10.5117;161;482;555;45000;;FlightAware ADS-B(BLX / LIDB)
21.10.2025 13:04:17;44.8029;10.5412;161;481;554;45000;;FlightAware ADS-B(BLQ / LIPE)
21.10.2025 13:04:48;44.7361;10.5733;161;481;554;45000;;FlightAware ADS-B(LIMB)
21.10.2025 13:05:18;44.6706;10.6047;161;480;552;45000;;FlightAware ADS-B(LIMA)
21.10.2025 13:05:48;44.6072;10.6351;161;480;552;45000;;FlightAware ADS-B(LIMA)
21.10.2025 13:06:18;44.5468;10.6638;161;481;554;45000;;FlightAware ADS-B(LILN)
21.10.2025 13:06:49;44.4797;10.6962;161;480;552;45000;;FlightAware ADS-B(LIMA)
21.10.2025 13:07:19;44.4208;10.7238;161;479;551;45000;;FlightAware ADS-B(LILN)
21.10.2025 13:07:49;44.3562;10.7552;161;477;549;45000;;FlightAware ADS-B(GOA / LIMJ)
21.10.2025 13:08:19;44.2950;10.7843;161;476;548;45000;;FlightAware ADS-B(AVB / LIPA)
21.10.2025 13:08:49;44.2325;10.8141;162;477;549;45000;;FlightAware ADS-B(LILE)
21.10.2025 13:09:19;44.1692;10.8443;161;476;548;45000;;FlightAware ADS-B(BGY / LIME)
21.10.2025 13:09:49;44.1085;10.8735;161;476;548;45000;;FlightAware ADS-B(LIRG)
21.10.2025 13:10:19;44.0453;10.9034;161;474;545;45000;;FlightAware ADS-B(CEQ / LFMD)
21.10.2025 13:10:49;43.9818;10.9334;161;475;547;45000;;FlightAware ADS-B(MCM / LNMC)
21.10.2025 13:11:19;43.9195;10.9629;161;475;547;45000;;FlightAware ADS-B(FLR / LIRQ)
21.10.2025 13:11:49;43.8576;10.9923;161;475;547;45000;;FlightAware ADS-B(GOA / LIMJ)
21.10.2025 13:12:19;43.7957;11.0212;161;474;545;45000;;FlightAware ADS-B(FNU / LIER)
21.10.2025 13:12:49;43.7328;11.0509;161;473;544;45000;;FlightAware ADS-B(FLR / LIRQ)
21.10.2025 13:13:19;43.6714;11.0797;161;471;542;45000;;FlightAware ADS-B(BLQ / LIPE)
21.10.2025 13:13:49;43.6106;11.1083;161;468;539;45000;;FlightAware ADS-B(PMF / LIMP)
21.10.2025 13:14:10;43.5662;11.1278;165;465;535;45000;;FlightAware ADS-B(FLR / LIRQ)
21.10.2025 13:14:40;43.5053;11.1465;169;462;532;45000;;FlightAware ADS-B(BLQ / LIPE)
21.10.2025 13:15:12;43.4388;11.1649;168;462;532;45000;;FlightAware ADS-B(PSA / LIRP)
21.10.2025 13:15:55;43.3500;11.1984;163;464;534;45000;;FlightAware ADS-B(GOA / LIMJ)
21.10.2025 13:16:25;43.2867;11.2265;162;464;534;45000;;FlightAware ADS-B(NCE / LFMN)
21.10.2025 13:16:55;43.2276;11.2529;162;464;534;45000;;FlightAware ADS-B(PSR / LIBP)
21.10.2025 13:17:26;43.1624;11.2815;162;464;534;45000;;FlightAware ADS-B(PSR / LIBP)
21.10.2025 13:17:57;43.0990;11.3087;162;464;534;45000;;FlightAware ADS-B(LIRV)
21.10.2025 13:18:27;43.0377;11.3352;162;464;534;45000;;FlightAware ADS-B(PSR / LIBP)
21.10.2025 13:18:58;42.9751;11.3622;163;464;534;45000;;FlightAware ADS-B(PSR / LIBP)
21.10.2025 13:19:29;42.9117;11.3893;163;464;534;45000;;FlightAware ADS-B(ZAD / LDZD)
21.10.2025 13:20:00;42.8479;11.4169;162;465;535;45000;;FlightAware ADS-B(LIDF)
21.10.2025 13:20:30;42.7872;11.4424;163;465;535;45000;;FlightAware ADS-B(LIDF)
21.10.2025 13:21:00;42.7240;11.4695;162;465;535;45000;;FlightAware ADS-B(LIDF)
21.10.2025 13:21:30;42.6625;11.4957;163;465;535;45000;;FlightAware ADS-B(LIDF)
21.10.2025 13:22:00;42.6021;11.5213;163;465;535;45000;;FlightAware ADS-B(LIRV)
21.10.2025 13:22:30;42.5397;11.5478;163;466;536;45000;;FlightAware ADS-B(LIRV)
21.10.2025 13:23:00;42.4792;11.5731;163;466;536;45000;;FlightAware ADS-B(LIRV)
21.10.2025 13:23:30;42.4162;11.5997;163;467;537;45000;;FlightAware ADS-B(LIRV)
21.10.2025 13:24:00;42.3556;11.6253;163;468;539;45000;;FlightAware ADS-B(LIRV)
21.10.2025 13:24:30;42.2924;11.6519;163;469;540;45000;;FlightAware ADS-B(LIRV)
21.10.2025 13:25:00;42.2302;11.6778;163;470;541;45000;;FlightAware ADS-B(LIRV)
21.10.2025 13:25:30;42.1679;11.7038;163;471;542;45000;;FlightAware ADS-B(LIRV)
21.10.2025 13:26:00;42.1041;11.7306;163;470;541;45000;;FlightAware ADS-B(LIAF)
21.10.2025 13:26:31;42.0415;11.7565;163;469;540;45000;;FlightAware ADS-B(LIAF)
21.10.2025 13:27:01;41.9806;11.7819;163;469;540;45000;;FlightAware ADS-B(LIRV)
21.10.2025 13:27:31;41.9182;11.8077;163;471;542;45000;;FlightAware ADS-B(LIRV)
21.10.2025 13:28:01;41.8562;11.8334;163;472;543;45000;;FlightAware ADS-B(LIRV)
21.10.2025 13:28:31;41.7922;11.8598;163;471;542;45000;;FlightAware ADS-B(LIRV)
21.10.2025 13:29:01;41.7318;11.8847;163;470;541;45000;;FlightAware ADS-B(FCO / LIRF)
21.10.2025 13:29:31;41.6674;11.9112;163;471;542;45000;;FlightAware ADS-B(FCO / LIRF)
21.10.2025 13:30:01;41.6070;11.9360;163;472;543;45000;;FlightAware ADS-B(PEG / LIRZ)
21.10.2025 13:30:31;41.5423;11.9626;163;473;544;45000;;FlightAware ADS-B(FSC / LFKF)
21.10.2025 13:31:01;41.4796;11.9880;163;473;544;45000;;FlightAware ADS-B(LIQQ)
21.10.2025 13:31:32;41.4166;12.0138;163;473;544;45000;;FlightAware ADS-B(FOG / LIBF)
21.10.2025 13:32:02;41.3518;12.0402;163;474;545;45000;;FlightAware ADS-B(FSC / LFKF)
