time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
22.10.2025 10:43:02;36.9516;30.8310;24;184;212;3275;;FlightAware MLAT(5 sites)
22.10.2025 10:43:19;36.9667;30.8387;22;196;226;4050;2838;FlightAware MLAT(5 sites)
22.10.2025 10:43:39;36.9841;30.8463;20;196;226;5025;3208;FlightAware MLAT(5 sites)
22.10.2025 10:43:55;36.9982;30.8523;19;202;232;5975;3234;FlightAware MLAT(4 sites)
22.10.2025 10:44:11;37.0132;30.8595;23;212;244;6750;2515;FlightAware MLAT(4 sites)
22.10.2025 10:44:29;37.0300;30.8682;23;216;249;7400;2515;FlightAware MLAT(4 sites)
22.10.2025 10:44:45;37.0447;30.8758;21;222;255;8175;2672;FlightAware MLAT(5 sites)
22.10.2025 10:45:01;37.0602;30.8836;21;222;255;8825;3162;FlightAware MLAT(5 sites)
22.10.2025 10:45:22;37.0811;30.8913;9;230;265;10125;3694;FlightAware MLAT(5 sites)
22.10.2025 10:46:08;37.1291;30.8794;346;220;253;12950;3257;FlightAware MLAT(5 sites)
22.10.2025 10:46:38;37.1616;30.8688;347;266;306;14250;2600;FlightAware MLAT(5 sites)
22.10.2025 10:47:08;37.1991;30.8592;349;300;345;15550;2557;FlightAware MLAT(5 sites)
22.10.2025 10:47:39;37.2436;30.8484;348;332;382;16850;2667;FlightAware MLAT(5 sites)
22.10.2025 10:48:11;37.2953;30.8377;357;362;417;18350;2474;FlightAware MLAT(5 sites)
22.10.2025 10:48:36;37.3395;30.8377;0;378;435;19200;2330;FlightAware MLAT(5 sites)
22.10.2025 10:49:07;37.3991;30.8375;358;404;465;20525;1843;FlightAware MLAT(6 sites)
22.10.2025 10:49:46;37.4736;30.8336;358;416;479;21350;1864;FlightAware MLAT(4 sites)
22.10.2025 10:50:17;37.5359;30.8318;358;430;495;22700;2459;FlightAware MLAT(6 sites)
22.10.2025 10:50:47;37.5970;30.8288;358;442;509;23850;2143;FlightAware MLAT(5 sites)
22.10.2025 10:51:20;37.6653;30.8274;358;450;518;24950;2043;FlightAware MLAT(5 sites)
22.10.2025 10:51:56;37.7413;30.8238;352;452;520;26200;2066;FlightAware MLAT(5 sites)
22.10.2025 10:52:13;37.7763;30.8149;344;446;513;26775;1760;FlightAware MLAT(4 sites)
22.10.2025 10:52:48;37.8440;30.7825;339;450;518;27725;1108;FlightAware MLAT(7 sites)
22.10.2025 10:53:18;37.9018;30.7536;338;454;522;27975;275;FlightAware MLAT(6 sites)
22.10.2025 10:53:48;37.9626;30.7231;339;470;541;28000;24;FlightAware MLAT(8 sites)
22.10.2025 10:54:21;38.0296;30.6912;339;470;541;28000;;FlightAware MLAT(6 sites)
22.10.2025 10:54:55;38.0980;30.6581;339;458;527;28000;;FlightAware MLAT(4 sites)
22.10.2025 10:55:27;38.1610;30.6276;339;458;527;28000;;FlightAware MLAT(6 sites)
22.10.2025 10:55:57;38.2201;30.5989;339;462;532;28000;;FlightAware MLAT(6 sites)
22.10.2025 10:56:28;38.2824;30.5697;339;466;536;28000;;FlightAware MLAT(7 sites)
22.10.2025 10:57:00;38.3467;30.5372;339;468;539;28000;;FlightAware MLAT(6 sites)
22.10.2025 10:57:34;38.4163;30.5051;339;464;534;28000;;FlightAware MLAT(5 sites)
22.10.2025 10:58:06;38.4805;30.4764;339;460;529;28000;;FlightAware MLAT(4 sites)
22.10.2025 10:58:38;38.5440;30.4439;339;460;529;28000;;FlightAware MLAT(4 sites)
22.10.2025 10:59:09;38.6054;30.4134;339;462;532;28000;;FlightAware MLAT(7 sites)
22.10.2025 10:59:43;38.6737;30.3805;339;463;533;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:00:14;38.7365;30.3506;339;469;540;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:00:45;38.8001;30.3197;339;472;543;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:01:15;38.8608;30.2898;339;472;543;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:01:45;38.9227;30.2605;339;474;545;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:02:19;38.9913;30.2262;339;468;539;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:02:49;39.0509;30.1969;339;458;527;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:03:21;39.1138;30.1659;339;456;525;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:03:51;39.1728;30.1368;339;456;525;28000;;FlightAware MLAT(9 sites)
22.10.2025 11:04:21;39.2329;30.1070;339;469;540;28000;;FlightAware MLAT(11 sites)
22.10.2025 11:04:54;39.2979;30.0748;339;457;526;28000;;FlightAware MLAT(7 sites)
22.10.2025 11:05:24;39.3580;30.0447;339;453;521;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:05:55;39.4207;30.0134;339;474;545;28000;;FlightAware MLAT(7 sites)
22.10.2025 11:06:28;39.4861;29.9807;339;466;536;28000;;FlightAware MLAT(7 sites)
22.10.2025 11:06:59;39.5476;29.9503;339;460;529;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:07:31;39.6125;29.9186;339;457;526;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:08:03;39.6752;29.8829;331;461;531;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:08:33;39.7299;29.8394;328;461;531;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:09:09;39.7948;29.7835;328;464;534;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:09:39;39.8493;29.7398;329;464;534;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:10:09;39.9051;29.6965;329;464;534;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:10:43;39.9669;29.6474;328;464;534;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:11:13;40.0223;29.6031;329;467;537;28000;;FlightAware MLAT(8 sites)
22.10.2025 11:11:43;40.0769;29.5600;329;461;531;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:12:16;40.1375;29.5116;329;464;534;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:12:49;40.1985;29.4633;329;464;534;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:13:19;40.2534;29.4197;328;462;532;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:13:52;40.3127;29.3715;329;464;534;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:14:26;40.3756;29.3219;328;466;536;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:14:56;40.4308;29.2765;328;466;536;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:15:28;40.4896;29.2287;328;468;539;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:16:01;40.5499;29.1804;328;468;539;28000;;FlightAware MLAT(9 sites)
22.10.2025 11:16:33;40.6093;29.1320;328;470;541;28000;;FlightAware MLAT(7 sites)
22.10.2025 11:17:04;40.6674;29.0854;328;470;541;28000;;FlightAware MLAT(11 sites)
22.10.2025 11:17:38;40.7297;29.0342;328;470;541;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:18:09;40.7875;28.9861;328;470;541;28000;;FlightAware MLAT(8 sites)
22.10.2025 11:18:41;40.8457;28.9398;328;468;539;28000;;FlightAware MLAT(9 sites)
22.10.2025 11:19:11;40.9015;28.8948;328;468;539;28000;;FlightAware MLAT(9 sites)
22.10.2025 11:19:44;40.9620;28.8453;328;468;539;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:20:14;41.0169;28.7993;328;468;539;28000;;FlightAware MLAT(8 sites)
22.10.2025 11:20:46;41.0764;28.7513;328;468;539;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:21:16;41.1308;28.7063;328;468;539;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:21:49;41.1920;28.6559;328;468;539;28000;-22;FlightAware MLAT(5 sites)
22.10.2025 11:22:23;41.2568;28.6077;330;470;541;27975;;FlightAware MLAT(4 sites)
22.10.2025 11:22:54;41.3139;28.5625;327;468;539;28000;32;FlightAware MLAT(5 sites)
22.10.2025 11:23:10;41.3418;28.5355;326;468;539;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:23:42;41.3990;28.4841;327;468;539;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:24:13;41.4553;28.4386;327;466;536;28000;-25;FlightAware MLAT(5 sites)
22.10.2025 11:24:42;41.5022;28.3860;311;460;529;27975;;FlightAware MLAT(6 sites)
22.10.2025 11:25:07;41.5342;28.3272;305;456;525;28000;27;FlightAware MLAT(7 sites)
22.10.2025 11:25:37;41.5683;28.2575;303;456;525;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:26:11;41.6077;28.1746;302;456;525;28000;;FlightAware MLAT(10 sites)
22.10.2025 11:26:41;41.6400;28.1043;303;449;517;28000;;FlightAware MLAT(10 sites)
22.10.2025 11:27:12;41.6756;28.0312;303;455;524;28000;;FlightAware MLAT(7 sites)
22.10.2025 11:27:42;41.7099;27.9596;303;458;527;28000;;FlightAware MLAT(12 sites)
22.10.2025 11:28:13;41.7450;27.8861;303;452;520;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:28:43;41.7801;27.8148;303;458;527;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:29:14;41.8156;27.7408;303;459;528;28000;;FlightAware MLAT(9 sites)
22.10.2025 11:29:44;41.8500;27.6695;303;466;536;28000;;FlightAware MLAT(12 sites)
22.10.2025 11:30:14;41.8843;27.5979;303;458;527;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:30:44;41.9179;27.5273;302;452;520;28000;;FlightAware MLAT(8 sites)
22.10.2025 11:31:14;41.9506;27.4533;296;456;525;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:31:45;41.9773;27.3734;294;454;522;28000;-24;FlightAware MLAT(15 sites)
22.10.2025 11:32:16;42.0029;27.2942;293;454;522;27975;-23;FlightAware MLAT(8 sites)
22.10.2025 11:32:49;42.0298;27.2086;294;452;520;27975;;FlightAware MLAT(4 sites)
22.10.2025 11:33:19;42.0556;27.1305;294;452;520;27975;25;FlightAware MLAT(6 sites)
22.10.2025 11:33:49;42.0801;27.0551;294;452;520;28000;25;FlightAware MLAT(8 sites)
22.10.2025 11:34:20;42.1065;26.9748;294;452;520;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:34:54;42.1335;26.8892;294;448;516;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:35:24;42.1592;26.8123;293;444;511;28000;;FlightAware MLAT(8 sites)
22.10.2025 11:35:54;42.1837;26.7369;294;442;509;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:36:28;42.2110;26.6520;294;440;506;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:36:58;42.2357;26.5756;293;440;506;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:37:28;42.2600;26.4998;293;438;504;28000;;FlightAware MLAT(11 sites)
22.10.2025 11:37:58;42.2835;26.4261;293;438;504;28000;;FlightAware MLAT(12 sites)
22.10.2025 11:38:28;42.3074;26.3516;293;438;504;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:38:58;42.3334;26.2763;298;438;504;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:39:28;42.3641;26.2047;299;442;509;28000;;FlightAware MLAT(9 sites)
22.10.2025 11:39:58;42.3937;26.1323;299;446;513;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:40:29;42.4243;26.0563;298;448;516;28000;-24;FlightAware MLAT(9 sites)
22.10.2025 11:41:01;42.4559;25.9771;298;448;516;27975;;FlightAware MLAT(5 sites)
22.10.2025 11:41:33;42.4865;25.8987;298;448;516;28000;24;FlightAware MLAT(5 sites)
22.10.2025 11:42:03;42.5161;25.8249;298;448;516;28000;;FlightAware MLAT(9 sites)
22.10.2025 11:42:35;42.5472;25.7435;293;448;516;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:43:09;42.5748;25.6493;291;448;516;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:43:52;42.6020;25.5399;291;450;518;28000;;FlightAware MLAT(6 sites)
22.10.2025 11:44:25;42.6270;25.4555;292;448;516;28000;;FlightAware MLAT(4 sites)
22.10.2025 11:44:56;42.6512;25.3738;291;448;516;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:45:26;42.6739;25.2956;291;448;516;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:45:56;42.6967;25.2178;291;446;513;28000;;FlightAware MLAT(10 sites)
22.10.2025 11:46:27;42.7209;25.1361;291;446;513;28000;;FlightAware MLAT(8 sites)
22.10.2025 11:46:57;42.7436;25.0575;291;444;511;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:47:27;42.7645;24.9813;291;444;511;28000;;FlightAware MLAT(9 sites)
22.10.2025 11:47:59;42.7887;24.8975;291;444;511;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:48:33;42.8149;24.8082;291;444;511;28000;;FlightAware MLAT(5 sites)
22.10.2025 11:49:03;42.8375;24.7306;291;444;511;28000;;FlightAware MLAT(4 sites)
