time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
28.10.2025 09:07:40;50.8606;7.1358;138;148;170;625;;FlightAware ADS-B(CGN / EDDK)
28.10.2025 09:07:56;50.8518;7.1485;137;167;192;1325;2719;FlightAware ADS-B(CGN / EDDK)
28.10.2025 09:08:12;50.8424;7.1630;135;180;207;2075;2625;FlightAware ADS-B(EDKB)
28.10.2025 09:08:28;50.8324;7.1798;133;206;237;2725;2203;FlightAware ADS-B(CGN / EDDK)
28.10.2025 09:08:44;50.8219;7.1982;131;230;265;3250;2484;FlightAware ADS-B(CGN / EDDK)
28.10.2025 09:09:00;50.8109;7.2190;129;239;275;4050;3141;FlightAware ADS-B(EDKL)
28.10.2025 09:09:16;50.8003;7.2398;128;247;284;4925;3227;FlightAware ADS-B(EDKB)
28.10.2025 09:09:33;50.7850;7.2598;160;233;268;5825;3409;FlightAware ADS-B(EDRK)
28.10.2025 09:09:49;50.7697;7.2595;205;197;227;6800;3857;FlightAware ADS-B(EDKB)
28.10.2025 09:10:08;50.7577;7.2407;239;184;212;8075;3365;FlightAware ADS-B(EDRK)
28.10.2025 09:10:26;50.7513;7.2179;251;198;228;8875;3043;FlightAware ADS-B(EHDL)
28.10.2025 09:10:43;50.7471;7.1954;260;207;238;9850;3284;FlightAware ADS-B(GKE / ETNG)
28.10.2025 09:11:03;50.7475;7.1619;271;229;264;10900;3059;FlightAware ADS-B(EDRE)
28.10.2025 09:11:34;50.7375;7.1082;250;272;313;12450;3031;FlightAware ADS-B(CGN / EDDK)
28.10.2025 09:11:52;50.7291;7.0734;249;295;339;13375;3094;FlightAware ADS-B(CGN / EDDK)
28.10.2025 09:12:22;50.7137;7.0091;250;325;374;14925;3325;FlightAware ADS-B(CGN / EDDK)
28.10.2025 09:12:52;50.6980;6.9411;250;346;398;16700;3538;FlightAware ADS-B(ENS / EHTW)
28.10.2025 09:13:15;50.6850;6.8849;250;356;410;18050;3594;FlightAware ADS-B(EDKN)
28.10.2025 09:13:45;50.6672;6.8117;249;366;421;19875;3474;FlightAware ADS-B(GKE / ETNG)
28.10.2025 09:14:12;50.6506;6.7451;248;369;425;21350;3395;FlightAware ADS-B(AAH / EDKA)
28.10.2025 09:14:42;50.6308;6.6707;247;371;427;23100;3500;FlightAware ADS-B(DUS / EDDL)
28.10.2025 09:15:12;50.6100;6.5960;246;368;423;24850;3500;FlightAware ADS-B(CGN / EDDK)
28.10.2025 09:15:42;50.5892;6.5234;246;362;417;26600;3457;FlightAware ADS-B(MHG / EDFM)
28.10.2025 09:15:58;50.5781;6.4849;245;359;413;27500;3122;FlightAware ADS-B(EDLS)
28.10.2025 09:16:19;50.5623;6.4376;238;364;419;28525;2761;FlightAware ADS-B(EHDL)
28.10.2025 09:16:42;50.5430;6.3940;235;368;423;29525;2615;FlightAware ADS-B(DUS / EDDL)
28.10.2025 09:16:58;50.5229;6.3514;233;372;428;30225;1714;FlightAware ADS-B(CGN / EDDK)
28.10.2025 09:17:31;50.4894;6.2805;234;385;443;30925;1206;FlightAware ADS-B(EBHL)
28.10.2025 09:17:49;50.4705;6.2400;234;391;450;31250;1279;FlightAware ADS-B(DUS / EDDL)
28.10.2025 09:18:05;50.4515;6.2005;231;398;458;31650;1547;FlightAware ADS-B(DHR / EHKD)
28.10.2025 09:18:21;50.4328;6.1687;225;408;470;32075;1500;FlightAware ADS-B(DUS / EDDL)
28.10.2025 09:18:37;50.4102;6.1390;215;423;487;32450;1543;FlightAware ADS-B(EDFZ)
28.10.2025 09:18:56;50.3756;6.1070;207;436;502;32975;1561;FlightAware ADS-B(AAH / EDKA)
28.10.2025 09:19:26;50.3215;6.0653;205;440;506;33725;1500;FlightAware ADS-B(EAP / LFSB)
28.10.2025 09:19:56;50.2662;6.0271;202;446;513;34475;1532;FlightAware ADS-B(MST / EHBK)
28.10.2025 09:20:13;50.2291;6.0149;182;479;551;34925;1541;FlightAware ADS-B(ANR / EBAW)
28.10.2025 09:20:33;50.1867;6.0235;167;502;578;35425;1500;FlightAware ADS-B(EDFB)
28.10.2025 09:20:50;50.1474;6.0382;165;505;581;35850;1564;FlightAware ADS-B(LGG / EBLG)
28.10.2025 09:21:20;50.0829;6.0688;161;507;583;36650;1575;FlightAware ADS-B(EDMG)
28.10.2025 09:21:50;50.0143;6.1077;159;506;582;37425;1525;FlightAware ADS-B(EDLD)
28.10.2025 09:22:20;49.9498;6.1476;158;503;579;38175;1375;FlightAware ADS-B(ESS / EDLE)
28.10.2025 09:22:50;49.8845;6.1875;159;500;575;38800;1175;FlightAware ADS-B(EHDP)
28.10.2025 09:23:20;49.8183;6.2270;159;498;573;39350;1050;FlightAware ADS-B(RMS / ETAR)
28.10.2025 09:23:50;49.7585;6.2630;159;496;571;39850;1025;FlightAware ADS-B(ELUS)
28.10.2025 09:24:20;49.6925;6.3023;159;493;567;40375;952;FlightAware ADS-B(LFPZ)
