time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
28.10.2025 11:56:27;39.5493;2.7150;240;150;173;475;;FlightAware ADS-B(PMI / LEPA)
28.10.2025 11:56:43;39.5433;2.7011;242;157;181;1325;3141;FlightAware ADS-B(PMI / LEPA)
28.10.2025 11:56:59;39.5380;2.6884;241;158;182;2150;2391;FlightAware ADS-B(PMI / LEPA)
28.10.2025 11:57:15;39.5315;2.6742;239;185;213;2600;1828;FlightAware ADS-B(LESB)
28.10.2025 11:57:31;39.5235;2.6583;236;207;238;3125;2042;FlightAware ADS-B(PMI / LEPA)
28.10.2025 11:57:51;39.5118;2.6361;235;231;266;3825;2333;FlightAware ADS-B(LESB)
28.10.2025 11:58:16;39.4950;2.6067;227;253;291;4875;2509;FlightAware ADS-B(LESB)
28.10.2025 11:58:46;39.4661;2.5800;209;278;320;6125;2553;FlightAware ADS-B(REU / LERS)
28.10.2025 11:59:03;39.4437;2.5697;186;298;343;6875;2500;FlightAware ADS-B(LESB)
28.10.2025 11:59:19;39.4237;2.5731;162;309;356;7500;2486;FlightAware ADS-B(BCN / LEBL)
28.10.2025 11:59:38;39.4010;2.5939;129;323;372;8325;2500;FlightAware ADS-B(LELL)
28.10.2025 11:59:55;39.3902;2.6227;104;335;386;9000;2520;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:00:28;39.3907;2.6912;83;357;411;10425;2567;FlightAware ADS-B(BCN / LEBL)
28.10.2025 12:00:47;39.3984;2.7325;72;370;426;11225;2510;FlightAware ADS-B(BCN / LEBL)
28.10.2025 12:01:17;39.4176;2.7947;67;393;452;12475;2525;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:01:47;39.4406;2.8611;66;417;480;13750;2775;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:02:17;39.4650;2.9345;67;426;490;15250;3060;FlightAware ADS-B(MAD / LEMD)
28.10.2025 12:02:37;39.4789;2.9777;66;427;491;16300;3446;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:02:54;39.4984;3.0180;53;429;494;17375;3479;FlightAware ADS-B(LESB)
28.10.2025 12:03:24;39.5367;3.0717;45;431;496;19025;3350;FlightAware ADS-B(MAH / LEMH)
28.10.2025 12:03:54;39.5800;3.1260;44;432;497;20725;3050;FlightAware ADS-B(MAH / LEMH)
28.10.2025 12:04:24;39.6248;3.1830;45;442;509;22075;2550;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:04:54;39.6658;3.2372;46;449;517;23275;2425;FlightAware ADS-B(LELL)
28.10.2025 12:05:24;39.7103;3.2960;46;454;522;24500;2150;FlightAware ADS-B(LEMU)
28.10.2025 12:05:54;39.7544;3.3543;46;463;533;25425;1850;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:06:24;39.7995;3.4147;46;470;541;26350;1850;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:06:54;39.8466;3.4773;45;475;547;27275;1800;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:07:14;39.8807;3.5104;32;475;547;27850;1805;FlightAware ADS-B(LELL)
28.10.2025 12:07:58;39.9705;3.5676;24;478;550;29200;1459;FlightAware ADS-B(LEBC)
28.10.2025 12:08:28;40.0304;3.6021;24;480;552;29650;675;FlightAware ADS-B(LEBC)
28.10.2025 12:08:58;40.0887;3.6368;25;482;555;29875;328;FlightAware ADS-B(GRO / LEGE)
28.10.2025 12:09:32;40.1581;3.6791;25;487;560;30000;104;FlightAware ADS-B(LELL)
28.10.2025 12:10:10;40.2357;3.7260;25;489;563;30000;;FlightAware ADS-B(GRO / LEGE)
28.10.2025 12:10:40;40.2965;3.7634;25;486;559;30000;;FlightAware ADS-B(GRO / LEGE)
28.10.2025 12:11:10;40.3595;3.8019;25;484;557;30000;;FlightAware ADS-B(GRO / LEGE)
28.10.2025 12:11:40;40.4214;3.8399;25;483;556;30000;;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:12:10;40.4812;3.8769;25;483;556;30000;;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:12:40;40.5427;3.9148;25;483;556;30000;;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:13:10;40.6044;3.9531;25;482;555;30000;;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:13:41;40.6650;3.9907;25;483;556;30000;;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:14:11;40.7251;4.0280;25;482;555;30000;;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:14:41;40.7855;4.0657;25;482;555;30000;;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:15:11;40.8483;4.1049;26;482;555;30000;;FlightAware ADS-B(PMI / LEPA)
28.10.2025 12:15:41;40.9068;4.1414;25;482;555;30000;;FlightAware ADS-B(BCN / LEBL)
28.10.2025 12:16:11;40.9664;4.1789;26;482;555;30000;;FlightAware ADS-B(GRO / LEGE)
28.10.2025 12:16:42;41.0277;4.2173;25;483;556;30000;;FlightAware ADS-B(BCN / LEBL)
28.10.2025 12:17:13;41.0906;4.2568;26;483;556;30000;;FlightAware ADS-B(MAH / LEMH)
28.10.2025 12:17:39;41.1463;4.2914;23;483;556;30000;;FlightAware ADS-B(LEBC)
28.10.2025 12:18:17;41.2242;4.3304;19;480;552;30000;;FlightAware ADS-B(LEBC)
28.10.2025 12:18:50;41.2927;4.3613;19;480;552;30000;;FlightAware ADS-B(BCN / LEBL)
28.10.2025 12:19:30;41.3751;4.3997;20;480;552;30000;;FlightAware ADS-B(CTT / LFMQ)
28.10.2025 12:20:00;41.4391;4.4296;19;479;551;30000;;FlightAware ADS-B(BCN / LEBL)
28.10.2025 12:20:31;41.5023;4.4596;20;481;554;30000;;FlightAware ADS-B(BCN / LEBL)
28.10.2025 12:21:02;41.5674;4.4904;20;482;555;30000;;FlightAware ADS-B(MAH / LEMH)
28.10.2025 12:21:32;41.6323;4.5211;20;484;557;30000;;FlightAware ADS-B(LELL)
28.10.2025 12:22:02;41.6960;4.5514;20;486;559;30000;;FlightAware ADS-B(MAH / LEMH)
28.10.2025 12:22:32;41.7570;4.5804;19;487;560;30000;;FlightAware ADS-B(CTT / LFMQ)
28.10.2025 12:23:02;41.8231;4.6121;20;487;560;30000;;FlightAware ADS-B(LELL)
28.10.2025 12:23:32;41.8870;4.6427;20;489;563;30000;;FlightAware ADS-B(LELL)
28.10.2025 12:23:49;41.9196;4.6640;31;494;568;30000;;FlightAware ADS-B(CTT / LFMQ)
28.10.2025 12:24:21;41.9781;4.7271;43;498;573;30000;;FlightAware ADS-B(MAH / LEMH)
28.10.2025 12:24:52;42.0278;4.7923;45;498;573;30000;;FlightAware ADS-B(AHO / LIEA)
28.10.2025 12:25:23;42.0807;4.8611;44;498;573;30000;;FlightAware ADS-B(MRS / LFML)
28.10.2025 12:25:53;42.1307;4.9257;44;501;577;30000;;FlightAware ADS-B(LFTN)
28.10.2025 12:26:23;42.1797;4.9897;44;504;580;30000;-425;FlightAware ADS-B(CTT / LFMQ)
28.10.2025 12:26:53;42.2287;5.0540;44;494;568;29575;-1180;FlightAware ADS-B(GRO / LEGE)
28.10.2025 12:27:24;42.2802;5.1212;44;485;558;28800;-1500;FlightAware ADS-B(CTT / LFMQ)
28.10.2025 12:27:55;42.3288;5.1848;44;480;552;28025;-1355;FlightAware ADS-B(MRS / LFML)
28.10.2025 12:28:26;42.3780;5.2495;44;474;545;27400;-1131;FlightAware ADS-B(CTT / LFMQ)
28.10.2025 12:28:56;42.4258;5.3125;44;476;548;26875;-1025;FlightAware ADS-B(CTT / LFMQ)
28.10.2025 12:29:26;42.4719;5.3733;44;480;552;26375;-1000;FlightAware ADS-B(AHO / LIEA)
28.10.2025 12:29:56;42.5191;5.4358;44;484;557;25875;-1050;FlightAware ADS-B(FNU / LIER)
