time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
28.10.2025 14:03:21;43.6444;7.1988;227;157;181;550;;FlightAware ADS-B(LFMF)
28.10.2025 14:03:37;43.6362;7.1866;228;166;191;1275;2719;FlightAware ADS-B(NCE / LFMN)
28.10.2025 14:03:53;43.6280;7.1736;230;171;197;2000;2578;FlightAware ADS-B(CEQ / LFMD)
28.10.2025 14:04:09;43.6184;7.1593;227;190;219;2650;1985;FlightAware ADS-B(NCE / LFMN)
28.10.2025 14:04:27;43.6043;7.1495;186;207;238;3125;1875;FlightAware ADS-B(LFMF)
28.10.2025 14:04:45;43.5874;7.1547;157;208;239;3775;2333;FlightAware ADS-B(NCE / LFMN)
28.10.2025 14:05:03;43.5722;7.1660;148;216;249;4525;2458;FlightAware ADS-B(AJA / LFKJ)
28.10.2025 14:05:21;43.5575;7.1778;159;230;265;5250;2700;FlightAware ADS-B(NCE / LFMN)
28.10.2025 14:05:38;43.5388;7.1801;186;237;273;6100;3455;FlightAware ADS-B(CEQ / LFMD)
28.10.2025 14:05:54;43.5203;7.1713;218;236;272;7150;3706;FlightAware ADS-B(NCE / LFMN)
28.10.2025 14:06:12;43.5115;7.1512;256;227;261;8200;3257;FlightAware ADS-B(NCE / LFMN)
28.10.2025 14:06:29;43.5135;7.1258;293;239;275;9050;2727;FlightAware ADS-B(CEQ / LFMD)
28.10.2025 14:06:45;43.5248;7.1059;317;257;296;9700;2406;FlightAware ADS-B(CEQ / LFMD)
28.10.2025 14:07:17;43.5578;7.0741;329;291;335;10975;2461;FlightAware ADS-B(NCE / LFMN)
28.10.2025 14:07:49;43.5982;7.0416;329;330;380;12325;2500;FlightAware ADS-B(NCE / LFMN)
28.10.2025 14:08:20;43.6394;7.0061;328;360;414;13600;2730;FlightAware ADS-B(CEQ / LFMD)
28.10.2025 14:08:50;43.6828;6.9699;331;380;437;15100;2925;FlightAware ADS-B(CEQ / LFMD)
