time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
28.10.2025 16:38:07;51.3285;-0.0214;13;196;226;2850;;Surface and Near-Surface
28.10.2025 16:38:58;51.3387;0.0499;97;218;251;3100;294;FlightAware MLAT(5 sites)
28.10.2025 16:39:16;51.3380;0.0795;91;234;269;;;FlightAware MLAT(13 sites)
28.10.2025 16:39:32;51.3376;0.1064;93;256;295;3200;;FlightAware MLAT(9 sites)
28.10.2025 16:39:51;51.3369;0.1433;93;262;302;3525;1071;FlightAware MLAT(6 sites)
28.10.2025 16:40:21;51.3352;0.2012;92;278;320;4075;815;FlightAware MLAT(8 sites)
28.10.2025 16:40:37;51.3344;0.2329;93;284;327;4150;176;FlightAware MLAT(6 sites)
28.10.2025 16:40:55;51.3334;0.2697;93;286;329;4175;83;FlightAware MLAT(5 sites)
28.10.2025 16:41:13;51.3318;0.3130;92;288;331;4200;1719;FlightAware MLAT(4 sites)
28.10.2025 16:41:43;51.3288;0.3771;93;300;345;5550;2594;FlightAware MLAT(8 sites)
28.10.2025 16:42:01;51.3291;0.4180;93;302;348;6275;2750;FlightAware MLAT(11 sites)
28.10.2025 16:42:19;51.3281;0.4577;93;300;345;7200;3000;FlightAware MLAT(7 sites)
28.10.2025 16:42:53;51.3245;0.5349;88;312;359;8875;3028;FlightAware MLAT(4 sites)
28.10.2025 16:43:13;51.3268;0.5778;53;302;348;9925;2873;FlightAware MLAT(6 sites)
28.10.2025 16:43:52;51.3459;0.6334;343;278;320;11700;2339;FlightAware MLAT(6 sites)
28.10.2025 16:44:12;51.3736;0.6658;306;290;334;12225;2226;FlightAware MLAT(6 sites)
28.10.2025 16:44:54;51.3906;0.5936;290;342;394;14000;1526;FlightAware MLAT(14 sites)
28.10.2025 16:47:59;51.5835;0.0842;309;356;410;18000;1111;FlightAware ADS-B(EGLW)
28.10.2025 16:48:30;51.6202;0.0266;322;366;421;18000;;FlightAware ADS-B(EGLW)
28.10.2025 16:49:02;51.6624;-0.0242;321;366;421;18000;;FlightAware ADS-B(EGLW)
28.10.2025 16:50:30;51.7850;-0.1817;321;366;421;18000;-260;FlightAware MLAT(14 sites)
28.10.2025 16:51:03;51.8278;-0.2400;321;350;403;17475;-886;FlightAware MLAT(5 sites)
28.10.2025 16:51:36;51.8679;-0.2929;321;334;384;17025;-452;FlightAware MLAT(4 sites)
28.10.2025 16:52:06;51.9030;-0.3375;321;344;396;17000;-23;FlightAware MLAT(16 sites)
28.10.2025 16:52:40;51.9467;-0.3956;321;356;410;17000;;FlightAware MLAT(4 sites)
28.10.2025 16:53:10;51.9850;-0.4456;321;352;405;17000;-25;FlightAware MLAT(5 sites)
28.10.2025 16:53:40;52.0209;-0.4947;321;350;403;16975;-820;FlightAware MLAT(4 sites)
28.10.2025 16:54:14;52.0652;-0.5517;321;342;394;16125;-1523;FlightAware MLAT(12 sites)
28.10.2025 16:54:46;52.1038;-0.6035;320;344;396;15300;-1597;FlightAware MLAT(10 sites)
28.10.2025 16:55:16;52.1400;-0.6538;321;340;391;14475;-1650;FlightAware MLAT(5 sites)
28.10.2025 16:55:46;52.1761;-0.6990;321;332;382;13650;-1648;FlightAware MLAT(7 sites)
28.10.2025 16:56:17;52.2128;-0.7480;320;324;373;12800;-1648;FlightAware MLAT(6 sites)
28.10.2025 16:56:47;52.2475;-0.7944;321;320;368;11975;-1648;FlightAware MLAT(5 sites)
28.10.2025 16:57:18;52.2821;-0.8416;320;314;361;11125;-1452;FlightAware MLAT(12 sites)
28.10.2025 16:57:49;52.3171;-0.8876;320;308;354;10475;-1057;FlightAware MLAT(4 sites)
28.10.2025 16:58:19;52.3489;-0.9314;320;294;338;10050;-467;FlightAware MLAT(7 sites)
28.10.2025 16:58:50;52.3815;-0.9748;320;264;304;10000;117;FlightAware MLAT(4 sites)
28.10.2025 16:59:23;52.4136;-1.0052;355;264;304;10175;-382;FlightAware MLAT(13 sites)
