time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
29.10.2025 09:57:14;52.8310;-1.3323;270;146;168;1075;;FlightAware ADS-B(EMA / EGNX)
29.10.2025 09:57:30;52.8310;-1.3516;268;145;167;2150;3422;FlightAware ADS-B(EMA / EGNX)
29.10.2025 09:57:46;52.8305;-1.3688;267;155;178;2900;2391;FlightAware ADS-B(EMA / EGNX)
29.10.2025 09:58:02;52.8290;-1.3890;256;181;208;3425;2859;FlightAware ADS-B(EMA / EGNX)
29.10.2025 09:58:18;52.8210;-1.4112;233;191;220;4425;3469;FlightAware ADS-B(MAN / EGCC)
29.10.2025 09:58:34;52.8117;-1.4275;223;197;227;5275;3909;FlightAware ADS-B(GLO / EGBJ)
29.10.2025 09:58:51;52.8000;-1.4442;220;198;228;6575;4235;FlightAware ADS-B(EMA / EGNX)
29.10.2025 09:59:08;52.7878;-1.4606;219;203;234;7675;3926;FlightAware ADS-B(EGBG)
29.10.2025 09:59:25;52.7758;-1.4759;217;204;235;8800;4015;FlightAware ADS-B(EGNA)
29.10.2025 09:59:42;52.7612;-1.4904;199;220;253;9950;4091;FlightAware ADS-B(EGCB)
29.10.2025 09:59:58;52.7443;-1.4891;164;247;284;11050;3868;FlightAware ADS-B(MAN / EGCC)
29.10.2025 10:00:20;52.7223;-1.4643;139;289;333;12400;3132;FlightAware ADS-B(EGNF)
29.10.2025 10:00:55;52.6843;-1.4072;137;339;390;14025;2192;FlightAware ADS-B(EGBW)
29.10.2025 10:01:25;52.6471;-1.3532;139;382;440;14775;1304;FlightAware ADS-B(EGSV)
29.10.2025 10:01:41;52.6246;-1.3194;135;409;471;15025;1828;FlightAware ADS-B(CEG / EGNR)
29.10.2025 10:01:57;52.6043;-1.2819;130;416;479;15750;2769;FlightAware ADS-B(IOM / EGNS)
29.10.2025 10:02:33;52.5579;-1.1921;131;422;486;17425;1907;FlightAware ADS-B(EGOE)
29.10.2025 10:03:07;52.5163;-1.1122;128;428;493;17975;1105;FlightAware ADS-B(KNF / EGYM)
29.10.2025 10:03:30;52.4956;-1.0444;110;447;514;18475;1385;FlightAware ADS-B(NWI / EGSH)
29.10.2025 10:03:46;52.4856;-0.9930;106;457;526;18875;1698;FlightAware ADS-B(DSA / EGCN)
29.10.2025 10:04:23;52.4656;-0.8677;104;460;529;19975;2037;FlightAware ADS-B(EGBD)
29.10.2025 10:04:53;52.4497;-0.7672;105;466;536;21150;2406;FlightAware ADS-B(BHX / EGBB)
29.10.2025 10:05:16;52.4365;-0.6885;106;472;543;22100;2550;FlightAware ADS-B(HUY / EGNJ)
29.10.2025 10:05:33;52.4259;-0.6265;106;476;548;22850;2500;FlightAware ADS-B(EMA / EGNX)
29.10.2025 10:06:34;52.3892;-0.4125;106;486;559;25350;2423;FlightAware ADS-B(OKH / EGXJ)
29.10.2025 10:07:04;52.3713;-0.3106;106;490;564;26525;2353;FlightAware ADS-B(LHR / EGLL)
29.10.2025 10:07:25;52.3595;-0.2348;100;502;578;27350;2231;FlightAware ADS-B(BBS / EGLK)
29.10.2025 10:07:43;52.3552;-0.1637;93;516;594;27975;2000;FlightAware ADS-B(BEX / EGUB)
29.10.2025 10:08:13;52.3542;-0.0473;90;526;605;28950;1962;FlightAware ADS-B(MAN / EGCC)
29.10.2025 10:08:35;52.3540;0.0322;95;525;604;29675;1953;FlightAware ADS-B(GLO / EGBJ)
29.10.2025 10:08:56;52.3479;0.1231;98;523;602;30350;1992;FlightAware ADS-B(EGBW)
29.10.2025 10:09:36;52.3329;0.2785;99;525;604;31700;2100;FlightAware ADS-B(SEN / EGMC)
29.10.2025 10:10:06;52.3221;0.3992;98;524;603;32800;2173;FlightAware ADS-B(NCL / EGNT)
29.10.2025 10:10:25;52.3171;0.4740;95;526;605;33475;2100;FlightAware ADS-B(LGW / EGKK)
29.10.2025 10:10:56;52.3116;0.5925;94;524;603;34550;2208;FlightAware ADS-B(MAN / EGCC)
29.10.2025 10:11:18;52.3077;0.6786;95;518;596;35425;2221;FlightAware ADS-B(ESH / EGKA)
29.10.2025 10:11:48;52.3017;0.7935;95;509;586;36475;2000;FlightAware ADS-B(HUY / EGNJ)
29.10.2025 10:12:18;52.2954;0.9092;95;507;583;37425;1650;FlightAware ADS-B(EGKL)
29.10.2025 10:12:48;52.2895;1.0241;95;507;583;38125;1425;FlightAware ADS-B(GLO / EGBJ)
29.10.2025 10:13:18;52.2831;1.1372;95;506;582;38850;1275;FlightAware ADS-B(LCY / EGLC)
29.10.2025 10:13:48;52.2769;1.2495;95;507;583;39400;1125;FlightAware ADS-B(LCY / EGLC)
29.10.2025 10:14:18;52.2705;1.3628;95;507;583;39975;1050;FlightAware ADS-B(BHX / EGBB)
29.10.2025 10:14:48;52.2640;1.4759;96;508;585;40450;875;FlightAware ADS-B(EMA / EGNX)
29.10.2025 10:15:18;52.2571;1.5947;96;509;586;40850;550;FlightAware ADS-B(EGSQ)
29.10.2025 10:15:48;52.2501;1.7097;95;516;594;41000;150;FlightAware ADS-B(EMA / EGNX)
29.10.2025 10:16:18;52.2432;1.8271;96;522;601;41000;;FlightAware ADS-B(AMS / EHAM)
29.10.2025 10:17:02;52.2324;1.9987;96;523;602;41000;;FlightAware ADS-B(RTM / EHRD)
29.10.2025 10:17:32;52.2254;2.1112;96;523;602;41000;;FlightAware ADS-B(LCY / EGLC)
29.10.2025 10:18:02;52.2176;2.2296;96;522;601;41000;;FlightAware ADS-B(GLZ / EHGR)
29.10.2025 10:18:32;52.2101;2.3462;96;520;598;41000;;FlightAware ADS-B(EGSR)
29.10.2025 10:19:02;52.2023;2.4657;97;519;597;41000;;FlightAware ADS-B(HUY / EGNJ)
29.10.2025 10:19:32;52.1946;2.5812;96;519;597;41000;;FlightAware ADS-B(EGBD)
29.10.2025 10:20:02;52.1868;2.6942;96;518;596;41000;;FlightAware ADS-B(MSE / EGMH)
29.10.2025 10:20:32;52.1787;2.8124;97;518;596;41000;;FlightAware ADS-B(BRU / EBBR)
29.10.2025 10:21:30;52.1632;3.0319;97;516;594;41000;;FlightAware ADS-B(LBA / EGNM)
29.10.2025 10:22:15;52.1504;3.2078;97;515;593;41000;;FlightAware ADS-B(LEY / EHLE)
29.10.2025 10:22:45;52.1418;3.3244;97;515;593;41000;;FlightAware ADS-B(QCY / EGXC)
29.10.2025 10:23:15;52.1335;3.4373;97;516;594;41000;;FlightAware ADS-B(AMS / EHAM)
29.10.2025 10:23:45;52.1245;3.5556;98;516;594;41000;;FlightAware ADS-B(DUS / EDDL)
29.10.2025 10:24:15;52.1162;3.6639;98;516;594;41000;;FlightAware ADS-B(DUS / EDDL)
29.10.2025 10:24:45;52.1070;3.7813;98;516;594;41000;;FlightAware ADS-B(LYX / EGMD)
29.10.2025 10:25:15;52.0979;3.8972;98;516;594;41000;;FlightAware ADS-B(LYX / EGMD)
29.10.2025 10:25:44;52.0892;4.0083;97;515;593;41000;;FlightAware ADS-B(HUY / EGNJ)
29.10.2025 10:26:14;52.0797;4.1261;98;515;593;41000;;FlightAware ADS-B(AMS / EHAM)
29.10.2025 10:26:44;52.0706;4.2370;98;515;593;41000;;FlightAware ADS-B(BRU / EBBR)
29.10.2025 10:27:23;52.0579;4.3889;98;515;593;41000;;FlightAware ADS-B(EHHV)
29.10.2025 10:27:53;52.0484;4.5042;98;514;592;41000;;FlightAware ADS-B(WOE / EHWO)
29.10.2025 10:28:23;52.0386;4.6184;98;513;590;41000;;FlightAware ADS-B(EHHV)
29.10.2025 10:28:53;52.0292;4.7295;98;512;589;41000;;FlightAware ADS-B(WOE / EHWO)
29.10.2025 10:29:23;52.0191;4.8448;98;513;590;41000;;FlightAware ADS-B(WOE / EHWO)
29.10.2025 10:29:53;52.0090;4.9601;98;513;590;41000;;FlightAware ADS-B(EHMZ)
29.10.2025 10:30:23;51.9990;5.0731;98;512;589;41000;;FlightAware ADS-B(AMS / EHAM)
29.10.2025 10:30:53;51.9889;5.1841;98;511;588;41000;;FlightAware ADS-B(DTM / EDLW)
29.10.2025 10:31:18;51.9803;5.2785;98;510;587;41000;;FlightAware ADS-B(EIN / EHEH)
29.10.2025 10:31:48;51.9698;5.3915;99;509;586;41000;;FlightAware ADS-B(EHVB)
29.10.2025 10:32:18;51.9597;5.5020;99;509;586;41000;;FlightAware ADS-B(UDE / EHVK)
29.10.2025 10:32:48;51.9488;5.6177;99;508;585;41000;;FlightAware ADS-B(EDLM)
29.10.2025 10:33:18;51.9378;5.7333;99;509;586;41000;;FlightAware ADS-B(EBBL)
29.10.2025 10:33:48;51.9271;5.8452;99;509;586;41000;;FlightAware ADS-B(EBHM)
29.10.2025 10:34:18;51.9162;5.9608;99;509;586;41000;;FlightAware ADS-B(DUS / EDDL)
29.10.2025 10:34:48;51.9055;6.0671;99;509;586;41000;;FlightAware ADS-B(AMS / EHAM)
29.10.2025 10:35:18;51.8941;6.1817;100;508;585;41000;;FlightAware ADS-B(GLZ / EHGR)
29.10.2025 10:35:42;51.8823;6.2711;103;506;582;41000;;FlightAware ADS-B(FRA / EDDF)
29.10.2025 10:36:02;51.8711;6.3413;105;505;581;41000;;FlightAware ADS-B(GRQ / EHGG)
29.10.2025 10:36:20;51.8606;6.4094;104;506;582;41000;;FlightAware ADS-B(EDFZ)
29.10.2025 10:36:41;51.8493;6.4850;103;507;583;41000;;FlightAware ADS-B(EHHA)
29.10.2025 10:37:08;51.8353;6.5822;102;508;585;41000;;FlightAware ADS-B(QEF / EDFE)
29.10.2025 10:37:27;51.8250;6.6544;104;507;583;41000;;FlightAware ADS-B(DTM / EDLW)
29.10.2025 10:37:45;51.8156;6.7201;103;508;585;41000;;FlightAware ADS-B(DHR / EHKD)
29.10.2025 10:38:21;51.7956;6.8531;104;508;585;41000;;FlightAware ADS-B(LFAG)
29.10.2025 10:38:40;51.7856;6.9194;103;509;586;41000;;FlightAware ADS-B(EHDP)
29.10.2025 10:39:10;51.7683;7.0335;103;510;587;41000;;FlightAware ADS-B(EDLI)
29.10.2025 10:39:40;51.7512;7.1462;103;510;587;41000;;FlightAware ADS-B(EDLI)
29.10.2025 10:40:10;51.7343;7.2565;103;510;587;41000;;FlightAware ADS-B(EDLI)
29.10.2025 10:40:40;51.7173;7.3661;104;510;587;41000;;FlightAware ADS-B(EHVB)
29.10.2025 10:41:10;51.7004;7.4748;104;510;587;41000;;FlightAware ADS-B(EBGB)
29.10.2025 10:41:33;51.6880;7.5558;105;509;586;41000;;FlightAware ADS-B(FMO / EDDG)
29.10.2025 10:42:03;51.6701;7.6693;105;509;586;41000;;FlightAware ADS-B(BRU / EBBR)
29.10.2025 10:42:32;51.6533;7.7755;105;509;586;41000;;FlightAware ADS-B(HAJ / EDDV)
29.10.2025 10:43:02;51.6361;7.8840;105;510;587;41000;;FlightAware ADS-B(CGN / EDDK)
29.10.2025 10:43:32;51.6178;7.9969;105;512;589;41000;;FlightAware ADS-B(EDGH)
29.10.2025 10:44:02;51.6014;8.0984;105;513;590;41000;;FlightAware ADS-B(DUS / EDDL)
29.10.2025 10:44:32;51.5821;8.2178;104;514;592;41000;;FlightAware ADS-B(BRE / EDDW)
29.10.2025 10:45:02;51.5644;8.3262;105;515;593;41000;;FlightAware ADS-B(EDFY)
29.10.2025 10:45:32;51.5456;8.4395;105;515;593;41000;;FlightAware ADS-B(EDLG)
29.10.2025 10:45:57;51.5309;8.5296;105;516;594;41000;;FlightAware ADS-B(EDKB)
29.10.2025 10:46:27;51.5124;8.6393;106;516;594;41000;;FlightAware ADS-B(PSH / EDXO)
29.10.2025 10:46:57;51.4935;8.7529;105;516;594;41000;;FlightAware ADS-B(CGN / EDDK)
29.10.2025 10:47:27;51.4753;8.8612;105;516;594;41000;;FlightAware ADS-B(EDFB)
29.10.2025 10:47:57;51.4560;8.9745;106;515;593;41000;;FlightAware ADS-B(FRA / EDDF)
29.10.2025 10:48:27;51.4379;9.0804;106;516;594;41000;;FlightAware ADS-B(STR / EDDS)
29.10.2025 10:49:08;51.4119;9.2321;105;517;595;41000;;FlightAware ADS-B(EDVN)
29.10.2025 10:49:38;51.3923;9.3453;106;517;595;41000;;FlightAware ADS-B(FRA / EDDF)
29.10.2025 10:50:08;51.3735;9.4533;105;518;596;41000;;FlightAware ADS-B(FRA / EDDF)
29.10.2025 10:50:38;51.3543;9.5621;105;518;596;41000;;FlightAware ADS-B(EDGR)
29.10.2025 10:51:23;51.3247;9.7297;106;519;597;41000;;FlightAware ADS-B(CGN / EDDK)
29.10.2025 10:51:53;51.3053;9.8377;107;519;597;41000;;FlightAware ADS-B(ENS / EHTW)
29.10.2025 10:52:23;51.2856;9.9486;106;519;597;41000;;FlightAware ADS-B(ENS / EHTW)
29.10.2025 10:52:53;51.2654;10.0575;107;518;596;41000;;FlightAware ADS-B(ETNN)
29.10.2025 10:53:24;51.2439;10.1768;106;518;596;41000;;FlightAware ADS-B(CSO / EDBC)
29.10.2025 10:53:54;51.2249;10.2822;106;517;595;41000;;FlightAware ADS-B(ETND)
29.10.2025 10:54:24;51.2045;10.3922;106;517;595;41000;;FlightAware ADS-B(EDEG)
29.10.2025 10:54:46;51.1904;10.4694;106;517;595;41000;;FlightAware ADS-B(EDFK)
