time_europe_berlin;latitude;longitude;course_deg_clockwise_from_north;speed_kts;speed_mph;altitude_ft;vertical_rate_fpm;reporting_facility
29.10.2025 13:55:51;50.0756;19.7694;259;149;171;1472;;FlightAware ADS-B(KRK / EPKK)
29.10.2025 13:56:07;50.0738;19.7537;260;143;165;2372;2719;FlightAware ADS-B(KRK / EPKK)
29.10.2025 13:56:23;50.0720;19.7374;261;161;185;2922;2016;FlightAware ADS-B(KRK / EPKK)
29.10.2025 13:56:39;50.0698;19.7167;260;182;209;3447;2203;FlightAware ADS-B(KRK / EPKK)
29.10.2025 13:56:55;50.0678;19.6965;265;192;221;4097;2672;FlightAware ADS-B(KRK / EPKK)
29.10.2025 13:57:11;50.0693;19.6740;288;198;228;4872;3125;FlightAware ADS-B(KRK / EPKK)
29.10.2025 13:57:31;50.0758;19.6450;290;207;238;5972;2847;FlightAware ADS-B(EPKP)
29.10.2025 13:58:00;50.0847;19.6040;288;226;260;7197;2618;FlightAware ADS-B(EPSI)
29.10.2025 13:58:30;50.0951;19.5545;288;248;285;8546;2774;FlightAware ADS-B(KTW / EPKT)
29.10.2025 13:59:00;50.1060;19.5036;289;267;307;9971;2875;FlightAware ADS-B(LKHN)
29.10.2025 13:59:30;50.1187;19.4443;288;292;336;11421;2750;FlightAware ADS-B(OSR / LKMT)
29.10.2025 14:00:00;50.1319;19.3820;288;320;368;12721;2725;FlightAware ADS-B(EPTM)
29.10.2025 14:00:30;50.1463;19.3144;288;341;392;14146;3275;FlightAware ADS-B(EPRG)
29.10.2025 14:01:00;50.1613;19.2434;288;354;407;15996;3699;FlightAware ADS-B(OSR / LKMT)
29.10.2025 14:01:30;50.1772;19.1681;288;360;414;17845;3674;FlightAware ADS-B(EPKM)
29.10.2025 14:02:00;50.1925;19.0951;288;360;414;19670;3625;FlightAware ADS-B(EPTM)
29.10.2025 14:02:30;50.2077;19.0217;288;358;412;21470;3400;FlightAware ADS-B(WRO / EPWR)
29.10.2025 14:03:00;50.2234;18.9463;288;362;417;23070;2875;FlightAware ADS-B(EPKM)
29.10.2025 14:03:30;50.2392;18.8702;288;368;423;24345;1875;FlightAware ADS-B(EPRG)
29.10.2025 14:04:00;50.2543;18.7978;288;372;428;24945;2491;FlightAware ADS-B(LZDB)
29.10.2025 14:04:29;50.2716;18.7248;293;374;430;26794;3050;FlightAware ADS-B(KTW / EPKT)
29.10.2025 14:04:59;50.2939;18.6469;294;377;434;27944;2125;FlightAware ADS-B(KRK / EPKK)
29.10.2025 14:05:41;50.3211;18.5454;292;382;440;29344;1833;FlightAware ADS-B(RDO / EPRA)
29.10.2025 14:06:11;50.3424;18.4659;293;384;442;30144;1925;FlightAware ADS-B(KTW / EPKT)
29.10.2025 14:06:41;50.3631;18.3891;292;386;444;31269;1735;FlightAware ADS-B(LZTN)
29.10.2025 14:07:21;50.3901;18.2880;293;387;445;32168;1435;FlightAware ADS-B(OLO / LKOL)
29.10.2025 14:07:51;50.4108;18.2101;293;394;453;32943;1050;FlightAware ADS-B(WAW / EPWA)
29.10.2025 14:08:21;50.4318;18.1311;292;392;451;33218;725;FlightAware ADS-B(PZY / LZPP)
